,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-56.449398,45.408398,-93.0738,-17.579866,46.09261,-32.968437,1671096442511.0
1,-55.4002,46.4576,-92.4028,-17.579866,46.09261,-32.968437,1671096442526.5999
2,-56.974,44.8838,-93.4154,-17.579866,46.09261,-32.968437,1671096442542.1995
3,-47.579998,47.7264,-86.1808,-17.579866,46.09261,-32.968437,1671096442557.7993
4,-56.302998,44.9082,-93.146996,-17.579866,46.09261,-32.968437,1671096442573.399
5,-55.4734,44.237198,-90.951,-17.579866,46.09261,-32.968437,1671096442588.9988
6,-51.2766,47.0066,-87.2666,-17.579866,46.09261,-32.968437,1671096442604.5984
7,-54.6438,44.835,-91.743996,-17.579866,46.09261,-32.968437,1671096442620.1982
8,-48.8,46.7138,-85.4976,-17.579866,46.09261,-32.968437,1671096442635.798
9,-57.864597,43.7492,-91.6586,-17.579866,46.09261,-32.968437,1671096442651.3977
10,-49.898,47.3848,-86.5712,-17.579866,46.09261,-32.968437,1671096442666.9976
11,-59.499397,43.9566,-94.062,-17.579866,46.09261,-32.968437,1671096442682.5972
12,-54.3998,44.9326,-90.402,-17.579866,46.09261,-32.968437,1671096442698.197
13,-54.192398,45.079,-90.5972,-17.579866,46.09261,-32.968437,1671096442713.7966
14,-52.216,46.2868,-92.0978,-17.579866,46.09261,-32.968437,1671096442729.3965
15,-58.486797,44.481197,-91.5488,-17.579866,46.09261,-32.968437,1671096442744.9963
16,-52.4356,45.506,-90.6826,-17.579866,46.09261,-32.968437,1671096442760.596
17,-52.7894,45.6646,-91.0242,-17.579866,46.09261,-32.968437,1671096442776.1958
18,-49.0806,46.9822,-86.924995,-17.579866,46.09261,-32.968437,1671096442791.7954
19,-56.8886,44.53,-92.3418,-17.579866,46.09261,-32.968437,1671096442807.3953
20,-55.9492,44.4324,-92.1954,-17.579866,46.09261,-32.968437,1671096442822.995
21,-48.0192,46.5308,-90.4508,-17.579866,46.09261,-32.968437,1671096442838.5947
22,-51.483997,45.8964,-90.645996,-17.579866,46.09261,-32.968437,1671096442854.1946
23,-52.801598,44.944798,-87.1934,-17.579866,46.09261,-32.968437,1671096442869.7942
24,-53.338398,45.322998,-91.5244,-17.579866,46.09261,-32.968437,1671096442885.394
25,-59.499397,43.188,-91.292595,-17.579866,46.09261,-32.968437,1671096442900.9937
26,-55.5832,45.5792,-93.2202,-17.579866,46.09261,-32.968437,1671096442916.5935
27,-51.410797,46.6772,-91.768394,-17.579866,46.09261,-32.968437,1671096442932.1934
28,-55.2782,43.9566,-91.597595,-17.579866,46.09261,-32.968437,1671096442947.793
29,-55.9004,43.8956,-92.4882,-17.579866,46.09261,-32.968437,1671096442963.3928
30,-53.6068,45.322998,-90.182396,-17.579866,46.09261,-32.968437,1671096442978.9924
31,-43.5662,47.823997,-89.730995,-17.579866,46.09261,-32.968437,1671096442994.5923
32,-48.6414,47.738598,-88.498795,-17.579866,46.09261,-32.968437,1671096443010.192
33,-48.4218,47.982597,-90.987595,-17.579866,46.09261,-32.968437,1671096443025.7917
34,-56.0224,44.8228,-91.5366,-17.579866,46.09261,-32.968437,1671096443041.3916
35,-51.8134,45.3474,-91.902596,-17.579866,46.09261,-32.968437,1671096443056.9912
36,-53.314,45.1156,-89.304,-17.579866,46.09261,-32.968437,1671096443072.591
37,-46.9456,47.9216,-86.3882,-17.579866,46.09261,-32.968437,1671096443088.1907
38,-51.630398,45.103397,-91.3658,-17.579866,46.09261,-32.968437,1671096443103.7905
39,-47.0676,47.433598,-90.7436,-17.579866,46.09261,-32.968437,1671096443119.3901
40,-52.886997,46.5552,-91.256,-17.579866,46.09261,-32.968437,1671096443134.99
