,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,52.86,-27.0,-60.239998,40.5,-13.679999,-33.719997,1669599639705.0
1,54.3,-27.3,-59.82,40.5,-13.679999,-33.719997,1669599640067.3792
2,54.36,-27.779999,-59.46,40.5,-13.679999,-33.719997,1669599640429.758
3,54.36,-27.9,-59.76,40.5,-13.679999,-33.719997,1669599640792.1372
4,54.18,-27.06,-59.699997,40.5,-13.679999,-33.719997,1669599641154.516
5,53.76,-26.76,-59.94,40.5,-13.679999,-33.719997,1669599641516.8953
6,53.46,-26.76,-60.12,40.5,-13.679999,-33.719997,1669599641879.2742
7,53.16,-26.4,-59.94,40.5,-13.679999,-33.719997,1669599642241.6533
8,53.1,-26.58,-59.82,40.5,-13.679999,-33.719997,1669599642604.0322
9,53.039997,-26.519999,-59.64,40.5,-13.679999,-33.719997,1669599642966.4114
10,53.28,-25.98,-60.239998,40.5,-13.679999,-33.719997,1669599643328.7903
11,53.1,-25.92,-60.059998,40.5,-13.679999,-33.719997,1669599643691.1694
12,52.739998,-25.98,-60.18,40.5,-13.679999,-33.719997,1669599644053.5483
13,52.98,-26.22,-60.239998,40.5,-13.679999,-33.719997,1669599644415.9275
14,52.739998,-26.279999,-60.3,40.5,-13.679999,-33.719997,1669599644778.3064
15,53.039997,-26.16,-60.66,40.5,-13.679999,-33.719997,1669599645140.6855
16,53.64,-25.92,-61.079998,40.5,-13.679999,-33.719997,1669599645503.0645
17,53.039997,-25.74,-61.44,40.5,-13.679999,-33.719997,1669599645865.4436
18,52.739998,-25.5,-60.78,40.5,-13.679999,-33.719997,1669599646227.8225
19,52.86,-25.619999,-61.02,40.5,-13.679999,-33.719997,1669599646590.2017
20,52.5,-25.32,-60.719997,40.5,-13.679999,-33.719997,1669599646952.5806
21,52.62,-24.779999,-60.48,40.5,-13.679999,-33.719997,1669599647314.9597
22,53.16,-24.48,-60.899998,40.5,-13.679999,-33.719997,1669599647677.3386
23,52.739998,-24.24,-60.96,40.5,-13.679999,-33.719997,1669599648039.7178
24,53.1,-24.779999,-61.44,40.5,-13.679999,-33.719997,1669599648402.0967
25,52.68,-24.6,-61.8,40.5,-13.679999,-33.719997,1669599648764.4758
26,52.26,-25.019999,-62.039997,40.5,-13.679999,-33.719997,1669599649126.8547
27,52.02,-25.199999,-61.739998,40.5,-13.679999,-33.719997,1669599649489.234
28,51.6,-25.14,-61.739998,40.5,-13.679999,-33.719997,1669599649851.6128
29,51.899998,-25.74,-61.379997,40.5,-13.679999,-33.719997,1669599650213.992
30,52.02,-25.38,-61.62,40.5,-13.679999,-33.719997,1669599650576.3708
31,52.559998,-25.08,-61.739998,40.5,-13.679999,-33.719997,1669599650938.75
32,52.079998,-23.46,-59.76,40.5,-13.679999,-33.719997,1669599651301.1292
33,51.66,-24.96,-58.859997,40.5,-13.679999,-33.719997,1669599651663.508
34,51.42,-25.26,-59.1,40.5,-13.679999,-33.719997,1669599652025.8872
35,51.059998,-25.26,-58.92,40.5,-13.679999,-33.719997,1669599652388.266
36,50.7,-25.5,-59.16,40.5,-13.679999,-33.719997,1669599652750.6453
37,51.0,-25.32,-59.579998,40.5,-13.679999,-33.719997,1669599653113.0242
38,50.28,-24.9,-60.3,40.5,-13.679999,-33.719997,1669599653475.4033
39,50.039997,-24.84,-60.96,40.5,-13.679999,-33.719997,1669599653837.7822
40,50.1,-24.66,-61.379997,40.5,-13.679999,-33.719997,1669599654200.1614
41,49.92,-24.6,-61.5,40.5,-13.679999,-33.719997,1669599654562.5403
42,50.46,-24.539999,-61.079998,40.5,-13.679999,-33.719997,1669599654924.9194
43,50.16,-24.3,-60.66,40.5,-13.679999,-33.719997,1669599655287.2983
44,50.1,-24.42,-60.0,40.5,-13.679999,-33.719997,1669599655649.6775
45,49.92,-24.359999,-59.82,40.5,-13.679999,-33.719997,1669599656012.0564
46,49.68,-24.24,-59.94,40.5,-13.679999,-33.719997,1669599656374.4355
47,50.16,-24.539999,-59.94,40.5,-13.679999,-33.719997,1669599656736.8145
48,50.1,-24.06,-59.699997,40.5,-13.679999,-33.719997,1669599657099.1936
49,50.1,-23.82,-60.18,40.5,-13.679999,-33.719997,1669599657461.5725
50,49.8,-23.88,-60.539997,40.5,-13.679999,-33.719997,1669599657823.9517
51,49.98,-23.279999,-61.02,40.5,-13.679999,-33.719997,1669599658186.3306
52,49.68,-22.98,-61.62,40.5,-13.679999,-33.719997,1669599658548.7097
53,49.559998,-22.5,-61.44,40.5,-13.679999,-33.719997,1669599658911.0886
54,49.14,-22.14,-61.44,40.5,-13.679999,-33.719997,1669599659273.4678
55,48.42,-21.84,-61.32,40.5,-13.679999,-33.719997,1669599659635.8467
56,48.059998,-21.66,-61.62,40.5,-13.679999,-33.719997,1669599659998.2258
57,47.879997,-21.9,-61.739998,40.5,-13.679999,-33.719997,1669599660360.6047
58,48.3,-21.06,-61.68,40.5,-13.679999,-33.719997,1669599660722.984
59,48.48,-21.119999,-61.98,40.5,-13.679999,-33.719997,1669599661085.3628
60,48.6,-20.76,-61.92,40.5,-13.679999,-33.719997,1669599661447.742
61,49.86,-19.619999,-62.1,40.5,-13.679999,-33.719997,1669599661810.1208
62,52.14,-19.14,-61.98,40.5,-13.679999,-33.719997,1669599662172.5
63,54.899998,-21.119999,-60.78,40.5,-13.679999,-33.719997,1669599662534.8792
64,55.199997,-21.539999,-60.3,40.5,-13.679999,-33.719997,1669599662897.258
65,55.079998,-22.26,-60.12,40.5,-13.679999,-33.719997,1669599663259.6372
66,55.079998,-22.68,-59.579998,40.5,-13.679999,-33.719997,1669599663622.016
67,55.26,-22.8,-59.16,40.5,-13.679999,-33.719997,1669599663984.3953
68,54.719997,-22.56,-59.699997,40.5,-13.679999,-33.719997,1669599664346.7742
69,54.899998,-22.26,-59.579998,40.5,-13.679999,-33.719997,1669599664709.1533
70,55.14,-22.199999,-59.94,40.5,-13.679999,-33.719997,1669599665071.5322
71,54.539997,-21.96,-60.539997,40.5,-13.679999,-33.719997,1669599665433.9114
72,54.539997,-21.9,-60.18,40.5,-13.679999,-33.719997,1669599665796.2903
73,53.94,-22.32,-59.82,40.5,-13.679999,-33.719997,1669599666158.6694
74,53.52,-22.38,-60.18,40.5,-13.679999,-33.719997,1669599666521.0483
75,54.059998,-22.74,-59.46,40.5,-13.679999,-33.719997,1669599666883.4275
76,54.36,-22.619999,-59.82,40.5,-13.679999,-33.719997,1669599667245.8064
77,53.94,-22.14,-60.3,40.5,-13.679999,-33.719997,1669599667608.1855
78,54.0,-22.199999,-60.12,40.5,-13.679999,-33.719997,1669599667970.5645
79,54.3,-22.14,-60.539997,40.5,-13.679999,-33.719997,1669599668332.9436
80,54.12,-22.32,-60.42,40.5,-13.679999,-33.719997,1669599668695.3225
81,54.36,-22.56,-59.82,40.5,-13.679999,-33.719997,1669599669057.7017
82,54.18,-23.039999,-59.64,40.5,-13.679999,-33.719997,1669599669420.0806
83,53.64,-23.1,-59.34,40.5,-13.679999,-33.719997,1669599669782.4597
84,53.64,-23.46,-59.52,40.5,-13.679999,-33.719997,1669599670144.8386
85,54.36,-23.1,-59.82,40.5,-13.679999,-33.719997,1669599670507.2178
86,55.02,-22.92,-59.52,40.5,-13.679999,-33.719997,1669599670869.5967
87,55.44,-22.859999,-59.64,40.5,-13.679999,-33.719997,1669599671231.9758
88,55.44,-23.16,-58.62,40.5,-13.679999,-33.719997,1669599671594.3547
89,55.68,-23.699999,-57.96,40.5,-13.679999,-33.719997,1669599671956.734
90,55.079998,-23.76,-57.48,40.5,-13.679999,-33.719997,1669599672319.1128
91,54.84,-23.699999,-57.12,40.5,-13.679999,-33.719997,1669599672681.492
92,55.14,-23.22,-57.48,40.5,-13.679999,-33.719997,1669599673043.8708
93,54.899998,-22.98,-58.079998,40.5,-13.679999,-33.719997,1669599673406.25
94,55.5,-22.68,-59.94,40.5,-13.679999,-33.719997,1669599673768.6292
95,55.8,-22.8,-59.879997,40.5,-13.679999,-33.719997,1669599674131.008
96,55.92,-22.199999,-59.46,40.5,-13.679999,-33.719997,1669599674493.3872
97,55.44,-21.539999,-59.94,40.5,-13.679999,-33.719997,1669599674855.766
98,55.559998,-21.3,-59.399998,40.5,-13.679999,-33.719997,1669599675218.1453
99,55.14,-21.72,-59.76,40.5,-13.679999,-33.719997,1669599675580.5242
100,54.84,-22.439999,-59.76,40.5,-13.679999,-33.719997,1669599675942.9033
101,54.66,-22.68,-59.64,40.5,-13.679999,-33.719997,1669599676305.2822
102,54.42,-22.74,-59.52,40.5,-13.679999,-33.719997,1669599676667.6614
103,54.6,-22.5,-59.399998,40.5,-13.679999,-33.719997,1669599677030.0403
104,54.6,-22.439999,-59.579998,40.5,-13.679999,-33.719997,1669599677392.4194
105,54.78,-21.96,-59.039997,40.5,-13.679999,-33.719997,1669599677754.7983
106,55.26,-22.08,-59.039997,40.5,-13.679999,-33.719997,1669599678117.1775
107,55.02,-22.02,-58.739998,40.5,-13.679999,-33.719997,1669599678479.5564
108,54.899998,-21.6,-58.859997,40.5,-13.679999,-33.719997,1669599678841.9355
109,55.02,-22.14,-59.039997,40.5,-13.679999,-33.719997,1669599679204.3145
110,54.719997,-22.26,-59.16,40.5,-13.679999,-33.719997,1669599679566.6936
111,54.78,-22.08,-59.28,40.5,-13.679999,-33.719997,1669599679929.0725
112,55.079998,-22.56,-58.98,40.5,-13.679999,-33.719997,1669599680291.4517
113,54.899998,-22.08,-59.579998,40.5,-13.679999,-33.719997,1669599680653.8306
114,54.48,-21.779999,-59.82,40.5,-13.679999,-33.719997,1669599681016.2097
115,54.539997,-21.72,-60.42,40.5,-13.679999,-33.719997,1669599681378.5886
116,54.539997,-21.119999,-61.32,40.5,-13.679999,-33.719997,1669599681740.9678
117,54.6,-21.6,-60.719997,40.5,-13.679999,-33.719997,1669599682103.3467
118,54.66,-21.539999,-61.079998,40.5,-13.679999,-33.719997,1669599682465.7258
119,54.539997,-21.72,-60.719997,40.5,-13.679999,-33.719997,1669599682828.1047
120,54.84,-21.779999,-60.239998,40.5,-13.679999,-33.719997,1669599683190.484
121,54.48,-21.84,-60.48,40.5,-13.679999,-33.719997,1669599683552.8628
122,54.84,-21.96,-59.879997,40.5,-13.679999,-33.719997,1669599683915.242
123,54.66,-21.779999,-59.879997,40.5,-13.679999,-33.719997,1669599684277.6208
124,54.239998,-22.26,-59.64,40.5,-13.679999,-33.719997,1669599684640.0
