,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,54.719997,-27.18,-68.28,-291.06,371.1,245.87999,1669595283121.0
1,55.32,-27.66,-68.34,-291.06,371.1,245.87999,1669595283422.0107
2,55.62,-28.68,-67.08,-291.06,371.1,245.87999,1669595283723.0215
3,55.8,-29.16,-66.24,-291.06,371.1,245.87999,1669595284024.0322
4,56.219997,-29.279999,-65.88,-291.06,371.1,245.87999,1669595284325.043
5,56.699997,-27.9,-65.04,-291.06,371.1,245.87999,1669595284626.0537
6,56.28,-26.519999,-66.0,-291.06,371.1,245.87999,1669595284927.0645
7,54.66,-24.72,-66.9,-291.06,371.1,245.87999,1669595285228.0752
8,52.5,-23.16,-67.5,-291.06,371.1,245.87999,1669595285529.086
9,50.52,-22.74,-68.28,-291.06,371.1,245.87999,1669595285830.0967
10,50.34,-22.38,-68.46,-291.06,371.1,245.87999,1669595286131.1074
11,51.12,-22.68,-68.22,-291.06,371.1,245.87999,1669595286432.1182
12,51.6,-23.699999,-68.4,-291.06,371.1,245.87999,1669595286733.1292
13,52.02,-24.359999,-68.82,-291.06,371.1,245.87999,1669595287034.14
14,51.6,-24.6,-69.0,-291.06,371.1,245.87999,1669595287335.1506
15,51.42,-24.96,-68.82,-291.06,371.1,245.87999,1669595287636.1614
16,52.02,-24.6,-68.64,-291.06,371.1,245.87999,1669595287937.172
17,52.02,-24.66,-68.4,-291.06,371.1,245.87999,1669595288238.1829
18,52.379997,-24.6,-68.04,-291.06,371.1,245.87999,1669595288539.1936
19,52.5,-24.48,-68.46,-291.06,371.1,245.87999,1669595288840.2043
20,51.78,-24.6,-68.58,-291.06,371.1,245.87999,1669595289141.215
21,51.539997,-24.3,-68.46,-291.06,371.1,245.87999,1669595289442.2258
22,51.36,-24.06,-68.88,-291.06,371.1,245.87999,1669595289743.2366
23,51.42,-24.24,-68.58,-291.06,371.1,245.87999,1669595290044.2473
24,51.96,-24.06,-68.46,-291.06,371.1,245.87999,1669595290345.258
25,52.26,-24.18,-68.58,-291.06,371.1,245.87999,1669595290646.2688
26,52.32,-24.0,-68.52,-291.06,371.1,245.87999,1669595290947.2795
27,52.379997,-24.0,-68.76,-291.06,371.1,245.87999,1669595291248.2903
28,52.44,-24.359999,-68.46,-291.06,371.1,245.87999,1669595291549.301
29,52.5,-24.84,-68.28,-291.06,371.1,245.87999,1669595291850.3118
30,52.32,-25.439999,-68.58,-291.06,371.1,245.87999,1669595292151.3225
31,52.5,-25.5,-68.58,-291.06,371.1,245.87999,1669595292452.3333
32,52.559998,-25.199999,-68.939995,-291.06,371.1,245.87999,1669595292753.344
33,52.559998,-24.96,-69.54,-291.06,371.1,245.87999,1669595293054.3547
34,52.32,-25.26,-69.06,-291.06,371.1,245.87999,1669595293355.3655
35,51.96,-24.84,-69.0,-291.06,371.1,245.87999,1669595293656.3765
36,52.02,-24.96,-69.06,-291.06,371.1,245.87999,1669595293957.3872
37,51.6,-24.84,-69.119995,-291.06,371.1,245.87999,1669595294258.398
38,51.539997,-24.359999,-69.36,-291.06,371.1,245.87999,1669595294559.4087
39,51.3,-24.6,-69.36,-291.06,371.1,245.87999,1669595294860.4194
40,51.42,-24.84,-69.119995,-291.06,371.1,245.87999,1669595295161.4302
41,51.48,-25.08,-68.46,-291.06,371.1,245.87999,1669595295462.441
42,51.84,-25.019999,-68.1,-291.06,371.1,245.87999,1669595295763.4517
43,52.26,-25.32,-68.28,-291.06,371.1,245.87999,1669595296064.4624
44,51.899998,-25.26,-67.799995,-291.06,371.1,245.87999,1669595296365.4731
45,51.899998,-25.38,-68.04,-291.06,371.1,245.87999,1669595296666.484
46,51.899998,-25.92,-67.799995,-291.06,371.1,245.87999,1669595296967.4946
47,51.899998,-25.92,-67.74,-291.06,371.1,245.87999,1669595297268.5054
48,52.26,-25.8,-67.86,-291.06,371.1,245.87999,1669595297569.516
49,52.379997,-25.8,-68.4,-291.06,371.1,245.87999,1669595297870.5269
50,52.26,-25.26,-68.7,-291.06,371.1,245.87999,1669595298171.5376
51,52.079998,-25.5,-68.28,-291.06,371.1,245.87999,1669595298472.5483
52,52.079998,-25.32,-68.52,-291.06,371.1,245.87999,1669595298773.559
53,52.379997,-25.32,-67.799995,-291.06,371.1,245.87999,1669595299074.5698
54,52.68,-25.74,-67.74,-291.06,371.1,245.87999,1669595299375.5806
55,52.739998,-25.32,-67.979996,-291.06,371.1,245.87999,1669595299676.5913
56,52.379997,-25.74,-67.74,-291.06,371.1,245.87999,1669595299977.602
57,51.84,-26.039999,-67.14,-291.06,371.1,245.87999,1669595300278.6128
58,52.079998,-25.38,-66.72,-291.06,371.1,245.87999,1669595300579.6235
59,52.199997,-25.56,-66.72,-291.06,371.1,245.87999,1669595300880.6345
60,52.5,-25.74,-66.9,-291.06,371.1,245.87999,1669595301181.6453
61,52.68,-25.26,-67.86,-291.06,371.1,245.87999,1669595301482.656
62,52.559998,-26.039999,-68.22,-291.06,371.1,245.87999,1669595301783.6667
63,51.66,-24.24,-68.22,-291.06,371.1,245.87999,1669595302084.6775
64,52.5,-24.779999,-68.28,-291.06,371.1,245.87999,1669595302385.6882
65,53.16,-25.019999,-68.22,-291.06,371.1,245.87999,1669595302686.699
66,53.46,-24.72,-68.46,-291.06,371.1,245.87999,1669595302987.7097
67,53.16,-24.539999,-68.46,-291.06,371.1,245.87999,1669595303288.7205
68,52.8,-24.42,-68.58,-291.06,371.1,245.87999,1669595303589.7312
69,52.86,-23.58,-68.34,-291.06,371.1,245.87999,1669595303890.742
70,52.02,-22.5,-68.22,-291.06,371.1,245.87999,1669595304191.7527
71,52.98,-21.42,-67.2,-291.06,371.1,245.87999,1669595304492.7634
72,53.16,-19.74,-66.06,-291.06,371.1,245.87999,1669595304793.7742
