,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-11.3948,22.545599,-71.040596,-29.610296,45.48195,-38.70174,1669602992847.0
1,-9.6624,23.0214,-70.394,-29.610294,45.48195,-38.70174,1669602993313.7273
2,-8.3692,25.815199,-72.2728,-29.610294,45.48195,-38.70174,1669602993780.4546
3,-11.236199,38.3934,-79.544,-29.610294,45.48195,-38.70174,1669602994247.182
4,-26.535,55.4978,-81.6546,-29.610296,45.48195,-38.70174,1669602994713.9092
5,-21.423199,61.9638,-78.519196,-29.610298,45.48195,-38.70174,1669602995180.6365
6,-18.4708,62.6348,-78.4704,-29.610298,45.48195,-38.70174,1669602995647.3635
7,-2.9768,58.3038,-71.5652,-29.610298,45.48195,-38.70174,1669602996114.0908
8,1.1345999,57.645,-69.0764,-29.610298,45.48195,-38.70174,1669602996580.818
9,1.3786,57.705997,-69.027596,-29.610298,45.48195,-38.70174,1669602997047.5454
10,1.9397999,57.8036,-68.7592,-29.610298,45.48195,-38.70174,1669602997514.2727
11,2.074,57.8402,-68.8446,-29.610298,45.48195,-38.70174,1669602997981.0
12,1.4518,57.8402,-69.418,-29.610298,45.48195,-38.70174,1669602998447.7273
13,1.0979999,57.547398,-69.54,-29.610298,45.48195,-38.70174,1669602998914.4546
14,1.7445999,57.8402,-69.2106,-29.610298,45.48195,-38.70174,1669602999381.182
15,1.5738,57.791397,-69.1984,-29.610298,45.48195,-38.70174,1669602999847.9092
16,1.7689999,57.5962,-68.9788,-29.610298,45.48195,-38.70174,1669603000314.6365
17,1.9275999,57.645,-68.808,-29.610298,45.48195,-38.70174,1669603000781.3635
18,1.5494,57.645,-69.491196,-29.610298,45.48195,-38.70174,1669603001248.0908
19,2.2082,57.937798,-69.1374,-29.610298,45.48195,-38.70174,1669603001714.818
20,1.5982,57.705997,-69.3082,-29.610298,45.48195,-38.70174,1669603002181.5454
21,1.5982,57.6084,-69.1008,-29.610298,45.48195,-38.70174,1669603002648.2727
22,1.3298,57.4254,-69.186195,-29.610298,45.48195,-38.70174,1669603003115.0
23,1.3298,57.547398,-69.173996,-29.610298,45.48195,-38.70174,1669603003581.7273
24,1.281,57.5352,-69.2228,-29.610298,45.48195,-38.70174,1669603004048.4546
25,1.464,57.620598,-69.357,-29.610298,45.48195,-38.70174,1669603004515.182
26,-0.4148,57.071598,-69.7108,-29.610298,45.48195,-38.70174,1669603004981.9092
27,-1.1223999,57.0594,-70.089,-29.610298,45.48195,-38.70174,1669603005448.6365
28,1.0491999,57.4864,-69.1984,-29.610298,45.48195,-38.70174,1669603005915.3635
29,0.366,57.4132,-69.649796,-29.610298,45.48195,-38.70174,1669603006382.0908
30,-0.0488,57.2546,-69.649796,-29.610298,45.48195,-38.70174,1669603006848.818
31,-4.0504,56.1688,-68.0394,-29.610296,45.48195,-38.70174,1669603007315.5454
32,1.4396,57.693798,-67.9662,-29.610294,45.48195,-38.70174,1669603007782.2727
33,2.0008,57.791397,-69.0764,-29.610294,45.48195,-38.70174,1669603008249.0
34,3.0012,58.242798,-68.7592,-29.610294,45.48195,-38.70174,1669603008715.7273
35,4.3431997,58.084198,-68.3322,-29.610294,45.48195,-38.70174,1669603009182.4546
36,3.6966,58.0476,-68.381,-29.610294,45.48195,-38.70174,1669603009649.182
37,2.9889998,57.9744,-68.4298,-29.610294,45.48195,-38.70174,1669603010115.9092
38,4.8312,58.2794,-68.0394,-29.610294,45.48195,-38.70174,1669603010582.6365
39,3.3428,58.5478,-69.0032,-29.610294,45.48195,-38.70174,1669603011049.3635
40,1.4762,57.693798,-69.344795,-29.610294,45.48195,-38.70174,1669603011516.0908
41,2.8181999,57.9256,-68.442,-29.610294,45.48195,-38.70174,1669603011982.818
42,2.562,58.0598,-68.9788,-29.610294,45.48195,-38.70174,1669603012449.5454
43,3.7698,57.9134,-67.5758,-29.610294,45.48195,-38.70174,1669603012916.2727
44,2.8304,57.9012,-68.7958,-29.610294,45.48195,-38.70174,1669603013383.0
45,1.2322,57.9866,-68.7592,-29.610294,45.48195,-38.70174,1669603013849.7273
46,1.4152,57.7182,-69.7108,-29.610294,45.48195,-38.70174,1669603014316.4546
47,3.3916,58.2184,-69.2228,-29.610294,45.48195,-38.70174,1669603014783.182
48,2.6718,58.133,-69.015396,-29.610294,45.48195,-38.70174,1669603015249.9092
49,1.4762,57.559597,-69.357,-29.610294,45.48195,-38.70174,1669603015716.6365
50,2.2447999,57.864597,-69.3692,-29.610294,45.48195,-38.70174,1669603016183.3635
51,2.4766,57.584,-69.5156,-29.610294,45.48195,-38.70174,1669603016650.0908
52,3.2086,57.937798,-68.4908,-29.610294,45.48195,-38.70174,1669603017116.818
53,1.9886,57.8402,-69.015396,-29.610294,45.48195,-38.70174,1669603017583.5454
54,2.2691998,57.7548,-68.808,-29.610294,45.48195,-38.70174,1669603018050.2727
55,2.7816,57.7548,-68.2346,-29.610294,45.48195,-38.70174,1669603018517.0
