,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,75.299995,-28.68,-94.799995,47.46,-30.84,-62.76,1669429686353.0
1,75.119995,-28.8,-94.619995,47.46,-30.84,-62.76,1669429687078.8704
2,75.24,-28.199999,-95.46,47.46,-30.84,-62.76,1669429687804.7405
3,75.18,-28.439999,-94.619995,47.46,-30.84,-62.76,1669429688530.6108
4,75.299995,-28.26,-94.56,47.46,-30.84,-62.76,1669429689256.4812
5,75.36,-27.539999,-94.439995,47.46,-30.84,-62.76,1669429689982.3513
6,75.36,-27.3,-94.02,47.46,-30.84,-62.76,1669429690708.2217
7,75.24,-27.3,-94.079994,47.46,-30.84,-62.76,1669429691434.0918
8,74.88,-27.48,-94.5,47.46,-30.84,-62.76,1669429692159.9622
9,75.18,-27.24,-94.86,47.46,-30.84,-62.76,1669429692885.8325
10,75.42,-27.48,-94.86,47.46,-30.84,-62.76,1669429693611.7026
11,75.6,-27.18,-95.28,47.46,-30.84,-62.76,1669429694337.573
12,75.54,-27.599998,-95.04,47.46,-30.84,-62.76,1669429695063.4434
13,75.0,-28.14,-94.86,47.46,-30.84,-62.76,1669429695789.3135
14,75.42,-28.38,-94.02,47.46,-30.84,-62.76,1669429696515.1838
15,75.479996,-28.98,-93.72,47.46,-30.84,-62.76,1669429697241.054
16,75.9,-28.38,-94.32,47.46,-30.84,-62.76,1669429697966.9243
17,76.14,-28.32,-94.14,47.46,-30.84,-62.76,1669429698692.7947
18,75.299995,-27.539999,-94.799995,47.46,-30.84,-62.76,1669429699418.6648
19,75.06,-27.18,-94.979996,47.46,-30.84,-62.76,1669429700144.5352
20,74.7,-27.42,-94.56,47.46,-30.84,-62.76,1669429700870.4055
21,74.04,-27.18,-94.979996,47.46,-30.84,-62.76,1669429701596.2756
22,74.22,-27.66,-94.92,47.46,-30.84,-62.76,1669429702322.146
23,73.92,-27.66,-95.1,47.46,-30.84,-62.76,1669429703048.016
24,74.1,-27.539999,-94.979996,47.46,-30.84,-62.76,1669429703773.8865
25,74.939995,-27.48,-95.28,47.46,-30.84,-62.76,1669429704499.7568
26,74.64,-27.539999,-95.34,47.46,-30.84,-62.76,1669429705225.627
27,75.06,-27.3,-95.22,47.46,-30.84,-62.76,1669429705951.4973
28,75.299995,-27.66,-94.92,47.46,-30.84,-62.76,1669429706677.3677
29,75.6,-27.84,-94.799995,47.46,-30.84,-62.76,1669429707403.2378
30,75.72,-27.96,-94.86,47.46,-30.84,-62.76,1669429708129.1082
31,75.78,-28.019999,-94.619995,47.46,-30.84,-62.76,1669429708854.9783
32,75.119995,-28.199999,-95.159996,47.46,-30.84,-62.76,1669429709580.8486
33,75.119995,-28.26,-94.92,47.46,-30.84,-62.76,1669429710306.719
34,74.939995,-28.32,-94.56,47.46,-30.84,-62.76,1669429711032.589
35,75.06,-28.38,-94.619995,47.46,-30.84,-62.76,1669429711758.4595
36,74.939995,-27.96,-94.86,47.46,-30.84,-62.76,1669429712484.3298
37,74.58,-27.24,-95.1,47.46,-30.84,-62.76,1669429713210.2
38,74.88,-27.119999,-95.28,47.46,-30.84,-62.76,1669429713936.0703
39,74.46,-27.3,-95.759995,47.46,-30.84,-62.76,1669429714661.9404
40,74.76,-27.779999,-95.28,47.46,-30.84,-62.76,1669429715387.8108
41,74.7,-28.199999,-95.1,47.46,-30.84,-62.76,1669429716113.6812
42,75.119995,-28.199999,-94.74,47.46,-30.84,-62.76,1669429716839.5513
43,75.299995,-27.9,-94.56,47.46,-30.84,-62.76,1669429717565.4216
44,75.42,-27.0,-94.74,47.46,-30.84,-62.76,1669429718291.292
45,75.78,-26.76,-94.68,47.46,-30.84,-62.76,1669429719017.162
46,75.0,-26.939999,-94.68,47.46,-30.84,-62.76,1669429719743.0325
47,74.939995,-27.06,-94.68,47.46,-30.84,-62.76,1669429720468.9026
48,75.0,-27.42,-94.619995,47.46,-30.84,-62.76,1669429721194.773
49,74.46,-27.84,-94.74,47.46,-30.84,-62.76,1669429721920.6433
50,74.82,-27.599998,-94.86,47.46,-30.84,-62.76,1669429722646.5134
51,75.119995,-27.359999,-94.74,47.46,-30.84,-62.76,1669429723372.3838
52,74.64,-27.599998,-94.619995,47.46,-30.84,-62.76,1669429724098.2542
53,75.119995,-27.72,-94.619995,47.46,-30.84,-62.76,1669429724824.1243
54,74.46,-27.599998,-94.74,47.46,-30.84,-62.76,1669429725549.9946
55,74.46,-27.96,-94.38,47.46,-30.84,-62.76,1669429726275.8647
56,74.7,-27.9,-93.78,47.46,-30.84,-62.76,1669429727001.735
57,74.52,-27.72,-93.72,47.46,-30.84,-62.76,1669429727727.6055
58,74.88,-28.38,-94.56,47.46,-30.84,-62.76,1669429728453.4756
59,74.58,-28.38,-95.04,47.46,-30.84,-62.76,1669429729179.346
60,74.88,-28.619999,-95.82,47.46,-30.84,-62.76,1669429729905.2163
61,74.88,-28.5,-95.64,47.46,-30.84,-62.76,1669429730631.0864
62,75.18,-27.24,-95.52,47.46,-30.84,-62.76,1669429731356.9568
63,75.119995,-27.42,-95.1,47.46,-30.84,-62.76,1669429732082.8271
64,74.939995,-27.66,-95.579994,47.46,-30.84,-62.76,1669429732808.6973
65,74.7,-27.66,-95.28,47.46,-30.84,-62.76,1669429733534.5676
66,74.76,-27.599998,-95.4,47.46,-30.84,-62.76,1669429734260.4377
67,74.58,-28.08,-95.1,47.46,-30.84,-62.76,1669429734986.308
68,74.76,-27.9,-94.92,47.46,-30.84,-62.76,1669429735712.1785
69,75.36,-27.84,-94.32,47.46,-30.84,-62.76,1669429736438.0486
70,75.42,-28.199999,-94.5,47.46,-30.84,-62.76,1669429737163.919
71,75.6,-27.84,-94.5,47.46,-30.84,-62.76,1669429737889.7893
72,75.54,-27.96,-94.32,47.46,-30.84,-62.76,1669429738615.6594
73,75.36,-27.84,-94.92,47.46,-30.84,-62.76,1669429739341.5298
74,74.82,-27.9,-94.619995,47.46,-30.84,-62.76,1669429740067.4
75,74.7,-27.84,-94.5,47.46,-30.84,-62.76,1669429740793.2703
76,74.64,-27.599998,-95.04,47.46,-30.84,-62.76,1669429741519.1406
77,74.28,-27.779999,-94.68,47.46,-30.84,-62.76,1669429742245.0107
78,74.28,-27.599998,-95.04,47.46,-30.84,-62.76,1669429742970.881
79,74.58,-27.66,-95.28,47.46,-30.84,-62.76,1669429743696.7515
80,74.7,-27.779999,-94.619995,47.46,-30.84,-62.76,1669429744422.6216
81,74.88,-28.08,-95.04,47.46,-30.84,-62.76,1669429745148.492
82,75.0,-28.08,-95.04,47.46,-30.84,-62.76,1669429745874.362
83,75.0,-27.96,-95.46,47.46,-30.84,-62.76,1669429746600.2324
84,74.88,-27.42,-95.939995,47.46,-30.84,-62.76,1669429747326.1028
85,74.52,-27.18,-96.42,47.46,-30.84,-62.76,1669429748051.973
86,74.64,-27.42,-96.6,47.46,-30.84,-62.76,1669429748777.8433
87,74.82,-27.48,-96.42,47.46,-30.84,-62.76,1669429749503.7136
88,74.46,-28.439999,-95.52,47.46,-30.84,-62.76,1669429750229.5837
89,74.939995,-28.26,-94.86,47.46,-30.84,-62.76,1669429750955.454
