,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-12.932,22.6554,-75.2374,0.0,0.0,0.0,1669600844815.0
1,-16.128399,21.1914,-80.092995,0.0,0.0,0.0,1669600845278.8152
2,-10.0528,22.9116,-75.9938,0.0,0.0,0.0,1669600845742.6301
3,-8.906,23.241,-74.4566,0.0,0.0,0.0,1669600846206.4453
4,-10.321199,22.8506,-75.762,0.0,0.0,0.0,1669600846670.2603
5,-12.4074,22.508999,-78.751,0.0,0.0,0.0,1669600847134.0754
6,-15.225599,21.886799,-79.9466,0.0,0.0,0.0,1669600847597.8904
7,-14.762,22.5944,-78.5558,0.0,0.0,0.0,1669600848061.7056
8,-16.5066,22.0088,-80.4712,0.0,0.0,0.0,1669600848525.5205
9,-15.5062,22.508999,-79.0438,0.0,0.0,0.0,1669600848989.3357
10,-13.9446,22.1308,-79.971,0.0,0.0,0.0,1669600849453.1506
11,-17.6412,21.289,-82.886795,0.0,0.0,0.0,1669600849916.9658
12,-11.3948,23.1068,-77.775,0.0,0.0,0.0,1669600850380.7808
13,-12.4928,22.6188,-78.568,0.0,0.0,0.0,1669600850844.596
14,-16.348,21.923399,-79.544,0.0,0.0,0.0,1669600851308.411
15,-14.6278,22.1308,-79.7026,0.0,0.0,0.0,1669600851772.226
16,-13.6762,21.9844,-79.7026,0.0,0.0,0.0,1669600852236.041
17,-10.9678,22.740799,-76.7746,0.0,0.0,0.0,1669600852699.8562
18,-11.8949995,22.0088,-77.6896,0.0,0.0,0.0,1669600853163.6711
19,-11.9682,22.2284,-76.7014,0.0,0.0,0.0,1669600853627.4863
20,-11.7973995,22.7652,-77.7872,0.0,0.0,0.0,1669600854091.3013
21,-10.6628,23.6558,-77.2138,0.0,0.0,0.0,1669600854555.1165
22,-10.418799,23.985199,-77.2504,0.0,0.0,0.0,1669600855018.9314
23,-10.6018,24.0218,-77.7628,0.0,0.0,0.0,1669600855482.7466
24,-6.161,25.0954,-74.944595,0.0,0.0,0.0,1669600855946.5615
25,-9.7355995,23.948599,-75.8108,0.0,0.0,0.0,1669600856410.3767
26,-12.907599,22.9116,-78.836395,0.0,0.0,0.0,1669600856874.192
27,-10.8946,23.6436,-77.0308,0.0,0.0,0.0,1669600857338.0068
28,-10.1016,24.4732,-75.8962,0.0,0.0,0.0,1669600857801.822
29,-7.3444,25.4492,-74.4566,0.0,0.0,0.0,1669600858265.637
30,-11.0654,24.302399,-75.3472,0.0,0.0,0.0,1669600858729.4521
31,-9.3208,25.132,-76.1036,0.0,0.0,0.0,1669600859193.267
32,-7.3078,25.4614,-75.408195,0.0,0.0,0.0,1669600859657.0823
33,-8.296,25.3394,-75.8474,0.0,0.0,0.0,1669600860120.8972
34,-6.3196,25.7542,-75.0056,0.0,0.0,0.0,1669600860584.7124
35,-7.4298,25.132,-75.261795,0.0,0.0,0.0,1669600861048.5273
36,-6.954,24.4244,-74.298,0.0,0.0,0.0,1669600861512.3425
37,-7.5396,23.4118,-73.6026,0.0,0.0,0.0,1669600861976.1575
38,-5.7706,22.57,-70.7234,0.0,0.0,0.0,1669600862439.9727
39,-6.7832,21.045,-70.1866,0.0,0.0,0.0,1669600862903.7876
40,-6.1243997,21.1548,-69.479,0.0,0.0,0.0,1669600863367.6028
41,-5.5875998,21.813599,-69.5522,0.0,0.0,0.0,1669600863831.4177
42,-6.8198,23.119,-71.492,0.0,0.0,0.0,1669600864295.233
43,-4.6604,23.9608,-70.6624,0.0,0.0,0.0,1669600864759.0479
44,-4.9776,24.107199,-70.7966,0.0,0.0,0.0,1669600865222.863
45,-3.6722,24.705,-70.4062,0.0,0.0,0.0,1669600865686.678
46,-4.1358,24.4854,-70.894196,0.0,0.0,0.0,1669600866150.4932
47,-3.843,24.583,-70.089,0.0,0.0,0.0,1669600866614.308
48,-3.6355999,24.6684,-70.4062,0.0,0.0,0.0,1669600867078.1233
49,-2.9401999,24.9002,-70.2964,0.0,0.0,0.0,1669600867541.9385
50,-2.684,24.961199,-69.7352,0.0,0.0,0.0,1669600868005.7534
51,-3.8795998,24.6562,-70.516,0.0,0.0,0.0,1669600868469.5686
52,-3.9406,24.278,-69.8206,0.0,0.0,0.0,1669600868933.3835
53,-3.7575998,24.0462,-69.4546,0.0,0.0,0.0,1669600869397.1987
54,-3.6111999,24.070599,-69.8816,0.0,0.0,0.0,1669600869861.0137
55,-3.6234,24.1926,-69.8694,0.0,0.0,0.0,1669600870324.8289
56,-3.0012,24.2658,-69.296,0.0,0.0,0.0,1669600870788.6438
57,-3.0377998,24.3146,-69.7108,0.0,0.0,0.0,1669600871252.459
58,-4.1846,23.8022,-69.6132,0.0,0.0,0.0,1669600871716.274
59,-3.2208,24.0584,-69.5522,0.0,0.0,0.0,1669600872180.089
60,-3.0621998,24.2902,-69.649796,0.0,0.0,0.0,1669600872643.904
61,-3.6843998,23.668,-69.4424,0.0,0.0,0.0,1669600873107.7192
62,-6.8076,23.484999,-71.1748,0.0,0.0,0.0,1669600873571.5342
63,-4.9653997,24.570799,-70.394,0.0,0.0,0.0,1669600874035.3494
64,-7.381,23.851,-71.4554,0.0,0.0,0.0,1669600874499.1643
65,-4.9898,24.375599,-70.2354,0.0,0.0,0.0,1669600874962.9795
66,-6.1122,24.3146,-71.4554,0.0,0.0,0.0,1669600875426.7944
67,-4.026,25.815199,-70.735596,0.0,0.0,0.0,1669600875890.6096
68,-3.8918,25.9494,-70.699,0.0,0.0,0.0,1669600876354.4246
69,-5.8194,24.5464,-70.8576,0.0,0.0,0.0,1669600876818.2397
70,-6.6977997,23.057999,-70.8088,0.0,0.0,0.0,1669600877282.0547
71,-5.9658,23.558199,-70.1622,0.0,0.0,0.0,1669600877745.8699
72,-6.3073997,23.1556,-70.2476,0.0,0.0,0.0,1669600878209.6848
73,-5.5144,24.461,-70.6868,0.0,0.0,0.0,1669600878673.5
74,-6.5148,24.6562,-71.5896,0.0,0.0,0.0,1669600879137.3152
75,-7.2834,25.3028,-72.284996,0.0,0.0,0.0,1669600879601.1301
76,-8.6498,24.302399,-72.3826,0.0,0.0,0.0,1669600880064.9453
77,-8.113,23.8632,-70.8332,0.0,0.0,0.0,1669600880528.7603
78,-7.7836,23.521599,-71.553,0.0,0.0,0.0,1669600880992.5754
79,-7.2102,24.6318,-72.309395,0.0,0.0,0.0,1669600881456.3904
80,-4.9776,25.0588,-71.052795,0.0,0.0,0.0,1669600881920.2056
81,-6.2342,26.0714,-71.662796,0.0,0.0,0.0,1669600882384.0205
82,-4.0504,27.291399,-70.4794,0.0,0.0,0.0,1669600882847.8357
83,-4.5383997,26.3154,-70.4794,0.0,0.0,0.0,1669600883311.6506
84,-3.8551998,26.6204,-70.0158,0.0,0.0,0.0,1669600883775.4658
85,-4.3676,26.7424,-71.0772,0.0,0.0,0.0,1669600884239.2808
86,-5.6363997,27.2304,-72.7242,0.0,0.0,0.0,1669600884703.096
87,-4.4407997,28.0966,-71.1138,0.0,0.0,0.0,1669600885166.911
88,-5.0386,27.376799,-71.8702,0.0,0.0,0.0,1669600885630.726
89,-3.2208,27.840399,-71.1382,0.0,0.0,0.0,1669600886094.541
90,-1.2932,24.302399,-66.0874,0.0,0.0,0.0,1669600886558.3562
91,-0.7076,25.0222,-67.1976,0.0,0.0,0.0,1669600887022.1711
92,4.8434,26.168999,-66.843796,0.0,0.0,0.0,1669600887485.9863
93,6.3196,26.522799,-66.9658,0.0,0.0,0.0,1669600887949.8013
94,5.4412,26.0348,-67.71,0.0,0.0,0.0,1669600888413.6165
95,2.1227999,25.229599,-69.784,0.0,0.0,0.0,1669600888877.4314
96,1.2688,24.6684,-68.9788,0.0,0.0,0.0,1669600889341.2466
97,0.8418,24.8758,-70.1744,0.0,0.0,0.0,1669600889805.0615
98,1.1712,25.705399,-69.479,0.0,0.0,0.0,1669600890268.8767
99,-0.1952,25.851799,-71.0284,0.0,0.0,0.0,1669600890732.692
100,1.1834,27.096199,-71.2236,0.0,0.0,0.0,1669600891196.5068
101,-2.7937999,25.1442,-72.4192,0.0,0.0,0.0,1669600891660.322
