,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,64.38,-38.879997,-75.84,46.86,-27.9,-48.78,1669590456361.0
1,63.899998,-38.94,-76.2,46.86,-27.9,-48.78,1669590456598.1614
2,64.14,-38.879997,-76.2,46.86,-27.9,-48.78,1669590456835.3225
3,64.5,-39.12,-75.42,46.86,-27.9,-48.78,1669590457072.484
4,65.1,-39.66,-75.0,46.86,-27.9,-48.78,1669590457309.6453
5,65.34,-39.36,-75.0,46.86,-27.9,-48.78,1669590457546.8064
6,65.28,-39.6,-75.18,46.86,-27.9,-48.78,1669590457783.9678
7,65.1,-39.6,-75.36,46.86,-27.9,-48.78,1669590458021.1292
8,65.64,-38.399998,-74.88,46.86,-27.9,-48.78,1669590458258.2903
9,69.9,-32.1,-75.06,46.86,-27.9,-48.78,1669590458495.4517
10,73.02,-24.0,-76.32,46.86,-27.9,-48.78,1669590458732.6128
11,75.6,-13.86,-77.34,46.86,-27.9,-48.78,1669590458969.7742
12,74.88,-4.92,-80.64,46.86,-27.9,-48.78,1669590459206.9355
13,70.2,-1.1999999,-84.18,46.86,-27.9,-48.78,1669590459444.0967
14,66.0,0.53999996,-86.22,46.86,-27.9,-48.78,1669590459681.258
15,62.64,0.65999997,-88.799995,46.86,-27.9,-48.78,1669590459918.4194
16,61.98,0.65999997,-89.34,46.86,-27.9,-48.78,1669590460155.5806
17,61.5,0.42,-89.04,46.86,-27.9,-48.78,1669590460392.742
18,61.739998,0.42,-88.979996,46.86,-27.9,-48.78,1669590460629.9033
19,62.399998,0.17999999,-88.619995,46.86,-27.9,-48.78,1669590460867.0645
20,62.16,0.65999997,-89.04,46.86,-27.9,-48.78,1669590461104.2258
21,62.16,0.78,-89.1,46.86,-27.9,-48.78,1669590461341.3872
22,62.399998,0.96,-89.1,46.86,-27.9,-48.78,1669590461578.5483
23,61.92,0.78,-89.159996,46.86,-27.9,-48.78,1669590461815.7097
24,61.32,0.17999999,-88.74,46.86,-27.9,-48.78,1669590462052.8708
25,61.559998,0.17999999,-88.799995,46.86,-27.9,-48.78,1669590462290.0322
26,61.199997,-0.12,-89.34,46.86,-27.9,-48.78,1669590462527.1936
27,61.5,-0.17999999,-89.82,46.86,-27.9,-48.78,1669590462764.3547
28,62.399998,0.29999998,-90.18,46.86,-27.9,-48.78,1669590463001.516
29,62.28,-0.17999999,-89.7,46.86,-27.9,-48.78,1669590463238.6775
30,62.579998,-0.17999999,-89.46,46.86,-27.9,-48.78,1669590463475.8386
31,62.64,0.12,-89.159996,46.86,-27.9,-48.78,1669590463713.0
32,62.16,-0.06,-88.74,46.86,-27.9,-48.78,1669590463950.1614
33,61.92,0.24,-88.979996,46.86,-27.9,-48.78,1669590464187.3225
34,61.68,0.78,-87.72,46.86,-27.9,-48.78,1669590464424.484
35,61.44,1.02,-87.659996,46.86,-27.9,-48.78,1669590464661.6453
36,61.62,1.0799999,-87.96,46.86,-27.9,-48.78,1669590464898.8064
37,61.68,1.56,-88.74,46.86,-27.9,-48.78,1669590465135.9678
38,61.859997,1.8,-89.939995,46.86,-27.9,-48.78,1669590465373.1292
39,61.559998,1.5,-89.939995,46.86,-27.9,-48.78,1669590465610.2903
40,61.379997,1.56,-89.64,46.86,-27.9,-48.78,1669590465847.4517
41,61.379997,1.3199999,-89.22,46.86,-27.9,-48.78,1669590466084.6128
42,61.199997,0.65999997,-89.28,46.86,-27.9,-48.78,1669590466321.7742
43,61.92,0.42,-89.7,46.86,-27.9,-48.78,1669590466558.9355
44,62.52,0.53999996,-89.82,46.86,-27.9,-48.78,1669590466796.0967
45,62.879997,0.71999997,-90.06,46.86,-27.9,-48.78,1669590467033.258
46,62.879997,1.0799999,-89.88,46.86,-27.9,-48.78,1669590467270.4194
47,62.579998,1.4399999,-89.579994,46.86,-27.9,-48.78,1669590467507.5806
48,62.039997,2.04,-88.68,46.86,-27.9,-48.78,1669590467744.742
49,61.859997,1.9799999,-88.439995,46.86,-27.9,-48.78,1669590467981.9033
50,62.64,2.04,-88.799995,46.86,-27.9,-48.78,1669590468219.0645
51,62.34,1.92,-89.159996,46.86,-27.9,-48.78,1669590468456.2258
52,62.399998,1.26,-90.0,46.86,-27.9,-48.78,1669590468693.3872
53,62.399998,1.38,-89.759995,46.86,-27.9,-48.78,1669590468930.5483
54,61.32,1.3199999,-89.82,46.86,-27.9,-48.78,1669590469167.7097
55,61.44,1.56,-89.22,46.86,-27.9,-48.78,1669590469404.8708
56,61.14,1.92,-89.46,46.86,-27.9,-48.78,1669590469642.0322
57,60.899998,1.8,-89.939995,46.86,-27.9,-48.78,1669590469879.1936
58,61.68,1.8,-89.82,46.86,-27.9,-48.78,1669590470116.3547
59,61.68,1.56,-89.759995,46.86,-27.9,-48.78,1669590470353.516
60,61.98,1.3199999,-89.759995,46.86,-27.9,-48.78,1669590470590.6775
61,62.219997,0.96,-89.939995,46.86,-27.9,-48.78,1669590470827.8386
62,61.68,1.02,-89.22,46.86,-27.9,-48.78,1669590471065.0
