,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,81.78,10.32,-70.14,40.5,-13.679999,-33.719997,1669599847273.0
1,81.84,9.96,-69.659996,40.5,-13.679999,-33.719997,1669599847581.9333
2,81.9,10.5,-69.6,40.5,-13.679999,-33.719997,1669599847890.8667
3,81.42,10.44,-69.78,40.5,-13.679999,-33.719997,1669599848199.8
4,81.0,10.32,-70.08,40.5,-13.679999,-33.719997,1669599848508.7334
5,81.479996,10.74,-70.439995,40.5,-13.679999,-33.719997,1669599848817.6667
6,80.939995,10.38,-70.14,40.5,-13.679999,-33.719997,1669599849126.6
7,81.06,10.559999,-69.72,40.5,-13.679999,-33.719997,1669599849435.5334
8,81.119995,10.5,-70.08,40.5,-13.679999,-33.719997,1669599849744.4666
9,80.52,10.44,-69.54,40.5,-13.679999,-33.719997,1669599850053.4
10,81.06,10.2,-69.18,40.5,-13.679999,-33.719997,1669599850362.3333
11,81.119995,9.54,-69.6,40.5,-13.679999,-33.719997,1669599850671.2666
12,80.7,9.3,-69.479996,40.5,-13.679999,-33.719997,1669599850980.2
13,80.58,9.179999,-69.06,40.5,-13.679999,-33.719997,1669599851289.1333
14,80.64,9.36,-69.479996,40.5,-13.679999,-33.719997,1669599851598.0667
15,80.7,9.9,-69.78,40.5,-13.679999,-33.719997,1669599851907.0
16,81.299995,9.719999,-69.659996,40.5,-13.679999,-33.719997,1669599852215.9333
17,81.72,9.36,-70.02,40.5,-13.679999,-33.719997,1669599852524.8667
18,81.54,9.3,-69.6,40.5,-13.679999,-33.719997,1669599852833.8
19,81.84,9.48,-69.299995,40.5,-13.679999,-33.719997,1669599853142.7334
20,81.9,9.84,-68.82,40.5,-13.679999,-33.719997,1669599853451.6667
21,81.479996,10.08,-69.0,40.5,-13.679999,-33.719997,1669599853760.6
22,81.6,9.78,-69.54,40.5,-13.679999,-33.719997,1669599854069.5334
23,80.939995,9.48,-69.6,40.5,-13.679999,-33.719997,1669599854378.4666
24,81.0,9.54,-70.02,40.5,-13.679999,-33.719997,1669599854687.4
25,81.299995,9.9,-70.02,40.5,-13.679999,-33.719997,1669599854996.3333
26,81.479996,10.44,-69.6,40.5,-13.679999,-33.719997,1669599855305.2666
27,81.84,10.86,-68.76,40.5,-13.679999,-33.719997,1669599855614.2
28,81.36,10.8,-68.82,40.5,-13.679999,-33.719997,1669599855923.1333
29,81.36,10.38,-68.82,40.5,-13.679999,-33.719997,1669599856232.0667
30,81.24,10.08,-68.7,40.5,-13.679999,-33.719997,1669599856541.0
