,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,54.719997,-27.18,-68.28,-291.06,371.1,245.87999,1669595283121.0
1,55.32,-27.66,-68.34,-291.06,371.1,245.87999,1669595283434.716
2,55.62,-28.68,-67.08,-291.06,371.1,245.87999,1669595283748.4324
3,55.8,-29.16,-66.24,-291.06,371.1,245.87999,1669595284062.1484
4,56.219997,-29.279999,-65.88,-291.06,371.1,245.87999,1669595284375.8645
5,56.699997,-27.9,-65.04,-291.06,371.1,245.87999,1669595284689.5806
6,56.28,-26.519999,-66.0,-291.06,371.1,245.87999,1669595285003.2969
7,54.66,-24.72,-66.9,-291.06,371.1,245.87999,1669595285317.013
8,52.5,-23.16,-67.5,-291.06,371.1,245.87999,1669595285630.729
9,50.52,-22.74,-68.28,-291.06,371.1,245.87999,1669595285944.445
10,50.34,-22.38,-68.46,-291.06,371.1,245.87999,1669595286258.1614
11,51.12,-22.68,-68.22,-291.06,371.1,245.87999,1669595286571.8774
12,51.6,-23.699999,-68.4,-291.06,371.1,245.87999,1669595286885.5935
13,52.02,-24.359999,-68.82,-291.06,371.1,245.87999,1669595287199.3096
14,51.6,-24.6,-69.0,-291.06,371.1,245.87999,1669595287513.026
15,51.42,-24.96,-68.82,-291.06,371.1,245.87999,1669595287826.742
16,52.02,-24.6,-68.64,-291.06,371.1,245.87999,1669595288140.458
17,52.02,-24.66,-68.4,-291.06,371.1,245.87999,1669595288454.174
18,52.379997,-24.6,-68.04,-291.06,371.1,245.87999,1669595288767.8904
19,52.5,-24.48,-68.46,-291.06,371.1,245.87999,1669595289081.6064
20,51.78,-24.6,-68.58,-291.06,371.1,245.87999,1669595289395.3225
21,51.539997,-24.3,-68.46,-291.06,371.1,245.87999,1669595289709.0388
22,51.36,-24.06,-68.88,-291.06,371.1,245.87999,1669595290022.755
23,51.42,-24.24,-68.58,-291.06,371.1,245.87999,1669595290336.471
24,51.96,-24.06,-68.46,-291.06,371.1,245.87999,1669595290650.187
25,52.26,-24.18,-68.58,-291.06,371.1,245.87999,1669595290963.9033
26,52.32,-24.0,-68.52,-291.06,371.1,245.87999,1669595291277.6194
27,52.379997,-24.0,-68.76,-291.06,371.1,245.87999,1669595291591.3354
28,52.44,-24.359999,-68.46,-291.06,371.1,245.87999,1669595291905.0515
29,52.5,-24.84,-68.28,-291.06,371.1,245.87999,1669595292218.7678
30,52.32,-25.439999,-68.58,-291.06,371.1,245.87999,1669595292532.484
31,52.5,-25.5,-68.58,-291.06,371.1,245.87999,1669595292846.2
32,52.559998,-25.199999,-68.939995,-291.06,371.1,245.87999,1669595293159.916
33,52.559998,-24.96,-69.54,-291.06,371.1,245.87999,1669595293473.6323
34,52.32,-25.26,-69.06,-291.06,371.1,245.87999,1669595293787.3484
35,51.96,-24.84,-69.0,-291.06,371.1,245.87999,1669595294101.0645
36,52.02,-24.96,-69.06,-291.06,371.1,245.87999,1669595294414.7808
37,51.6,-24.84,-69.119995,-291.06,371.1,245.87999,1669595294728.4968
38,51.539997,-24.359999,-69.36,-291.06,371.1,245.87999,1669595295042.213
39,51.3,-24.6,-69.36,-291.06,371.1,245.87999,1669595295355.929
40,51.42,-24.84,-69.119995,-291.06,371.1,245.87999,1669595295669.6453
41,51.48,-25.08,-68.46,-291.06,371.1,245.87999,1669595295983.3613
42,51.84,-25.019999,-68.1,-291.06,371.1,245.87999,1669595296297.0774
43,52.26,-25.32,-68.28,-291.06,371.1,245.87999,1669595296610.7935
44,51.899998,-25.26,-67.799995,-291.06,371.1,245.87999,1669595296924.5098
45,51.899998,-25.38,-68.04,-291.06,371.1,245.87999,1669595297238.2258
46,51.899998,-25.92,-67.799995,-291.06,371.1,245.87999,1669595297551.942
47,51.899998,-25.92,-67.74,-291.06,371.1,245.87999,1669595297865.658
48,52.26,-25.8,-67.86,-291.06,371.1,245.87999,1669595298179.3743
49,52.379997,-25.8,-68.4,-291.06,371.1,245.87999,1669595298493.0903
50,52.26,-25.26,-68.7,-291.06,371.1,245.87999,1669595298806.8064
51,52.079998,-25.5,-68.28,-291.06,371.1,245.87999,1669595299120.5225
52,52.079998,-25.32,-68.52,-291.06,371.1,245.87999,1669595299434.2388
53,52.379997,-25.32,-67.799995,-291.06,371.1,245.87999,1669595299747.9548
54,52.68,-25.74,-67.74,-291.06,371.1,245.87999,1669595300061.671
55,52.739998,-25.32,-67.979996,-291.06,371.1,245.87999,1669595300375.3872
