,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,55.079998,-34.2,-69.72,-291.06,371.1,245.87999,1669596304375.0
1,56.039997,-34.44,-68.52,-291.06,371.1,245.87999,1669596304694.6558
2,56.52,-34.98,-67.619995,-291.06,371.1,245.87999,1669596305014.3115
3,56.879997,-35.64,-67.2,-291.06,371.1,245.87999,1669596305333.9673
4,56.64,-35.76,-66.9,-291.06,371.1,245.87999,1669596305653.623
5,56.46,-35.579998,-66.72,-291.06,371.1,245.87999,1669596305973.2788
6,56.46,-36.12,-66.42,-291.06,371.1,245.87999,1669596306292.9343
7,56.34,-36.719997,-66.119995,-291.06,371.1,245.87999,1669596306612.59
8,56.64,-37.02,-65.939995,-291.06,371.1,245.87999,1669596306932.2458
9,56.76,-37.5,-65.939995,-291.06,371.1,245.87999,1669596307251.9016
10,56.64,-36.48,-66.84,-291.06,371.1,245.87999,1669596307571.5574
11,56.699997,-35.16,-67.14,-291.06,371.1,245.87999,1669596307891.2131
12,56.219997,-34.8,-67.74,-291.06,371.1,245.87999,1669596308210.869
13,55.739998,-34.26,-68.64,-291.06,371.1,245.87999,1669596308530.5247
14,55.68,-34.5,-67.92,-291.06,371.1,245.87999,1669596308850.1804
15,55.5,-34.86,-67.619995,-291.06,371.1,245.87999,1669596309169.8362
16,55.8,-34.559998,-67.5,-291.06,371.1,245.87999,1669596309489.4917
17,56.1,-34.2,-67.08,-291.06,371.1,245.87999,1669596309809.1475
18,56.28,-34.26,-67.68,-291.06,371.1,245.87999,1669596310128.8032
19,56.46,-33.899998,-67.86,-291.06,371.1,245.87999,1669596310448.459
20,56.52,-33.84,-67.74,-291.06,371.1,245.87999,1669596310768.1147
21,56.46,-34.079998,-67.979996,-291.06,371.1,245.87999,1669596311087.7705
22,56.399998,-34.26,-67.86,-291.06,371.1,245.87999,1669596311407.4263
23,56.579998,-34.38,-67.799995,-291.06,371.1,245.87999,1669596311727.082
24,55.32,-34.8,-68.22,-291.06,371.1,245.87999,1669596312046.7378
25,54.0,-34.62,-68.64,-291.06,371.1,245.87999,1669596312366.3936
26,53.34,-34.02,-70.02,-291.06,371.1,245.87999,1669596312686.049
27,51.96,-34.26,-71.1,-291.06,371.1,245.87999,1669596313005.7048
28,51.78,-33.78,-71.64,-291.06,371.1,245.87999,1669596313325.3606
29,52.079998,-33.78,-71.88,-291.06,371.1,245.87999,1669596313645.0164
30,51.66,-33.54,-71.7,-291.06,371.1,245.87999,1669596313964.672
31,51.96,-33.78,-71.52,-291.06,371.1,245.87999,1669596314284.328
32,52.62,-33.54,-71.88,-291.06,371.1,245.87999,1669596314603.9836
33,52.199997,-33.18,-71.88,-291.06,371.1,245.87999,1669596314923.6394
34,52.86,-33.12,-71.64,-291.06,371.1,245.87999,1669596315243.2952
35,52.86,-32.399998,-71.52,-291.06,371.1,245.87999,1669596315562.951
36,52.62,-31.98,-70.68,-291.06,371.1,245.87999,1669596315882.6064
37,53.16,-32.04,-70.86,-291.06,371.1,245.87999,1669596316202.2622
38,52.92,-32.219997,-71.34,-291.06,371.1,245.87999,1669596316521.918
39,53.039997,-32.52,-71.7,-291.06,371.1,245.87999,1669596316841.5737
40,53.399998,-32.52,-72.24,-291.06,371.1,245.87999,1669596317161.2295
41,53.64,-32.76,-71.939995,-291.06,371.1,245.87999,1669596317480.8853
42,53.699997,-32.52,-71.28,-291.06,371.1,245.87999,1669596317800.541
43,53.64,-32.46,-71.159996,-291.06,371.1,245.87999,1669596318120.1968
44,53.64,-32.579998,-70.979996,-291.06,371.1,245.87999,1669596318439.8525
45,53.64,-32.46,-70.979996,-291.06,371.1,245.87999,1669596318759.5083
46,53.399998,-32.579998,-71.34,-291.06,371.1,245.87999,1669596319079.1638
47,54.0,-32.88,-71.1,-291.06,371.1,245.87999,1669596319398.8196
48,54.0,-32.7,-71.159996,-291.06,371.1,245.87999,1669596319718.4753
49,54.18,-32.579998,-71.04,-291.06,371.1,245.87999,1669596320038.131
50,54.18,-32.399998,-70.979996,-291.06,371.1,245.87999,1669596320357.7869
51,53.94,-32.28,-71.159996,-291.06,371.1,245.87999,1669596320677.4426
52,54.12,-32.34,-71.04,-291.06,371.1,245.87999,1669596320997.0984
53,53.579998,-32.16,-71.1,-291.06,371.1,245.87999,1669596321316.7542
54,53.699997,-32.399998,-71.1,-291.06,371.1,245.87999,1669596321636.41
55,53.64,-32.04,-70.799995,-291.06,371.1,245.87999,1669596321956.0657
56,53.28,-31.56,-71.28,-291.06,371.1,245.87999,1669596322275.7212
57,53.399998,-31.92,-71.7,-291.06,371.1,245.87999,1669596322595.377
58,53.579998,-31.92,-71.64,-291.06,371.1,245.87999,1669596322915.0327
59,53.28,-31.859999,-72.119995,-291.06,371.1,245.87999,1669596323234.6885
60,53.579998,-32.579998,-71.88,-291.06,371.1,245.87999,1669596323554.3442
61,53.52,-32.76,-71.58,-291.06,371.1,245.87999,1669596323874.0
