,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,2.074,24.5586,-64.4282,-29.610296,45.48195,-38.70174,1669604890241.0
1,-0.0,24.8758,-65.2212,-29.610298,45.48195,-38.70174,1669604891237.2593
2,2.3546,25.1442,-64.1842,-29.610298,45.48195,-38.70174,1669604892233.5186
3,1.9397999,26.168999,-65.5384,-29.610298,45.48195,-38.70174,1669604893229.7778
4,1.4152,37.3564,-75.3594,-29.610298,45.48195,-38.70174,1669604894226.037
5,-12.8344,44.835,-84.7168,-29.610298,45.48195,-38.70174,1669604895222.2964
6,-24.8392,54.4608,-78.3484,-29.610298,45.48195,-38.70174,1669604896218.5557
7,-23.546,62.0858,-75.6888,-29.610298,45.48195,-38.70174,1669604897214.8147
8,-12.675799,59.1334,-68.1614,-29.610298,45.48195,-38.70174,1669604898211.074
9,-2.8669999,55.9614,-57.4254,-29.610298,45.48195,-38.70174,1669604899207.3333
10,-1.342,55.8028,-55.8028,-29.610298,45.48195,-38.70174,1669604900203.5925
11,-1.037,55.9492,-55.632,-29.610298,45.48195,-38.70174,1669604901199.8518
12,-1.464,55.7174,-55.9614,-29.610298,45.48195,-38.70174,1669604902196.111
13,-1.708,55.607597,-56.156597,-29.610298,45.48195,-38.70174,1669604903192.3704
14,-1.0126,55.7174,-56.217598,-29.610298,45.48195,-38.70174,1669604904188.6296
15,-1.1345999,55.7052,-55.839397,-29.610298,45.48195,-38.70174,1669604905184.889
16,-1.2322,55.7174,-56.0346,-29.610298,45.48195,-38.70174,1669604906181.1482
17,-1.4518,55.6686,-56.0346,-29.610298,45.48195,-38.70174,1669604907177.4075
18,-1.8055999,55.4246,-55.9492,-29.610298,45.48195,-38.70174,1669604908173.6667
19,-2.0008,55.448997,-55.753998,-29.610298,45.48195,-38.70174,1669604909169.926
20,-1.7324,55.632,-55.912598,-29.610298,45.48195,-38.70174,1669604910166.1853
21,-1.9275999,55.4612,-56.4982,-29.610298,45.48195,-38.70174,1669604911162.4443
22,-2.2447999,55.375797,-56.1932,-29.610298,45.48195,-38.70174,1669604912158.7036
23,-1.9886,55.2782,-56.181,-29.610298,45.48195,-38.70174,1669604913154.963
24,-1.7689999,55.4978,-55.997997,-29.610298,45.48195,-38.70174,1669604914151.2222
25,-1.9031999,55.4002,-55.8638,-29.610298,45.48195,-38.70174,1669604915147.4814
26,-1.9397999,55.4246,-55.985798,-29.610298,45.48195,-38.70174,1669604916143.7407
27,-3.2208,55.143997,-56.693398,-29.610298,45.48195,-38.70174,1669604917140.0
28,-3.5135999,55.083,-56.8276,-29.610298,45.48195,-38.70174,1669604918136.2593
29,-2.8792,55.290398,-56.3396,-29.610298,45.48195,-38.70174,1669604919132.5186
30,-1.4518,55.5466,-56.2786,-29.610298,45.48195,-38.70174,1669604920128.7778
31,-1.6592,55.1806,-56.1078,-29.610298,45.48195,-38.70174,1669604921125.037
32,1.3908,56.8276,-56.3396,-29.610296,45.48195,-38.70174,1669604922121.2964
33,-1.7202,55.327,-56.620197,-29.610294,45.48195,-38.70174,1669604923117.5557
34,-2.379,55.4978,-57.2058,-29.610294,45.48195,-38.70174,1669604924113.8147
35,-0.671,55.753998,-56.669,-29.610294,45.48195,-38.70174,1669604925110.074
36,-0.5856,55.9614,-56.2664,-29.610294,45.48195,-38.70174,1669604926106.3333
37,-1.1712,56.059,-56.8276,-29.610294,45.48195,-38.70174,1669604927102.5925
38,-0.53679997,56.2908,-56.1322,-29.610294,45.48195,-38.70174,1669604928098.8518
39,-0.92719996,56.217598,-56.181,-29.610294,45.48195,-38.70174,1669604929095.111
40,0.0488,55.924797,-55.753998,-29.610294,45.48195,-38.70174,1669604930091.3704
41,0.90279996,56.1078,-55.827198,-29.610294,45.48195,-38.70174,1669604931087.6296
42,-0.8052,55.876,-56.181,-29.610294,45.48195,-38.70174,1669604932083.889
43,-1.3908,55.7784,-56.1932,-29.610294,45.48195,-38.70174,1669604933080.1482
44,0.46359998,55.5588,-56.4738,-29.610294,45.48195,-38.70174,1669604934076.4075
45,-1.037,55.217197,-56.1932,-29.610294,45.48195,-38.70174,1669604935072.6667
46,-1.7445999,55.7784,-56.607998,-29.610294,45.48195,-38.70174,1669604936068.926
47,-0.4026,56.0224,-56.144398,-29.610294,45.48195,-38.70174,1669604937065.1853
48,0.4148,56.1688,-55.083,-29.610294,45.48195,-38.70174,1669604938061.4443
49,0.8174,55.997997,-54.7292,-29.610294,45.48195,-38.70174,1669604939057.7036
50,1.0004,56.3152,-55.448997,-29.610294,45.48195,-38.70174,1669604940053.963
51,-1.6592,55.51,-55.827198,-29.610294,45.48195,-38.70174,1669604941050.2222
52,-2.0374,55.6686,-57.1448,-29.610294,45.48195,-38.70174,1669604942046.4814
53,-0.1464,55.8638,-55.985798,-29.610294,45.48195,-38.70174,1669604943042.7407
54,-1.0857999,56.0102,-56.3396,-29.610294,45.48195,-38.70174,1669604944039.0
55,-1.3786,55.680798,-56.4128,-29.610294,45.48195,-38.70174,1669604945035.2593
56,-1.8787999,55.3392,-56.839798,-29.610294,45.48195,-38.70174,1669604946031.5186
57,0.6344,56.9008,-51.7646,-29.610296,45.48195,-38.70174,1669604947027.7778
58,0.45139998,56.4128,-52.9236,-29.610294,45.48195,-38.70174,1669604948024.037
59,-3.4648,55.302597,-55.1928,-29.610294,45.48195,-38.70174,1669604949020.2964
60,-4.0138,55.2782,-56.2786,-29.610294,45.48195,-38.70174,1669604950016.5557
61,-2.745,55.6198,-54.4974,-29.610294,45.48195,-38.70174,1669604951012.8147
62,-3.2818,55.632,-53.667797,-29.610294,45.48195,-38.70174,1669604952009.074
63,-3.7819998,55.217197,-53.740997,-29.610294,45.48195,-38.70174,1669604953005.3333
64,-4.9288,54.9366,-54.3998,-29.610294,45.48195,-38.70174,1669604954001.5925
65,-5.1605997,55.0098,-54.7292,-29.610294,45.48195,-38.70174,1669604954997.8518
66,-5.673,54.656,-55.363598,-29.610294,45.48195,-38.70174,1669604955994.111
67,-5.7339997,54.8756,-55.9004,-29.610294,45.48195,-38.70174,1669604956990.3704
68,-4.8922,55.058598,-56.059,-29.610294,45.48195,-38.70174,1669604957986.6296
69,-6.1731997,54.7902,-56.2786,-29.610294,45.48195,-38.70174,1669604958982.889
70,-7.2834,54.4242,-55.753998,-29.610294,45.48195,-38.70174,1669604959979.1482
71,-5.3557997,55.375797,-54.9244,-29.610294,45.48195,-38.70174,1669604960975.4075
72,-5.246,54.9488,-55.1806,-29.610294,45.48195,-38.70174,1669604961971.6667
73,-5.7706,54.839,-56.5958,-29.610294,45.48195,-38.70174,1669604962967.926
74,-5.3314,54.6194,-55.5832,-29.610294,45.48195,-38.70174,1669604963964.1853
75,-5.9902,54.412,-55.7174,-29.610294,45.48195,-38.70174,1669604964960.4443
76,-7.8202,54.0582,-56.6568,-29.610294,45.48195,-38.70174,1669604965956.7036
77,-6.7953997,54.7658,-55.7418,-29.610294,45.48195,-38.70174,1669604966952.963
78,-6.5148,54.7658,-56.546997,-29.610294,45.48195,-38.70174,1669604967949.2222
79,-6.6368,54.6438,-56.7178,-29.610294,45.48195,-38.70174,1669604968945.4814
80,-6.3073997,54.4974,-56.534798,-29.610294,45.48195,-38.70174,1669604969941.7407
81,-5.7339997,54.6804,-55.217197,-29.610294,45.48195,-38.70174,1669604970938.0
