,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,75.299995,-28.68,-94.799995,47.46,-30.84,-62.76,1669429686353.0
1,75.119995,-28.8,-94.619995,47.46,-30.84,-62.76,1669429686596.7048
2,75.24,-28.199999,-95.46,47.46,-30.84,-62.76,1669429686840.41
3,75.18,-28.439999,-94.619995,47.46,-30.84,-62.76,1669429687084.1147
4,75.299995,-28.26,-94.56,47.46,-30.84,-62.76,1669429687327.8196
5,75.36,-27.539999,-94.439995,47.46,-30.84,-62.76,1669429687571.5247
6,75.36,-27.3,-94.02,47.46,-30.84,-62.76,1669429687815.2295
7,75.24,-27.3,-94.079994,47.46,-30.84,-62.76,1669429688058.9343
8,74.88,-27.48,-94.5,47.46,-30.84,-62.76,1669429688302.6394
9,75.18,-27.24,-94.86,47.46,-30.84,-62.76,1669429688546.3442
10,75.42,-27.48,-94.86,47.46,-30.84,-62.76,1669429688790.049
11,75.6,-27.18,-95.28,47.46,-30.84,-62.76,1669429689033.7542
12,75.54,-27.599998,-95.04,47.46,-30.84,-62.76,1669429689277.459
13,75.0,-28.14,-94.86,47.46,-30.84,-62.76,1669429689521.1638
14,75.42,-28.38,-94.02,47.46,-30.84,-62.76,1669429689764.869
15,75.479996,-28.98,-93.72,47.46,-30.84,-62.76,1669429690008.5737
16,75.9,-28.38,-94.32,47.46,-30.84,-62.76,1669429690252.2788
17,76.14,-28.32,-94.14,47.46,-30.84,-62.76,1669429690495.9836
18,75.299995,-27.539999,-94.799995,47.46,-30.84,-62.76,1669429690739.6885
19,75.06,-27.18,-94.979996,47.46,-30.84,-62.76,1669429690983.3936
20,74.7,-27.42,-94.56,47.46,-30.84,-62.76,1669429691227.0984
21,74.04,-27.18,-94.979996,47.46,-30.84,-62.76,1669429691470.8032
22,74.22,-27.66,-94.92,47.46,-30.84,-62.76,1669429691714.5083
23,73.92,-27.66,-95.1,47.46,-30.84,-62.76,1669429691958.2131
24,74.1,-27.539999,-94.979996,47.46,-30.84,-62.76,1669429692201.918
25,74.939995,-27.48,-95.28,47.46,-30.84,-62.76,1669429692445.623
26,74.64,-27.539999,-95.34,47.46,-30.84,-62.76,1669429692689.328
27,75.06,-27.3,-95.22,47.46,-30.84,-62.76,1669429692933.0327
28,75.299995,-27.66,-94.92,47.46,-30.84,-62.76,1669429693176.7378
29,75.6,-27.84,-94.799995,47.46,-30.84,-62.76,1669429693420.4426
30,75.72,-27.96,-94.86,47.46,-30.84,-62.76,1669429693664.1475
31,75.78,-28.019999,-94.619995,47.46,-30.84,-62.76,1669429693907.8525
32,75.119995,-28.199999,-95.159996,47.46,-30.84,-62.76,1669429694151.5574
33,75.119995,-28.26,-94.92,47.46,-30.84,-62.76,1669429694395.2622
34,74.939995,-28.32,-94.56,47.46,-30.84,-62.76,1669429694638.9673
35,75.06,-28.38,-94.619995,47.46,-30.84,-62.76,1669429694882.672
36,74.939995,-27.96,-94.86,47.46,-30.84,-62.76,1669429695126.377
37,74.58,-27.24,-95.1,47.46,-30.84,-62.76,1669429695370.082
38,74.88,-27.119999,-95.28,47.46,-30.84,-62.76,1669429695613.7869
39,74.46,-27.3,-95.759995,47.46,-30.84,-62.76,1669429695857.4917
40,74.76,-27.779999,-95.28,47.46,-30.84,-62.76,1669429696101.1968
41,74.7,-28.199999,-95.1,47.46,-30.84,-62.76,1669429696344.9016
42,75.119995,-28.199999,-94.74,47.46,-30.84,-62.76,1669429696588.6064
43,75.299995,-27.9,-94.56,47.46,-30.84,-62.76,1669429696832.3115
44,75.42,-27.0,-94.74,47.46,-30.84,-62.76,1669429697076.0164
45,75.78,-26.76,-94.68,47.46,-30.84,-62.76,1669429697319.7212
46,75.0,-26.939999,-94.68,47.46,-30.84,-62.76,1669429697563.4263
47,74.939995,-27.06,-94.68,47.46,-30.84,-62.76,1669429697807.131
48,75.0,-27.42,-94.619995,47.46,-30.84,-62.76,1669429698050.8362
49,74.46,-27.84,-94.74,47.46,-30.84,-62.76,1669429698294.541
50,74.82,-27.599998,-94.86,47.46,-30.84,-62.76,1669429698538.2458
51,75.119995,-27.359999,-94.74,47.46,-30.84,-62.76,1669429698781.951
52,74.64,-27.599998,-94.619995,47.46,-30.84,-62.76,1669429699025.6558
53,75.119995,-27.72,-94.619995,47.46,-30.84,-62.76,1669429699269.3606
54,74.46,-27.599998,-94.74,47.46,-30.84,-62.76,1669429699513.0657
55,74.46,-27.96,-94.38,47.46,-30.84,-62.76,1669429699756.7705
56,74.7,-27.9,-93.78,47.46,-30.84,-62.76,1669429700000.4753
57,74.52,-27.72,-93.72,47.46,-30.84,-62.76,1669429700244.1804
58,74.88,-28.38,-94.56,47.46,-30.84,-62.76,1669429700487.8853
59,74.58,-28.38,-95.04,47.46,-30.84,-62.76,1669429700731.59
60,74.88,-28.619999,-95.82,47.46,-30.84,-62.76,1669429700975.2952
61,74.88,-28.5,-95.64,47.46,-30.84,-62.76,1669429701219.0
