,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-12.932,22.6554,-75.2374,0.0,0.0,0.0,1669600844815.0
1,-16.128399,21.1914,-80.092995,0.0,0.0,0.0,1669600845199.3596
2,-10.0528,22.9116,-75.9938,0.0,0.0,0.0,1669600845583.719
3,-8.906,23.241,-74.4566,0.0,0.0,0.0,1669600845968.0786
4,-10.321199,22.8506,-75.762,0.0,0.0,0.0,1669600846352.4382
5,-12.4074,22.508999,-78.751,0.0,0.0,0.0,1669600846736.7979
6,-15.225599,21.886799,-79.9466,0.0,0.0,0.0,1669600847121.1572
7,-14.762,22.5944,-78.5558,0.0,0.0,0.0,1669600847505.5168
8,-16.5066,22.0088,-80.4712,0.0,0.0,0.0,1669600847889.8765
9,-15.5062,22.508999,-79.0438,0.0,0.0,0.0,1669600848274.2358
10,-13.9446,22.1308,-79.971,0.0,0.0,0.0,1669600848658.5955
11,-17.6412,21.289,-82.886795,0.0,0.0,0.0,1669600849042.955
12,-11.3948,23.1068,-77.775,0.0,0.0,0.0,1669600849427.3147
13,-12.4928,22.6188,-78.568,0.0,0.0,0.0,1669600849811.674
14,-16.348,21.923399,-79.544,0.0,0.0,0.0,1669600850196.0337
15,-14.6278,22.1308,-79.7026,0.0,0.0,0.0,1669600850580.3933
16,-13.6762,21.9844,-79.7026,0.0,0.0,0.0,1669600850964.753
17,-10.9678,22.740799,-76.7746,0.0,0.0,0.0,1669600851349.1123
18,-11.8949995,22.0088,-77.6896,0.0,0.0,0.0,1669600851733.472
19,-11.9682,22.2284,-76.7014,0.0,0.0,0.0,1669600852117.8315
20,-11.7973995,22.7652,-77.7872,0.0,0.0,0.0,1669600852502.191
21,-10.6628,23.6558,-77.2138,0.0,0.0,0.0,1669600852886.5505
22,-10.418799,23.985199,-77.2504,0.0,0.0,0.0,1669600853270.9102
23,-10.6018,24.0218,-77.7628,0.0,0.0,0.0,1669600853655.2698
24,-6.161,25.0954,-74.944595,0.0,0.0,0.0,1669600854039.6292
25,-9.7355995,23.948599,-75.8108,0.0,0.0,0.0,1669600854423.9888
26,-12.907599,22.9116,-78.836395,0.0,0.0,0.0,1669600854808.3484
27,-10.8946,23.6436,-77.0308,0.0,0.0,0.0,1669600855192.7078
28,-10.1016,24.4732,-75.8962,0.0,0.0,0.0,1669600855577.0674
29,-7.3444,25.4492,-74.4566,0.0,0.0,0.0,1669600855961.427
30,-11.0654,24.302399,-75.3472,0.0,0.0,0.0,1669600856345.7866
31,-9.3208,25.132,-76.1036,0.0,0.0,0.0,1669600856730.146
32,-7.3078,25.4614,-75.408195,0.0,0.0,0.0,1669600857114.5056
33,-8.296,25.3394,-75.8474,0.0,0.0,0.0,1669600857498.8652
34,-6.3196,25.7542,-75.0056,0.0,0.0,0.0,1669600857883.2246
35,-7.4298,25.132,-75.261795,0.0,0.0,0.0,1669600858267.5842
36,-6.954,24.4244,-74.298,0.0,0.0,0.0,1669600858651.9438
