,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-7.3078,22.8018,-71.052795,-29.610296,45.48195,-38.70174,1669601071384.0
1,-10.1138,22.8262,-71.9434,-29.610298,45.48195,-38.70174,1669601071841.5
2,-12.773399,22.350399,-73.3586,-29.610298,45.48195,-38.70174,1669601072299.0
3,-9.2232,22.6188,-72.0166,-29.610298,45.48195,-38.70174,1669601072756.5
4,-2.9036,23.8388,-70.2354,-29.610298,45.48195,-38.70174,1669601073214.0
5,0.1586,24.692799,-68.686,-29.610298,45.48195,-38.70174,1669601073671.5
6,1.1101999,24.2292,-68.100395,-29.610298,45.48195,-38.70174,1669601074129.0
7,0.9882,23.911999,-67.7466,-29.610298,45.48195,-38.70174,1669601074586.5
8,0.7686,23.3874,-67.7588,-29.610298,45.48195,-38.70174,1669601075044.0
9,0.26839998,23.8022,-67.795395,-29.610298,45.48195,-38.70174,1669601075501.5
10,0.92719996,23.7046,-67.5636,-29.610298,45.48195,-38.70174,1669601075959.0
11,0.0854,23.4728,-67.7344,-29.610298,45.48195,-38.70174,1669601076416.5
12,0.48799998,23.424,-67.71,-29.610298,45.48195,-38.70174,1669601076874.0
13,1.1101999,23.326399,-67.319595,-29.610298,45.48195,-38.70174,1669601077331.5
14,0.854,22.8384,-66.8804,-29.610298,45.48195,-38.70174,1669601077789.0
15,1.0004,22.997,-67.1732,-29.610298,45.48195,-38.70174,1669601078246.5
16,-0.0122,22.4846,-68.088196,-29.610298,45.48195,-38.70174,1669601078704.0
17,0.0854,22.7652,-67.783195,-29.610298,45.48195,-38.70174,1669601079161.5
18,1.4518,23.302,-67.0512,-29.610298,45.48195,-38.70174,1669601079619.0
19,3.1842,24.0096,-66.1728,-29.610296,45.48195,-38.70174,1669601080076.5
20,1.0004,23.1434,-66.9292,-29.610294,45.48195,-38.70174,1669601080534.0
21,0.6466,22.692,-67.5148,-29.610294,45.48195,-38.70174,1669601080991.5
22,1.0004,23.424,-67.5148,-29.610294,45.48195,-38.70174,1669601081449.0
23,-0.854,22.4114,-67.014595,-29.610294,45.48195,-38.70174,1669601081906.5
24,-0.1708,22.387,-67.3806,-29.610294,45.48195,-38.70174,1669601082364.0
25,-1.1834,22.6066,-68.381,-29.610294,45.48195,-38.70174,1669601082821.5
26,-0.93939996,22.6798,-67.405,-29.610294,45.48195,-38.70174,1669601083279.0
27,0.8174,22.875,-67.929596,-29.610294,45.48195,-38.70174,1669601083736.5
28,-0.8052,22.313799,-67.5514,-29.610294,45.48195,-38.70174,1669601084194.0
29,-0.46359998,22.2528,-67.319595,-29.610294,45.48195,-38.70174,1669601084651.5
30,4.5628,34.5748,-70.638,-29.610296,45.48195,-38.70174,1669601085109.0
31,2.8548,34.440598,-71.736,-29.610294,45.48195,-38.70174,1669601085566.5
32,2.8669999,34.3674,-71.2602,-29.610294,45.48195,-38.70174,1669601086024.0
33,3.3794,34.4162,-70.7722,-29.610294,45.48195,-38.70174,1669601086481.5
34,5.856,36.538998,-70.0036,-29.610294,45.48195,-38.70174,1669601086939.0
35,7.0759997,37.515,-68.8202,-29.610294,45.48195,-38.70174,1669601087396.5
36,5.3192,37.783398,-70.3696,-29.610294,45.48195,-38.70174,1669601087854.0
37,5.6242,37.2222,-69.845,-29.610294,45.48195,-38.70174,1669601088311.5
38,5.9902,36.8562,-69.0642,-29.610294,45.48195,-38.70174,1669601088769.0
39,5.795,37.1734,-69.332596,-29.610294,45.48195,-38.70174,1669601089226.5
40,5.551,37.3564,-69.1496,-29.610294,45.48195,-38.70174,1669601089684.0
41,5.0508,36.7952,-70.6258,-29.610294,45.48195,-38.70174,1669601090141.5
42,5.246,36.6854,-69.6254,-29.610294,45.48195,-38.70174,1669601090599.0
43,6.161,36.7098,-69.113,-29.610294,45.48195,-38.70174,1669601091056.5
44,5.5875998,36.843998,-70.089,-29.610294,45.48195,-38.70174,1669601091514.0
45,6.2952,37.2954,-69.3692,-29.610294,45.48195,-38.70174,1669601091971.5
46,6.466,37.1734,-69.2838,-29.610294,45.48195,-38.70174,1669601092429.0
47,8.2716,38.0762,-68.881195,-29.610294,45.48195,-38.70174,1669601092886.5
48,7.381,37.4174,-69.479,-29.610294,45.48195,-38.70174,1669601093344.0
49,5.1972,37.3564,-69.491196,-29.610294,45.48195,-38.70174,1669601093801.5
50,6.283,37.319798,-69.5766,-29.610294,45.48195,-38.70174,1669601094259.0
51,6.344,37.2832,-69.6986,-29.610294,45.48195,-38.70174,1669601094716.5
52,5.5266,37.7346,-69.5888,-29.610294,45.48195,-38.70174,1669601095174.0
53,6.5392,37.9054,-68.7714,-29.610294,45.48195,-38.70174,1669601095631.5
54,7.1735997,38.478798,-69.479,-29.610294,45.48195,-38.70174,1669601096089.0
