,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-0.2562,26.364199,-68.3322,-29.610296,45.48195,-38.70174,1669601262914.0
1,-3.3672,25.9494,-69.3082,-29.610294,45.48195,-38.70174,1669601263356.5967
2,-1.037,25.6444,-68.5762,-29.610294,45.48195,-38.70174,1669601263799.1936
3,-1.2932,25.8274,-69.015396,-29.610296,45.48195,-38.70174,1669601264241.7903
4,-0.90279996,26.8522,-69.54,-29.610298,45.48195,-38.70174,1669601264684.3872
5,-0.6832,27.218199,-69.2838,-29.610298,45.48195,-38.70174,1669601265126.984
6,-0.6832,27.5964,-69.2716,-29.610298,45.48195,-38.70174,1669601265569.5806
7,-0.671,27.5476,-69.54,-29.610298,45.48195,-38.70174,1669601266012.1775
8,-0.5856,27.5842,-69.649796,-29.610298,45.48195,-38.70174,1669601266454.7742
9,-0.366,27.633,-69.1374,-29.610298,45.48195,-38.70174,1669601266897.3708
10,-1.2566,27.2426,-69.3082,-29.610298,45.48195,-38.70174,1669601267339.9678
11,-0.793,27.5232,-69.479,-29.610298,45.48195,-38.70174,1669601267782.5645
12,-0.96379995,27.4622,-69.3692,-29.610298,45.48195,-38.70174,1669601268225.1614
13,-1.1589999,27.3646,-69.4058,-29.610298,45.48195,-38.70174,1669601268667.758
14,-1.1101999,27.449999,-69.3814,-29.610298,45.48195,-38.70174,1669601269110.3547
15,-1.0735999,27.608599,-69.6132,-29.610298,45.48195,-38.70174,1669601269552.9517
16,-0.3172,27.022999,-69.3082,-29.610298,45.48195,-38.70174,1669601269995.5483
17,2.684,27.328,-66.843796,-29.610298,45.48195,-38.70174,1669601270438.1453
18,3.5379999,26.3032,-65.3066,-29.610298,45.48195,-38.70174,1669601270880.742
19,2.3179998,26.2178,-66.4046,-29.610298,45.48195,-38.70174,1669601271323.3386
20,-16.2626,34.281998,-77.262596,-29.610298,45.48195,-38.70174,1669601271765.9355
21,-13.7006,38.1128,-77.8726,-29.610298,45.48195,-38.70174,1669601272208.5322
22,-4.1358,34.6968,-74.0662,-29.610298,45.48195,-38.70174,1669601272651.1292
23,-0.0488,30.7318,-70.5648,-29.610298,45.48195,-38.70174,1669601273093.7258
24,-2.0618,25.546799,-69.027596,-29.610298,45.48195,-38.70174,1669601273536.3225
25,-4.8922,24.583,-69.9426,-29.610298,45.48195,-38.70174,1669601273978.9194
26,-4.758,26.3886,-71.0284,-29.610298,45.48195,-38.70174,1669601274421.516
27,-4.6116,28.2796,-71.687195,-29.610298,45.48195,-38.70174,1669601274864.1128
28,-6.6612,24.0096,-70.8332,-29.610298,45.48195,-38.70174,1669601275306.7097
29,-6.0512,23.8144,-70.0768,-29.610298,45.48195,-38.70174,1669601275749.3064
30,-3.1842,24.765999,-69.0764,-29.610298,45.48195,-38.70174,1669601276191.9033
31,-3.4648,27.0718,-70.455,-29.610298,45.48195,-38.70174,1669601276634.5
32,-9.7112,24.607399,-68.6982,-29.610296,45.48195,-38.70174,1669601277077.0967
33,-13.6396,23.729,-73.236595,-29.610298,45.48195,-38.70174,1669601277519.6936
34,-8.4668,24.607399,-71.040596,-29.610298,45.48195,-38.70174,1669601277962.2903
35,-4.5383997,26.23,-70.0768,-29.610298,45.48195,-38.70174,1669601278404.8872
36,-3.6111999,26.205599,-69.2106,-29.610298,45.48195,-38.70174,1669601278847.484
37,-2.3302,26.595999,-68.9178,-29.610298,45.48195,-38.70174,1669601279290.0806
38,-4.1724,26.3032,-69.503395,-29.610298,45.48195,-38.70174,1669601279732.6775
39,-2.2447999,26.7302,-68.4298,-29.610298,45.48195,-38.70174,1669601280175.2742
40,-2.3546,26.3886,-68.2834,-29.610298,45.48195,-38.70174,1669601280617.8708
41,-2.623,26.242199,-68.5762,-29.610298,45.48195,-38.70174,1669601281060.4678
42,-3.1598,25.973799,-69.3814,-29.610298,45.48195,-38.70174,1669601281503.0645
43,-3.3062,26.2178,-70.1988,-29.610298,45.48195,-38.70174,1669601281945.6614
44,-2.7572,26.3032,-69.332596,-29.610298,45.48195,-38.70174,1669601282388.258
45,-3.3794,26.0958,-69.4424,-29.610298,45.48195,-38.70174,1669601282830.8547
46,-3.0865998,26.0592,-69.796196,-29.610298,45.48195,-38.70174,1669601283273.4517
47,-3.172,25.9982,-69.479,-29.610298,45.48195,-38.70174,1669601283716.0483
48,-3.5379999,25.9982,-69.784,-29.610298,45.48195,-38.70174,1669601284158.6453
49,-2.745,25.851799,-68.991,-29.610298,45.48195,-38.70174,1669601284601.242
50,-3.477,25.8762,-69.8572,-29.610298,45.48195,-38.70174,1669601285043.8386
51,-3.9162,25.424799,-69.8694,-29.610298,45.48195,-38.70174,1669601285486.4355
52,-3.1109998,25.7176,-68.7714,-29.610298,45.48195,-38.70174,1669601285929.0322
53,-2.0983999,25.937199,-67.783195,-29.610298,45.48195,-38.70174,1669601286371.6292
54,-3.1354,25.376,-69.235,-29.610298,45.48195,-38.70174,1669601286814.2258
55,-3.2452,25.498,-69.5278,-29.610298,45.48195,-38.70174,1669601287256.8225
56,-2.9768,25.314999,-69.2838,-29.610298,45.48195,-38.70174,1669601287699.4194
57,-3.1109998,25.546799,-69.0886,-29.610298,45.48195,-38.70174,1669601288142.016
58,-2.7572,25.656599,-68.9544,-29.610298,45.48195,-38.70174,1669601288584.6128
59,-2.7084,25.5224,-69.2472,-29.610298,45.48195,-38.70174,1669601289027.2097
60,-2.5742,25.559,-68.9422,-29.610298,45.48195,-38.70174,1669601289469.8064
61,-2.6596,25.7664,-70.211,-29.610296,45.48195,-38.70174,1669601289912.4033
62,-2.9768,25.510199,-69.6742,-29.610294,45.48195,-38.70174,1669601290355.0
