,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,54.719997,-27.18,-68.28,-291.06,371.1,245.87999,1669595283121.0
1,55.32,-27.66,-68.34,-291.06,371.1,245.87999,1669595283342.3872
2,55.62,-28.68,-67.08,-291.06,371.1,245.87999,1669595283563.7742
3,55.8,-29.16,-66.24,-291.06,371.1,245.87999,1669595283785.1614
4,56.219997,-29.279999,-65.88,-291.06,371.1,245.87999,1669595284006.5483
5,56.699997,-27.9,-65.04,-291.06,371.1,245.87999,1669595284227.9355
6,56.28,-26.519999,-66.0,-291.06,371.1,245.87999,1669595284449.3225
7,54.66,-24.72,-66.9,-291.06,371.1,245.87999,1669595284670.7097
8,52.5,-23.16,-67.5,-291.06,371.1,245.87999,1669595284892.0967
9,50.52,-22.74,-68.28,-291.06,371.1,245.87999,1669595285113.484
10,50.34,-22.38,-68.46,-291.06,371.1,245.87999,1669595285334.8708
11,51.12,-22.68,-68.22,-291.06,371.1,245.87999,1669595285556.258
12,51.6,-23.699999,-68.4,-291.06,371.1,245.87999,1669595285777.6453
13,52.02,-24.359999,-68.82,-291.06,371.1,245.87999,1669595285999.0322
14,51.6,-24.6,-69.0,-291.06,371.1,245.87999,1669595286220.4194
15,51.42,-24.96,-68.82,-291.06,371.1,245.87999,1669595286441.8064
16,52.02,-24.6,-68.64,-291.06,371.1,245.87999,1669595286663.1936
17,52.02,-24.66,-68.4,-291.06,371.1,245.87999,1669595286884.5806
18,52.379997,-24.6,-68.04,-291.06,371.1,245.87999,1669595287105.9678
19,52.5,-24.48,-68.46,-291.06,371.1,245.87999,1669595287327.3547
20,51.78,-24.6,-68.58,-291.06,371.1,245.87999,1669595287548.742
21,51.539997,-24.3,-68.46,-291.06,371.1,245.87999,1669595287770.1292
22,51.36,-24.06,-68.88,-291.06,371.1,245.87999,1669595287991.516
23,51.42,-24.24,-68.58,-291.06,371.1,245.87999,1669595288212.9033
24,51.96,-24.06,-68.46,-291.06,371.1,245.87999,1669595288434.2903
25,52.26,-24.18,-68.58,-291.06,371.1,245.87999,1669595288655.6775
26,52.32,-24.0,-68.52,-291.06,371.1,245.87999,1669595288877.0645
27,52.379997,-24.0,-68.76,-291.06,371.1,245.87999,1669595289098.4517
28,52.44,-24.359999,-68.46,-291.06,371.1,245.87999,1669595289319.8386
29,52.5,-24.84,-68.28,-291.06,371.1,245.87999,1669595289541.2258
30,52.32,-25.439999,-68.58,-291.06,371.1,245.87999,1669595289762.6128
31,52.5,-25.5,-68.58,-291.06,371.1,245.87999,1669595289984.0
32,52.559998,-25.199999,-68.939995,-291.06,371.1,245.87999,1669595290205.3872
33,52.559998,-24.96,-69.54,-291.06,371.1,245.87999,1669595290426.7742
34,52.32,-25.26,-69.06,-291.06,371.1,245.87999,1669595290648.1614
35,51.96,-24.84,-69.0,-291.06,371.1,245.87999,1669595290869.5483
36,52.02,-24.96,-69.06,-291.06,371.1,245.87999,1669595291090.9355
37,51.6,-24.84,-69.119995,-291.06,371.1,245.87999,1669595291312.3225
38,51.539997,-24.359999,-69.36,-291.06,371.1,245.87999,1669595291533.7097
39,51.3,-24.6,-69.36,-291.06,371.1,245.87999,1669595291755.0967
40,51.42,-24.84,-69.119995,-291.06,371.1,245.87999,1669595291976.484
41,51.48,-25.08,-68.46,-291.06,371.1,245.87999,1669595292197.8708
42,51.84,-25.019999,-68.1,-291.06,371.1,245.87999,1669595292419.258
43,52.26,-25.32,-68.28,-291.06,371.1,245.87999,1669595292640.6453
44,51.899998,-25.26,-67.799995,-291.06,371.1,245.87999,1669595292862.0322
45,51.899998,-25.38,-68.04,-291.06,371.1,245.87999,1669595293083.4194
46,51.899998,-25.92,-67.799995,-291.06,371.1,245.87999,1669595293304.8064
47,51.899998,-25.92,-67.74,-291.06,371.1,245.87999,1669595293526.1936
48,52.26,-25.8,-67.86,-291.06,371.1,245.87999,1669595293747.5806
49,52.379997,-25.8,-68.4,-291.06,371.1,245.87999,1669595293968.9678
50,52.26,-25.26,-68.7,-291.06,371.1,245.87999,1669595294190.3547
51,52.079998,-25.5,-68.28,-291.06,371.1,245.87999,1669595294411.742
52,52.079998,-25.32,-68.52,-291.06,371.1,245.87999,1669595294633.1292
53,52.379997,-25.32,-67.799995,-291.06,371.1,245.87999,1669595294854.516
54,52.68,-25.74,-67.74,-291.06,371.1,245.87999,1669595295075.9033
55,52.739998,-25.32,-67.979996,-291.06,371.1,245.87999,1669595295297.2903
56,52.379997,-25.74,-67.74,-291.06,371.1,245.87999,1669595295518.6775
57,51.84,-26.039999,-67.14,-291.06,371.1,245.87999,1669595295740.0645
58,52.079998,-25.38,-66.72,-291.06,371.1,245.87999,1669595295961.4517
59,52.199997,-25.56,-66.72,-291.06,371.1,245.87999,1669595296182.8386
60,52.5,-25.74,-66.9,-291.06,371.1,245.87999,1669595296404.2258
61,52.68,-25.26,-67.86,-291.06,371.1,245.87999,1669595296625.6128
62,52.559998,-26.039999,-68.22,-291.06,371.1,245.87999,1669595296847.0
