,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,73.799995,-0.59999996,-76.92,73.92,-7.02,-48.3,1669596952450.0
1,73.799995,-0.71999997,-76.86,73.92,-7.02,-48.3,1669596952892.6775
2,73.2,-0.96,-76.5,73.92,-7.02,-48.3,1669596953335.3547
3,73.14,-0.84,-76.259995,73.92,-7.02,-48.3,1669596953778.0322
4,73.32,-1.02,-76.02,73.92,-7.02,-48.3,1669596954220.7097
5,73.14,-1.14,-76.14,73.92,-7.02,-48.3,1669596954663.3872
6,73.5,-1.02,-76.439995,73.92,-7.02,-48.3,1669596955106.0645
7,73.439995,-1.0799999,-76.619995,73.92,-7.02,-48.3,1669596955548.742
8,73.08,-1.02,-76.92,73.92,-7.02,-48.3,1669596955991.4194
9,73.68,-1.4399999,-76.56,73.92,-7.02,-48.3,1669596956434.0967
10,73.74,-1.14,-75.659996,73.92,-7.02,-48.3,1669596956876.7742
11,73.92,-1.3199999,-75.9,73.92,-7.02,-48.3,1669596957319.4517
12,74.34,-1.1999999,-75.9,73.92,-7.02,-48.3,1669596957762.1292
13,73.68,-0.9,-76.02,73.92,-7.02,-48.3,1669596958204.8064
14,73.32,-1.3199999,-76.38,73.92,-7.02,-48.3,1669596958647.484
15,73.14,-0.96,-75.84,73.92,-7.02,-48.3,1669596959090.1614
16,72.9,-1.02,-75.6,73.92,-7.02,-48.3,1669596959532.8386
17,73.32,-0.78,-76.02,73.92,-7.02,-48.3,1669596959975.516
18,73.26,-0.65999997,-76.5,73.92,-7.02,-48.3,1669596960418.1936
19,73.439995,-1.02,-76.2,73.92,-7.02,-48.3,1669596960860.8708
20,73.92,-1.02,-76.619995,73.92,-7.02,-48.3,1669596961303.5483
21,73.74,-0.84,-77.04,73.92,-7.02,-48.3,1669596961746.2258
22,73.5,-1.1999999,-77.04,73.92,-7.02,-48.3,1669596962188.9033
23,72.84,-1.62,-76.92,73.92,-7.02,-48.3,1669596962631.5806
24,72.96,-1.5,-75.84,73.92,-7.02,-48.3,1669596963074.258
25,72.78,-1.8,-74.7,73.92,-7.02,-48.3,1669596963516.9355
26,72.96,-1.4399999,-75.18,73.92,-7.02,-48.3,1669596963959.6128
27,73.14,-1.4399999,-75.78,73.92,-7.02,-48.3,1669596964402.2903
28,72.78,-1.8,-77.159996,73.92,-7.02,-48.3,1669596964844.9678
29,73.26,-1.92,-77.46,73.92,-7.02,-48.3,1669596965287.6453
30,73.5,-1.68,-76.68,73.92,-7.02,-48.3,1669596965730.3225
31,73.799995,-1.3199999,-76.619995,73.92,-7.02,-48.3,1669596966173.0
