,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,75.72,-40.739998,-76.74,46.86,-27.9,-48.78,1669590118461.0
1,76.439995,-41.04,-76.08,46.86,-27.9,-48.78,1669590118839.6128
2,76.2,-41.52,-75.6,46.86,-27.9,-48.78,1669590119218.2258
3,77.1,-41.879997,-75.84,46.86,-27.9,-48.78,1669590119596.8386
4,77.88,-41.64,-75.96,46.86,-27.9,-48.78,1669590119975.4517
5,77.52,-42.12,-75.659996,46.86,-27.9,-48.78,1669590120354.0645
6,77.759995,-42.0,-76.32,46.86,-27.9,-48.78,1669590120732.6775
7,77.58,-41.579998,-76.619995,46.86,-27.9,-48.78,1669590121111.2903
8,77.22,-41.64,-77.04,46.86,-27.9,-48.78,1669590121489.9033
9,77.28,-40.739998,-77.52,46.86,-27.9,-48.78,1669590121868.516
10,77.4,-40.5,-77.64,46.86,-27.9,-48.78,1669590122247.1292
11,77.4,-40.379997,-77.22,46.86,-27.9,-48.78,1669590122625.742
12,76.92,-40.8,-76.979996,46.86,-27.9,-48.78,1669590123004.3547
13,77.28,-41.1,-76.92,46.86,-27.9,-48.78,1669590123382.9678
14,77.04,-40.739998,-76.439995,46.86,-27.9,-48.78,1669590123761.5806
15,76.799995,-40.8,-76.74,46.86,-27.9,-48.78,1669590124140.1936
16,77.04,-39.96,-76.74,46.86,-27.9,-48.78,1669590124518.8064
17,77.28,-39.719997,-76.619995,46.86,-27.9,-48.78,1669590124897.4194
18,76.799995,-39.96,-77.159996,46.86,-27.9,-48.78,1669590125276.0322
19,77.1,-39.66,-77.34,46.86,-27.9,-48.78,1669590125654.6453
20,77.34,-39.899998,-77.1,46.86,-27.9,-48.78,1669590126033.258
21,76.92,-39.78,-77.04,46.86,-27.9,-48.78,1669590126411.8708
22,77.22,-40.079998,-76.86,46.86,-27.9,-48.78,1669590126790.484
23,77.4,-40.379997,-76.619995,46.86,-27.9,-48.78,1669590127169.0967
24,77.58,-40.559998,-76.92,46.86,-27.9,-48.78,1669590127547.7097
25,78.06,-40.739998,-76.74,46.86,-27.9,-48.78,1669590127926.3225
26,78.6,-40.14,-76.5,46.86,-27.9,-48.78,1669590128304.9355
27,78.479996,-39.899998,-76.619995,46.86,-27.9,-48.78,1669590128683.5483
28,78.119995,-39.18,-76.56,46.86,-27.9,-48.78,1669590129062.1614
29,77.939995,-38.64,-76.799995,46.86,-27.9,-48.78,1669590129440.7742
30,77.7,-38.7,-76.92,46.86,-27.9,-48.78,1669590129819.3872
31,77.58,-38.82,-76.92,46.86,-27.9,-48.78,1669590130198.0
32,77.22,-39.18,-76.619995,46.86,-27.9,-48.78,1669590130576.6128
33,77.34,-39.6,-76.56,46.86,-27.9,-48.78,1669590130955.2258
34,77.34,-39.66,-76.86,46.86,-27.9,-48.78,1669590131333.8386
35,77.52,-39.6,-76.38,46.86,-27.9,-48.78,1669590131712.4517
36,78.119995,-39.48,-76.92,46.86,-27.9,-48.78,1669590132091.0645
37,78.24,-40.02,-77.04,46.86,-27.9,-48.78,1669590132469.6775
38,78.24,-39.899998,-77.04,46.86,-27.9,-48.78,1669590132848.2903
39,77.939995,-39.54,-77.58,46.86,-27.9,-48.78,1669590133226.9033
40,78.06,-39.66,-77.34,46.86,-27.9,-48.78,1669590133605.516
41,77.88,-39.239998,-77.22,46.86,-27.9,-48.78,1669590133984.1292
42,77.64,-39.18,-77.1,46.86,-27.9,-48.78,1669590134362.742
43,77.64,-39.42,-77.22,46.86,-27.9,-48.78,1669590134741.3547
44,77.04,-39.78,-77.28,46.86,-27.9,-48.78,1669590135119.9678
45,76.439995,-39.66,-77.58,46.86,-27.9,-48.78,1669590135498.5806
46,76.68,-39.54,-78.0,46.86,-27.9,-48.78,1669590135877.1936
47,76.92,-39.48,-77.88,46.86,-27.9,-48.78,1669590136255.8064
48,77.4,-39.059998,-78.0,46.86,-27.9,-48.78,1669590136634.4194
49,77.28,-39.36,-78.479996,46.86,-27.9,-48.78,1669590137013.0322
50,77.1,-39.78,-78.119995,46.86,-27.9,-48.78,1669590137391.6453
51,76.799995,-40.02,-78.42,46.86,-27.9,-48.78,1669590137770.258
52,76.56,-39.899998,-78.54,46.86,-27.9,-48.78,1669590138148.8708
53,76.86,-39.719997,-78.119995,46.86,-27.9,-48.78,1669590138527.484
54,76.92,-39.3,-78.119995,46.86,-27.9,-48.78,1669590138906.0967
55,76.86,-39.66,-77.7,46.86,-27.9,-48.78,1669590139284.7097
56,76.92,-39.6,-78.119995,46.86,-27.9,-48.78,1669590139663.3225
57,77.759995,-39.719997,-78.24,46.86,-27.9,-48.78,1669590140041.9355
58,78.06,-40.32,-78.299995,46.86,-27.9,-48.78,1669590140420.5483
59,78.24,-40.14,-78.72,46.86,-27.9,-48.78,1669590140799.1614
60,77.939995,-40.26,-78.299995,46.86,-27.9,-48.78,1669590141177.7742
61,77.22,-39.78,-77.52,46.86,-27.9,-48.78,1669590141556.3872
62,77.34,-39.48,-77.22,46.86,-27.9,-48.78,1669590141935.0
