,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,80.759995,-42.66,-75.24,46.86,-27.9,-48.78,1669589778407.0
1,80.52,-42.96,-74.939995,46.86,-27.9,-48.78,1669589778807.0
2,80.28,-43.68,-74.76,46.86,-27.9,-48.78,1669589779207.0
3,79.86,-44.219997,-74.34,46.86,-27.9,-48.78,1669589779607.0
4,79.38,-44.76,-74.34,46.86,-27.9,-48.78,1669589780007.0
5,79.32,-44.82,-74.22,46.86,-27.9,-48.78,1669589780407.0
6,79.14,-44.46,-74.4,46.86,-27.9,-48.78,1669589780807.0
7,78.78,-44.52,-74.4,46.86,-27.9,-48.78,1669589781207.0
8,78.78,-44.579998,-73.979996,46.86,-27.9,-48.78,1669589781607.0
9,78.96,-44.94,-74.04,46.86,-27.9,-48.78,1669589782007.0
10,79.08,-44.879997,-73.86,46.86,-27.9,-48.78,1669589782407.0
11,79.619995,-44.64,-74.4,46.86,-27.9,-48.78,1669589782807.0
12,79.799995,-44.579998,-74.46,46.86,-27.9,-48.78,1669589783207.0
13,79.5,-44.34,-74.82,46.86,-27.9,-48.78,1669589783607.0
14,79.619995,-44.82,-74.4,46.86,-27.9,-48.78,1669589784007.0
15,79.619995,-44.64,-74.159996,46.86,-27.9,-48.78,1669589784407.0
16,79.439995,-44.82,-74.28,46.86,-27.9,-48.78,1669589784807.0
17,79.439995,-44.579998,-74.28,46.86,-27.9,-48.78,1669589785207.0
18,79.259995,-44.16,-74.34,46.86,-27.9,-48.78,1669589785607.0
19,79.14,-44.399998,-74.52,46.86,-27.9,-48.78,1669589786007.0
20,79.5,-43.98,-74.52,46.86,-27.9,-48.78,1669589786407.0
21,79.56,-44.52,-74.1,46.86,-27.9,-48.78,1669589786807.0
22,79.799995,-45.0,-74.22,46.86,-27.9,-48.78,1669589787207.0
23,79.979996,-44.82,-74.22,46.86,-27.9,-48.78,1669589787607.0
24,79.86,-44.7,-74.04,46.86,-27.9,-48.78,1669589788007.0
25,79.68,-44.34,-74.7,46.86,-27.9,-48.78,1669589788407.0
26,79.439995,-43.92,-75.06,46.86,-27.9,-48.78,1669589788807.0
27,79.02,-43.92,-74.939995,46.86,-27.9,-48.78,1669589789207.0
28,79.02,-44.28,-74.76,46.86,-27.9,-48.78,1669589789607.0
29,79.08,-44.28,-74.4,46.86,-27.9,-48.78,1669589790007.0
30,79.08,-44.16,-74.28,46.86,-27.9,-48.78,1669589790407.0
31,79.259995,-44.16,-74.7,46.86,-27.9,-48.78,1669589790807.0
32,79.02,-43.92,-75.36,46.86,-27.9,-48.78,1669589791207.0
33,79.259995,-43.8,-75.72,46.86,-27.9,-48.78,1669589791607.0
34,79.5,-44.04,-75.96,46.86,-27.9,-48.78,1669589792007.0
35,79.68,-44.16,-75.72,46.86,-27.9,-48.78,1669589792407.0
