,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,81.78,10.32,-70.14,40.5,-13.679999,-33.719997,1669599847273.0
1,81.84,9.96,-69.659996,40.5,-13.679999,-33.719997,1669599847701.4263
2,81.9,10.5,-69.6,40.5,-13.679999,-33.719997,1669599848129.8525
3,81.42,10.44,-69.78,40.5,-13.679999,-33.719997,1669599848558.2788
4,81.0,10.32,-70.08,40.5,-13.679999,-33.719997,1669599848986.7048
5,81.479996,10.74,-70.439995,40.5,-13.679999,-33.719997,1669599849415.131
6,80.939995,10.38,-70.14,40.5,-13.679999,-33.719997,1669599849843.5574
7,81.06,10.559999,-69.72,40.5,-13.679999,-33.719997,1669599850271.9836
8,81.119995,10.5,-70.08,40.5,-13.679999,-33.719997,1669599850700.41
9,80.52,10.44,-69.54,40.5,-13.679999,-33.719997,1669599851128.8362
10,81.06,10.2,-69.18,40.5,-13.679999,-33.719997,1669599851557.2622
11,81.119995,9.54,-69.6,40.5,-13.679999,-33.719997,1669599851985.6885
12,80.7,9.3,-69.479996,40.5,-13.679999,-33.719997,1669599852414.1147
13,80.58,9.179999,-69.06,40.5,-13.679999,-33.719997,1669599852842.541
14,80.64,9.36,-69.479996,40.5,-13.679999,-33.719997,1669599853270.9673
15,80.7,9.9,-69.78,40.5,-13.679999,-33.719997,1669599853699.3936
16,81.299995,9.719999,-69.659996,40.5,-13.679999,-33.719997,1669599854127.8196
17,81.72,9.36,-70.02,40.5,-13.679999,-33.719997,1669599854556.2458
18,81.54,9.3,-69.6,40.5,-13.679999,-33.719997,1669599854984.672
19,81.84,9.48,-69.299995,40.5,-13.679999,-33.719997,1669599855413.0984
20,81.9,9.84,-68.82,40.5,-13.679999,-33.719997,1669599855841.5247
21,81.479996,10.08,-69.0,40.5,-13.679999,-33.719997,1669599856269.951
22,81.6,9.78,-69.54,40.5,-13.679999,-33.719997,1669599856698.377
23,80.939995,9.48,-69.6,40.5,-13.679999,-33.719997,1669599857126.8032
24,81.0,9.54,-70.02,40.5,-13.679999,-33.719997,1669599857555.2295
25,81.299995,9.9,-70.02,40.5,-13.679999,-33.719997,1669599857983.6558
26,81.479996,10.44,-69.6,40.5,-13.679999,-33.719997,1669599858412.082
27,81.84,10.86,-68.76,40.5,-13.679999,-33.719997,1669599858840.5083
28,81.36,10.8,-68.82,40.5,-13.679999,-33.719997,1669599859268.9343
29,81.36,10.38,-68.82,40.5,-13.679999,-33.719997,1669599859697.3606
30,81.24,10.08,-68.7,40.5,-13.679999,-33.719997,1669599860125.7869
31,82.08,11.28,-70.439995,40.5,-13.679999,-33.719997,1669599860554.2131
32,81.659996,10.62,-69.9,40.5,-13.679999,-33.719997,1669599860982.6394
33,81.659996,9.96,-69.659996,40.5,-13.679999,-33.719997,1669599861411.0657
34,81.24,9.84,-69.6,40.5,-13.679999,-33.719997,1669599861839.4917
35,81.299995,9.0,-68.58,40.5,-13.679999,-33.719997,1669599862267.918
36,81.78,9.0,-68.7,40.5,-13.679999,-33.719997,1669599862696.3442
37,81.6,9.36,-69.0,40.5,-13.679999,-33.719997,1669599863124.7705
38,81.9,9.42,-69.0,40.5,-13.679999,-33.719997,1669599863553.1968
39,81.479996,9.66,-69.479996,40.5,-13.679999,-33.719997,1669599863981.623
40,81.479996,9.84,-69.78,40.5,-13.679999,-33.719997,1669599864410.049
41,81.659996,9.66,-69.479996,40.5,-13.679999,-33.719997,1669599864838.4753
42,81.659996,9.96,-69.42,40.5,-13.679999,-33.719997,1669599865266.9016
43,81.54,9.9,-69.0,40.5,-13.679999,-33.719997,1669599865695.328
44,81.54,10.0199995,-68.82,40.5,-13.679999,-33.719997,1669599866123.7542
45,80.88,10.2,-68.82,40.5,-13.679999,-33.719997,1669599866552.1804
46,80.759995,9.66,-68.28,40.5,-13.679999,-33.719997,1669599866980.6064
47,81.0,10.0199995,-68.64,40.5,-13.679999,-33.719997,1669599867409.0327
48,80.88,9.9,-69.0,40.5,-13.679999,-33.719997,1669599867837.459
49,81.299995,9.599999,-69.119995,40.5,-13.679999,-33.719997,1669599868265.8853
50,81.0,9.54,-69.72,40.5,-13.679999,-33.719997,1669599868694.3115
51,80.58,9.599999,-69.06,40.5,-13.679999,-33.719997,1669599869122.7378
52,80.7,9.96,-68.82,40.5,-13.679999,-33.719997,1669599869551.1638
53,80.939995,10.08,-68.76,40.5,-13.679999,-33.719997,1669599869979.59
54,81.42,9.96,-68.1,40.5,-13.679999,-33.719997,1669599870408.0164
55,81.84,9.3,-68.1,40.5,-13.679999,-33.719997,1669599870836.4426
56,81.78,8.639999,-67.799995,40.5,-13.679999,-33.719997,1669599871264.869
57,81.299995,8.639999,-67.86,40.5,-13.679999,-33.719997,1669599871693.2952
58,81.36,8.58,-68.22,40.5,-13.679999,-33.719997,1669599872121.7212
59,81.24,8.5199995,-68.22,40.5,-13.679999,-33.719997,1669599872550.1475
60,81.24,8.4,-68.22,40.5,-13.679999,-33.719997,1669599872978.5737
61,81.299995,8.5199995,-68.4,40.5,-13.679999,-33.719997,1669599873407.0
