,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,2.074,24.5586,-64.4282,-29.610296,45.48195,-38.70174,1669604890241.0
1,-0.0,24.8758,-65.2212,-29.610298,45.48195,-38.70174,1669604891076.313
2,2.3546,25.1442,-64.1842,-29.610298,45.48195,-38.70174,1669604891911.626
3,1.9397999,26.168999,-65.5384,-29.610298,45.48195,-38.70174,1669604892746.939
4,1.4152,37.3564,-75.3594,-29.610298,45.48195,-38.70174,1669604893582.252
5,-12.8344,44.835,-84.7168,-29.610298,45.48195,-38.70174,1669604894417.565
6,-24.8392,54.4608,-78.3484,-29.610298,45.48195,-38.70174,1669604895252.878
7,-23.546,62.0858,-75.6888,-29.610298,45.48195,-38.70174,1669604896088.191
8,-12.675799,59.1334,-68.1614,-29.610298,45.48195,-38.70174,1669604896923.504
9,-2.8669999,55.9614,-57.4254,-29.610298,45.48195,-38.70174,1669604897758.817
10,-1.342,55.8028,-55.8028,-29.610298,45.48195,-38.70174,1669604898594.13
11,-1.037,55.9492,-55.632,-29.610298,45.48195,-38.70174,1669604899429.4426
12,-1.464,55.7174,-55.9614,-29.610298,45.48195,-38.70174,1669604900264.7556
13,-1.708,55.607597,-56.156597,-29.610298,45.48195,-38.70174,1669604901100.0686
14,-1.0126,55.7174,-56.217598,-29.610298,45.48195,-38.70174,1669604901935.3816
15,-1.1345999,55.7052,-55.839397,-29.610298,45.48195,-38.70174,1669604902770.6946
16,-1.2322,55.7174,-56.0346,-29.610298,45.48195,-38.70174,1669604903606.0076
17,-1.4518,55.6686,-56.0346,-29.610298,45.48195,-38.70174,1669604904441.3206
18,-1.8055999,55.4246,-55.9492,-29.610298,45.48195,-38.70174,1669604905276.6335
19,-2.0008,55.448997,-55.753998,-29.610298,45.48195,-38.70174,1669604906111.9465
20,-1.7324,55.632,-55.912598,-29.610298,45.48195,-38.70174,1669604906947.2595
21,-1.9275999,55.4612,-56.4982,-29.610298,45.48195,-38.70174,1669604907782.5725
22,-2.2447999,55.375797,-56.1932,-29.610298,45.48195,-38.70174,1669604908617.8855
23,-1.9886,55.2782,-56.181,-29.610298,45.48195,-38.70174,1669604909453.1985
24,-1.7689999,55.4978,-55.997997,-29.610298,45.48195,-38.70174,1669604910288.5115
25,-1.9031999,55.4002,-55.8638,-29.610298,45.48195,-38.70174,1669604911123.8245
26,-1.9397999,55.4246,-55.985798,-29.610298,45.48195,-38.70174,1669604911959.1375
27,-3.2208,55.143997,-56.693398,-29.610298,45.48195,-38.70174,1669604912794.4504
28,-3.5135999,55.083,-56.8276,-29.610298,45.48195,-38.70174,1669604913629.7634
29,-2.8792,55.290398,-56.3396,-29.610298,45.48195,-38.70174,1669604914465.0764
30,-1.4518,55.5466,-56.2786,-29.610298,45.48195,-38.70174,1669604915300.3894
31,-1.6592,55.1806,-56.1078,-29.610298,45.48195,-38.70174,1669604916135.7024
32,1.3908,56.8276,-56.3396,-29.610296,45.48195,-38.70174,1669604916971.0154
33,-1.7202,55.327,-56.620197,-29.610294,45.48195,-38.70174,1669604917806.3281
34,-2.379,55.4978,-57.2058,-29.610294,45.48195,-38.70174,1669604918641.641
35,-0.671,55.753998,-56.669,-29.610294,45.48195,-38.70174,1669604919476.954
36,-0.5856,55.9614,-56.2664,-29.610294,45.48195,-38.70174,1669604920312.267
37,-1.1712,56.059,-56.8276,-29.610294,45.48195,-38.70174,1669604921147.58
38,-0.53679997,56.2908,-56.1322,-29.610294,45.48195,-38.70174,1669604921982.893
39,-0.92719996,56.217598,-56.181,-29.610294,45.48195,-38.70174,1669604922818.206
40,0.0488,55.924797,-55.753998,-29.610294,45.48195,-38.70174,1669604923653.519
41,0.90279996,56.1078,-55.827198,-29.610294,45.48195,-38.70174,1669604924488.832
42,-0.8052,55.876,-56.181,-29.610294,45.48195,-38.70174,1669604925324.145
43,-1.3908,55.7784,-56.1932,-29.610294,45.48195,-38.70174,1669604926159.458
44,0.46359998,55.5588,-56.4738,-29.610294,45.48195,-38.70174,1669604926994.771
45,-1.037,55.217197,-56.1932,-29.610294,45.48195,-38.70174,1669604927830.084
46,-1.7445999,55.7784,-56.607998,-29.610294,45.48195,-38.70174,1669604928665.397
47,-0.4026,56.0224,-56.144398,-29.610294,45.48195,-38.70174,1669604929500.71
48,0.4148,56.1688,-55.083,-29.610294,45.48195,-38.70174,1669604930336.023
49,0.8174,55.997997,-54.7292,-29.610294,45.48195,-38.70174,1669604931171.336
50,1.0004,56.3152,-55.448997,-29.610294,45.48195,-38.70174,1669604932006.649
51,-1.6592,55.51,-55.827198,-29.610294,45.48195,-38.70174,1669604932841.962
52,-2.0374,55.6686,-57.1448,-29.610294,45.48195,-38.70174,1669604933677.275
53,-0.1464,55.8638,-55.985798,-29.610294,45.48195,-38.70174,1669604934512.588
54,-1.0857999,56.0102,-56.3396,-29.610294,45.48195,-38.70174,1669604935347.901
55,-1.3786,55.680798,-56.4128,-29.610294,45.48195,-38.70174,1669604936183.2136
56,-1.8787999,55.3392,-56.839798,-29.610294,45.48195,-38.70174,1669604937018.5266
57,0.6344,56.9008,-51.7646,-29.610296,45.48195,-38.70174,1669604937853.8396
58,0.45139998,56.4128,-52.9236,-29.610294,45.48195,-38.70174,1669604938689.1526
59,-3.4648,55.302597,-55.1928,-29.610294,45.48195,-38.70174,1669604939524.4656
60,-4.0138,55.2782,-56.2786,-29.610294,45.48195,-38.70174,1669604940359.7786
61,-2.745,55.6198,-54.4974,-29.610294,45.48195,-38.70174,1669604941195.0916
62,-3.2818,55.632,-53.667797,-29.610294,45.48195,-38.70174,1669604942030.4045
63,-3.7819998,55.217197,-53.740997,-29.610294,45.48195,-38.70174,1669604942865.7175
64,-4.9288,54.9366,-54.3998,-29.610294,45.48195,-38.70174,1669604943701.0305
65,-5.1605997,55.0098,-54.7292,-29.610294,45.48195,-38.70174,1669604944536.3435
66,-5.673,54.656,-55.363598,-29.610294,45.48195,-38.70174,1669604945371.6565
67,-5.7339997,54.8756,-55.9004,-29.610294,45.48195,-38.70174,1669604946206.9695
68,-4.8922,55.058598,-56.059,-29.610294,45.48195,-38.70174,1669604947042.2825
69,-6.1731997,54.7902,-56.2786,-29.610294,45.48195,-38.70174,1669604947877.5955
70,-7.2834,54.4242,-55.753998,-29.610294,45.48195,-38.70174,1669604948712.9084
71,-5.3557997,55.375797,-54.9244,-29.610294,45.48195,-38.70174,1669604949548.2214
72,-5.246,54.9488,-55.1806,-29.610294,45.48195,-38.70174,1669604950383.5344
73,-5.7706,54.839,-56.5958,-29.610294,45.48195,-38.70174,1669604951218.8474
74,-5.3314,54.6194,-55.5832,-29.610294,45.48195,-38.70174,1669604952054.1604
75,-5.9902,54.412,-55.7174,-29.610294,45.48195,-38.70174,1669604952889.4734
76,-7.8202,54.0582,-56.6568,-29.610294,45.48195,-38.70174,1669604953724.7864
77,-6.7953997,54.7658,-55.7418,-29.610294,45.48195,-38.70174,1669604954560.099
78,-6.5148,54.7658,-56.546997,-29.610294,45.48195,-38.70174,1669604955395.412
79,-6.6368,54.6438,-56.7178,-29.610294,45.48195,-38.70174,1669604956230.725
80,-6.3073997,54.4974,-56.534798,-29.610294,45.48195,-38.70174,1669604957066.038
81,-5.7339997,54.6804,-55.217197,-29.610294,45.48195,-38.70174,1669604957901.351
82,-7.869,54.521797,-56.5592,-29.610296,45.48195,-38.70174,1669604958736.664
83,-7.3199997,54.753597,-55.7418,-29.610294,45.48195,-38.70174,1669604959571.977
84,-7.2223997,54.4486,-56.4738,-29.610294,45.48195,-38.70174,1669604960407.29
85,-7.7469997,54.473,-56.4738,-29.610294,45.48195,-38.70174,1669604961242.603
86,-6.2464,54.594997,-56.5714,-29.610294,45.48195,-38.70174,1669604962077.916
87,-4.9898,54.899998,-55.595398,-29.610294,45.48195,-38.70174,1669604962913.229
88,-5.856,55.1684,-56.8764,-29.610294,45.48195,-38.70174,1669604963748.542
89,-6.5025997,54.7048,-56.5958,-29.610294,45.48195,-38.70174,1669604964583.855
90,-6.1976,54.7048,-55.9004,-29.610294,45.48195,-38.70174,1669604965419.168
91,-6.5513997,54.5584,-56.461597,-29.610294,45.48195,-38.70174,1669604966254.481
92,-7.5762,54.350998,-57.0228,-29.610294,45.48195,-38.70174,1669604967089.794
93,-6.4416,54.289997,-56.3152,-29.610294,45.48195,-38.70174,1669604967925.107
94,-6.0267997,54.6194,-56.229797,-29.610294,45.48195,-38.70174,1669604968760.42
95,-5.4412,54.961,-55.9736,-29.610294,45.48195,-38.70174,1669604969595.733
96,-4.3919997,54.985397,-55.51,-29.610294,45.48195,-38.70174,1669604970431.046
97,-6.1,54.9244,-56.5714,-29.610294,45.48195,-38.70174,1669604971266.359
98,-7.015,54.4608,-55.693,-29.610294,45.48195,-38.70174,1669604972101.6719
99,-5.3557997,55.058598,-55.8638,-29.610294,45.48195,-38.70174,1669604972936.9846
100,-6.1366,54.8756,-56.620197,-29.610294,45.48195,-38.70174,1669604973772.2976
101,-6.5636,54.8634,-56.2542,-29.610294,45.48195,-38.70174,1669604974607.6106
102,-6.4294,54.6804,-56.2664,-29.610294,45.48195,-38.70174,1669604975442.9236
103,-5.8803997,54.534,-55.6564,-29.610294,45.48195,-38.70174,1669604976278.2366
104,-3.9528,55.290398,-56.071198,-29.610294,45.48195,-38.70174,1669604977113.5496
105,-4.4286,55.0098,-55.4978,-29.610294,45.48195,-38.70174,1669604977948.8625
106,-5.0752,54.9488,-55.6442,-29.610294,45.48195,-38.70174,1669604978784.1755
107,-7.2223997,54.363197,-56.8642,-29.610296,45.48195,-38.70174,1669604979619.4885
108,-7.137,54.6194,-57.071598,-29.610294,45.48195,-38.70174,1669604980454.8015
109,-7.442,54.5462,-57.4132,-29.610294,45.48195,-38.70174,1669604981290.1145
110,-5.7827997,54.8634,-56.302998,-29.610294,45.48195,-38.70174,1669604982125.4275
111,-9.2354,54.0582,-56.974,-29.610294,45.48195,-38.70174,1669604982960.7405
112,-7.5274,54.717,-56.5714,-29.610294,45.48195,-38.70174,1669604983796.0535
113,-6.4782,54.4974,-56.5958,-29.610294,45.48195,-38.70174,1669604984631.3665
114,-5.795,54.778,-55.51,-29.610294,45.48195,-38.70174,1669604985466.6794
115,-6.0755997,54.5462,-56.693398,-29.610294,45.48195,-38.70174,1669604986301.9924
116,-6.4049997,54.436398,-55.8882,-29.610294,45.48195,-38.70174,1669604987137.3054
117,-6.466,54.6316,-56.5226,-29.610294,45.48195,-38.70174,1669604987972.6184
118,-4.9653997,54.4608,-55.388,-29.610294,45.48195,-38.70174,1669604988807.9314
119,-5.4168,55.0952,-55.6442,-29.610294,45.48195,-38.70174,1669604989643.2444
120,-5.5266,54.899998,-55.9004,-29.610294,45.48195,-38.70174,1669604990478.5574
121,-8.2716,54.436398,-57.3766,-29.610294,45.48195,-38.70174,1669604991313.87
122,-6.2708,54.5462,-55.632,-29.610294,45.48195,-38.70174,1669604992149.183
123,-5.917,54.7292,-56.059,-29.610294,45.48195,-38.70174,1669604992984.496
124,-6.8441997,54.192398,-56.937397,-29.610294,45.48195,-38.70174,1669604993819.809
125,-7.2834,54.1436,-56.5592,-29.610294,45.48195,-38.70174,1669604994655.122
126,-5.5875998,54.594997,-55.4978,-29.610294,45.48195,-38.70174,1669604995490.435
127,-6.1122,54.656,-56.376198,-29.610294,45.48195,-38.70174,1669604996325.748
128,-4.941,54.814598,-55.766197,-29.610294,45.48195,-38.70174,1669604997161.061
129,-8.0398,54.107,-56.9862,-29.610294,45.48195,-38.70174,1669604997996.374
130,-7.93,54.6316,-56.3274,-29.610294,45.48195,-38.70174,1669604998831.687
131,-6.9417996,54.6194,-56.2542,-29.610294,45.48195,-38.70174,1669604999667.0
