,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-12.932,22.6554,-75.2374,0.0,0.0,0.0,1669600844815.0
1,-16.128399,21.1914,-80.092995,0.0,0.0,0.0,1669600845304.3765
2,-10.0528,22.9116,-75.9938,0.0,0.0,0.0,1669600845793.753
3,-8.906,23.241,-74.4566,0.0,0.0,0.0,1669600846283.1292
4,-10.321199,22.8506,-75.762,0.0,0.0,0.0,1669600846772.5056
5,-12.4074,22.508999,-78.751,0.0,0.0,0.0,1669600847261.882
6,-15.225599,21.886799,-79.9466,0.0,0.0,0.0,1669600847751.2585
7,-14.762,22.5944,-78.5558,0.0,0.0,0.0,1669600848240.6348
8,-16.5066,22.0088,-80.4712,0.0,0.0,0.0,1669600848730.0112
9,-15.5062,22.508999,-79.0438,0.0,0.0,0.0,1669600849219.3877
10,-13.9446,22.1308,-79.971,0.0,0.0,0.0,1669600849708.7642
11,-17.6412,21.289,-82.886795,0.0,0.0,0.0,1669600850198.1404
12,-11.3948,23.1068,-77.775,0.0,0.0,0.0,1669600850687.5168
13,-12.4928,22.6188,-78.568,0.0,0.0,0.0,1669600851176.8933
14,-16.348,21.923399,-79.544,0.0,0.0,0.0,1669600851666.2698
15,-14.6278,22.1308,-79.7026,0.0,0.0,0.0,1669600852155.646
16,-13.6762,21.9844,-79.7026,0.0,0.0,0.0,1669600852645.0225
17,-10.9678,22.740799,-76.7746,0.0,0.0,0.0,1669600853134.399
18,-11.8949995,22.0088,-77.6896,0.0,0.0,0.0,1669600853623.7754
19,-11.9682,22.2284,-76.7014,0.0,0.0,0.0,1669600854113.1516
20,-11.7973995,22.7652,-77.7872,0.0,0.0,0.0,1669600854602.528
21,-10.6628,23.6558,-77.2138,0.0,0.0,0.0,1669600855091.9045
22,-10.418799,23.985199,-77.2504,0.0,0.0,0.0,1669600855581.281
23,-10.6018,24.0218,-77.7628,0.0,0.0,0.0,1669600856070.6572
24,-6.161,25.0954,-74.944595,0.0,0.0,0.0,1669600856560.0337
25,-9.7355995,23.948599,-75.8108,0.0,0.0,0.0,1669600857049.4102
26,-12.907599,22.9116,-78.836395,0.0,0.0,0.0,1669600857538.7866
27,-10.8946,23.6436,-77.0308,0.0,0.0,0.0,1669600858028.1628
28,-10.1016,24.4732,-75.8962,0.0,0.0,0.0,1669600858517.5393
29,-7.3444,25.4492,-74.4566,0.0,0.0,0.0,1669600859006.9158
30,-11.0654,24.302399,-75.3472,0.0,0.0,0.0,1669600859496.2922
31,-9.3208,25.132,-76.1036,0.0,0.0,0.0,1669600859985.6685
32,-7.3078,25.4614,-75.408195,0.0,0.0,0.0,1669600860475.045
33,-8.296,25.3394,-75.8474,0.0,0.0,0.0,1669600860964.4214
34,-6.3196,25.7542,-75.0056,0.0,0.0,0.0,1669600861453.7979
35,-7.4298,25.132,-75.261795,0.0,0.0,0.0,1669600861943.174
36,-6.954,24.4244,-74.298,0.0,0.0,0.0,1669600862432.5505
37,-7.5396,23.4118,-73.6026,0.0,0.0,0.0,1669600862921.927
38,-5.7706,22.57,-70.7234,0.0,0.0,0.0,1669600863411.3035
39,-6.7832,21.045,-70.1866,0.0,0.0,0.0,1669600863900.6797
40,-6.1243997,21.1548,-69.479,0.0,0.0,0.0,1669600864390.0562
41,-5.5875998,21.813599,-69.5522,0.0,0.0,0.0,1669600864879.4326
42,-6.8198,23.119,-71.492,0.0,0.0,0.0,1669600865368.809
43,-4.6604,23.9608,-70.6624,0.0,0.0,0.0,1669600865858.1853
44,-4.9776,24.107199,-70.7966,0.0,0.0,0.0,1669600866347.5618
45,-3.6722,24.705,-70.4062,0.0,0.0,0.0,1669600866836.9382
46,-4.1358,24.4854,-70.894196,0.0,0.0,0.0,1669600867326.3147
47,-3.843,24.583,-70.089,0.0,0.0,0.0,1669600867815.691
48,-3.6355999,24.6684,-70.4062,0.0,0.0,0.0,1669600868305.0674
49,-2.9401999,24.9002,-70.2964,0.0,0.0,0.0,1669600868794.4438
50,-2.684,24.961199,-69.7352,0.0,0.0,0.0,1669600869283.8203
51,-3.8795998,24.6562,-70.516,0.0,0.0,0.0,1669600869773.1965
52,-3.9406,24.278,-69.8206,0.0,0.0,0.0,1669600870262.573
53,-3.7575998,24.0462,-69.4546,0.0,0.0,0.0,1669600870751.9495
54,-3.6111999,24.070599,-69.8816,0.0,0.0,0.0,1669600871241.326
55,-3.6234,24.1926,-69.8694,0.0,0.0,0.0,1669600871730.7021
56,-3.0012,24.2658,-69.296,0.0,0.0,0.0,1669600872220.0786
57,-3.0377998,24.3146,-69.7108,0.0,0.0,0.0,1669600872709.455
58,-4.1846,23.8022,-69.6132,0.0,0.0,0.0,1669600873198.8315
59,-3.2208,24.0584,-69.5522,0.0,0.0,0.0,1669600873688.2078
60,-3.0621998,24.2902,-69.649796,0.0,0.0,0.0,1669600874177.5842
61,-3.6843998,23.668,-69.4424,0.0,0.0,0.0,1669600874666.9607
