,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-7.3078,22.8018,-71.052795,-29.610296,45.48195,-38.70174,1669601071384.0
1,-10.1138,22.8262,-71.9434,-29.610298,45.48195,-38.70174,1669601071943.3271
2,-12.773399,22.350399,-73.3586,-29.610298,45.48195,-38.70174,1669601072502.6543
3,-9.2232,22.6188,-72.0166,-29.610298,45.48195,-38.70174,1669601073061.9812
4,-2.9036,23.8388,-70.2354,-29.610298,45.48195,-38.70174,1669601073621.3083
5,0.1586,24.692799,-68.686,-29.610298,45.48195,-38.70174,1669601074180.6355
6,1.1101999,24.2292,-68.100395,-29.610298,45.48195,-38.70174,1669601074739.9626
7,0.9882,23.911999,-67.7466,-29.610298,45.48195,-38.70174,1669601075299.2898
8,0.7686,23.3874,-67.7588,-29.610298,45.48195,-38.70174,1669601075858.617
9,0.26839998,23.8022,-67.795395,-29.610298,45.48195,-38.70174,1669601076417.9438
10,0.92719996,23.7046,-67.5636,-29.610298,45.48195,-38.70174,1669601076977.271
11,0.0854,23.4728,-67.7344,-29.610298,45.48195,-38.70174,1669601077536.5981
12,0.48799998,23.424,-67.71,-29.610298,45.48195,-38.70174,1669601078095.9253
13,1.1101999,23.326399,-67.319595,-29.610298,45.48195,-38.70174,1669601078655.2524
14,0.854,22.8384,-66.8804,-29.610298,45.48195,-38.70174,1669601079214.5793
15,1.0004,22.997,-67.1732,-29.610298,45.48195,-38.70174,1669601079773.9065
16,-0.0122,22.4846,-68.088196,-29.610298,45.48195,-38.70174,1669601080333.2336
17,0.0854,22.7652,-67.783195,-29.610298,45.48195,-38.70174,1669601080892.5608
18,1.4518,23.302,-67.0512,-29.610298,45.48195,-38.70174,1669601081451.888
19,3.1842,24.0096,-66.1728,-29.610296,45.48195,-38.70174,1669601082011.2148
20,1.0004,23.1434,-66.9292,-29.610294,45.48195,-38.70174,1669601082570.542
21,0.6466,22.692,-67.5148,-29.610294,45.48195,-38.70174,1669601083129.8691
22,1.0004,23.424,-67.5148,-29.610294,45.48195,-38.70174,1669601083689.1963
23,-0.854,22.4114,-67.014595,-29.610294,45.48195,-38.70174,1669601084248.5234
24,-0.1708,22.387,-67.3806,-29.610294,45.48195,-38.70174,1669601084807.8506
25,-1.1834,22.6066,-68.381,-29.610294,45.48195,-38.70174,1669601085367.1775
