,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_uncalibrated
0,-56.449398,45.408398,-93.0738,-17.579866,46.09261,-32.968437,1671096442511.0
1,-55.4002,46.4576,-92.4028,-17.579866,46.09261,-32.968437,1671096442526.8064
2,-56.974,44.8838,-93.4154,-17.579866,46.09261,-32.968437,1671096442542.6128
3,-47.579998,47.7264,-86.1808,-17.579866,46.09261,-32.968437,1671096442558.4192
4,-56.302998,44.9082,-93.146996,-17.579866,46.09261,-32.968437,1671096442574.2256
5,-55.4734,44.237198,-90.951,-17.579866,46.09261,-32.968437,1671096442590.032
6,-51.2766,47.0066,-87.2666,-17.579866,46.09261,-32.968437,1671096442605.8384
7,-54.6438,44.835,-91.743996,-17.579866,46.09261,-32.968437,1671096442621.6448
8,-48.8,46.7138,-85.4976,-17.579866,46.09261,-32.968437,1671096442637.4512
9,-57.864597,43.7492,-91.6586,-17.579866,46.09261,-32.968437,1671096442653.2576
10,-49.898,47.3848,-86.5712,-17.579866,46.09261,-32.968437,1671096442669.064
11,-59.499397,43.9566,-94.062,-17.579866,46.09261,-32.968437,1671096442684.8704
12,-54.3998,44.9326,-90.402,-17.579866,46.09261,-32.968437,1671096442700.6768
13,-54.192398,45.079,-90.5972,-17.579866,46.09261,-32.968437,1671096442716.4832
14,-52.216,46.2868,-92.0978,-17.579866,46.09261,-32.968437,1671096442732.2896
15,-58.486797,44.481197,-91.5488,-17.579866,46.09261,-32.968437,1671096442748.096
16,-52.4356,45.506,-90.6826,-17.579866,46.09261,-32.968437,1671096442763.9023
17,-52.7894,45.6646,-91.0242,-17.579866,46.09261,-32.968437,1671096442779.7087
18,-49.0806,46.9822,-86.924995,-17.579866,46.09261,-32.968437,1671096442795.5151
19,-56.8886,44.53,-92.3418,-17.579866,46.09261,-32.968437,1671096442811.3218
20,-55.9492,44.4324,-92.1954,-17.579866,46.09261,-32.968437,1671096442827.1282
21,-48.0192,46.5308,-90.4508,-17.579866,46.09261,-32.968437,1671096442842.9346
22,-51.483997,45.8964,-90.645996,-17.579866,46.09261,-32.968437,1671096442858.741
23,-52.801598,44.944798,-87.1934,-17.579866,46.09261,-32.968437,1671096442874.5474
24,-53.338398,45.322998,-91.5244,-17.579866,46.09261,-32.968437,1671096442890.3538
25,-59.499397,43.188,-91.292595,-17.579866,46.09261,-32.968437,1671096442906.1602
26,-55.5832,45.5792,-93.2202,-17.579866,46.09261,-32.968437,1671096442921.9666
27,-51.410797,46.6772,-91.768394,-17.579866,46.09261,-32.968437,1671096442937.773
28,-55.2782,43.9566,-91.597595,-17.579866,46.09261,-32.968437,1671096442953.5793
29,-55.9004,43.8956,-92.4882,-17.579866,46.09261,-32.968437,1671096442969.3857
30,-53.6068,45.322998,-90.182396,-17.579866,46.09261,-32.968437,1671096442985.1921
31,-43.5662,47.823997,-89.730995,-17.579866,46.09261,-32.968437,1671096443000.9985
32,-48.6414,47.738598,-88.498795,-17.579866,46.09261,-32.968437,1671096443016.805
33,-48.4218,47.982597,-90.987595,-17.579866,46.09261,-32.968437,1671096443032.6113
34,-56.0224,44.8228,-91.5366,-17.579866,46.09261,-32.968437,1671096443048.4177
35,-51.8134,45.3474,-91.902596,-17.579866,46.09261,-32.968437,1671096443064.224
36,-53.314,45.1156,-89.304,-17.579866,46.09261,-32.968437,1671096443080.0305
37,-46.9456,47.9216,-86.3882,-17.579866,46.09261,-32.968437,1671096443095.837
38,-51.630398,45.103397,-91.3658,-17.579866,46.09261,-32.968437,1671096443111.6433
39,-47.0676,47.433598,-90.7436,-17.579866,46.09261,-32.968437,1671096443127.4497
40,-52.886997,46.5552,-91.256,-17.579866,46.09261,-32.968437,1671096443143.256
41,-50.312798,45.384,-89.365,-17.579866,46.09261,-32.968437,1671096443159.0625
42,-55.0952,45.079,-90.9388,-17.579866,46.09261,-32.968437,1671096443174.869
43,-59.353,42.6268,-90.9144,-17.579866,46.09261,-32.968437,1671096443190.6753
44,-47.592197,46.1526,-90.6948,-17.579866,46.09261,-32.968437,1671096443206.4817
45,-51.362,45.261997,-90.035995,-17.579866,46.09261,-32.968437,1671096443222.288
46,-45.5792,48.446198,-86.803,-17.579866,46.09261,-32.968437,1671096443238.0945
47,-57.3522,43.8346,-91.8782,-17.579866,46.09261,-32.968437,1671096443253.901
48,-44.8838,47.0676,-87.6204,-17.579866,46.09261,-32.968437,1671096443269.7073
49,-59.048,44.0176,-93.305595,-17.579866,46.09261,-32.968437,1671096443285.5137
50,-54.8634,44.554398,-90.645996,-17.579866,46.09261,-32.968437,1671096443301.32
51,-55.388,44.2128,-90.5972,-17.579866,46.09261,-32.968437,1671096443317.1265
