,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,1.3054,55.912598,-78.6412,0.0,0.0,0.0,2568678225588,1
1,1.4518,55.985798,-79.604996,0.0,0.0,0.0,2568688219973,1
2,-4.4774,54.778,-81.471596,0.0,0.0,0.0,2568698220217,1
3,-3.0256,55.5588,-80.52,0.0,0.0,0.0,2568708220461,1
4,-4.4286,54.7902,-80.4834,0.0,0.0,0.0,2568718219973,1
5,-3.0988,53.7044,-78.1776,0.0,0.0,0.0,2568728212893,1
6,-2.1715999,54.192398,-81.4106,0.0,0.0,0.0,2568738212405,1
7,0.0488,55.6442,-79.3366,0.0,0.0,0.0,2568748220705,1
8,-0.7808,54.229,-77.6042,0.0,0.0,0.0,2568758219973,1
9,4.4652,55.0464,-76.8966,0.0,0.0,0.0,2568768220217,1
10,7.6372,57.6694,-77.3358,0.0,0.0,0.0,2568778220217,1
11,8.4911995,56.8886,-75.4326,0.0,0.0,0.0,2568788220217,1
12,7.9544,56.974,-75.4814,0.0,0.0,0.0,2568798220217,1
13,7.3199997,56.6446,-74.2736,0.0,0.0,0.0,2568808220461,1
14,8.9914,57.7304,-76.25,0.0,0.0,0.0,2568818220461,1
15,9.516,57.071598,-75.5424,0.0,0.0,0.0,2568828220217,1
16,8.723,56.998398,-76.4818,0.0,0.0,0.0,2568838212405,1
17,6.9662,56.7178,-77.5066,0.0,0.0,0.0,2568848212649,1
18,9.3818,57.1448,-75.4814,0.0,0.0,0.0,2568858217532,1
19,8.1496,56.449398,-75.8596,0.0,0.0,0.0,2568868220217,1
20,9.3574,57.5718,-75.7986,0.0,0.0,0.0,2568878219973,1
21,8.418,56.534798,-74.298,0.0,0.0,0.0,2568888219973,1
22,7.9544,56.8032,-75.762,0.0,0.0,0.0,2568898220461,1
23,9.9674,57.1936,-75.566795,0.0,0.0,0.0,2568908219973,1
24,8.5766,56.8154,-76.5916,0.0,0.0,0.0,2568918220217,1
25,8.0032,56.1932,-75.408195,0.0,0.0,0.0,2568928220217,1
26,9.028,57.0594,-75.554596,0.0,0.0,0.0,2568938220217,1
27,10.418799,57.705997,-76.7624,0.0,0.0,0.0,2568948219973,1
28,9.2842,57.1082,-75.5058,0.0,0.0,0.0,2568958220461,1
29,9.1988,57.0594,-75.518,0.0,0.0,0.0,2568968220461,1
30,10.5774,57.3278,-75.6644,0.0,0.0,0.0,2568978220217,1
31,11.0166,57.889,-75.457,0.0,0.0,0.0,2568988220217,1
32,10.0162,57.096,-75.5302,0.0,0.0,0.0,2568998220217,1
33,10.223599,57.8158,-76.506195,0.0,0.0,0.0,2569008219973,1
34,9.455,57.6084,-75.7864,0.0,0.0,0.0,2569018220217,1
35,10.6628,57.5962,-73.9686,0.0,0.0,0.0,2569028219973,1
36,8.6132,56.8886,-76.2744,0.0,0.0,0.0,2569038220461,1
37,9.1012,56.839798,-75.8108,0.0,0.0,0.0,2569048220217,1
38,9.6746,57.2668,-75.2252,0.0,0.0,0.0,2569058220217,1
39,8.0032,56.5104,-76.128,0.0,0.0,0.0,2569068220217,1
40,9.516,57.2546,-75.261795,0.0,0.0,0.0,2569078219973,1
41,9.4916,56.937397,-75.090996,0.0,0.0,0.0,2569088219973,1
42,8.3204,57.0228,-76.811195,0.0,0.0,0.0,2569098219973,1
43,9.1988,56.9496,-76.25,0.0,0.0,0.0,2569108219973,1
44,10.309,57.3522,-76.493996,0.0,0.0,0.0,2569118220217,1
45,10.3456,57.2912,-75.0544,0.0,0.0,0.0,2569128220461,1
46,10.248,57.2058,-76.6892,0.0,0.0,0.0,2569138220461,1
47,9.7478,56.913,-74.480995,0.0,0.0,0.0,2569148220217,1
48,10.1748,57.852398,-76.0914,0.0,0.0,0.0,2569158220705,1
49,10.028399,57.6694,-76.0914,0.0,0.0,0.0,2569168220217,1
50,9.9674,56.7056,-75.2374,0.0,0.0,0.0,2569178219729,1
51,8.0886,56.913,-75.5424,0.0,0.0,0.0,2569188220461,1
52,9.8331995,57.5108,-75.566795,0.0,0.0,0.0,2569198212649,1
53,9.638,57.3278,-76.7624,0.0,0.0,0.0,2569208220217,1
54,11.2484,57.791397,-75.1642,0.0,0.0,0.0,2569218219973,1
55,8.0398,56.6568,-76.5794,0.0,0.0,0.0,2569228220461,1
56,9.406199,57.279,-76.1646,0.0,0.0,0.0,2569238219973,1
57,9.638,56.7544,-75.762,0.0,0.0,0.0,2569248219973,1
58,10.6505995,57.3034,-75.5302,0.0,0.0,0.0,2569258220217,1
59,9.882,57.230198,-76.030396,0.0,0.0,0.0,2569268217776,1
60,9.638,56.937397,-75.4814,0.0,0.0,0.0,2569278212649,1
61,9.4672,56.925198,-75.5302,0.0,0.0,0.0,2569288221926,1
62,10.187,57.852398,-75.871796,0.0,0.0,0.0,2569298219729,1
63,9.4306,57.2912,-75.5058,0.0,0.0,0.0,2569308220217,1
64,12.1268,57.645,-74.151596,0.0,0.0,0.0,2569318220217,1
65,8.235,56.5958,-75.2252,0.0,0.0,0.0,2569328220217,1
66,10.6018,57.34,-75.1154,0.0,0.0,0.0,2569338219973,1
67,10.431,57.2546,-74.603,0.0,0.0,0.0,2569348220217,1
68,9.2354,57.1448,-75.090996,0.0,0.0,0.0,2569358220217,1
69,10.6262,57.9012,-75.566795,0.0,0.0,0.0,2569368220461,1
70,11.0044,57.315598,-75.0056,0.0,0.0,0.0,2569378212649,1
71,9.698999,57.156998,-75.8352,0.0,0.0,0.0,2569388220461,1
72,7.9056,56.3396,-75.1398,0.0,0.0,0.0,2569398219973,1
73,8.845,56.913,-74.9202,0.0,0.0,0.0,2569408220461,1
74,11.565599,57.547398,-75.03,0.0,0.0,0.0,2569418220461,1
75,10.004,57.096,-75.64,0.0,0.0,0.0,2569428220217,1
76,10.431,57.388798,-75.823,0.0,0.0,0.0,2569438219973,1
77,10.223599,57.1082,-74.5054,0.0,0.0,0.0,2569448219973,1
78,11.1142,57.3522,-74.664,0.0,0.0,0.0,2569458220461,1
79,10.6628,57.7304,-74.969,0.0,0.0,0.0,2569468220461,1
80,10.028399,57.2058,-74.151596,0.0,0.0,0.0,2569478220950,1
81,10.4798,57.474197,-75.395996,0.0,0.0,0.0,2569488213137,1
82,12.870999,57.9622,-74.468796,0.0,0.0,0.0,2569498220217,1
83,8.881599,56.620197,-75.4936,0.0,0.0,0.0,2569508220217,1
84,11.224,57.7182,-74.932396,0.0,0.0,0.0,2569518220217,1
85,13.920199,57.828,-73.4196,0.0,0.0,0.0,2569528220217,1
86,11.370399,57.693798,-73.2732,0.0,0.0,0.0,2569538219973,1
87,11.6022,57.8036,-74.4322,0.0,0.0,0.0,2569548220217,1
88,9.8576,56.913,-75.64,0.0,0.0,0.0,2569558220217,1
89,8.783999,57.010597,-75.1764,0.0,0.0,0.0,2569568220461,1
90,10.7604,56.913,-75.518,0.0,0.0,0.0,2569578220461,1
91,9.308599,56.851997,-75.0056,0.0,0.0,0.0,2569588219241,1
92,9.2598,57.2058,-75.3106,0.0,0.0,0.0,2569598220217,1
93,10.223599,57.4254,-75.335,0.0,0.0,0.0,2569608220461,1
