,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,0.21959999,37.9054,-74.6884,0.0,0.0,0.0,3464479595950,1
1,1.037,38.186,-74.8592,0.0,0.0,0.0,3464489596194,1
2,-4.9044,37.2222,-77.445595,0.0,0.0,0.0,3464499595950,1
3,0.1464,37.82,-75.6522,0.0,0.0,0.0,3464509595950,1
4,1.3664,38.064,-73.7856,0.0,0.0,0.0,3464519595461,1
5,1.4884,37.4906,-73.846596,0.0,0.0,0.0,3464529595705,1
6,3.1109998,38.979,-74.5176,0.0,0.0,0.0,3464539595705,1
7,3.0988,38.6618,-74.1272,0.0,0.0,0.0,3464549595705,1
8,1.7811999,37.6858,-74.0296,0.0,0.0,0.0,3464559595705,1
9,2.562,37.7468,-73.5172,0.0,0.0,0.0,3464569595950,1
10,2.9889998,38.369,-74.2004,0.0,0.0,0.0,3464579583010,1
11,4.1846,38.857,-72.8218,0.0,0.0,0.0,3464589595705,1
12,1.1345999,37.6126,-75.3594,0.0,0.0,0.0,3464599595461,1
13,5.0141997,38.637398,-72.455795,0.0,0.0,0.0,3464609595705,1
14,5.2704,38.552,-71.3944,0.0,0.0,0.0,3464619583254,1
15,4.6726,38.125,-72.4192,0.0,0.0,0.0,3464629595705,1
16,3.8795998,38.4178,-72.6876,0.0,0.0,0.0,3464639595461,1
17,3.0133998,38.125,-73.4928,0.0,0.0,0.0,3464649595705,1
18,1.8543999,37.576,-73.553795,0.0,0.0,0.0,3464659595705,1
19,4.2455997,38.7472,-72.455795,0.0,0.0,0.0,3464669595950,1
20,2.4888,38.0274,-73.8222,0.0,0.0,0.0,3464679596194,1
21,3.2086,38.564198,-72.5656,0.0,0.0,0.0,3464689595950,1
22,5.0996,38.9302,-72.8218,0.0,0.0,0.0,3464699595950,1
23,3.7942,38.4422,-73.1512,0.0,0.0,0.0,3464709595705,1
24,1.6592,38.173798,-73.627,0.0,0.0,0.0,3464719595461,1
25,3.4404,38.1128,-72.9438,0.0,0.0,0.0,3464729595705,1
26,4.1358,38.4178,-74.2492,0.0,0.0,0.0,3464739595950,1
27,1.8909999,37.5394,-74.0784,0.0,0.0,0.0,3464749595950,1
28,2.2082,37.7346,-74.0418,0.0,0.0,0.0,3464759595950,1
29,3.8186,38.332397,-73.553795,0.0,0.0,0.0,3464769595705,1
30,3.172,38.3812,-73.7246,0.0,0.0,0.0,3464779595705,1
31,3.3916,38.2104,-73.0902,0.0,0.0,0.0,3464789591555,1
32,3.3062,38.173798,-72.895,0.0,0.0,0.0,3464799583010,1
33,2.9036,38.4422,-73.0536,0.0,0.0,0.0,3464809595950,1
34,3.4404,38.246998,-73.9564,0.0,0.0,0.0,3464819595705,1
35,7.7469997,39.2108,-71.8946,0.0,0.0,0.0,3464829595705,1
36,5.3314,38.5764,-72.2484,0.0,0.0,0.0,3464839595705,1
37,3.6478,38.0762,-73.4318,0.0,0.0,0.0,3464849595705,1
38,2.6108,38.0274,-74.542,0.0,0.0,0.0,3464859595705,1
39,4.209,38.246998,-73.1146,0.0,0.0,0.0,3464869595705,1
40,2.806,37.2954,-73.3586,0.0,0.0,0.0,3464879595705,1
41,4.7702,38.735,-73.2976,0.0,0.0,0.0,3464889596194,1
42,3.0621998,37.7712,-73.1878,0.0,0.0,0.0,3464899597170,1
43,3.3672,37.9664,-73.3708,0.0,0.0,0.0,3464909595950,1
44,3.6111999,37.7956,-71.9678,0.0,0.0,0.0,3464919595461,1
45,2.4888,38.2104,-73.4318,0.0,0.0,0.0,3464929595705,1
46,5.2093997,38.5398,-72.8096,0.0,0.0,0.0,3464939595705,1
47,3.355,38.3934,-73.3586,0.0,0.0,0.0,3464949595950,1
48,3.7942,38.3812,-72.4802,0.0,0.0,0.0,3464959595461,1
49,3.1598,38.491,-72.9926,0.0,0.0,0.0,3464969595705,1
50,2.8181999,38.0396,-73.7368,0.0,0.0,0.0,3464979593264,1
51,1.7202,38.1494,-73.8222,0.0,0.0,0.0,3464989595950,1
52,2.3302,38.2714,-73.81,0.0,0.0,0.0,3464999583254,1
53,1.9031999,38.0396,-74.1882,0.0,0.0,0.0,3465009583010,1
54,1.3298,38.2348,-74.2614,0.0,0.0,0.0,3465019595950,1
55,1.8665999,38.2836,-75.335,0.0,0.0,0.0,3465029595950,1
56,5.6608,39.223,-73.7246,0.0,0.0,0.0,3465039595705,1
57,6.6977997,39.6622,-73.6636,0.0,0.0,0.0,3465049595705,1
