,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,2.4522,54.961,-78.043396,0.0,0.0,0.0,2822784091799,1
1,2.074,56.1932,-79.922195,0.0,0.0,0.0,2822794086428,1
2,-3.294,53.265198,-79.3244,0.0,0.0,0.0,2822804086428,1
3,4.8434,56.9008,-79.7148,0.0,0.0,0.0,2822814086428,1
4,0.793,54.717,-78.7266,0.0,0.0,0.0,2822824086672,1
5,1.0248,54.9366,-78.824196,0.0,0.0,0.0,2822834079104,1
6,2.1227999,55.3392,-79.178,0.0,0.0,0.0,2822844086672,1
7,9.5648,57.4254,-77.3358,0.0,0.0,0.0,2822854086428,1
8,2.1106,55.1928,-78.3972,0.0,0.0,0.0,2822864086428,1
9,8.8206,57.6816,-78.019,0.0,0.0,0.0,2822874086428,1
10,10.8214,57.242397,-74.932396,0.0,0.0,0.0,2822884086672,1
11,4.6359997,55.8028,-77.1406,0.0,0.0,0.0,2822894086428,1
12,6.2342,55.6564,-76.372,0.0,0.0,0.0,2822904086428,1
13,7.7714,56.534798,-76.0792,0.0,0.0,0.0,2822914086428,1
14,11.0532,57.9134,-76.7502,0.0,0.0,0.0,2822924086672,1
15,8.2472,56.376198,-77.0064,0.0,0.0,0.0,2822934086428,1
16,11.467999,58.010998,-75.4814,0.0,0.0,0.0,2822944078616,1
17,12.4684,57.547398,-74.6884,0.0,0.0,0.0,2822954086428,1
18,9.4428,56.925198,-76.176796,0.0,0.0,0.0,2822964086428,1
19,9.503799,56.5104,-75.103195,0.0,0.0,0.0,2822974086184,1
20,11.407,57.4986,-76.5672,0.0,0.0,0.0,2822984086428,1
21,11.8462,57.0594,-75.823,0.0,0.0,0.0,2822994086184,1
22,9.821,56.5836,-75.8962,0.0,0.0,0.0,2823004086184,1
23,10.418799,56.8886,-75.823,0.0,0.0,0.0,2823014079104,1
24,9.638,56.7544,-75.871796,0.0,0.0,0.0,2823024079104,1
25,9.15,56.7422,-75.883995,0.0,0.0,0.0,2823034086184,1
26,9.455,56.6812,-75.578995,0.0,0.0,0.0,2823044086672,1
27,10.0528,56.9862,-75.713196,0.0,0.0,0.0,2823054079104,1
28,9.4428,56.4982,-76.2988,0.0,0.0,0.0,2823064086672,1
29,11.2972,57.1814,-74.468796,0.0,0.0,0.0,2823074086672,1
30,11.6388,57.3766,-74.005196,0.0,0.0,0.0,2823084086184,1
31,11.6876,56.9862,-75.2008,0.0,0.0,0.0,2823094086184,1
32,11.6876,56.8642,-76.030396,0.0,0.0,0.0,2823104086184,1
