,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-40.4796,58.096397,-79.239,-17.414808,48.837105,-32.69565,674626078289,1
1,-44.0542,57.8036,-81.0446,-17.414808,48.837105,-32.69565,674636078533,1
2,-48.2388,56.4982,-81.166595,-17.414808,48.837105,-32.69565,674646078045,1
3,-43.7126,56.6446,-80.276,-17.414808,48.837105,-32.69565,674656077801,1
4,-44.3592,56.8032,-79.7148,-17.414808,48.837105,-32.69565,674666078045,1
5,-49.7272,56.181,-81.252,-17.414808,48.837105,-32.69565,674676078045,1
6,-42.602398,58.1452,-80.1174,-17.414808,48.837105,-32.69565,674686065594,1
7,-35.4044,59.5116,-78.067795,-17.414808,48.837105,-32.69565,674696077801,1
8,-37.0392,58.5844,-78.385,-17.414808,48.837105,-32.69565,674706078045,1
9,-39.881798,58.1574,-78.7754,-17.414808,48.837105,-32.69565,674716067791,1
10,-37.2466,57.8768,-77.2992,-17.414808,48.837105,-32.69565,674726065350,1
11,-34.281998,59.9142,-77.6652,-17.414808,48.837105,-32.69565,674736077801,1
12,-42.3584,57.3034,-78.7876,-17.414808,48.837105,-32.69565,674746078289,1
13,-37.6004,58.3526,-78.141,-17.414808,48.837105,-32.69565,674756078045,1
14,-36.8074,58.8528,-76.982,-17.414808,48.837105,-32.69565,674766078289,1
15,-40.0648,57.7548,-78.0922,-17.414808,48.837105,-32.69565,674776077801,1
16,-37.551598,58.4258,-77.714,-17.414808,48.837105,-32.69565,674786078045,1
17,-35.4654,58.803997,-77.3846,-17.414808,48.837105,-32.69565,674796078045,1
18,-38.2592,58.5112,-77.909195,-17.414808,48.837105,-32.69565,674806078045,1
19,-39.0156,57.8768,-76.982,-17.414808,48.837105,-32.69565,674816078533,1
20,-33.7696,59.3042,-75.7742,-17.414808,48.837105,-32.69565,674826078289,1
21,-33.5866,58.8894,-75.5302,-17.414808,48.837105,-32.69565,674836078533,1
22,-37.5394,58.254997,-77.7872,-17.414808,48.837105,-32.69565,674846078289,1
23,-38.869198,57.4498,-77.6164,-17.414808,48.837105,-32.69565,674856077801,1
24,-35.3922,58.877197,-76.188995,-17.414808,48.837105,-32.69565,674866078289,1
25,-38.1494,57.8768,-77.6408,-17.414808,48.837105,-32.69565,674876078289,1
26,-38.942398,57.3034,-78.141,-17.414808,48.837105,-32.69565,674886078045,1
27,-37.881,58.242798,-78.1898,-17.414808,48.837105,-32.69565,674896065106,1
28,-37.5882,57.9256,-78.263,-17.414808,48.837105,-32.69565,674906078045,1
29,-37.624798,58.401398,-77.0796,-17.414808,48.837105,-32.69565,674916078289,1
30,-37.7468,58.5966,-77.909195,-17.414808,48.837105,-32.69565,674926082440,1
31,-35.4776,58.791798,-77.714,-17.414808,48.837105,-32.69565,674936078045,1
32,-35.0506,59.035797,-77.0064,-17.414808,48.837105,-32.69565,674946078045,1
33,-36.1242,58.2062,-76.555,-17.414808,48.837105,-32.69565,674956078289,1
34,-36.6244,58.645397,-78.506996,-17.414808,48.837105,-32.69565,674966078289,1
35,-36.8074,58.499,-77.8726,-17.414808,48.837105,-32.69565,674976078045,1
36,-36.7586,58.645397,-77.775,-17.414808,48.837105,-32.69565,674986078289,1
37,-36.661,58.3648,-76.9332,-17.414808,48.837105,-32.69565,674996078289,1
38,-38.2714,58.084198,-78.2508,-17.414808,48.837105,-32.69565,675006078289,1
39,-37.087997,58.3038,-77.2504,-17.414808,48.837105,-32.69565,675016078289,1
40,-36.7464,58.706398,-78.2264,-17.414808,48.837105,-32.69565,675026067303,1
41,-36.221798,58.486797,-77.286995,-17.414808,48.837105,-32.69565,675036083172,1
42,-38.735,58.4502,-78.994995,-17.414808,48.837105,-32.69565,675046078289,1
43,-37.9908,58.1208,-77.9824,-17.414808,48.837105,-32.69565,675056077801,1
44,-39.259598,57.6084,-78.824196,-17.414808,48.837105,-32.69565,675066078045,1
45,-38.3446,58.3648,-78.5436,-17.414808,48.837105,-32.69565,675076078289,1
46,-40.138,58.499,-80.1174,-17.414808,48.837105,-32.69565,675086078289,1
47,-39.6134,57.95,-78.4582,-17.414808,48.837105,-32.69565,675096077801,1
48,-38.735,58.0598,-77.8238,-17.414808,48.837105,-32.69565,675106078045,1
49,-40.894398,57.9134,-77.896996,-17.414808,48.837105,-32.69565,675116078289,1
50,-39.3694,58.242798,-78.994995,-17.414808,48.837105,-32.69565,675126065594,1
51,-37.075798,58.5112,-78.4826,-17.414808,48.837105,-32.69565,675136078045,1
52,-37.4906,58.1452,-77.750595,-17.414808,48.837105,-32.69565,675146078289,1
53,-39.2352,58.181797,-79.1658,-17.414808,48.837105,-32.69565,675156078289,1
54,-39.3816,58.242798,-79.3244,-17.414808,48.837105,-32.69565,675166078289,1
55,-39.2718,57.2912,-78.324,-17.414808,48.837105,-32.69565,675176077801,1
56,-40.7968,58.084198,-78.994995,-17.414808,48.837105,-32.69565,675186078289,1
57,-38.735,57.95,-78.7754,-17.414808,48.837105,-32.69565,675196078289,1
58,-39.344997,57.8158,-78.7876,-17.414808,48.837105,-32.69565,675206078289,1
59,-39.04,58.438,-78.531395,-17.414808,48.837105,-32.69565,675216078289,1
60,-37.6858,58.254997,-77.3846,-17.414808,48.837105,-32.69565,675226078289,1
61,-37.576,58.3648,-77.6042,-17.414808,48.837105,-32.69565,675236065350,1
62,-38.6984,57.9622,-77.896996,-17.414808,48.837105,-32.69565,675246079266,1
63,-39.8574,57.7304,-78.4582,-17.414808,48.837105,-32.69565,675256077801,1
64,-38.722797,57.95,-78.5558,-17.414808,48.837105,-32.69565,675266078045,1
65,-36.7952,58.5722,-77.9946,-17.414808,48.837105,-32.69565,675276078045,1
66,-38.4422,58.254997,-78.0068,-17.414808,48.837105,-32.69565,675286078289,1
67,-38.100597,58.3404,-78.372795,-17.414808,48.837105,-32.69565,675296077801,1
