,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-6.9417996,34.818798,-76.8722,-15.227382,46.57547,-33.300674,43457603505862,1,03575768cc23b2df,Kitchen3
1,-7.625,35.5386,-77.9702,-15.227382,46.57547,-33.300674,43457613501955,1,03575768cc23b2df,Kitchen3
2,-9.308599,35.7216,-79.1902,-15.227382,46.57547,-33.300674,43457623502444,1,03575768cc23b2df,Kitchen3
3,-4.5506,36.9416,-78.263,-15.227382,46.57547,-33.300674,43457633501955,1,03575768cc23b2df,Kitchen3
4,-8.783999,34.818798,-78.3118,-15.227382,46.57547,-33.300674,43457643501955,1,03575768cc23b2df,Kitchen3
5,-0.6832,36.295,-74.8714,-15.227382,46.57547,-33.300674,43457653501955,1,03575768cc23b2df,Kitchen3
6,-5.2581997,36.6,-78.5802,-15.227382,46.57547,-33.300674,43457663501955,1,03575768cc23b2df,Kitchen3
7,-5.0386,35.6118,-76.7868,-15.227382,46.57547,-33.300674,43457673501955,1,03575768cc23b2df,Kitchen3
8,1.7567999,36.8196,-75.1398,-15.227382,46.57547,-33.300674,43457683501955,1,03575768cc23b2df,Kitchen3
9,2.2326,37.697998,-74.9934,-15.227382,46.57547,-33.300674,43457693502444,1,03575768cc23b2df,Kitchen3
10,-0.8418,36.538998,-75.0788,-15.227382,46.57547,-33.300674,43457703493410,1,03575768cc23b2df,Kitchen3
11,-1.4396,36.722,-75.3838,-15.227382,46.57547,-33.300674,43457713501955,1,03575768cc23b2df,Kitchen3
12,1.7933999,36.8196,-74.2614,-15.227382,46.57547,-33.300674,43457723502200,1,03575768cc23b2df,Kitchen3
13,-1.1589999,36.661,-76.0548,-15.227382,46.57547,-33.300674,43457733502200,1,03575768cc23b2df,Kitchen3
14,-0.0122,36.2584,-73.9442,-15.227382,46.57547,-33.300674,43457743502200,1,03575768cc23b2df,Kitchen3
15,2.8548,36.8684,-72.602196,-15.227382,46.57547,-33.300674,43457753502200,1,03575768cc23b2df,Kitchen3
16,-1.708,36.5024,-75.9328,-15.227382,46.57547,-33.300674,43457763490725,1,03575768cc23b2df,Kitchen3
17,0.9882,37.0636,-76.25,-15.227382,46.57547,-33.300674,43457773502200,1,03575768cc23b2df,Kitchen3
18,2.257,37.271,-74.6762,-15.227382,46.57547,-33.300674,43457783502200,1,03575768cc23b2df,Kitchen3
19,4.6604,37.576,-74.151596,-15.227382,46.57547,-33.300674,43457793502200,1,03575768cc23b2df,Kitchen3
20,0.45139998,37.2588,-75.457,-15.227382,46.57547,-33.300674,43457803502444,1,03575768cc23b2df,Kitchen3
21,2.013,37.2222,-74.5176,-15.227382,46.57547,-33.300674,43457813500491,1,03575768cc23b2df,Kitchen3
22,1.1345999,36.929398,-75.420395,-15.227382,46.57547,-33.300674,43457823502200,1,03575768cc23b2df,Kitchen3
23,-0.2562,36.9172,-75.7742,-15.227382,46.57547,-33.300674,43457833501711,1,03575768cc23b2df,Kitchen3
24,0.53679997,36.7342,-74.5542,-15.227382,46.57547,-33.300674,43457843501955,1,03575768cc23b2df,Kitchen3
25,0.427,37.2588,-76.006,-15.227382,46.57547,-33.300674,43457853502200,1,03575768cc23b2df,Kitchen3
26,-0.732,35.9656,-75.3594,-15.227382,46.57547,-33.300674,43457863501955,1,03575768cc23b2df,Kitchen3
27,-0.4148,36.697598,-73.932,-15.227382,46.57547,-33.300674,43457873501955,1,03575768cc23b2df,Kitchen3
28,1.281,37.234398,-74.5908,-15.227382,46.57547,-33.300674,43457883501955,1,03575768cc23b2df,Kitchen3
29,1.6348,36.5024,-73.4684,-15.227382,46.57547,-33.300674,43457893502200,1,03575768cc23b2df,Kitchen3
30,2.1227999,36.5878,-74.237,-15.227382,46.57547,-33.300674,43457903501955,1,03575768cc23b2df,Kitchen3
31,2.2326,37.1246,-74.005196,-15.227382,46.57547,-33.300674,43457913489260,1,03575768cc23b2df,Kitchen3
32,2.3302,37.234398,-74.542,-15.227382,46.57547,-33.300674,43457923502444,1,03575768cc23b2df,Kitchen3
33,2.4888,37.4174,-74.3346,-15.227382,46.57547,-33.300674,43457933501955,1,03575768cc23b2df,Kitchen3
34,0.2928,36.6244,-73.627,-15.227382,46.57547,-33.300674,43457943501955,1,03575768cc23b2df,Kitchen3
35,3.0377998,37.9054,-74.8348,-15.227382,46.57547,-33.300674,43457953501711,1,03575768cc23b2df,Kitchen3
36,0.13419999,36.3194,-75.0056,-15.227382,46.57547,-33.300674,43457963502200,1,03575768cc23b2df,Kitchen3
37,1.1956,36.697598,-73.9564,-15.227382,46.57547,-33.300674,43457973502200,1,03575768cc23b2df,Kitchen3
38,-0.3172,36.453598,-75.249596,-15.227382,46.57547,-33.300674,43457983502200,1,03575768cc23b2df,Kitchen3
39,-0.6832,35.7216,-79.8368,-15.227382,46.57547,-33.300674,43457993502200,1,03575768cc23b2df,Kitchen3
40,1.5982,36.7464,-74.4078,-15.227382,46.57547,-33.300674,43458003501955,1,03575768cc23b2df,Kitchen3
41,1.281,36.7342,-74.151596,-15.227382,46.57547,-33.300674,43458013502688,1,03575768cc23b2df,Kitchen3
42,1.1223999,36.722,-74.0906,-15.227382,46.57547,-33.300674,43458023493899,1,03575768cc23b2df,Kitchen3
43,1.281,37.4052,-74.2004,-15.227382,46.57547,-33.300674,43458033501955,1,03575768cc23b2df,Kitchen3
44,1.0248,36.8196,-75.3228,-15.227382,46.57547,-33.300674,43458043501955,1,03575768cc23b2df,Kitchen3
45,0.8052,36.8562,-74.944595,-15.227382,46.57547,-33.300674,43458053502444,1,03575768cc23b2df,Kitchen3
46,0.121999994,36.3926,-75.9938,-15.227382,46.57547,-33.300674,43458063502200,1,03575768cc23b2df,Kitchen3
47,1.2444,37.4052,-74.969,-15.227382,46.57547,-33.300674,43458073502200,1,03575768cc23b2df,Kitchen3
48,1.5128,36.8806,-73.9198,-15.227382,46.57547,-33.300674,43458083502200,1,03575768cc23b2df,Kitchen3
49,2.9889998,37.1856,-73.932,-15.227382,46.57547,-33.300674,43458093501955,1,03575768cc23b2df,Kitchen3
50,2.013,36.9782,-74.237,-15.227382,46.57547,-33.300674,43458103502200,1,03575768cc23b2df,Kitchen3
51,1.6958,36.783,-74.2736,-15.227382,46.57547,-33.300674,43458113502200,1,03575768cc23b2df,Kitchen3
52,1.8787999,37.0392,-74.0784,-15.227382,46.57547,-33.300674,43458123491701,1,03575768cc23b2df,Kitchen3
53,2.135,37.332,-74.3956,-15.227382,46.57547,-33.300674,43458133502200,1,03575768cc23b2df,Kitchen3
54,-0.3904,36.7952,-75.9938,-15.227382,46.57547,-33.300674,43458143502200,1,03575768cc23b2df,Kitchen3
55,1.22,36.905,-75.2862,-15.227382,46.57547,-33.300674,43458153501955,1,03575768cc23b2df,Kitchen3
56,0.46359998,36.8318,-75.249596,-15.227382,46.57547,-33.300674,43458163502200,1,03575768cc23b2df,Kitchen3
57,-0.13419999,36.7098,-74.932396,-15.227382,46.57547,-33.300674,43458173502200,1,03575768cc23b2df,Kitchen3
58,1.5006,37.0148,-75.1398,-15.227382,46.57547,-33.300674,43458183501955,1,03575768cc23b2df,Kitchen3
59,0.121999994,35.7094,-75.8352,-15.227382,46.57547,-33.300674,43458193502200,1,03575768cc23b2df,Kitchen3
60,0.305,36.4048,-75.408195,-15.227382,46.57547,-33.300674,43458203502200,1,03575768cc23b2df,Kitchen3
61,1.5982,37.1002,-73.7246,-15.227382,46.57547,-33.300674,43458213502200,1,03575768cc23b2df,Kitchen3
62,1.2566,37.161198,-74.5786,-15.227382,46.57547,-33.300674,43458223502200,1,03575768cc23b2df,Kitchen3
63,1.22,36.5146,-73.9076,-15.227382,46.57547,-33.300674,43458233489504,1,03575768cc23b2df,Kitchen3
64,-0.0122,36.7464,-74.2614,-15.227382,46.57547,-33.300674,43458243501955,1,03575768cc23b2df,Kitchen3
65,2.3424,37.234398,-74.322395,-15.227382,46.57547,-33.300674,43458253501955,1,03575768cc23b2df,Kitchen3
66,2.9401999,37.7224,-73.749,-15.227382,46.57547,-33.300674,43458263501955,1,03575768cc23b2df,Kitchen3
67,1.4396,36.9172,-73.9442,-15.227382,46.57547,-33.300674,43458273502200,1,03575768cc23b2df,Kitchen3
68,0.8662,36.9904,-74.8592,-15.227382,46.57547,-33.300674,43458283501955,1,03575768cc23b2df,Kitchen3
69,2.1594,37.2954,-75.3594,-15.227382,46.57547,-33.300674,43458293501955,1,03575768cc23b2df,Kitchen3
70,3.0988,37.1856,-75.103195,-15.227382,46.57547,-33.300674,43458303501955,1,03575768cc23b2df,Kitchen3
71,0.7564,36.5024,-73.1512,-15.227382,46.57547,-33.300674,43458313501955,1,03575768cc23b2df,Kitchen3
72,1.3176,36.6244,-74.3346,-15.227382,46.57547,-33.300674,43458323501955,1,03575768cc23b2df,Kitchen3
73,3.233,37.4174,-74.0296,-15.227382,46.57547,-33.300674,43458333489260,1,03575768cc23b2df,Kitchen3
74,0.3538,36.905,-74.7494,-15.227382,46.57547,-33.300674,43458343502200,1,03575768cc23b2df,Kitchen3
75,0.854,36.7464,-75.03,-15.227382,46.57547,-33.300674,43458353501955,1,03575768cc23b2df,Kitchen3
76,1.0613999,36.5756,-74.2858,-15.227382,46.57547,-33.300674,43458363502200,1,03575768cc23b2df,Kitchen3
77,0.121999994,37.2466,-75.4326,-15.227382,46.57547,-33.300674,43458373501955,1,03575768cc23b2df,Kitchen3
78,1.1467999,36.929398,-75.213,-15.227382,46.57547,-33.300674,43458383501955,1,03575768cc23b2df,Kitchen3
79,3.4282,37.2466,-73.5172,-15.227382,46.57547,-33.300674,43458393502200,1,03575768cc23b2df,Kitchen3
80,3.2574,36.9172,-73.0536,-15.227382,46.57547,-33.300674,43458403502200,1,03575768cc23b2df,Kitchen3
