,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,12.480599,50.227398,-78.4582,-19.871798,47.590263,-31.83421,42703999850344,1
1,9.076799,50.0566,-79.2756,-19.871798,47.590263,-31.83421,42704009850100,1
2,13.847,50.6056,-78.0922,-19.871798,47.590263,-31.83421,42704019850100,1
3,15.0426,50.617798,-78.446,-19.871798,47.590263,-31.83421,42704029851076,1
4,16.775,50.9472,-76.677,-19.871798,47.590263,-31.83421,42704039850100,1
5,14.2374,50.703197,-77.1528,-19.871798,47.590263,-31.83421,42704049851565,1
6,18.0926,51.9232,-76.677,-19.871798,47.590263,-31.83421,42704059850344,1
7,18.580599,51.8012,-75.554596,-19.871798,47.590263,-31.83421,42704069851076,1
8,18.7636,51.3864,-75.3106,-19.871798,47.590263,-31.83421,42704079850344,1
9,16.8116,51.630398,-75.8474,-19.871798,47.590263,-31.83421,42704089852297,1
10,20.605799,52.5332,-75.7498,-19.871798,47.590263,-31.83421,42704099850344,1
11,16.323599,50.813,-76.652596,-19.871798,47.590263,-31.83421,42704109850100,1
12,17.372799,51.7524,-76.823395,-19.871798,47.590263,-31.83421,42704119850100,1
13,18.775799,52.277,-76.798996,-19.871798,47.590263,-31.83421,42704129850832,1
14,20.7156,52.569798,-75.2984,-19.871798,47.590263,-31.83421,42704139850100,1
15,18.1658,51.5694,-75.823,-19.871798,47.590263,-31.83421,42704149851076,1
16,18.3,51.5084,-75.883995,-19.871798,47.590263,-31.83421,42704159849856,1
17,16.1772,51.179,-75.5912,-19.871798,47.590263,-31.83421,42704169850588,1
18,16.3968,51.471798,-76.4574,-19.871798,47.590263,-31.83421,42704179850100,1
19,17.104399,51.8134,-76.1402,-19.871798,47.590263,-31.83421,42704189851565,1
20,18.5074,51.788998,-77.1894,-19.871798,47.590263,-31.83421,42704199848147,1
21,17.324,52.106197,-77.128395,-19.871798,47.590263,-31.83421,42704209846926,1
22,16.6774,51.020397,-75.64,-19.871798,47.590263,-31.83421,42704219850100,1
23,15.615999,51.715797,-77.896996,-19.871798,47.590263,-31.83421,42704229850588,1
24,19.1906,51.8256,-76.5916,-19.871798,47.590263,-31.83421,42704239850344,1
25,18.5562,51.5084,-77.5432,-19.871798,47.590263,-31.83421,42704249851076,1
26,16.3358,50.8252,-76.3232,-19.871798,47.590263,-31.83421,42704259849856,1
27,18.0072,52.252598,-75.578995,-19.871798,47.590263,-31.83421,42704269851809,1
28,19.215,52.0086,-75.6522,-19.871798,47.590263,-31.83421,42704279850100,1
29,17.0312,50.9228,-76.176796,-19.871798,47.590263,-31.83421,42704289850588,1
30,17.7144,51.3376,-76.86,-19.871798,47.590263,-31.83421,42704299850588,1
31,16.909199,51.557198,-76.677,-19.871798,47.590263,-31.83421,42704309850588,1
32,16.6774,51.2644,-75.9084,-19.871798,47.590263,-31.83421,42704319849612,1
33,17.9462,51.7402,-76.677,-19.871798,47.590263,-31.83421,42704329851565,1
34,20.0324,51.788998,-75.5058,-19.871798,47.590263,-31.83421,42704339850100,1
35,18.1292,52.252598,-76.6282,-19.871798,47.590263,-31.83421,42704349851076,1
36,18.1292,51.8134,-76.640396,-19.871798,47.590263,-31.83421,42704359850100,1
37,17.8608,50.776398,-76.2622,-19.871798,47.590263,-31.83421,42704369850588,1
38,17.751,51.6548,-76.7014,-19.871798,47.590263,-31.83421,42704379850344,1
39,17.0678,51.313198,-76.5794,-19.871798,47.590263,-31.83421,42704389850588,1
40,15.9942,51.7402,-76.9454,-19.871798,47.590263,-31.83421,42704399850588,1
41,19.581,52.411198,-76.0914,-19.871798,47.590263,-31.83421,42704409843752,1
42,16.531,51.0326,-77.5188,-19.871798,47.590263,-31.83421,42704419850100,1
43,16.7994,51.4474,-76.4574,-19.871798,47.590263,-31.83421,42704429851076,1
44,17.7022,51.2034,-75.8596,-19.871798,47.590263,-31.83421,42704439849612,1
45,18.1292,51.5694,-76.7014,-19.871798,47.590263,-31.83421,42704449838137,1
46,18.0072,50.9594,-76.372,-19.871798,47.590263,-31.83421,42704459849856,1
47,17.4948,51.2278,-75.4814,-19.871798,47.590263,-31.83421,42704469851565,1
48,15.0182,50.3372,-76.8844,-19.871798,47.590263,-31.83421,42704479850100,1
49,16.5798,51.862198,-77.3602,-19.871798,47.590263,-31.83421,42704489850588,1
50,18.190199,51.715797,-76.2744,-19.871798,47.590263,-31.83421,42704499850588,1
51,18.7148,50.7398,-75.0666,-19.871798,47.590263,-31.83421,42704509851809,1
52,16.0552,50.9472,-76.5428,-19.871798,47.590263,-31.83421,42704519850344,1
53,16.4944,51.8256,-77.165,-19.871798,47.590263,-31.83421,42704529850344,1
54,16.3968,51.1058,-77.2382,-19.871798,47.590263,-31.83421,42704539850100,1
55,18.3732,51.2888,-76.25,-19.871798,47.590263,-31.83421,42704549851076,1
56,15.7624,50.8984,-77.2504,-19.871798,47.590263,-31.83421,42704559850344,1
57,18.1658,51.7524,-75.4326,-19.871798,47.590263,-31.83421,42704569851076,1
58,17.763199,51.5938,-75.9328,-19.871798,47.590263,-31.83421,42704579850100,1
59,17.726599,51.3376,-76.640396,-19.871798,47.590263,-31.83421,42704589851076,1
60,17.2508,51.2034,-77.165,-19.871798,47.590263,-31.83421,42704599850344,1
61,18.483,52.0818,-76.3964,-19.871798,47.590263,-31.83421,42704609851321,1
62,18.0804,51.4962,-77.0186,-19.871798,47.590263,-31.83421,42704619849856,1
63,17.994999,51.5206,-77.3724,-19.871798,47.590263,-31.83421,42704629845461,1
64,18.421999,51.4352,-76.1646,-19.871798,47.590263,-31.83421,42704639849612,1
65,19.239399,52.4722,-76.8356,-19.871798,47.590263,-31.83421,42704649851565,1
66,17.3118,51.6548,-75.518,-19.871798,47.590263,-31.83421,42704659849856,1
67,17.812,51.423,-75.335,-19.871798,47.590263,-31.83421,42704669851076,1
68,17.763199,51.545,-77.433395,-19.871798,47.590263,-31.83421,42704679850100,1
69,17.019,51.9232,-76.9454,-19.871798,47.590263,-31.83421,42704689851565,1
70,17.531399,51.6182,-75.9938,-19.871798,47.590263,-31.83421,42704699849856,1
