,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-40.1868,57.645,-78.0922,-17.414808,48.837105,-32.69565,791206112225,1,03575768cc23b2df,Park
1,-39.723198,57.7304,-79.1902,-17.414808,48.837105,-32.69565,791216111981,1,03575768cc23b2df,Park
2,-41.8582,56.6446,-78.6168,-17.414808,48.837105,-32.69565,791226093426,1,03575768cc23b2df,Park
3,-41.516598,56.839798,-78.0312,-17.414808,48.837105,-32.69565,791236094403,1,03575768cc23b2df,Park
4,-38.954597,57.8402,-77.3968,-17.414808,48.837105,-32.69565,791246111981,1,03575768cc23b2df,Park
5,-36.697598,57.2912,-76.7136,-17.414808,48.837105,-32.69565,791256111981,1,03575768cc23b2df,Park
6,-41.821598,56.8642,-79.6294,-17.414808,48.837105,-32.69565,791266111981,1,03575768cc23b2df,Park
7,-36.661,58.5478,-76.7624,-17.414808,48.837105,-32.69565,791276111981,1,03575768cc23b2df,Park
8,-37.4418,57.95,-74.773796,-17.414808,48.837105,-32.69565,791286111981,1,03575768cc23b2df,Park
9,-38.5398,57.3278,-76.640396,-17.414808,48.837105,-32.69565,791296111981,1,03575768cc23b2df,Park
10,-34.8554,58.0476,-75.6522,-17.414808,48.837105,-32.69565,791306111737,1,03575768cc23b2df,Park
11,-32.5496,59.108997,-73.9076,-17.414808,48.837105,-32.69565,791316111737,1,03575768cc23b2df,Park
12,-34.4528,58.706398,-75.5912,-17.414808,48.837105,-32.69565,791326111981,1,03575768cc23b2df,Park
13,-34.648,58.0598,-74.639595,-17.414808,48.837105,-32.69565,791336100506,1,03575768cc23b2df,Park
14,-34.977398,58.499,-76.7624,-17.414808,48.837105,-32.69565,791346093182,1,03575768cc23b2df,Park
15,-34.9164,58.5844,-75.7864,-17.414808,48.837105,-32.69565,791356113446,1,03575768cc23b2df,Park
16,-35.6728,57.6572,-76.5306,-17.414808,48.837105,-32.69565,791366111981,1,03575768cc23b2df,Park
17,-35.7094,58.194,-76.1158,-17.414808,48.837105,-32.69565,791376111981,1,03575768cc23b2df,Park
18,-32.6228,59.0724,-73.6026,-17.414808,48.837105,-32.69565,791386111737,1,03575768cc23b2df,Park
19,-34.8066,59.0114,-76.8356,-17.414808,48.837105,-32.69565,791396111981,1,03575768cc23b2df,Park
20,-33.7818,60.048397,-76.7014,-17.414808,48.837105,-32.69565,791406093426,1,03575768cc23b2df,Park
21,-36.453598,57.6572,-77.7018,-17.414808,48.837105,-32.69565,791416111737,1,03575768cc23b2df,Park
22,-32.9034,58.682,-76.9332,-17.414808,48.837105,-32.69565,791426111981,1,03575768cc23b2df,Park
23,-35.38,58.3404,-77.262596,-17.414808,48.837105,-32.69565,791436111737,1,03575768cc23b2df,Park
24,-35.3434,57.9866,-77.0674,-17.414808,48.837105,-32.69565,791446107342,1,03575768cc23b2df,Park
25,-37.4906,57.035,-77.9336,-17.414808,48.837105,-32.69565,791456111981,1,03575768cc23b2df,Park
26,-37.1856,57.8402,-77.3846,-17.414808,48.837105,-32.69565,791466111737,1,03575768cc23b2df,Park
27,-35.8192,58.1086,-77.9702,-17.414808,48.837105,-32.69565,791476111737,1,03575768cc23b2df,Park
28,-36.5878,58.1086,-78.812,-17.414808,48.837105,-32.69565,791486093182,1,03575768cc23b2df,Park
29,-32.720398,59.426197,-74.9934,-17.414808,48.837105,-32.69565,791496112225,1,03575768cc23b2df,Park
30,-33.5988,58.877197,-75.8474,-17.414808,48.837105,-32.69565,791506111737,1,03575768cc23b2df,Park
31,-35.0994,58.938198,-75.4814,-17.414808,48.837105,-32.69565,791516112225,1,03575768cc23b2df,Park
32,-33.4402,58.706398,-76.4208,-17.414808,48.837105,-32.69565,791526111981,1,03575768cc23b2df,Park
33,-34.2942,58.718597,-75.554596,-17.414808,48.837105,-32.69565,791536111981,1,03575768cc23b2df,Park
34,-34.830997,58.438,-76.493996,-17.414808,48.837105,-32.69565,791546097088,1,03575768cc23b2df,Park
35,-31.8786,59.1578,-75.9206,-17.414808,48.837105,-32.69565,791556111981,1,03575768cc23b2df,Park
36,-32.3178,59.353,-76.3964,-17.414808,48.837105,-32.69565,791566111981,1,03575768cc23b2df,Park
37,-33.3914,58.5356,-75.725395,-17.414808,48.837105,-32.69565,791576111981,1,03575768cc23b2df,Park
38,-33.7452,58.4502,-75.6888,-17.414808,48.837105,-32.69565,791586093670,1,03575768cc23b2df,Park
39,-32.3788,59.194397,-74.310196,-17.414808,48.837105,-32.69565,791596112713,1,03575768cc23b2df,Park
40,-34.953,58.072,-76.4452,-17.414808,48.837105,-32.69565,791606111737,1,03575768cc23b2df,Park
41,-34.6968,58.621,-76.823395,-17.414808,48.837105,-32.69565,791616111737,1,03575768cc23b2df,Park
42,-31.610199,59.5238,-76.25,-17.414808,48.837105,-32.69565,791626111981,1,03575768cc23b2df,Park
43,-31.9518,59.0602,-74.8348,-17.414808,48.837105,-32.69565,791636111737,1,03575768cc23b2df,Park
44,-33.6842,58.645397,-73.9808,-17.414808,48.837105,-32.69565,791646111004,1,03575768cc23b2df,Park
45,-34.8066,58.1208,-75.2252,-17.414808,48.837105,-32.69565,791656111981,1,03575768cc23b2df,Park
46,-34.2332,58.6088,-75.1886,-17.414808,48.837105,-32.69565,791666112225,1,03575768cc23b2df,Park
47,-35.929,57.852398,-76.640396,-17.414808,48.837105,-32.69565,791676111981,1,03575768cc23b2df,Park
48,-35.4288,58.194,-77.128395,-17.414808,48.837105,-32.69565,791686111981,1,03575768cc23b2df,Park
49,-34.1844,59.1456,-76.493996,-17.414808,48.837105,-32.69565,791696111737,1,03575768cc23b2df,Park
50,-34.6236,58.5234,-76.030396,-17.414808,48.837105,-32.69565,791706111737,1,03575768cc23b2df,Park
51,-34.4772,58.633198,-75.5912,-17.414808,48.837105,-32.69565,791716111981,1,03575768cc23b2df,Park
52,-35.2214,57.779198,-76.335396,-17.414808,48.837105,-32.69565,791726111981,1,03575768cc23b2df,Park
53,-33.818398,58.3038,-76.1036,-17.414808,48.837105,-32.69565,791736111737,1,03575768cc23b2df,Park
54,-34.9896,58.3648,-75.871796,-17.414808,48.837105,-32.69565,791746104168,1,03575768cc23b2df,Park
55,-33.427998,58.5722,-74.9812,-17.414808,48.837105,-32.69565,791756112225,1,03575768cc23b2df,Park
56,-34.404,58.743,-76.677,-17.414808,48.837105,-32.69565,791766111981,1,03575768cc23b2df,Park
57,-32.0738,58.9016,-76.2256,-17.414808,48.837105,-32.69565,791776111981,1,03575768cc23b2df,Park
58,-35.8802,57.8158,-77.165,-17.414808,48.837105,-32.69565,791786111737,1,03575768cc23b2df,Park
59,-33.306,57.889,-75.9938,-17.414808,48.837105,-32.69565,791796111737,1,03575768cc23b2df,Park
60,-35.2214,58.3892,-75.823,-17.414808,48.837105,-32.69565,791806112225,1,03575768cc23b2df,Park
61,-35.014,58.474598,-75.4692,-17.414808,48.837105,-32.69565,791816111981,1,03575768cc23b2df,Park
62,-35.1238,58.559998,-76.921,-17.414808,48.837105,-32.69565,791826111737,1,03575768cc23b2df,Park
63,-33.367,58.8528,-75.8962,-17.414808,48.837105,-32.69565,791836111737,1,03575768cc23b2df,Park
64,-33.1718,59.182198,-76.030396,-17.414808,48.837105,-32.69565,791846093182,1,03575768cc23b2df,Park
65,-31.4882,59.182198,-74.42,-17.414808,48.837105,-32.69565,791856093426,1,03575768cc23b2df,Park
66,-32.805798,59.3164,-74.1272,-17.414808,48.837105,-32.69565,791866113446,1,03575768cc23b2df,Park
67,-35.38,58.023197,-76.5428,-17.414808,48.837105,-32.69565,791876111737,1,03575768cc23b2df,Park
68,-34.6602,58.377,-75.7864,-17.414808,48.837105,-32.69565,791886111981,1,03575768cc23b2df,Park
