,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-4.148,35.294598,-76.067,-15.227382,46.57547,-33.300674,43278157353030,1
1,-4.8556,35.3312,-77.7628,-15.227382,46.57547,-33.300674,43278167353030,1
2,-7.9909997,34.709,-77.8726,-15.227382,46.57547,-33.300674,43278177352785,1
3,-2.2203999,35.9046,-75.6034,-15.227382,46.57547,-33.300674,43278187351076,1
4,-2.6352,35.2458,-76.1036,-15.227382,46.57547,-33.300674,43278197339846,1
5,-1.8909999,35.8558,-74.969,-15.227382,46.57547,-33.300674,43278207353030,1
6,2.1715999,36.1608,-73.3708,-15.227382,46.57547,-33.300674,43278217352785,1
7,-4.7092,35.1238,-76.2744,-15.227382,46.57547,-33.300674,43278227353030,1
8,-0.732,35.7216,-75.0788,-15.227382,46.57547,-33.300674,43278237347659,1
9,3.6478,36.4048,-72.7242,-15.227382,46.57547,-33.300674,43278247352785,1
10,0.95159996,35.6484,-73.139,-15.227382,46.57547,-33.300674,43278257359866,1
11,0.93939996,35.9656,-73.9564,-15.227382,46.57547,-33.300674,43278267352785,1
12,0.2928,36.2584,-74.627396,-15.227382,46.57547,-33.300674,43278277352785,1
13,-3.5258,35.4288,-75.725395,-15.227382,46.57547,-33.300674,43278287352785,1
14,2.7206,36.2096,-74.2248,-15.227382,46.57547,-33.300674,43278297353274,1
15,1.2566,36.295,-74.932396,-15.227382,46.57547,-33.300674,43278307347903,1
16,2.4034,37.271,-75.1886,-15.227382,46.57547,-33.300674,43278317340334,1
17,0.96379995,36.356,-74.908,-15.227382,46.57547,-33.300674,43278327353030,1
18,0.3294,35.831398,-74.0906,-15.227382,46.57547,-33.300674,43278337352785,1
19,1.1956,36.221798,-75.6888,-15.227382,46.57547,-33.300674,43278347353030,1
20,2.257,36.0144,-73.858795,-15.227382,46.57547,-33.300674,43278357352785,1
21,-0.56119996,35.684998,-76.433,-15.227382,46.57547,-33.300674,43278367352785,1
22,1.4884,36.5146,-75.1398,-15.227382,46.57547,-33.300674,43278377347659,1
23,2.8181999,36.5756,-74.9202,-15.227382,46.57547,-33.300674,43278387352785,1
24,0.1952,35.6118,-75.152,-15.227382,46.57547,-33.300674,43278397343264,1
25,1.3542,36.148598,-75.3106,-15.227382,46.57547,-33.300674,43278407340090,1
26,3.0621998,36.051,-74.0906,-15.227382,46.57547,-33.300674,43278417352541,1
27,1.6104,36.453598,-75.518,-15.227382,46.57547,-33.300674,43278427352785,1
28,1.0857999,36.0998,-75.6888,-15.227382,46.57547,-33.300674,43278437352785,1
29,3.3184,36.5268,-74.1394,-15.227382,46.57547,-33.300674,43278447352541,1
30,3.0865998,36.6244,-74.542,-15.227382,46.57547,-33.300674,43278457352785,1
31,1.8055999,36.1364,-74.2126,-15.227382,46.57547,-33.300674,43278467352785,1
32,1.8055999,36.3194,-73.8222,-15.227382,46.57547,-33.300674,43278477352785,1
33,0.56119996,35.453197,-74.7006,-15.227382,46.57547,-33.300674,43278487352541,1
34,1.4884,35.9534,-74.359,-15.227382,46.57547,-33.300674,43278497352785,1
35,1.464,36.0144,-75.4692,-15.227382,46.57547,-33.300674,43278507340334,1
36,1.586,36.8806,-75.8352,-15.227382,46.57547,-33.300674,43278517353030,1
37,2.6474,36.5024,-74.298,-15.227382,46.57547,-33.300674,43278527352785,1
38,1.5616,36.234,-74.8348,-15.227382,46.57547,-33.300674,43278537352785,1
39,4.6726,37.075798,-73.4928,-15.227382,46.57547,-33.300674,43278547339602,1
40,2.3179998,35.9412,-75.6644,-15.227382,46.57547,-33.300674,43278557352541,1
41,1.6104,35.8802,-74.639595,-15.227382,46.57547,-33.300674,43278567352785,1
42,1.6958,36.234,-75.6766,-15.227382,46.57547,-33.300674,43278577353030,1
43,3.5746,36.770798,-75.7498,-15.227382,46.57547,-33.300674,43278587352785,1
44,1.2688,35.7338,-73.7124,-15.227382,46.57547,-33.300674,43278597352785,1
45,0.7808,35.7338,-75.8962,-15.227382,46.57547,-33.300674,43278607343508,1
46,2.4766,35.807,-74.7372,-15.227382,46.57547,-33.300674,43278617351809,1
47,2.074,36.5024,-74.773796,-15.227382,46.57547,-33.300674,43278627353030,1
48,2.745,36.6,-74.8348,-15.227382,46.57547,-33.300674,43278637352785,1
49,2.5254,36.770798,-75.6888,-15.227382,46.57547,-33.300674,43278647352541,1
50,3.9528,36.722,-74.1272,-15.227382,46.57547,-33.300674,43278657353030,1
51,1.3664,36.4048,-75.249596,-15.227382,46.57547,-33.300674,43278667353030,1
52,1.4152,36.234,-74.4444,-15.227382,46.57547,-33.300674,43278677352785,1
53,1.8177999,36.0266,-74.8348,-15.227382,46.57547,-33.300674,43278687352541,1
54,1.6836,36.661,-75.6644,-15.227382,46.57547,-33.300674,43278697352541,1
55,0.52459997,35.868,-75.3472,-15.227382,46.57547,-33.300674,43278707353030,1
56,2.2203999,37.002598,-75.4936,-15.227382,46.57547,-33.300674,43278717352541,1
57,2.9889998,37.075798,-75.103195,-15.227382,46.57547,-33.300674,43278727339846,1
58,1.8299999,35.916798,-75.6766,-15.227382,46.57547,-33.300674,43278737352541,1
59,3.4526,36.3926,-73.4196,-15.227382,46.57547,-33.300674,43278747353518,1
60,4.9653997,36.8318,-74.115,-15.227382,46.57547,-33.300674,43278757352785,1
61,3.843,36.929398,-74.5298,-15.227382,46.57547,-33.300674,43278767353030,1
62,2.3302,36.3682,-75.0056,-15.227382,46.57547,-33.300674,43278777354250,1
63,1.5128,35.9046,-75.213,-15.227382,46.57547,-33.300674,43278787353030,1
64,0.4148,35.831398,-75.7986,-15.227382,46.57547,-33.300674,43278797353030,1
65,1.7202,35.624,-75.7498,-15.227382,46.57547,-33.300674,43278807352785,1
66,2.501,36.453598,-75.408195,-15.227382,46.57547,-33.300674,43278817348391,1
67,1.3298,36.7586,-75.335,-15.227382,46.57547,-33.300674,43278827357424,1
68,2.3668,36.2706,-75.1886,-15.227382,46.57547,-33.300674,43278837352785,1
69,2.684,36.6366,-74.7616,-15.227382,46.57547,-33.300674,43278847352785,1
70,4.9653997,37.271,-73.7856,-15.227382,46.57547,-33.300674,43278857352541,1
71,1.7689999,36.2096,-75.4326,-15.227382,46.57547,-33.300674,43278867352785,1
72,1.464,35.9412,-74.798195,-15.227382,46.57547,-33.300674,43278877352785,1
73,0.3416,36.0388,-75.5424,-15.227382,46.57547,-33.300674,43278887347903,1
74,1.7202,36.2462,-75.0178,-15.227382,46.57547,-33.300674,43278897352785,1
75,2.135,36.722,-75.0178,-15.227382,46.57547,-33.300674,43278907359133,1
76,1.4518,36.1974,-75.395996,-15.227382,46.57547,-33.300674,43278917353030,1
77,3.3184,36.0998,-74.151596,-15.227382,46.57547,-33.300674,43278927342776,1
78,1.6592,36.2706,-74.932396,-15.227382,46.57547,-33.300674,43278937352541,1
79,2.1594,36.4292,-75.8108,-15.227382,46.57547,-33.300674,43278947352785,1
80,2.9889998,36.5756,-74.5542,-15.227382,46.57547,-33.300674,43278957347414,1
81,2.9524,36.3682,-73.871,-15.227382,46.57547,-33.300674,43278967352541,1
82,2.2447999,36.2706,-74.237,-15.227382,46.57547,-33.300674,43278977352541,1
83,2.6596,36.6366,-75.2984,-15.227382,46.57547,-33.300674,43278987352541,1
84,0.3538,36.0388,-75.213,-15.227382,46.57547,-33.300674,43278997352541,1
85,0.8662,35.8802,-75.152,-15.227382,46.57547,-33.300674,43279007353030,1
86,3.1964,36.3438,-73.4806,-15.227382,46.57547,-33.300674,43279017353030,1
87,2.5864,36.6,-74.664,-15.227382,46.57547,-33.300674,43279027340090,1
88,2.1106,36.783,-76.018196,-15.227382,46.57547,-33.300674,43279037339358,1
89,2.3179998,36.3438,-73.2732,-15.227382,46.57547,-33.300674,43279047352785,1
90,4.7336,37.161198,-72.7364,-15.227382,46.57547,-33.300674,43279057352785,1
91,3.0012,36.465797,-75.2862,-15.227382,46.57547,-33.300674,43279067352785,1
