,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-6.6734,35.209198,-79.4952,-15.227382,46.57547,-33.300674,43384599404299,1
1,-4.8434,35.5142,-76.9332,-15.227382,46.57547,-33.300674,43384609403811,1
2,-9.991799,34.196598,-78.689995,-15.227382,46.57547,-33.300674,43384619395754,1
3,-4.9288,35.4288,-78.3484,-15.227382,46.57547,-33.300674,43384629402834,1
4,-2.806,36.7098,-75.0666,-15.227382,46.57547,-33.300674,43384639390871,1
5,-3.5623999,36.4902,-77.7994,-15.227382,46.57547,-33.300674,43384649403811,1
6,-8.0032,34.196598,-77.8726,-15.227382,46.57547,-33.300674,43384659404299,1
7,-4.4042,36.2706,-78.6168,-15.227382,46.57547,-33.300674,43384669403811,1
8,3.0133998,37.6492,-75.335,-15.227382,46.57547,-33.300674,43384679404299,1
9,-0.7442,36.2096,-75.8474,-15.227382,46.57547,-33.300674,43384689404055,1
10,-0.26839998,36.7342,-76.3842,-15.227382,46.57547,-33.300674,43384699404299,1
11,1.7202,36.5634,-75.7376,-15.227382,46.57547,-33.300674,43384709403811,1
12,1.2078,37.1002,-77.0674,-15.227382,46.57547,-33.300674,43384719404055,1
13,1.9031999,36.7464,-74.9812,-15.227382,46.57547,-33.300674,43384729390871,1
14,1.6226,36.8806,-75.0788,-15.227382,46.57547,-33.300674,43384739403811,1
15,1.3298,37.2588,-75.6644,-15.227382,46.57547,-33.300674,43384749404299,1
16,-1.281,36.1242,-76.067,-15.227382,46.57547,-33.300674,43384759404055,1
17,3.0988,36.8684,-74.3834,-15.227382,46.57547,-33.300674,43384769404055,1
18,1.1589999,36.2584,-74.944595,-15.227382,46.57547,-33.300674,43384779404299,1
19,1.1589999,36.5024,-75.3228,-15.227382,46.57547,-33.300674,43384789403811,1
20,0.1464,36.075397,-74.5054,-15.227382,46.57547,-33.300674,43384799404055,1
21,3.0621998,36.5512,-74.639595,-15.227382,46.57547,-33.300674,43384809404055,1
22,4.1846,36.9538,-74.3468,-15.227382,46.57547,-33.300674,43384819404055,1
23,-0.1952,36.5146,-76.86,-15.227382,46.57547,-33.300674,43384829396731,1
24,0.93939996,36.356,-75.457,-15.227382,46.57547,-33.300674,43384839404299,1
25,-1.0004,35.3068,-76.1402,-15.227382,46.57547,-33.300674,43384849404055,1
26,-0.1586,36.453598,-75.4326,-15.227382,46.57547,-33.300674,43384859404055,1
27,1.9031999,36.5634,-75.3716,-15.227382,46.57547,-33.300674,43384869403567,1
28,1.3664,36.7952,-76.5306,-15.227382,46.57547,-33.300674,43384879404055,1
29,1.0126,36.5024,-74.932396,-15.227382,46.57547,-33.300674,43384889403811,1
30,0.90279996,36.7098,-75.3228,-15.227382,46.57547,-33.300674,43384899404055,1
31,1.9886,36.783,-75.0666,-15.227382,46.57547,-33.300674,43384909403811,1
32,0.87839997,35.8924,-74.7128,-15.227382,46.57547,-33.300674,43384919404299,1
33,1.5006,36.5146,-74.9202,-15.227382,46.57547,-33.300674,43384929393069,1
34,2.379,37.2466,-73.566,-15.227382,46.57547,-33.300674,43384939403811,1
35,2.0983999,36.7586,-74.3956,-15.227382,46.57547,-33.300674,43384949403567,1
36,-0.0854,36.063198,-76.0792,-15.227382,46.57547,-33.300674,43384959404299,1
37,0.0488,35.8558,-75.1398,-15.227382,46.57547,-33.300674,43384969404299,1
38,2.562,36.453598,-74.1028,-15.227382,46.57547,-33.300674,43384979404055,1
39,0.92719996,37.075798,-74.1028,-15.227382,46.57547,-33.300674,43384989403811,1
40,1.3176,36.2584,-75.1276,-15.227382,46.57547,-33.300674,43384999404055,1
41,-0.5856,35.6484,-75.03,-15.227382,46.57547,-33.300674,43385009404299,1
42,2.7206,36.7098,-74.4444,-15.227382,46.57547,-33.300674,43385019404055,1
43,3.0621998,36.9782,-74.2004,-15.227382,46.57547,-33.300674,43385029404055,1
44,0.93939996,36.5268,-75.0666,-15.227382,46.57547,-33.300674,43385039391116,1
45,2.7694,36.966,-73.505,-15.227382,46.57547,-33.300674,43385049390627,1
46,4.575,38.173798,-75.274,-15.227382,46.57547,-33.300674,43385059403567,1
47,1.9031999,36.7464,-74.9812,-15.227382,46.57547,-33.300674,43385069403811,1
48,2.562,36.9538,-74.5298,-15.227382,46.57547,-33.300674,43385079404299,1
49,2.7084,36.9538,-74.932396,-15.227382,46.57547,-33.300674,43385089404055,1
50,0.8418,36.7464,-75.2374,-15.227382,46.57547,-33.300674,43385099404055,1
51,0.7076,36.8074,-75.0788,-15.227382,46.57547,-33.300674,43385109391116,1
52,3.8307998,37.0392,-74.017395,-15.227382,46.57547,-33.300674,43385119404055,1
53,3.477,37.2832,-74.5908,-15.227382,46.57547,-33.300674,43385129404055,1
54,1.9153999,36.7464,-74.7616,-15.227382,46.57547,-33.300674,43385139404055,1
55,2.2691998,36.9538,-73.627,-15.227382,46.57547,-33.300674,43385149390871,1
56,3.2818,36.9538,-74.5664,-15.227382,46.57547,-33.300674,43385159404055,1
57,-0.0854,36.173,-75.0178,-15.227382,46.57547,-33.300674,43385169404055,1
58,1.3786,36.5878,-74.639595,-15.227382,46.57547,-33.300674,43385179403811,1
59,-0.6222,36.3194,-75.8474,-15.227382,46.57547,-33.300674,43385189403811,1
60,1.3298,37.0148,-75.2862,-15.227382,46.57547,-33.300674,43385199404055,1
61,1.4152,35.9778,-74.3834,-15.227382,46.57547,-33.300674,43385209404055,1
62,3.9284,37.271,-73.505,-15.227382,46.57547,-33.300674,43385219404055,1
63,1.9031999,36.7464,-74.8714,-15.227382,46.57547,-33.300674,43385229403567,1
64,1.5372,36.2706,-73.993,-15.227382,46.57547,-33.300674,43385239403811,1
65,2.745,37.576,-73.541595,-15.227382,46.57547,-33.300674,43385249390871,1
66,2.3058,36.5512,-75.261795,-15.227382,46.57547,-33.300674,43385259390871,1
67,1.8421999,37.0392,-74.8348,-15.227382,46.57547,-33.300674,43385269403811,1
68,2.6474,36.8562,-73.5172,-15.227382,46.57547,-33.300674,43385279404299,1
69,4.8922,37.551598,-74.0784,-15.227382,46.57547,-33.300674,43385289391848,1
70,1.3908,36.478,-75.3716,-15.227382,46.57547,-33.300674,43385299404299,1
71,1.708,36.538998,-73.8954,-15.227382,46.57547,-33.300674,43385309396975,1
72,2.7572,36.612198,-74.5176,-15.227382,46.57547,-33.300674,43385319404299,1
73,3.3794,36.8562,-73.444,-15.227382,46.57547,-33.300674,43385329404055,1
74,1.7689999,36.929398,-73.858795,-15.227382,46.57547,-33.300674,43385339404055,1
75,1.525,36.5268,-74.3712,-15.227382,46.57547,-33.300674,43385349404299,1
76,1.8909999,36.478,-73.077995,-15.227382,46.57547,-33.300674,43385359402102,1
77,2.806,36.6854,-74.2004,-15.227382,46.57547,-33.300674,43385369404299,1
78,2.2203999,37.1246,-74.4444,-15.227382,46.57547,-33.300674,43385379404055,1
79,3.3672,37.027,-73.261,-15.227382,46.57547,-33.300674,43385389403811,1
80,2.5986,36.7098,-73.4928,-15.227382,46.57547,-33.300674,43385399404055,1
81,1.647,37.027,-75.5302,-15.227382,46.57547,-33.300674,43385409404299,1
82,2.4278,36.9538,-73.9198,-15.227382,46.57547,-33.300674,43385419404055,1
83,2.9889998,37.1856,-73.932,-15.227382,46.57547,-33.300674,43385429403811,1
84,4.9165998,37.1246,-73.871,-15.227382,46.57547,-33.300674,43385439404055,1
85,3.6111999,36.9416,-72.5412,-15.227382,46.57547,-33.300674,43385449404055,1
86,3.721,37.2954,-72.8096,-15.227382,46.57547,-33.300674,43385459404055,1
87,3.0377998,37.332,-74.175995,-15.227382,46.57547,-33.300674,43385469390871,1
88,1.3298,36.7586,-75.335,-15.227382,46.57547,-33.300674,43385479404055,1
89,2.2447999,36.7586,-74.6762,-15.227382,46.57547,-33.300674,43385489404055,1
90,4.8677998,37.4052,-73.5172,-15.227382,46.57547,-33.300674,43385499403811,1
91,2.8669999,37.075798,-74.163795,-15.227382,46.57547,-33.300674,43385509403811,1
92,3.2574,36.9904,-73.6148,-15.227382,46.57547,-33.300674,43385519404299,1
93,5.0629997,37.3076,-73.6636,-15.227382,46.57547,-33.300674,43385529403811,1
94,5.4778,37.5394,-73.4928,-15.227382,46.57547,-33.300674,43385539404299,1
95,2.562,37.002598,-72.919395,-15.227382,46.57547,-33.300674,43385549403811,1
96,3.9406,37.1978,-72.614395,-15.227382,46.57547,-33.300674,43385559404055,1
97,2.7937999,37.0392,-73.627,-15.227382,46.57547,-33.300674,43385569391360,1
98,1.6836,36.783,-74.7128,-15.227382,46.57547,-33.300674,43385579404055,1
99,3.2696,37.2466,-73.444,-15.227382,46.57547,-33.300674,43385589403567,1
100,2.7084,36.7098,-74.7616,-15.227382,46.57547,-33.300674,43385599404055,1
101,1.2444,36.295,-75.152,-15.227382,46.57547,-33.300674,43385609404055,1
102,2.379,36.7464,-73.236595,-15.227382,46.57547,-33.300674,43385619404299,1
103,2.1959999,36.307198,-73.8344,-15.227382,46.57547,-33.300674,43385629403567,1
104,4.3798,36.465797,-73.322,-15.227382,46.57547,-33.300674,43385639404299,1
105,2.7816,36.8562,-74.1272,-15.227382,46.57547,-33.300674,43385649403811,1
106,4.4652,37.4296,-73.5172,-15.227382,46.57547,-33.300674,43385659404299,1
107,2.3912,36.770798,-74.969,-15.227382,46.57547,-33.300674,43385669404055,1
108,3.3428,37.027,-73.81,-15.227382,46.57547,-33.300674,43385679407961,1
109,2.1227999,36.8318,-74.3956,-15.227382,46.57547,-33.300674,43385689404299,1
110,4.941,37.515,-74.603,-15.227382,46.57547,-33.300674,43385699404055,1
111,2.2691998,36.6366,-72.907196,-15.227382,46.57547,-33.300674,43385709403811,1
112,2.7206,36.8318,-73.382996,-15.227382,46.57547,-33.300674,43385719403811,1
113,2.1715999,36.661,-73.700195,-15.227382,46.57547,-33.300674,43385729403811,1
114,4.4407997,37.3564,-73.505,-15.227382,46.57547,-33.300674,43385739404299,1
115,2.0252,36.9782,-74.0296,-15.227382,46.57547,-33.300674,43385749403811,1
116,4.0016,37.1002,-72.2606,-15.227382,46.57547,-33.300674,43385759391116,1
117,3.7819998,37.2588,-73.1024,-15.227382,46.57547,-33.300674,43385769404055,1
