,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,35.28,61.379997,-58.44,36.0,-13.92,-0.9,1010071645537562,1
1,35.28,61.559998,-57.899998,36.0,-13.92,-0.9,1010071653441614,1
2,35.52,61.379997,-57.6,36.0,-13.92,-0.9,1010071661345667,1
3,35.64,61.379997,-56.76,36.0,-13.92,-0.9,1010071669249720,1
4,35.88,61.8,-56.16,36.0,-13.92,-0.9,1010071677245325,1
5,35.82,61.379997,-56.219997,36.0,-13.92,-0.9,1010071685179896,1
6,35.82,61.68,-56.1,36.0,-13.92,-0.9,1010071693083948,1
7,35.579998,61.98,-56.64,36.0,-13.92,-0.9,1010071700988001,1
8,35.16,61.62,-56.46,36.0,-13.92,-0.9,1010071708861536,1
9,35.64,62.039997,-55.559998,36.0,-13.92,-0.9,1010071716857142,1
10,35.04,62.1,-55.02,36.0,-13.92,-0.9,1010071724730677,1
11,35.64,61.98,-54.12,36.0,-13.92,-0.9,1010071732695765,1
12,36.059998,62.039997,-53.579998,36.0,-13.92,-0.9,1010071740538782,1
13,35.579998,61.859997,-54.0,36.0,-13.92,-0.9,1010071748473353,1
14,35.94,61.92,-53.46,36.0,-13.92,-0.9,1010071756438441,1
15,35.52,62.46,-53.219997,36.0,-13.92,-0.9,1010071764373011,1
16,34.8,62.699997,-53.76,36.0,-13.92,-0.9,1010071772368616,1
17,34.739998,62.879997,-54.36,36.0,-13.92,-0.9,1010071780211634,1
18,34.68,63.0,-55.44,36.0,-13.92,-0.9,1010071788115687,1
19,34.68,62.52,-56.16,36.0,-13.92,-0.9,1010071796111292,1
20,35.219997,62.28,-56.1,36.0,-13.92,-0.9,1010071804015345,1
21,35.04,62.039997,-55.68,36.0,-13.92,-0.9,1010071811980433,1
22,35.16,61.559998,-55.14,36.0,-13.92,-0.9,1010071819853968,1
23,34.62,61.32,-55.02,36.0,-13.92,-0.9,1010071827758021,1
24,34.68,61.32,-55.079998,36.0,-13.92,-0.9,1010071835723108,1
25,34.68,61.379997,-55.26,36.0,-13.92,-0.9,1010071843657679,1
26,34.86,61.739998,-55.739998,36.0,-13.92,-0.9,1010071851592249,1
27,35.399998,61.8,-55.62,36.0,-13.92,-0.9,1010071859496302,1
28,35.1,61.44,-55.68,36.0,-13.92,-0.9,1010071867400355,1
29,34.92,61.44,-55.559998,36.0,-13.92,-0.9,1010071875395960,1
30,34.5,61.44,-55.26,36.0,-13.92,-0.9,1010071883269495,1
31,34.44,61.26,-55.44,36.0,-13.92,-0.9,1010071891204066,1
32,34.739998,61.44,-55.62,36.0,-13.92,-0.9,1010071899047083,1
33,35.04,61.62,-56.039997,36.0,-13.92,-0.9,1010071906981653,1
34,35.34,61.62,-55.92,36.0,-13.92,-0.9,1010071914946741,1
35,35.1,61.379997,-55.86,36.0,-13.92,-0.9,1010071922881312,1
36,35.04,61.44,-55.559998,36.0,-13.92,-0.9,1010071930846400,1
37,34.92,61.32,-55.14,36.0,-13.92,-0.9,1010071938719935,1
38,34.86,60.84,-55.199997,36.0,-13.92,-0.9,1010071946623987,1
39,35.1,61.14,-55.32,36.0,-13.92,-0.9,1010071954589075,1
40,35.219997,61.14,-55.14,36.0,-13.92,-0.9,1010071962462610,1
41,35.28,61.02,-55.079998,36.0,-13.92,-0.9,1010071970427698,1
42,35.219997,61.26,-55.44,36.0,-13.92,-0.9,1010071978270716,1
43,35.28,61.5,-55.379997,36.0,-13.92,-0.9,1010071986174769,1
44,35.28,61.559998,-55.98,36.0,-13.92,-0.9,1010071994170374,1
45,35.579998,61.8,-55.98,36.0,-13.92,-0.9,1010072002104944,1
46,35.34,61.379997,-55.68,36.0,-13.92,-0.9,1010072010039515,1
47,34.92,61.379997,-55.44,36.0,-13.92,-0.9,1010072017943567,1
48,34.92,61.44,-55.379997,36.0,-13.92,-0.9,1010072025817103,1
49,34.62,61.02,-55.559998,36.0,-13.92,-0.9,1010072033812708,1
50,34.5,61.5,-55.98,36.0,-13.92,-0.9,1010072041686243,1
51,34.68,61.32,-56.219997,36.0,-13.92,-0.9,1010072049651331,1
52,34.32,61.44,-55.98,36.0,-13.92,-0.9,1010072057494349,1
53,34.26,61.559998,-55.559998,36.0,-13.92,-0.9,1010072065428919,1
54,34.62,62.1,-55.26,36.0,-13.92,-0.9,1010072073394007,1
55,35.16,62.219997,-55.68,36.0,-13.92,-0.9,1010072081328577,1
56,35.7,61.98,-55.379997,36.0,-13.92,-0.9,1010072089263148,1
57,35.82,62.039997,-55.68,36.0,-13.92,-0.9,1010072097136683,1
58,35.52,61.62,-55.86,36.0,-13.92,-0.9,1010072105040735,1
59,35.16,62.039997,-55.32,36.0,-13.92,-0.9,1010072113005823,1
60,34.98,62.16,-55.559998,36.0,-13.92,-0.9,1010072120940394,1
61,35.219997,61.92,-55.559998,36.0,-13.92,-0.9,1010072128905482,1
62,35.46,61.859997,-54.96,36.0,-13.92,-0.9,1010072136779017,1
63,35.28,61.44,-55.079998,36.0,-13.92,-0.9,1010072144652552,1
64,35.76,61.32,-55.14,36.0,-13.92,-0.9,1010072152648157,1
65,35.76,61.5,-54.84,36.0,-13.92,-0.9,1010072160521692,1
66,35.7,61.559998,-54.84,36.0,-13.92,-0.9,1010072168486780,1
67,35.7,61.379997,-55.199997,36.0,-13.92,-0.9,1010072176329798,1
68,35.34,61.68,-55.079998,36.0,-13.92,-0.9,1010072184264368,1
69,35.16,61.68,-55.26,36.0,-13.92,-0.9,1010072192259974,1
70,35.28,61.44,-55.62,36.0,-13.92,-0.9,1010072200194544,1
71,35.399998,61.5,-55.079998,36.0,-13.92,-0.9,1010072208190150,1
72,35.219997,61.079998,-55.079998,36.0,-13.92,-0.9,1010072216033167,1
73,35.28,61.32,-55.26,36.0,-13.92,-0.9,1010072223906702,1
74,35.52,61.62,-55.079998,36.0,-13.92,-0.9,1010072231902308,1
75,35.46,61.68,-54.96,36.0,-13.92,-0.9,1010072239775843,1
76,35.46,61.8,-55.32,36.0,-13.92,-0.9,1010072247740931,1
77,35.64,61.44,-55.199997,36.0,-13.92,-0.9,1010072255583948,1
78,34.98,61.62,-55.379997,36.0,-13.92,-0.9,1010072263518519,1
79,35.28,61.68,-55.98,36.0,-13.92,-0.9,1010072271514124,1
80,35.28,61.68,-55.8,36.0,-13.92,-0.9,1010072279448694,1
81,35.04,62.1,-56.16,36.0,-13.92,-0.9,1010072287413782,1
82,35.64,61.98,-56.399998,36.0,-13.92,-0.9,1010072295317835,1
83,35.219997,61.98,-55.98,36.0,-13.92,-0.9,1010072303221888,1
84,35.16,62.1,-55.98,36.0,-13.92,-0.9,1010072311217493,1
85,35.46,62.16,-55.98,36.0,-13.92,-0.9,1010072319121546,1
86,35.16,61.92,-55.739998,36.0,-13.92,-0.9,1010072327086634,1
87,35.34,62.1,-55.86,36.0,-13.92,-0.9,1010072334960169,1
88,35.399998,61.92,-55.86,36.0,-13.92,-0.9,1010072342833704,1
89,34.8,61.559998,-55.62,36.0,-13.92,-0.9,1010072350829310,1
90,34.8,61.559998,-55.68,36.0,-13.92,-0.9,1010072358733362,1
91,34.92,61.199997,-55.68,36.0,-13.92,-0.9,1010072366698450,1
92,34.92,61.199997,-55.559998,36.0,-13.92,-0.9,1010072374541468,1
93,35.34,61.44,-55.62,36.0,-13.92,-0.9,1010072382476038,1
94,35.94,61.559998,-55.62,36.0,-13.92,-0.9,1010072390410608,1
95,36.059998,61.68,-55.739998,36.0,-13.92,-0.9,1010072398314661,1
96,36.059998,61.859997,-55.68,36.0,-13.92,-0.9,1010072406279749,1
97,36.0,61.859997,-55.5,36.0,-13.92,-0.9,1010072414122767,1
98,35.64,61.859997,-55.559998,36.0,-13.92,-0.9,1010072421996302,1
