,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,64.26,-59.28,-50.82,39.48,-14.219999,1.68,248319666746190,1,029a77f196804217,DormRoom6
1,64.02,-59.46,-50.64,39.48,-14.219999,1.68,248319674650243,1,029a77f196804217,DormRoom6
2,63.48,-59.699997,-51.0,39.48,-14.219999,1.68,248319682615331,1,029a77f196804217,DormRoom6
3,63.719997,-59.699997,-51.059998,39.48,-14.219999,1.68,248319690519384,1,029a77f196804217,DormRoom6
4,63.48,-59.94,-51.42,39.48,-14.219999,1.68,248319698484472,1,029a77f196804217,DormRoom6
5,63.539997,-59.94,-52.02,39.48,-14.219999,1.68,248319706327489,1,029a77f196804217,DormRoom6
6,63.6,-59.699997,-52.02,39.48,-14.219999,1.68,248319714201024,1,029a77f196804217,DormRoom6
7,63.12,-59.28,-52.559998,39.48,-14.219999,1.68,248319722196630,1,029a77f196804217,DormRoom6
8,63.18,-58.92,-52.62,39.48,-14.219999,1.68,248319730070165,1,029a77f196804217,DormRoom6
9,63.3,-59.039997,-52.379997,39.48,-14.219999,1.68,248319738035253,1,029a77f196804217,DormRoom6
10,63.719997,-59.34,-52.44,39.48,-14.219999,1.68,248319745878270,1,029a77f196804217,DormRoom6
11,64.26,-60.18,-52.02,39.48,-14.219999,1.68,248319753843358,1,029a77f196804217,DormRoom6
12,64.619995,-60.48,-51.96,39.48,-14.219999,1.68,248319761838964,1,029a77f196804217,DormRoom6
13,64.5,-59.82,-51.84,39.48,-14.219999,1.68,248319769773534,1,029a77f196804217,DormRoom6
14,64.26,-59.76,-51.66,39.48,-14.219999,1.68,248319777738622,1,029a77f196804217,DormRoom6
15,64.14,-59.82,-52.079998,39.48,-14.219999,1.68,248319785642675,1,029a77f196804217,DormRoom6
16,63.96,-59.28,-52.26,39.48,-14.219999,1.68,248319793577245,1,029a77f196804217,DormRoom6
17,64.2,-59.579998,-52.559998,39.48,-14.219999,1.68,248319801542333,1,029a77f196804217,DormRoom6
18,64.2,-59.579998,-52.5,39.48,-14.219999,1.68,248319809476903,1,029a77f196804217,DormRoom6
19,63.84,-59.399998,-52.5,39.48,-14.219999,1.68,248319817441991,1,029a77f196804217,DormRoom6
20,63.84,-59.699997,-52.379997,39.48,-14.219999,1.68,248319825315526,1,029a77f196804217,DormRoom6
