,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-37.86,16.38,-103.32,36.0,-13.92,-0.9,1008800882686418,1,029a77f196804217,DormRoom5
1,-37.739998,16.38,-103.5,36.0,-13.92,-0.9,1008800890620989,1,029a77f196804217,DormRoom5
2,-37.68,16.26,-103.439995,36.0,-13.92,-0.9,1008800898494524,1,029a77f196804217,DormRoom5
3,-37.26,16.02,-103.799995,36.0,-13.92,-0.9,1008800906429094,1,029a77f196804217,DormRoom5
4,-37.2,15.78,-103.74,36.0,-13.92,-0.9,1008800914394182,1,029a77f196804217,DormRoom5
5,-36.96,15.719999,-103.619995,36.0,-13.92,-0.9,1008800922298235,1,029a77f196804217,DormRoom5
6,-36.719997,15.78,-103.259995,36.0,-13.92,-0.9,1008800930263323,1,029a77f196804217,DormRoom5
7,-36.96,15.66,-103.14,36.0,-13.92,-0.9,1008800938106340,1,029a77f196804217,DormRoom5
8,-36.78,15.66,-103.079994,36.0,-13.92,-0.9,1008800946010393,1,029a77f196804217,DormRoom5
9,-36.899998,15.24,-102.899994,36.0,-13.92,-0.9,1008800953975481,1,029a77f196804217,DormRoom5
10,-37.079998,15.12,-103.259995,36.0,-13.92,-0.9,1008800961879533,1,029a77f196804217,DormRoom5
11,-36.719997,15.12,-102.54,36.0,-13.92,-0.9,1008800969844621,1,029a77f196804217,DormRoom5
12,-36.66,15.0,-102.36,36.0,-13.92,-0.9,1008800977718157,1,029a77f196804217,DormRoom5
13,-36.719997,15.24,-102.479996,36.0,-13.92,-0.9,1008800985652727,1,029a77f196804217,DormRoom5
14,-36.78,14.82,-101.88,36.0,-13.92,-0.9,1008800993648332,1,029a77f196804217,DormRoom5
15,-37.02,15.0,-102.18,36.0,-13.92,-0.9,1008801001521867,1,029a77f196804217,DormRoom5
16,-37.5,14.88,-102.6,36.0,-13.92,-0.9,1008801009486955,1,029a77f196804217,DormRoom5
17,-37.62,14.82,-102.78,36.0,-13.92,-0.9,1008801017360491,1,029a77f196804217,DormRoom5
18,-37.44,15.299999,-103.619995,36.0,-13.92,-0.9,1008801025264543,1,029a77f196804217,DormRoom5
