,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,15.36,8.099999,-35.46,36.0,-13.92,-0.9,1015554227828091,1,029a77f196804217,Restaurant
1,15.599999,7.7999997,-35.399998,36.0,-13.92,-0.9,1015554235793179,1,029a77f196804217,Restaurant
2,15.78,8.28,-35.46,36.0,-13.92,-0.9,1015554243666714,1,029a77f196804217,Restaurant
3,16.08,8.28,-35.219997,36.0,-13.92,-0.9,1015554251570767,1,029a77f196804217,Restaurant
4,16.5,8.46,-35.219997,36.0,-13.92,-0.9,1015554259535855,1,029a77f196804217,Restaurant
5,16.32,9.24,-35.219997,36.0,-13.92,-0.9,1015554267470425,1,029a77f196804217,Restaurant
6,16.5,8.88,-34.62,36.0,-13.92,-0.9,1015554275466031,1,029a77f196804217,Restaurant
7,16.8,9.179999,-34.26,36.0,-13.92,-0.9,1015554283309048,1,029a77f196804217,Restaurant
8,16.619999,8.88,-33.899998,36.0,-13.92,-0.9,1015554291243619,1,029a77f196804217,Restaurant
9,17.16,8.58,-33.66,36.0,-13.92,-0.9,1015554299178189,1,029a77f196804217,Restaurant
10,17.039999,8.46,-33.96,36.0,-13.92,-0.9,1015554307112759,1,029a77f196804217,Restaurant
11,17.16,8.22,-34.14,36.0,-13.92,-0.9,1015554315077847,1,029a77f196804217,Restaurant
12,17.16,8.639999,-34.26,36.0,-13.92,-0.9,1015554322920865,1,029a77f196804217,Restaurant
13,16.92,8.7,-34.38,36.0,-13.92,-0.9,1015554330855435,1,029a77f196804217,Restaurant
14,16.92,8.7,-33.84,36.0,-13.92,-0.9,1015554338820523,1,029a77f196804217,Restaurant
15,16.32,8.76,-34.26,36.0,-13.92,-0.9,1015554346694058,1,029a77f196804217,Restaurant
16,16.14,8.22,-34.44,36.0,-13.92,-0.9,1015554354689664,1,029a77f196804217,Restaurant
17,16.02,7.98,-34.2,36.0,-13.92,-0.9,1015554362563199,1,029a77f196804217,Restaurant
18,16.14,8.099999,-34.739998,36.0,-13.92,-0.9,1015554370467251,1,029a77f196804217,Restaurant
19,16.56,8.34,-34.5,36.0,-13.92,-0.9,1015554378462857,1,029a77f196804217,Restaurant
20,16.68,8.34,-34.2,36.0,-13.92,-0.9,1015554386397427,1,029a77f196804217,Restaurant
21,16.26,8.82,-34.5,36.0,-13.92,-0.9,1015554394393033,1,029a77f196804217,Restaurant
22,16.56,8.88,-34.079998,36.0,-13.92,-0.9,1015554402236050,1,029a77f196804217,Restaurant
23,16.8,8.5199995,-33.719997,36.0,-13.92,-0.9,1015554410170621,1,029a77f196804217,Restaurant
24,16.859999,8.82,-34.14,36.0,-13.92,-0.9,1015554418135708,1,029a77f196804217,Restaurant
25,17.58,8.7,-34.26,36.0,-13.92,-0.9,1015554426100796,1,029a77f196804217,Restaurant
26,16.8,8.5199995,-34.8,36.0,-13.92,-0.9,1015554434096402,1,029a77f196804217,Restaurant
27,16.26,8.82,-35.52,36.0,-13.92,-0.9,1015554441908902,1,029a77f196804217,Restaurant
28,16.5,9.179999,-35.46,36.0,-13.92,-0.9,1015554449843472,1,029a77f196804217,Restaurant
29,16.199999,9.179999,-35.88,36.0,-13.92,-0.9,1015554457839078,1,029a77f196804217,Restaurant
30,16.56,9.059999,-35.64,36.0,-13.92,-0.9,1015554465743130,1,029a77f196804217,Restaurant
31,16.5,9.059999,-35.7,36.0,-13.92,-0.9,1015554473708218,1,029a77f196804217,Restaurant
32,15.96,9.0,-35.579998,36.0,-13.92,-0.9,1015554481581753,1,029a77f196804217,Restaurant
33,15.9,8.82,-35.1,36.0,-13.92,-0.9,1015554489516324,1,029a77f196804217,Restaurant
34,16.14,9.0,-35.1,36.0,-13.92,-0.9,1015554497511929,1,029a77f196804217,Restaurant
35,16.08,9.12,-35.1,36.0,-13.92,-0.9,1015554505446499,1,029a77f196804217,Restaurant
