,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,27.84,-19.439999,-35.82,36.0,-13.92,-0.9,1014708122765164,1,029a77f196804217,Restaurant
1,27.9,-19.14,-36.239998,36.0,-13.92,-0.9,1014708130699734,1,029a77f196804217,Restaurant
2,27.66,-19.14,-36.6,36.0,-13.92,-0.9,1014708138573269,1,029a77f196804217,Restaurant
3,27.96,-18.84,-36.12,36.0,-13.92,-0.9,1014708146507839,1,029a77f196804217,Restaurant
4,27.66,-18.66,-36.059998,36.0,-13.92,-0.9,1014708154472927,1,029a77f196804217,Restaurant
5,27.84,-18.66,-35.46,36.0,-13.92,-0.9,1014708162407498,1,029a77f196804217,Restaurant
6,28.32,-18.72,-35.28,36.0,-13.92,-0.9,1014708170403103,1,029a77f196804217,Restaurant
7,28.08,-19.14,-35.88,36.0,-13.92,-0.9,1014708178276638,1,029a77f196804217,Restaurant
8,28.32,-19.08,-36.0,36.0,-13.92,-0.9,1014708186180691,1,029a77f196804217,Restaurant
9,28.38,-18.9,-36.899998,36.0,-13.92,-0.9,1014708194145779,1,029a77f196804217,Restaurant
10,27.779999,-18.9,-36.66,36.0,-13.92,-0.9,1014708202049832,1,029a77f196804217,Restaurant
11,27.599998,-18.72,-36.66,36.0,-13.92,-0.9,1014708210014920,1,029a77f196804217,Restaurant
12,27.66,-18.539999,-36.36,36.0,-13.92,-0.9,1014708217888455,1,029a77f196804217,Restaurant
13,27.48,-18.779999,-35.34,36.0,-13.92,-0.9,1014708225853543,1,029a77f196804217,Restaurant
14,27.48,-18.539999,-35.88,36.0,-13.92,-0.9,1014708233818630,1,029a77f196804217,Restaurant
15,27.24,-18.48,-36.0,36.0,-13.92,-0.9,1014708241753201,1,029a77f196804217,Restaurant
16,27.3,-18.42,-36.6,36.0,-13.92,-0.9,1014708249657253,1,029a77f196804217,Restaurant
17,27.06,-18.72,-37.079998,36.0,-13.92,-0.9,1014708257561306,1,029a77f196804217,Restaurant
18,27.0,-19.02,-36.12,36.0,-13.92,-0.9,1014708265495877,1,029a77f196804217,Restaurant
19,27.0,-19.26,-35.46,36.0,-13.92,-0.9,1014708271660427,1,029a77f196804217,Restaurant
20,26.58,-19.32,-35.219997,36.0,-13.92,-0.9,1014708278404812,1,029a77f196804217,Restaurant
21,26.82,-19.32,-35.46,36.0,-13.92,-0.9,1014708286430935,1,029a77f196804217,Restaurant
22,27.06,-19.02,-36.12,36.0,-13.92,-0.9,1014708294212918,1,029a77f196804217,Restaurant
23,27.24,-18.539999,-37.14,36.0,-13.92,-0.9,1014708302116970,1,029a77f196804217,Restaurant
24,27.599998,-18.6,-36.84,36.0,-13.92,-0.9,1014708310021023,1,029a77f196804217,Restaurant
25,27.42,-18.6,-36.899998,36.0,-13.92,-0.9,1014708317986111,1,029a77f196804217,Restaurant
26,27.18,-18.66,-37.02,36.0,-13.92,-0.9,1014708325920681,1,029a77f196804217,Restaurant
27,27.18,-19.08,-36.54,36.0,-13.92,-0.9,1014708333794216,1,029a77f196804217,Restaurant
28,27.24,-19.14,-36.899998,36.0,-13.92,-0.9,1014708341759304,1,029a77f196804217,Restaurant
