,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,47.16,3.72,-31.14,36.0,-13.92,-0.9,1014178497779456,1,029a77f196804217,Restaurant
1,47.579998,4.02,-30.84,36.0,-13.92,-0.9,1014178505683509,1,029a77f196804217,Restaurant
2,48.239998,4.2,-30.84,36.0,-13.92,-0.9,1014178513587561,1,029a77f196804217,Restaurant
3,48.78,4.2,-30.359999,36.0,-13.92,-0.9,1014178521491614,1,029a77f196804217,Restaurant
4,49.68,4.3199997,-29.699999,36.0,-13.92,-0.9,1014178529456702,1,029a77f196804217,Restaurant
5,49.86,4.2,-30.0,36.0,-13.92,-0.9,1014178537330237,1,029a77f196804217,Restaurant
6,49.5,3.9599998,-29.519999,36.0,-13.92,-0.9,1014178545264807,1,029a77f196804217,Restaurant
7,49.5,3.84,-29.519999,36.0,-13.92,-0.9,1014178553168860,1,029a77f196804217,Restaurant
8,49.02,3.6599998,-29.64,36.0,-13.92,-0.9,1014178561072913,1,029a77f196804217,Restaurant
9,48.96,3.3,-28.92,36.0,-13.92,-0.9,1014178569068518,1,029a77f196804217,Restaurant
10,48.899998,3.48,-28.74,36.0,-13.92,-0.9,1014178576911536,1,029a77f196804217,Restaurant
11,48.899998,3.8999999,-28.8,36.0,-13.92,-0.9,1014178584815589,1,029a77f196804217,Restaurant
12,48.78,3.84,-28.859999,36.0,-13.92,-0.9,1014178592719641,1,029a77f196804217,Restaurant
13,48.539997,4.02,-29.279999,36.0,-13.92,-0.9,1014178600684729,1,029a77f196804217,Restaurant
14,49.02,4.02,-28.92,36.0,-13.92,-0.9,1014178608588782,1,029a77f196804217,Restaurant
15,48.899998,3.72,-28.56,36.0,-13.92,-0.9,1014178616462317,1,029a77f196804217,Restaurant
16,49.559998,3.72,-28.38,36.0,-13.92,-0.9,1014178624366370,1,029a77f196804217,Restaurant
17,49.98,3.6,-28.199999,36.0,-13.92,-0.9,1014178632300940,1,029a77f196804217,Restaurant
18,50.219997,3.36,-28.619999,36.0,-13.92,-0.9,1014178640204993,1,029a77f196804217,Restaurant
19,50.399998,3.3,-29.039999,36.0,-13.92,-0.9,1014178648170081,1,029a77f196804217,Restaurant
20,50.1,3.84,-29.64,36.0,-13.92,-0.9,1014178656043616,1,029a77f196804217,Restaurant
21,49.92,4.08,-29.699999,36.0,-13.92,-0.9,1014178663947669,1,029a77f196804217,Restaurant
22,49.62,4.44,-30.06,36.0,-13.92,-0.9,1014178671943274,1,029a77f196804217,Restaurant
23,49.559998,4.56,-30.3,36.0,-13.92,-0.9,1014178679877844,1,029a77f196804217,Restaurant
24,49.32,4.38,-29.939999,36.0,-13.92,-0.9,1014178687812415,1,029a77f196804217,Restaurant
25,49.32,4.02,-30.119999,36.0,-13.92,-0.9,1014178695655432,1,029a77f196804217,Restaurant
26,49.14,4.14,-29.82,36.0,-13.92,-0.9,1014178703559485,1,029a77f196804217,Restaurant
27,48.84,3.84,-29.64,36.0,-13.92,-0.9,1014178711463538,1,029a77f196804217,Restaurant
28,49.02,3.54,-29.279999,36.0,-13.92,-0.9,1014178719428626,1,029a77f196804217,Restaurant
29,48.84,3.6599998,-28.68,36.0,-13.92,-0.9,1014178727393714,1,029a77f196804217,Restaurant
30,48.66,3.3,-28.439999,36.0,-13.92,-0.9,1014178735297766,1,029a77f196804217,Restaurant
31,48.96,3.1799998,-27.96,36.0,-13.92,-0.9,1014178743201819,1,029a77f196804217,Restaurant
32,48.96,3.0,-28.019999,36.0,-13.92,-0.9,1014178751105872,1,029a77f196804217,Restaurant
33,49.44,3.06,-28.199999,36.0,-13.92,-0.9,1014178759040442,1,029a77f196804217,Restaurant
34,49.559998,3.06,-28.439999,36.0,-13.92,-0.9,1014178766944495,1,029a77f196804217,Restaurant
35,49.62,3.12,-28.98,36.0,-13.92,-0.9,1014178774787512,1,029a77f196804217,Restaurant
36,49.86,3.48,-29.039999,36.0,-13.92,-0.9,1014178782691565,1,029a77f196804217,Restaurant
37,49.379997,3.48,-29.279999,36.0,-13.92,-0.9,1014178790595618,1,029a77f196804217,Restaurant
38,49.379997,3.72,-29.099998,36.0,-13.92,-0.9,1014178798530188,1,029a77f196804217,Restaurant
39,49.14,3.8999999,-28.8,36.0,-13.92,-0.9,1014178806495276,1,029a77f196804217,Restaurant
40,49.14,4.08,-29.279999,36.0,-13.92,-0.9,1014178814307776,1,029a77f196804217,Restaurant
41,49.079998,4.2,-29.34,36.0,-13.92,-0.9,1014178822211829,1,029a77f196804217,Restaurant
42,49.5,3.72,-29.519999,36.0,-13.92,-0.9,1014178830115882,1,029a77f196804217,Restaurant
43,49.68,3.6599998,-29.34,36.0,-13.92,-0.9,1014178838080969,1,029a77f196804217,Restaurant
44,49.02,3.6,-28.8,36.0,-13.92,-0.9,1014178845985022,1,029a77f196804217,Restaurant
45,49.44,3.6,-29.039999,36.0,-13.92,-0.9,1014178853889075,1,029a77f196804217,Restaurant
46,49.14,4.08,-28.8,36.0,-13.92,-0.9,1014178861823645,1,029a77f196804217,Restaurant
47,49.32,4.14,-28.68,36.0,-13.92,-0.9,1014178869788733,1,029a77f196804217,Restaurant
48,49.98,3.84,-28.5,36.0,-13.92,-0.9,1014178877723303,1,029a77f196804217,Restaurant
49,50.34,4.08,-28.199999,36.0,-13.92,-0.9,1014178885688391,1,029a77f196804217,Restaurant
50,50.039997,4.08,-28.5,36.0,-13.92,-0.9,1014178893531409,1,029a77f196804217,Restaurant
51,49.92,3.9599998,-28.56,36.0,-13.92,-0.9,1014178901435462,1,029a77f196804217,Restaurant
52,49.8,4.2599998,-28.74,36.0,-13.92,-0.9,1014178909339514,1,029a77f196804217,Restaurant
53,49.379997,3.54,-28.8,36.0,-13.92,-0.9,1014178917304602,1,029a77f196804217,Restaurant
54,49.5,3.3,-29.039999,36.0,-13.92,-0.9,1014178925208655,1,029a77f196804217,Restaurant
55,49.44,3.72,-28.98,36.0,-13.92,-0.9,1014178933051673,1,029a77f196804217,Restaurant
56,49.68,3.54,-29.22,36.0,-13.92,-0.9,1014178940986243,1,029a77f196804217,Restaurant
57,49.62,3.84,-29.34,36.0,-13.92,-0.9,1014178948890296,1,029a77f196804217,Restaurant
58,50.219997,4.08,-29.4,36.0,-13.92,-0.9,1014178956824866,1,029a77f196804217,Restaurant
59,50.1,3.72,-29.76,36.0,-13.92,-0.9,1014178964789954,1,029a77f196804217,Restaurant
60,49.86,3.6599998,-29.519999,36.0,-13.92,-0.9,1014178972694007,1,029a77f196804217,Restaurant
61,50.34,3.9599998,-29.76,36.0,-13.92,-0.9,1014178980628577,1,029a77f196804217,Restaurant
62,49.98,3.9599998,-29.4,36.0,-13.92,-0.9,1014178988532630,1,029a77f196804217,Restaurant
63,49.98,3.9599998,-29.699999,36.0,-13.92,-0.9,1014178996497718,1,029a77f196804217,Restaurant
64,49.98,4.08,-29.64,36.0,-13.92,-0.9,1014179004401770,1,029a77f196804217,Restaurant
65,49.559998,3.84,-29.16,36.0,-13.92,-0.9,1014179012275305,1,029a77f196804217,Restaurant
