,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,34.62,-68.939995,-32.28,36.0,-13.92,-0.9,1009980554956865,1,029a77f196804217,DormRoom5
1,34.62,-69.54,-31.8,36.0,-13.92,-0.9,1009980562921953,1,029a77f196804217,DormRoom5
2,35.16,-69.659996,-31.679998,36.0,-13.92,-0.9,1009980570795488,1,029a77f196804217,DormRoom5
3,35.399998,-69.42,-31.26,36.0,-13.92,-0.9,1009980578760576,1,029a77f196804217,DormRoom5
4,35.579998,-69.6,-31.019999,36.0,-13.92,-0.9,1009980586603593,1,029a77f196804217,DormRoom5
5,35.579998,-69.54,-30.779999,36.0,-13.92,-0.9,1009980594507646,1,029a77f196804217,DormRoom5
6,35.7,-69.6,-30.119999,36.0,-13.92,-0.9,1009980602503251,1,029a77f196804217,DormRoom5
7,35.7,-70.38,-30.119999,36.0,-13.92,-0.9,1009980610437822,1,029a77f196804217,DormRoom5
8,36.3,-70.619995,-30.179998,36.0,-13.92,-0.9,1009980618341874,1,029a77f196804217,DormRoom5
9,36.719997,-70.439995,-30.42,36.0,-13.92,-0.9,1009980626184892,1,029a77f196804217,DormRoom5
10,37.02,-70.5,-30.779999,36.0,-13.92,-0.9,1009980634088945,1,029a77f196804217,DormRoom5
11,37.32,-69.72,-30.779999,36.0,-13.92,-0.9,1009980642054033,1,029a77f196804217,DormRoom5
12,36.719997,-69.659996,-30.06,36.0,-13.92,-0.9,1009980649927568,1,029a77f196804217,DormRoom5
13,36.48,-69.84,-30.119999,36.0,-13.92,-0.9,1009980657892656,1,029a77f196804217,DormRoom5
14,35.52,-70.14,-29.939999,36.0,-13.92,-0.9,1009980665766191,1,029a77f196804217,DormRoom5
15,35.04,-70.799995,-29.939999,36.0,-13.92,-0.9,1009980673700761,1,029a77f196804217,DormRoom5
16,35.34,-70.439995,-30.179998,36.0,-13.92,-0.9,1009980681696367,1,029a77f196804217,DormRoom5
17,34.98,-70.32,-30.119999,36.0,-13.92,-0.9,1009980689630937,1,029a77f196804217,DormRoom5
18,34.98,-70.02,-30.179998,36.0,-13.92,-0.9,1009980697565507,1,029a77f196804217,DormRoom5
19,35.579998,-69.54,-30.359999,36.0,-13.92,-0.9,1009980705469560,1,029a77f196804217,DormRoom5
20,35.16,-69.9,-30.119999,36.0,-13.92,-0.9,1009980713404130,1,029a77f196804217,DormRoom5
21,35.219997,-69.84,-30.3,36.0,-13.92,-0.9,1009980721399736,1,029a77f196804217,DormRoom5
22,35.16,-70.14,-30.179998,36.0,-13.92,-0.9,1009980729334306,1,029a77f196804217,DormRoom5
23,34.739998,-70.32,-29.76,36.0,-13.92,-0.9,1009980737238359,1,029a77f196804217,DormRoom5
24,34.739998,-70.38,-30.42,36.0,-13.92,-0.9,1009980745081376,1,029a77f196804217,DormRoom5
25,34.739998,-70.38,-30.24,36.0,-13.92,-0.9,1009980752954912,1,029a77f196804217,DormRoom5
26,35.28,-69.6,-30.3,36.0,-13.92,-0.9,1009980760919999,1,029a77f196804217,DormRoom5
27,35.1,-69.84,-30.599998,36.0,-13.92,-0.9,1009980768854570,1,029a77f196804217,DormRoom5
28,35.64,-69.659996,-30.359999,36.0,-13.92,-0.9,1009980776789140,1,029a77f196804217,DormRoom5
29,35.82,-69.42,-30.66,36.0,-13.92,-0.9,1009980784693193,1,029a77f196804217,DormRoom5
30,35.52,-69.659996,-30.9,36.0,-13.92,-0.9,1009980792597246,1,029a77f196804217,DormRoom5
31,35.64,-69.659996,-30.9,36.0,-13.92,-0.9,1009980800592851,1,029a77f196804217,DormRoom5
32,35.219997,-69.6,-30.96,36.0,-13.92,-0.9,1009980808527421,1,029a77f196804217,DormRoom5
33,35.52,-69.78,-31.019999,36.0,-13.92,-0.9,1009980816461992,1,029a77f196804217,DormRoom5
34,35.7,-69.6,-31.199999,36.0,-13.92,-0.9,1009980824305009,1,029a77f196804217,DormRoom5
35,35.579998,-69.36,-31.019999,36.0,-13.92,-0.9,1009980832178544,1,029a77f196804217,DormRoom5
36,35.52,-69.6,-30.72,36.0,-13.92,-0.9,1009980840174150,1,029a77f196804217,DormRoom5
37,35.46,-69.54,-30.779999,36.0,-13.92,-0.9,1009980848047685,1,029a77f196804217,DormRoom5
38,35.579998,-69.659996,-30.66,36.0,-13.92,-0.9,1009980856012773,1,029a77f196804217,DormRoom5
39,35.579998,-69.72,-30.779999,36.0,-13.92,-0.9,1009980863855790,1,029a77f196804217,DormRoom5
40,35.64,-69.72,-31.32,36.0,-13.92,-0.9,1009980871759843,1,029a77f196804217,DormRoom5
41,35.399998,-69.479996,-31.019999,36.0,-13.92,-0.9,1009980879724931,1,029a77f196804217,DormRoom5
42,35.16,-69.6,-30.96,36.0,-13.92,-0.9,1009980887659501,1,029a77f196804217,DormRoom5
43,35.52,-69.36,-31.019999,36.0,-13.92,-0.9,1009980895624589,1,029a77f196804217,DormRoom5
44,35.52,-69.54,-30.599998,36.0,-13.92,-0.9,1009980903528642,1,029a77f196804217,DormRoom5
45,35.82,-70.02,-30.66,36.0,-13.92,-0.9,1009980911432695,1,029a77f196804217,DormRoom5
46,35.52,-70.08,-30.179998,36.0,-13.92,-0.9,1009980919397783,1,029a77f196804217,DormRoom5
47,35.399998,-70.38,-30.0,36.0,-13.92,-0.9,1009980927301835,1,029a77f196804217,DormRoom5
48,35.64,-69.9,-30.24,36.0,-13.92,-0.9,1009980935266923,1,029a77f196804217,DormRoom5
49,35.76,-69.84,-30.119999,36.0,-13.92,-0.9,1009980943109941,1,029a77f196804217,DormRoom5
50,36.12,-69.78,-30.539999,36.0,-13.92,-0.9,1009980950983476,1,029a77f196804217,DormRoom5
51,36.12,-69.659996,-30.96,36.0,-13.92,-0.9,1009980958948564,1,029a77f196804217,DormRoom5
52,35.64,-69.84,-31.019999,36.0,-13.92,-0.9,1009980966883134,1,029a77f196804217,DormRoom5
53,35.34,-69.42,-31.14,36.0,-13.92,-0.9,1009980974848222,1,029a77f196804217,DormRoom5
54,35.16,-69.42,-31.38,36.0,-13.92,-0.9,1009980982691240,1,029a77f196804217,DormRoom5
55,35.16,-69.42,-31.32,36.0,-13.92,-0.9,1009980990625810,1,029a77f196804217,DormRoom5
56,35.399998,-69.479996,-31.199999,36.0,-13.92,-0.9,1009980998590898,1,029a77f196804217,DormRoom5
57,35.52,-69.479996,-30.779999,36.0,-13.92,-0.9,1009981006525468,1,029a77f196804217,DormRoom5
58,35.52,-69.72,-30.359999,36.0,-13.92,-0.9,1009981014490556,1,029a77f196804217,DormRoom5
59,35.76,-69.78,-30.179998,36.0,-13.92,-0.9,1009981022394609,1,029a77f196804217,DormRoom5
60,36.059998,-69.78,-30.599998,36.0,-13.92,-0.9,1009981030329179,1,029a77f196804217,DormRoom5
61,36.18,-69.78,-31.019999,36.0,-13.92,-0.9,1009981038324785,1,029a77f196804217,DormRoom5
62,36.239998,-69.42,-31.019999,36.0,-13.92,-0.9,1009981046228837,1,029a77f196804217,DormRoom5
63,35.94,-69.06,-31.08,36.0,-13.92,-0.9,1009981054193925,1,029a77f196804217,DormRoom5
64,35.64,-68.82,-30.779999,36.0,-13.92,-0.9,1009981062036943,1,029a77f196804217,DormRoom5
65,35.52,-68.939995,-30.779999,36.0,-13.92,-0.9,1009981069971513,1,029a77f196804217,DormRoom5
66,35.579998,-69.18,-30.9,36.0,-13.92,-0.9,1009981077967119,1,029a77f196804217,DormRoom5
67,35.88,-69.72,-30.9,36.0,-13.92,-0.9,1009981085901689,1,029a77f196804217,DormRoom5
68,36.0,-69.72,-30.599998,36.0,-13.92,-0.9,1009981093866777,1,029a77f196804217,DormRoom5
69,36.0,-69.72,-30.48,36.0,-13.92,-0.9,1009981101740312,1,029a77f196804217,DormRoom5
70,35.88,-69.72,-30.3,36.0,-13.92,-0.9,1009981109644365,1,029a77f196804217,DormRoom5
