,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,78.96,-23.88,-44.399998,39.48,-14.219999,1.68,173608978262153,1,029a77f196804217,DormRoom1
1,79.2,-24.119999,-44.34,39.48,-14.219999,1.68,173608986196723,1,029a77f196804217,DormRoom1
2,79.259995,-24.18,-44.28,39.48,-14.219999,1.68,173608994070258,1,029a77f196804217,DormRoom1
3,79.68,-24.119999,-43.86,39.48,-14.219999,1.68,173609001974311,1,029a77f196804217,DormRoom1
4,79.619995,-24.0,-44.16,39.48,-14.219999,1.68,173609009908881,1,029a77f196804217,DormRoom1
5,79.38,-24.06,-44.219997,39.48,-14.219999,1.68,173609017843451,1,029a77f196804217,DormRoom1
6,79.32,-23.699999,-44.52,39.48,-14.219999,1.68,173609025778022,1,029a77f196804217,DormRoom1
7,78.54,-23.88,-44.94,39.48,-14.219999,1.68,173609033590522,1,029a77f196804217,DormRoom1
8,78.6,-23.939999,-44.28,39.48,-14.219999,1.68,173609041555610,1,029a77f196804217,DormRoom1
9,78.72,-23.699999,-44.219997,39.48,-14.219999,1.68,173609049551215,1,029a77f196804217,DormRoom1
10,78.42,-24.06,-43.559998,39.48,-14.219999,1.68,173609057455268,1,029a77f196804217,DormRoom1
11,78.72,-23.699999,-43.44,39.48,-14.219999,1.68,173609065420356,1,029a77f196804217,DormRoom1
12,79.14,-23.46,-43.68,39.48,-14.219999,1.68,173609073263373,1,029a77f196804217,DormRoom1
13,78.9,-23.1,-43.739998,39.48,-14.219999,1.68,173609081228461,1,029a77f196804217,DormRoom1
14,79.32,-23.16,-44.16,39.48,-14.219999,1.68,173609089193549,1,029a77f196804217,DormRoom1
15,79.5,-23.34,-44.52,39.48,-14.219999,1.68,173609097097602,1,029a77f196804217,DormRoom1
16,78.9,-23.76,-44.52,39.48,-14.219999,1.68,173609105001655,1,029a77f196804217,DormRoom1
17,79.5,-23.82,-44.46,39.48,-14.219999,1.68,173609112875190,1,029a77f196804217,DormRoom1
18,79.86,-23.699999,-44.579998,39.48,-14.219999,1.68,173609120809760,1,029a77f196804217,DormRoom1
