,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,126.24,-60.3,-69.659996,39.48,-14.219999,1.68,250670347958523,1,029a77f196804217,DormRoom6
1,126.42,-60.059998,-69.6,39.48,-14.219999,1.68,250670355801541,1,029a77f196804217,DormRoom6
2,126.479996,-60.48,-69.6,39.48,-14.219999,1.68,250670363705593,1,029a77f196804217,DormRoom6
3,126.119995,-60.6,-69.54,39.48,-14.219999,1.68,250670371731716,1,029a77f196804217,DormRoom6
4,126.24,-61.079998,-69.479996,39.48,-14.219999,1.68,250670379666287,1,029a77f196804217,DormRoom6
5,125.579994,-61.379997,-69.42,39.48,-14.219999,1.68,250670387631374,1,029a77f196804217,DormRoom6
6,125.82,-61.26,-69.479996,39.48,-14.219999,1.68,250670395535427,1,029a77f196804217,DormRoom6
7,126.36,-61.44,-69.299995,39.48,-14.219999,1.68,250670403439480,1,029a77f196804217,DormRoom6
8,126.0,-60.96,-69.479996,39.48,-14.219999,1.68,250670411435085,1,029a77f196804217,DormRoom6
9,126.54,-61.079998,-69.84,39.48,-14.219999,1.68,250670419369656,1,029a77f196804217,DormRoom6
10,126.36,-61.199997,-69.72,39.48,-14.219999,1.68,250670427334744,1,029a77f196804217,DormRoom6
11,126.299995,-61.14,-70.02,39.48,-14.219999,1.68,250670435208279,1,029a77f196804217,DormRoom6
12,126.659996,-61.68,-69.299995,39.48,-14.219999,1.68,250670443142849,1,029a77f196804217,DormRoom6
13,126.6,-61.739998,-68.88,39.48,-14.219999,1.68,250670451077419,1,029a77f196804217,DormRoom6
14,126.42,-61.44,-68.46,39.48,-14.219999,1.68,250670458981472,1,029a77f196804217,DormRoom6
15,126.0,-61.559998,-68.28,39.48,-14.219999,1.68,250670466946560,1,029a77f196804217,DormRoom6
16,126.06,-61.379997,-68.7,39.48,-14.219999,1.68,250670474820095,1,029a77f196804217,DormRoom6
17,125.82,-61.44,-68.46,39.48,-14.219999,1.68,250670482754666,1,029a77f196804217,DormRoom6
18,125.939995,-61.98,-68.76,39.48,-14.219999,1.68,250670490689236,1,029a77f196804217,DormRoom6
19,126.119995,-62.039997,-68.7,39.48,-14.219999,1.68,250670498593289,1,029a77f196804217,DormRoom6
20,126.06,-62.46,-69.119995,39.48,-14.219999,1.68,250670506558376,1,029a77f196804217,DormRoom6
21,126.299995,-62.34,-69.42,39.48,-14.219999,1.68,250670514401394,1,029a77f196804217,DormRoom6
22,125.88,-62.039997,-69.54,39.48,-14.219999,1.68,250670522274929,1,029a77f196804217,DormRoom6
23,126.06,-61.92,-69.6,39.48,-14.219999,1.68,250670530209499,1,029a77f196804217,DormRoom6
24,125.759995,-61.62,-69.42,39.48,-14.219999,1.68,250670538113552,1,029a77f196804217,DormRoom6
25,125.46,-61.92,-69.42,39.48,-14.219999,1.68,250670546048123,1,029a77f196804217,DormRoom6
26,125.88,-62.34,-69.36,39.48,-14.219999,1.68,250670553952175,1,029a77f196804217,DormRoom6
27,125.7,-61.859997,-69.36,39.48,-14.219999,1.68,250670561886746,1,029a77f196804217,DormRoom6
28,125.939995,-61.44,-69.6,39.48,-14.219999,1.68,250670569882351,1,029a77f196804217,DormRoom6
29,126.0,-61.559998,-69.78,39.48,-14.219999,1.68,250670577816921,1,029a77f196804217,DormRoom6
30,125.7,-61.559998,-69.54,39.48,-14.219999,1.68,250670585782009,1,029a77f196804217,DormRoom6
31,126.119995,-61.62,-69.42,39.48,-14.219999,1.68,250670593655544,1,029a77f196804217,DormRoom6
32,126.06,-62.039997,-68.939995,39.48,-14.219999,1.68,250670601590115,1,029a77f196804217,DormRoom6
33,126.06,-61.5,-68.939995,39.48,-14.219999,1.68,250670609585720,1,029a77f196804217,DormRoom6
34,126.06,-60.84,-69.479996,39.48,-14.219999,1.68,250670617550808,1,029a77f196804217,DormRoom6
35,125.64,-61.32,-69.9,39.48,-14.219999,1.68,250670625515896,1,029a77f196804217,DormRoom6
36,125.64,-61.079998,-70.2,39.48,-14.219999,1.68,250670633419949,1,029a77f196804217,DormRoom6
37,125.7,-61.5,-70.32,39.48,-14.219999,1.68,250670641324001,1,029a77f196804217,DormRoom6
38,126.24,-61.379997,-70.439995,39.48,-14.219999,1.68,250670649319607,1,029a77f196804217,DormRoom6
39,126.36,-61.14,-70.08,39.48,-14.219999,1.68,250670657223660,1,029a77f196804217,DormRoom6
40,126.299995,-60.84,-70.2,39.48,-14.219999,1.68,250670665188748,1,029a77f196804217,DormRoom6
41,126.18,-60.66,-69.84,39.48,-14.219999,1.68,250670673031765,1,029a77f196804217,DormRoom6
42,125.82,-61.32,-69.36,39.48,-14.219999,1.68,250670680966335,1,029a77f196804217,DormRoom6
43,125.159996,-61.379997,-69.36,39.48,-14.219999,1.68,250670688900906,1,029a77f196804217,DormRoom6
44,125.1,-61.98,-69.36,39.48,-14.219999,1.68,250670696804958,1,029a77f196804217,DormRoom6
45,125.399994,-62.46,-69.24,39.48,-14.219999,1.68,250670704770046,1,029a77f196804217,DormRoom6
46,125.28,-62.28,-69.24,39.48,-14.219999,1.68,250670712674099,1,029a77f196804217,DormRoom6
47,125.939995,-62.28,-69.6,39.48,-14.219999,1.68,250670720578152,1,029a77f196804217,DormRoom6
48,126.24,-61.92,-69.18,39.48,-14.219999,1.68,250670728604275,1,029a77f196804217,DormRoom6
49,126.42,-61.5,-69.299995,39.48,-14.219999,1.68,250670736508328,1,029a77f196804217,DormRoom6
50,126.36,-61.92,-69.36,39.48,-14.219999,1.68,250670744412380,1,029a77f196804217,DormRoom6
51,126.119995,-61.8,-69.18,39.48,-14.219999,1.68,250670752285916,1,029a77f196804217,DormRoom6
52,125.64,-61.8,-69.72,39.48,-14.219999,1.68,250670760189968,1,029a77f196804217,DormRoom6
