,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,68.64,-43.98,-78.72,39.48,-14.219999,1.68,251058216349877,1
1,68.46,-44.46,-78.96,39.48,-14.219999,1.68,251058224253930,1
2,68.76,-44.879997,-78.84,39.48,-14.219999,1.68,251058232280053,1
3,68.46,-45.059998,-78.84,39.48,-14.219999,1.68,251058240153588,1
4,68.46,-45.42,-78.54,39.48,-14.219999,1.68,251058248118676,1
5,68.34,-45.42,-77.88,39.48,-14.219999,1.68,251058255961694,1
6,67.86,-45.6,-78.0,39.48,-14.219999,1.68,251058263835229,1
7,67.5,-45.6,-77.7,39.48,-14.219999,1.68,251058271800317,1
8,67.68,-45.78,-77.46,39.48,-14.219999,1.68,251058279704370,1
9,68.34,-45.66,-77.46,39.48,-14.219999,1.68,251058287669457,1
10,68.7,-45.239998,-77.1,39.48,-14.219999,1.68,251058295604028,1
11,69.36,-45.84,-76.56,39.48,-14.219999,1.68,251058303538598,1
12,69.299995,-46.079998,-76.32,39.48,-14.219999,1.68,251058311503686,1
13,68.88,-46.26,-76.08,39.48,-14.219999,1.68,251058319407739,1
14,68.64,-46.68,-76.259995,39.48,-14.219999,1.68,251058327372827,1
15,68.64,-46.32,-76.74,39.48,-14.219999,1.68,251058335276879,1
16,68.46,-46.32,-77.1,39.48,-14.219999,1.68,251058343180932,1
17,68.64,-46.5,-77.52,39.48,-14.219999,1.68,251058351146020,1
18,68.58,-46.26,-77.28,39.48,-14.219999,1.68,251058359080590,1
19,68.939995,-46.26,-76.799995,39.48,-14.219999,1.68,251058367015161,1
20,68.82,-45.96,-76.799995,39.48,-14.219999,1.68,251058374919213,1
21,68.82,-45.96,-76.439995,39.48,-14.219999,1.68,251058382823266,1
22,68.7,-46.14,-76.74,39.48,-14.219999,1.68,251058390818871,1
23,67.86,-46.32,-77.159996,39.48,-14.219999,1.68,251058398692407,1
24,68.04,-46.2,-77.1,39.48,-14.219999,1.68,251058406596459,1
25,67.86,-46.079998,-77.52,39.48,-14.219999,1.68,251058414439477,1
26,68.22,-45.84,-76.979996,39.48,-14.219999,1.68,251058422343530,1
27,68.64,-45.96,-76.439995,39.48,-14.219999,1.68,251058430247582,1
28,68.88,-45.899998,-76.799995,39.48,-14.219999,1.68,251058438182153,1
29,68.88,-45.36,-76.32,39.48,-14.219999,1.68,251058446116723,1
30,68.88,-45.239998,-76.86,39.48,-14.219999,1.68,251058453959741,1
31,68.82,-44.76,-77.34,39.48,-14.219999,1.68,251058461894311,1
32,68.46,-44.399998,-77.159996,39.48,-14.219999,1.68,251058469859399,1
33,68.22,-44.34,-77.58,39.48,-14.219999,1.68,251058477732934,1
34,68.22,-44.34,-77.52,39.48,-14.219999,1.68,251058485667504,1
35,68.52,-44.64,-77.759995,39.48,-14.219999,1.68,251058493541039,1
36,68.7,-45.059998,-77.759995,39.48,-14.219999,1.68,251058501445092,1
37,68.76,-45.239998,-77.88,39.48,-14.219999,1.68,251058509440698,1
38,68.88,-45.6,-77.58,39.48,-14.219999,1.68,251058517375268,1
39,68.64,-45.66,-77.58,39.48,-14.219999,1.68,251058525340356,1
40,68.7,-45.66,-77.52,39.48,-14.219999,1.68,251058533183373,1
41,68.88,-45.719997,-77.64,39.48,-14.219999,1.68,251058541087426,1
42,68.52,-45.48,-77.759995,39.48,-14.219999,1.68,251058549113549,1
43,68.4,-45.0,-77.82,39.48,-14.219999,1.68,251058556987084,1
44,68.34,-45.0,-77.939995,39.48,-14.219999,1.68,251058564952172,1
45,68.4,-45.239998,-77.58,39.48,-14.219999,1.68,251058572856225,1
46,68.58,-45.18,-77.4,39.48,-14.219999,1.68,251058580790795,1
47,68.76,-45.66,-77.28,39.48,-14.219999,1.68,251058588786401,1
48,68.58,-45.899998,-77.22,39.48,-14.219999,1.68,251058596720971,1
49,68.4,-45.66,-77.04,39.48,-14.219999,1.68,251058604686059,1
50,68.28,-45.899998,-77.759995,39.48,-14.219999,1.68,251058612590112,1
51,67.74,-45.6,-77.939995,39.48,-14.219999,1.68,251058620494164,1
52,67.68,-45.48,-77.939995,39.48,-14.219999,1.68,251058628520288,1
53,67.439995,-45.539997,-78.24,39.48,-14.219999,1.68,251058636393823,1
54,66.96,-45.12,-77.46,39.48,-14.219999,1.68,251058644358911,1
55,67.32,-45.12,-77.22,39.48,-14.219999,1.68,251058652262963,1
56,67.5,-45.239998,-76.92,39.48,-14.219999,1.68,251058660167016,1
57,67.439995,-45.3,-76.979996,39.48,-14.219999,1.68,251058668162621,1
58,68.159996,-45.66,-77.28,39.48,-14.219999,1.68,251058676097192,1
59,68.159996,-46.079998,-77.46,39.48,-14.219999,1.68,251058684062280,1
60,68.1,-45.719997,-77.7,39.48,-14.219999,1.68,251058691935815,1
61,68.22,-45.719997,-77.46,39.48,-14.219999,1.68,251058699870385,1
62,67.86,-45.78,-77.52,39.48,-14.219999,1.68,251058707865991,1
63,68.1,-44.82,-77.58,39.48,-14.219999,1.68,251058715770043,1
64,68.159996,-44.94,-77.82,39.48,-14.219999,1.68,251058723704614,1
65,68.34,-44.7,-78.24,39.48,-14.219999,1.68,251058731517114,1
66,68.64,-44.7,-78.18,39.48,-14.219999,1.68,251058739451684,1
67,68.52,-45.42,-78.18,39.48,-14.219999,1.68,251058747386254,1
68,68.64,-45.48,-78.36,39.48,-14.219999,1.68,251058755320825,1
69,68.82,-45.66,-78.119995,39.48,-14.219999,1.68,251058763255395,1
70,68.52,-45.539997,-78.119995,39.48,-14.219999,1.68,251058771067895,1
71,68.7,-45.18,-77.759995,39.48,-14.219999,1.68,251058779002465,1
72,68.28,-45.239998,-77.159996,39.48,-14.219999,1.68,251058786998071,1
73,68.1,-45.0,-77.04,39.48,-14.219999,1.68,251058794871606,1
74,68.04,-44.879997,-76.92,39.48,-14.219999,1.68,251058802836694,1
75,67.5,-45.12,-77.34,39.48,-14.219999,1.68,251058810740746,1
76,67.86,-45.059998,-77.159996,39.48,-14.219999,1.68,251058818675317,1
77,67.86,-45.059998,-77.22,39.48,-14.219999,1.68,251058826670922,1
78,68.22,-45.48,-77.52,39.48,-14.219999,1.68,251058834574975,1
79,68.159996,-45.66,-77.7,39.48,-14.219999,1.68,251058842509545,1
80,67.86,-45.719997,-78.0,39.48,-14.219999,1.68,251058850383080,1
81,67.439995,-46.14,-78.36,39.48,-14.219999,1.68,251058858317651,1
82,67.32,-45.96,-78.42,39.48,-14.219999,1.68,251058866313256,1
83,67.439995,-45.539997,-78.119995,39.48,-14.219999,1.68,251058874217309,1
84,67.5,-45.719997,-77.939995,39.48,-14.219999,1.68,251058882121362,1
85,67.74,-45.3,-77.46,39.48,-14.219999,1.68,251058889933862,1
86,67.619995,-45.6,-77.34,39.48,-14.219999,1.68,251058897868432,1
87,67.799995,-45.96,-77.4,39.48,-14.219999,1.68,251058905803002,1
88,67.439995,-45.48,-77.46,39.48,-14.219999,1.68,251058913737573,1
89,67.5,-46.02,-76.86,39.48,-14.219999,1.68,251058921702661,1
90,67.68,-45.48,-76.74,39.48,-14.219999,1.68,251058929515161,1
91,67.56,-45.3,-76.92,39.48,-14.219999,1.68,251058937419213,1
92,68.04,-45.539997,-77.159996,39.48,-14.219999,1.68,251058945445336,1
93,67.56,-45.3,-77.939995,39.48,-14.219999,1.68,251058953318871,1
94,67.38,-45.6,-77.939995,39.48,-14.219999,1.68,251058961253442,1
95,67.619995,-45.42,-78.119995,39.48,-14.219999,1.68,251058969126977,1
96,67.439995,-45.42,-78.06,39.48,-14.219999,1.68,251058977031030,1
97,68.1,-45.36,-77.82,39.48,-14.219999,1.68,251058985026635,1
98,68.22,-45.18,-77.82,39.48,-14.219999,1.68,251058992961205,1
99,67.86,-45.42,-77.22,39.48,-14.219999,1.68,251059000926293,1
100,67.799995,-45.66,-77.22,39.48,-14.219999,1.68,251059008830346,1
101,67.979996,-45.6,-77.46,39.48,-14.219999,1.68,251059016764916,1
102,67.799995,-45.899998,-77.46,39.48,-14.219999,1.68,251059024760522,1
103,68.4,-45.84,-77.4,39.48,-14.219999,1.68,251059032664575,1
104,68.58,-46.02,-77.52,39.48,-14.219999,1.68,251059040599145,1
105,68.159996,-46.079998,-77.52,39.48,-14.219999,1.68,251059048411645,1
106,68.1,-46.079998,-77.88,39.48,-14.219999,1.68,251059056315698,1
107,67.619995,-46.2,-77.64,39.48,-14.219999,1.68,251059064280786,1
108,67.5,-45.719997,-77.88,39.48,-14.219999,1.68,251059072184838,1
109,67.5,-45.719997,-78.6,39.48,-14.219999,1.68,251059080119409,1
110,67.32,-45.539997,-78.0,39.48,-14.219999,1.68,251059087992944,1
111,67.68,-45.78,-78.659996,39.48,-14.219999,1.68,251059095896996,1
112,67.74,-45.78,-78.0,39.48,-14.219999,1.68,251059103923120,1
113,67.68,-45.899998,-77.46,39.48,-14.219999,1.68,251059111796655,1
114,67.799995,-46.14,-77.159996,39.48,-14.219999,1.68,251059119761743,1
115,67.74,-45.66,-76.74,39.48,-14.219999,1.68,251059127665795,1
116,68.1,-45.78,-76.619995,39.48,-14.219999,1.68,251059135600366,1
117,68.28,-45.66,-76.439995,39.48,-14.219999,1.68,251059143595971,1
118,68.34,-45.66,-77.22,39.48,-14.219999,1.68,251059151500024,1
119,68.22,-46.079998,-77.04,39.48,-14.219999,1.68,251059159434594,1
120,67.86,-46.32,-77.46,39.48,-14.219999,1.68,251059167308129,1
121,68.1,-46.44,-77.159996,39.48,-14.219999,1.68,251059175212182,1
122,67.979996,-46.32,-77.1,39.48,-14.219999,1.68,251059183207788,1
123,67.979996,-46.2,-77.22,39.48,-14.219999,1.68,251059191111840,1
124,68.04,-46.02,-77.04,39.48,-14.219999,1.68,251059199046411,1
125,67.68,-45.96,-76.979996,39.48,-14.219999,1.68,251059206858911,1
126,67.799995,-45.899998,-76.439995,39.48,-14.219999,1.68,251059214762963,1
127,67.92,-45.48,-76.799995,39.48,-14.219999,1.68,251059222758569,1
128,67.619995,-45.3,-76.74,39.48,-14.219999,1.68,251059230693139,1
129,67.74,-45.12,-77.34,39.48,-14.219999,1.68,251059238627709,1
130,67.2,-45.3,-77.759995,39.48,-14.219999,1.68,251059246531762,1
131,67.2,-45.12,-77.88,39.48,-14.219999,1.68,251059254435815,1
132,67.86,-45.42,-77.88,39.48,-14.219999,1.68,251059262461938,1
133,67.5,-45.78,-77.88,39.48,-14.219999,1.68,251059270335473,1
134,67.86,-45.539997,-77.759995,39.48,-14.219999,1.68,251059278300561,1
135,67.799995,-45.899998,-77.58,39.48,-14.219999,1.68,251059286204614,1
136,67.68,-45.719997,-77.82,39.48,-14.219999,1.68,251059294139184,1
137,68.22,-45.78,-77.64,39.48,-14.219999,1.68,251059302134789,1
138,68.22,-45.42,-77.7,39.48,-14.219999,1.68,251059310099877,1
139,68.04,-45.42,-77.88,39.48,-14.219999,1.68,251059318064965,1
140,67.799995,-45.48,-78.36,39.48,-14.219999,1.68,251059325969018,1
141,67.32,-45.059998,-78.119995,39.48,-14.219999,1.68,251059333934106,1
142,67.14,-45.3,-77.939995,39.48,-14.219999,1.68,251059341960229,1
143,67.38,-45.239998,-77.58,39.48,-14.219999,1.68,251059349833764,1
144,67.32,-44.82,-77.28,39.48,-14.219999,1.68,251059357798852,1
145,67.74,-44.94,-77.1,39.48,-14.219999,1.68,251059365641870,1
146,68.1,-45.12,-77.04,39.48,-14.219999,1.68,251059373545922,1
147,68.1,-45.36,-76.74,39.48,-14.219999,1.68,251059381511010,1
148,67.979996,-45.3,-76.619995,39.48,-14.219999,1.68,251059389445580,1
149,67.14,-45.42,-76.979996,39.48,-14.219999,1.68,251059397410668,1
150,66.96,-45.239998,-77.04,39.48,-14.219999,1.68,251059405314721,1
151,67.02,-44.76,-77.28,39.48,-14.219999,1.68,251059413249291,1
152,67.02,-44.94,-77.64,39.48,-14.219999,1.68,251059421275414,1
153,67.38,-44.7,-77.58,39.48,-14.219999,1.68,251059429148950,1
154,67.619995,-44.579998,-77.7,39.48,-14.219999,1.68,251059437144555,1
155,67.439995,-44.34,-77.939995,39.48,-14.219999,1.68,251059445048608,1
156,67.439995,-44.34,-77.939995,39.48,-14.219999,1.68,251059452983178,1
157,67.38,-44.04,-77.7,39.48,-14.219999,1.68,251059461009301,1
158,67.26,-44.1,-77.52,39.48,-14.219999,1.68,251059468913354,1
159,67.2,-44.52,-77.34,39.48,-14.219999,1.68,251059476847924,1
160,67.2,-44.52,-77.04,39.48,-14.219999,1.68,251059484660424,1
161,66.9,-44.82,-77.58,39.48,-14.219999,1.68,251059492564477,1
162,66.78,-44.76,-77.7,39.48,-14.219999,1.68,251059500560082,1
163,66.479996,-44.94,-77.34,39.48,-14.219999,1.68,251059508464135,1
164,66.54,-44.82,-77.52,39.48,-14.219999,1.68,251059516398705,1
165,66.72,-44.76,-77.28,39.48,-14.219999,1.68,251059524241723,1
166,66.659996,-45.18,-77.28,39.48,-14.219999,1.68,251059532176293,1
167,66.6,-44.82,-77.46,39.48,-14.219999,1.68,251059540141381,1
168,66.479996,-44.94,-77.46,39.48,-14.219999,1.68,251059548045434,1
169,66.119995,-45.36,-77.22,39.48,-14.219999,1.68,251059556010522,1
170,65.939995,-45.0,-77.159996,39.48,-14.219999,1.68,251059563914575,1
171,66.42,-45.0,-77.28,39.48,-14.219999,1.68,251059571849145,1
172,66.54,-45.059998,-76.92,39.48,-14.219999,1.68,251059579844750,1
173,66.78,-44.76,-77.34,39.48,-14.219999,1.68,251059587748803,1
174,66.96,-45.0,-77.64,39.48,-14.219999,1.68,251059595683373,1
175,66.78,-44.879997,-77.52,39.48,-14.219999,1.68,251059603495873,1
176,66.78,-45.0,-77.46,39.48,-14.219999,1.68,251059611399926,1
177,66.96,-45.239998,-77.34,39.48,-14.219999,1.68,251059619365014,1
178,66.96,-45.0,-77.22,39.48,-14.219999,1.68,251059627299584,1
179,67.14,-45.12,-77.159996,39.48,-14.219999,1.68,251059635264672,1
180,66.9,-44.94,-77.28,39.48,-14.219999,1.68,251059643168725,1
181,66.72,-44.52,-77.46,39.48,-14.219999,1.68,251059651103295,1
182,66.84,-44.399998,-77.46,39.48,-14.219999,1.68,251059659129418,1
183,66.36,-44.64,-77.52,39.48,-14.219999,1.68,251059667002954,1
184,66.9,-44.76,-77.7,39.48,-14.219999,1.68,251059674968041,1
185,66.9,-45.0,-76.979996,39.48,-14.219999,1.68,251059682872094,1
186,66.18,-45.719997,-76.92,39.48,-14.219999,1.68,251059690806664,1
187,66.78,-45.96,-77.1,39.48,-14.219999,1.68,251059698802270,1
188,66.42,-46.2,-77.28,39.48,-14.219999,1.68,251059706736840,1
189,66.84,-46.14,-77.82,39.48,-14.219999,1.68,251059714701928,1
190,67.32,-45.78,-77.88,39.48,-14.219999,1.68,251059722605981,1
191,67.02,-45.719997,-78.119995,39.48,-14.219999,1.68,251059730540551,1
192,67.2,-45.96,-77.46,39.48,-14.219999,1.68,251059738536157,1
193,67.14,-46.14,-77.46,39.48,-14.219999,1.68,251059746440209,1
194,67.26,-46.32,-77.4,39.48,-14.219999,1.68,251059754374780,1
195,67.14,-46.379997,-77.04,39.48,-14.219999,1.68,251059762187280,1
196,67.32,-45.66,-77.4,39.48,-14.219999,1.68,251059770091332,1
197,66.78,-45.96,-77.1,39.48,-14.219999,1.68,251059778086938,1
198,66.6,-45.84,-77.159996,39.48,-14.219999,1.68,251059786021508,1
199,67.08,-45.719997,-77.22,39.48,-14.219999,1.68,251059793986596,1
200,67.02,-46.14,-77.22,39.48,-14.219999,1.68,251059801890649,1
201,67.32,-45.719997,-77.159996,39.48,-14.219999,1.68,251059809764184,1
202,67.32,-45.6,-77.46,39.48,-14.219999,1.68,251059817759789,1
203,67.14,-45.6,-77.58,39.48,-14.219999,1.68,251059825633325,1
204,67.2,-45.66,-77.64,39.48,-14.219999,1.68,251059833598413,1
205,67.56,-46.02,-77.88,39.48,-14.219999,1.68,251059841502465,1
206,67.32,-45.899998,-77.52,39.48,-14.219999,1.68,251059849376000,1
207,67.56,-45.6,-77.22,39.48,-14.219999,1.68,251059857310571,1
208,67.38,-45.3,-77.58,39.48,-14.219999,1.68,251059865214623,1
209,66.96,-45.059998,-77.34,39.48,-14.219999,1.68,251059873149194,1
210,67.32,-45.48,-76.68,39.48,-14.219999,1.68,251059881053246,1
211,66.659996,-45.48,-76.979996,39.48,-14.219999,1.68,251059889018334,1
212,66.659996,-45.78,-76.68,39.48,-14.219999,1.68,251059897013940,1
213,66.479996,-46.02,-77.1,39.48,-14.219999,1.68,251059904917993,1
214,65.939995,-45.78,-77.58,39.48,-14.219999,1.68,251059912852563,1
215,66.24,-46.14,-77.64,39.48,-14.219999,1.68,251059920695580,1
216,66.18,-45.899998,-77.22,39.48,-14.219999,1.68,251059928630151,1
217,65.939995,-46.02,-76.74,39.48,-14.219999,1.68,251059936625756,1
218,66.479996,-46.14,-77.04,39.48,-14.219999,1.68,251059944560327,1
219,66.72,-46.02,-76.68,39.48,-14.219999,1.68,251059952525414,1
220,66.84,-45.96,-76.439995,39.48,-14.219999,1.68,251059960429467,1
221,67.439995,-45.78,-76.799995,39.48,-14.219999,1.68,251059968394555,1
222,67.38,-45.3,-76.56,39.48,-14.219999,1.68,251059976451196,1
223,66.72,-45.48,-76.74,39.48,-14.219999,1.68,251059984324731,1
224,66.78,-45.36,-76.86,39.48,-14.219999,1.68,251059992320336,1
225,66.54,-45.36,-76.619995,39.48,-14.219999,1.68,251060000193871,1
226,66.78,-45.84,-76.74,39.48,-14.219999,1.68,251060008067407,1
227,67.26,-45.48,-76.56,39.48,-14.219999,1.68,251060016032495,1
228,66.84,-45.96,-76.5,39.48,-14.219999,1.68,251060023967065,1
229,66.84,-45.96,-76.38,39.48,-14.219999,1.68,251060031932153,1
230,66.479996,-45.78,-76.08,39.48,-14.219999,1.68,251060039805688,1
231,66.299995,-46.2,-76.32,39.48,-14.219999,1.68,251060047709741,1
232,66.84,-45.96,-76.86,39.48,-14.219999,1.68,251060055705346,1
233,67.2,-45.78,-77.52,39.48,-14.219999,1.68,251060063578881,1
234,67.799995,-45.78,-77.64,39.48,-14.219999,1.68,251060071543969,1
235,68.28,-45.899998,-77.52,39.48,-14.219999,1.68,251060079386987,1
236,67.979996,-46.02,-77.46,39.48,-14.219999,1.68,251060087321557,1
237,67.799995,-46.02,-76.92,39.48,-14.219999,1.68,251060095317163,1
238,67.5,-45.539997,-76.92,39.48,-14.219999,1.68,251060103282250,1
239,66.9,-45.18,-76.68,39.48,-14.219999,1.68,251060111216821,1
240,66.78,-45.3,-76.619995,39.48,-14.219999,1.68,251060119059838,1
241,66.9,-45.539997,-77.159996,39.48,-14.219999,1.68,251060126994409,1
242,66.9,-46.02,-77.4,39.48,-14.219999,1.68,251060135051049,1
243,66.96,-45.84,-78.06,39.48,-14.219999,1.68,251060142955102,1
244,67.08,-45.539997,-78.119995,39.48,-14.219999,1.68,251060150920190,1
245,67.14,-45.36,-78.0,39.48,-14.219999,1.68,251060158793725,1
246,66.96,-45.18,-77.82,39.48,-14.219999,1.68,251060166667260,1
247,67.2,-45.059998,-77.52,39.48,-14.219999,1.68,251060174632348,1
248,67.619995,-45.0,-77.46,39.48,-14.219999,1.68,251060182566918,1
249,66.9,-45.12,-77.7,39.48,-14.219999,1.68,251060190532006,1
250,66.78,-45.239998,-77.82,39.48,-14.219999,1.68,251060198375024,1
251,66.84,-45.18,-77.64,39.48,-14.219999,1.68,251060206279077,1
252,66.54,-45.42,-77.58,39.48,-14.219999,1.68,251060214305200,1
253,66.84,-45.3,-77.46,39.48,-14.219999,1.68,251060222209252,1
254,66.84,-45.36,-77.46,39.48,-14.219999,1.68,251060230174340,1
255,66.84,-45.84,-77.82,39.48,-14.219999,1.68,251060237956323,1
256,66.84,-45.78,-78.0,39.48,-14.219999,1.68,251060245860375,1
257,66.96,-45.96,-77.58,39.48,-14.219999,1.68,251060253855981,1
258,67.14,-45.78,-77.58,39.48,-14.219999,1.68,251060261790551,1
259,66.96,-46.079998,-77.4,39.48,-14.219999,1.68,251060269755639,1
260,67.2,-45.66,-77.64,39.48,-14.219999,1.68,251060277598657,1
261,67.32,-45.719997,-77.759995,39.48,-14.219999,1.68,251060285502709,1
262,67.32,-45.719997,-77.58,39.48,-14.219999,1.68,251060293498315,1
263,67.08,-45.059998,-77.7,39.48,-14.219999,1.68,251060301371850,1
264,66.6,-45.719997,-77.759995,39.48,-14.219999,1.68,251060309336938,1
265,66.72,-45.059998,-77.759995,39.48,-14.219999,1.68,251060317240991,1
266,66.659996,-45.18,-78.0,39.48,-14.219999,1.68,251060325175561,1
267,66.84,-45.36,-77.88,39.48,-14.219999,1.68,251060333110131,1
268,67.32,-45.12,-77.4,39.48,-14.219999,1.68,251060341044702,1
269,67.2,-45.3,-77.46,39.48,-14.219999,1.68,251060349009789,1
270,67.08,-45.12,-77.28,39.48,-14.219999,1.68,251060356913842,1
271,66.78,-45.3,-76.92,39.48,-14.219999,1.68,251060364817895,1
272,66.36,-45.36,-77.7,39.48,-14.219999,1.68,251060372844018,1
273,66.84,-45.239998,-77.88,39.48,-14.219999,1.68,251060380717553,1
274,66.78,-45.12,-78.0,39.48,-14.219999,1.68,251060388682641,1
275,67.26,-44.879997,-78.36,39.48,-14.219999,1.68,251060396586694,1
276,67.5,-44.76,-78.119995,39.48,-14.219999,1.68,251060404490746,1
277,66.72,-45.12,-77.88,39.48,-14.219999,1.68,251060412425317,1
278,66.54,-45.239998,-77.939995,39.48,-14.219999,1.68,251060420329370,1
279,66.6,-45.66,-77.939995,39.48,-14.219999,1.68,251060428294457,1
280,66.479996,-45.6,-77.939995,39.48,-14.219999,1.68,251060436198510,1
281,66.659996,-45.6,-77.939995,39.48,-14.219999,1.68,251060444133080,1
282,67.08,-45.719997,-77.939995,39.48,-14.219999,1.68,251060452189721,1
283,66.78,-45.42,-77.88,39.48,-14.219999,1.68,251060460093774,1
284,66.24,-45.78,-77.34,39.48,-14.219999,1.68,251060468058862,1
285,66.24,-45.78,-77.4,39.48,-14.219999,1.68,251060475962914,1
286,66.0,-45.48,-77.1,39.48,-14.219999,1.68,251060483897485,1
287,66.24,-45.3,-76.979996,39.48,-14.219999,1.68,251060491801538,1
288,66.72,-44.879997,-77.52,39.48,-14.219999,1.68,251060499705590,1
289,66.96,-44.399998,-77.22,39.48,-14.219999,1.68,251060507670678,1
290,67.2,-44.64,-77.28,39.48,-14.219999,1.68,251060515574731,1
291,66.96,-44.52,-77.4,39.48,-14.219999,1.68,251060523539819,1
292,66.78,-45.0,-77.34,39.48,-14.219999,1.68,251060531565942,1
293,66.659996,-45.36,-77.58,39.48,-14.219999,1.68,251060539469995,1
294,66.6,-45.18,-77.52,39.48,-14.219999,1.68,251060547404565,1
295,66.9,-45.12,-77.159996,39.48,-14.219999,1.68,251060555308618,1
296,67.32,-44.64,-76.799995,39.48,-14.219999,1.68,251060563243188,1
297,67.38,-44.879997,-76.32,39.48,-14.219999,1.68,251060571238793,1
298,67.5,-45.12,-76.38,39.48,-14.219999,1.68,251060579112329,1
299,67.439995,-45.539997,-76.619995,39.48,-14.219999,1.68,251060587077416,1
300,67.2,-45.3,-76.74,39.48,-14.219999,1.68,251060594920434,1
301,67.32,-45.18,-76.92,39.48,-14.219999,1.68,251060602855004,1
302,67.14,-44.82,-77.04,39.48,-14.219999,1.68,251060610881127,1
303,67.02,-44.82,-77.46,39.48,-14.219999,1.68,251060618785180,1
304,66.9,-45.3,-77.58,39.48,-14.219999,1.68,251060626719750,1
305,66.54,-44.94,-78.06,39.48,-14.219999,1.68,251060634623803,1
306,66.84,-45.3,-77.7,39.48,-14.219999,1.68,251060642558373,1
307,66.78,-45.3,-77.58,39.48,-14.219999,1.68,251060650553979,1
308,66.78,-45.239998,-77.759995,39.48,-14.219999,1.68,251060658519067,1
309,67.02,-45.719997,-77.34,39.48,-14.219999,1.68,251060666514672,1
310,67.02,-45.719997,-77.939995,39.48,-14.219999,1.68,251060674357690,1
311,66.84,-45.3,-77.939995,39.48,-14.219999,1.68,251060682261743,1
312,67.02,-45.42,-77.34,39.48,-14.219999,1.68,251060690287866,1
313,66.78,-45.18,-77.52,39.48,-14.219999,1.68,251060698191918,1
314,66.18,-44.82,-77.1,39.48,-14.219999,1.68,251060706157006,1
315,66.6,-45.36,-76.92,39.48,-14.219999,1.68,251060713969506,1
316,66.6,-45.059998,-77.64,39.48,-14.219999,1.68,251060721904077,1
317,66.54,-44.76,-77.58,39.48,-14.219999,1.68,251060729899682,1
318,67.08,-44.879997,-77.64,39.48,-14.219999,1.68,251060737864770,1
319,67.08,-44.579998,-77.4,39.48,-14.219999,1.68,251060745829858,1
320,67.14,-45.0,-77.04,39.48,-14.219999,1.68,251060753703393,1
321,66.96,-44.94,-77.28,39.48,-14.219999,1.68,251060761576928,1
322,66.78,-45.0,-77.46,39.48,-14.219999,1.68,251060769572534,1
323,66.659996,-45.059998,-77.88,39.48,-14.219999,1.68,251060777446069,1
324,66.42,-45.059998,-78.299995,39.48,-14.219999,1.68,251060785411157,1
325,66.479996,-45.239998,-77.939995,39.48,-14.219999,1.68,251060793315209,1
326,66.659996,-45.059998,-77.88,39.48,-14.219999,1.68,251060801249780,1
327,66.78,-45.0,-77.82,39.48,-14.219999,1.68,251060809245385,1
328,66.36,-44.82,-77.58,39.48,-14.219999,1.68,251060817149438,1
329,66.72,-44.76,-77.82,39.48,-14.219999,1.68,251060825084008,1
