,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-14.759999,17.94,-51.66,36.0,-13.92,-0.9,1009020534768202,1
1,-14.759999,17.699999,-52.26,36.0,-13.92,-0.9,1009020542733290,1
2,-14.58,17.34,-52.379997,36.0,-13.92,-0.9,1009020550606825,1
3,-14.58,17.16,-52.32,36.0,-13.92,-0.9,1009020558541395,1
4,-14.46,17.22,-52.86,36.0,-13.92,-0.9,1009020566475966,1
5,-14.7,17.22,-52.8,36.0,-13.92,-0.9,1009020574441054,1
6,-14.759999,17.16,-52.86,36.0,-13.92,-0.9,1009020582345106,1
7,-14.88,16.98,-53.28,36.0,-13.92,-0.9,1009020590218641,1
8,-14.82,16.68,-52.86,36.0,-13.92,-0.9,1009020598122694,1
9,-14.82,16.44,-52.5,36.0,-13.92,-0.9,1009020605996229,1
10,-15.0,16.74,-52.62,36.0,-13.92,-0.9,1009020613930800,1
11,-14.82,16.74,-52.5,36.0,-13.92,-0.9,1009020621865370,1
12,-14.5199995,16.8,-52.32,36.0,-13.92,-0.9,1009020629769423,1
13,-14.7,17.1,-52.44,36.0,-13.92,-0.9,1009020637673475,1
14,-14.88,16.8,-52.5,36.0,-13.92,-0.9,1009020645577528,1
15,-15.179999,16.5,-52.32,36.0,-13.92,-0.9,1009020653542616,1
16,-15.719999,16.56,-52.62,36.0,-13.92,-0.9,1009020661446669,1
17,-15.48,16.14,-52.8,36.0,-13.92,-0.9,1009020669350722,1
18,-15.36,16.199999,-52.5,36.0,-13.92,-0.9,1009020677224257,1
19,-15.059999,16.44,-52.199997,36.0,-13.92,-0.9,1009020685128309,1
20,-15.48,16.74,-52.68,36.0,-13.92,-0.9,1009020693032362,1
21,-15.0,17.1,-52.14,36.0,-13.92,-0.9,1009020700997450,1
22,-14.82,17.039999,-52.32,36.0,-13.92,-0.9,1009020708870985,1
23,-14.639999,17.34,-52.92,36.0,-13.92,-0.9,1009020716805556,1
24,-14.04,16.859999,-52.26,36.0,-13.92,-0.9,1009020724740126,1
25,-14.46,16.92,-52.5,36.0,-13.92,-0.9,1009020732674696,1
26,-14.5199995,16.98,-52.379997,36.0,-13.92,-0.9,1009020740609266,1
27,-14.759999,16.859999,-52.14,36.0,-13.92,-0.9,1009020748482802,1
28,-14.7,17.22,-52.379997,36.0,-13.92,-0.9,1009020756417372,1
29,-14.759999,17.22,-52.62,36.0,-13.92,-0.9,1009020764351942,1
30,-14.82,17.4,-52.44,36.0,-13.92,-0.9,1009020772255995,1
31,-14.639999,16.68,-52.079998,36.0,-13.92,-0.9,1009020780190565,1
32,-15.42,16.32,-52.379997,36.0,-13.92,-0.9,1009020788064100,1
33,-15.48,16.02,-52.199997,36.0,-13.92,-0.9,1009020795968153,1
34,-16.02,15.42,-52.5,36.0,-13.92,-0.9,1009020803902724,1
35,-16.38,15.66,-52.44,36.0,-13.92,-0.9,1009020811837294,1
36,-16.08,15.48,-52.26,36.0,-13.92,-0.9,1009020819741347,1
37,-15.839999,15.599999,-52.379997,36.0,-13.92,-0.9,1009020827614882,1
38,-15.48,16.02,-51.899998,36.0,-13.92,-0.9,1009020835549452,1
39,-15.24,16.14,-52.079998,36.0,-13.92,-0.9,1009020843422987,1
40,-15.54,16.38,-52.14,36.0,-13.92,-0.9,1009020851357558,1
41,-15.599999,16.32,-52.079998,36.0,-13.92,-0.9,1009020859292128,1
42,-15.42,15.96,-52.379997,36.0,-13.92,-0.9,1009020867135145,1
43,-15.54,16.26,-52.739998,36.0,-13.92,-0.9,1009020875069716,1
44,-14.82,16.5,-52.379997,36.0,-13.92,-0.9,1009020883034804,1
45,-14.82,16.44,-52.32,36.0,-13.92,-0.9,1009020890999891,1
46,-14.759999,16.8,-52.379997,36.0,-13.92,-0.9,1009020898903944,1
47,-14.58,16.44,-51.96,36.0,-13.92,-0.9,1009020906807997,1
48,-15.0,15.96,-51.539997,36.0,-13.92,-0.9,1009020914742567,1
49,-14.58,16.08,-51.3,36.0,-13.92,-0.9,1009020922677138,1
50,-14.46,16.08,-51.6,36.0,-13.92,-0.9,1009020930611708,1
51,-14.4,16.56,-51.719997,36.0,-13.92,-0.9,1009020938576796,1
52,-14.4,16.74,-52.14,36.0,-13.92,-0.9,1009020946450331,1
53,-14.88,16.8,-52.68,36.0,-13.92,-0.9,1009020954354384,1
54,-15.299999,16.8,-52.44,36.0,-13.92,-0.9,1009020962227919,1
55,-16.08,16.56,-53.34,36.0,-13.92,-0.9,1009020970223524,1
56,-15.599999,16.98,-53.64,36.0,-13.92,-0.9,1009020978097059,1
57,-15.36,17.16,-53.34,36.0,-13.92,-0.9,1009020985970595,1
58,-15.12,17.4,-53.28,36.0,-13.92,-0.9,1009020993905165,1
59,-14.58,17.52,-52.379997,36.0,-13.92,-0.9,1009021001839735,1
60,-14.759999,17.279999,-52.379997,36.0,-13.92,-0.9,1009021009743788,1
61,-14.58,16.98,-52.5,36.0,-13.92,-0.9,1009021017708876,1
