,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,32.7,2.82,-48.239998,36.0,-13.92,-0.9,1009469213694813,1,029a77f196804217,DormRoom5
1,32.7,2.76,-48.12,36.0,-13.92,-0.9,1009469221568348,1,029a77f196804217,DormRoom5
2,32.7,3.0,-48.18,36.0,-13.92,-0.9,1009469229502919,1,029a77f196804217,DormRoom5
3,32.46,3.1799998,-47.94,36.0,-13.92,-0.9,1009469237437489,1,029a77f196804217,DormRoom5
4,32.46,3.06,-47.76,36.0,-13.92,-0.9,1009469245341542,1,029a77f196804217,DormRoom5
5,32.46,3.12,-47.46,36.0,-13.92,-0.9,1009469253276112,1,029a77f196804217,DormRoom5
6,32.579998,2.82,-47.579998,36.0,-13.92,-0.9,1009469261180165,1,029a77f196804217,DormRoom5
7,32.82,2.3999999,-47.579998,36.0,-13.92,-0.9,1009469269145253,1,029a77f196804217,DormRoom5
8,32.82,2.52,-47.46,36.0,-13.92,-0.9,1009469277049305,1,029a77f196804217,DormRoom5
9,32.76,2.3999999,-47.219997,36.0,-13.92,-0.9,1009469284953358,1,029a77f196804217,DormRoom5
10,32.88,2.1599998,-46.62,36.0,-13.92,-0.9,1009469292887928,1,029a77f196804217,DormRoom5
11,32.88,2.28,-46.44,36.0,-13.92,-0.9,1009469300791981,1,029a77f196804217,DormRoom5
12,32.64,2.1599998,-46.5,36.0,-13.92,-0.9,1009469308696034,1,029a77f196804217,DormRoom5
13,32.7,1.86,-46.92,36.0,-13.92,-0.9,1009469316661122,1,029a77f196804217,DormRoom5
14,32.34,2.28,-47.16,36.0,-13.92,-0.9,1009469324504139,1,029a77f196804217,DormRoom5
15,32.399998,2.3999999,-47.34,36.0,-13.92,-0.9,1009469332438710,1,029a77f196804217,DormRoom5
16,32.82,2.76,-47.28,36.0,-13.92,-0.9,1009469340342762,1,029a77f196804217,DormRoom5
17,33.059998,3.4199998,-47.219997,36.0,-13.92,-0.9,1009469348307850,1,029a77f196804217,DormRoom5
18,33.66,3.4199998,-47.28,36.0,-13.92,-0.9,1009469356211903,1,029a77f196804217,DormRoom5
19,33.78,4.02,-46.92,36.0,-13.92,-0.9,1009469364085438,1,029a77f196804217,DormRoom5
20,33.719997,4.44,-47.039997,36.0,-13.92,-0.9,1009469371989491,1,029a77f196804217,DormRoom5
21,33.719997,4.68,-46.92,36.0,-13.92,-0.9,1009469379893544,1,029a77f196804217,DormRoom5
22,33.36,5.16,-46.98,36.0,-13.92,-0.9,1009469387828114,1,029a77f196804217,DormRoom5
23,33.42,5.16,-47.1,36.0,-13.92,-0.9,1009469395762684,1,029a77f196804217,DormRoom5
24,33.6,5.04,-46.92,36.0,-13.92,-0.9,1009469403666737,1,029a77f196804217,DormRoom5
25,33.239998,5.4,-46.86,36.0,-13.92,-0.9,1009469411570790,1,029a77f196804217,DormRoom5
26,33.42,5.46,-46.44,36.0,-13.92,-0.9,1009469419474842,1,029a77f196804217,DormRoom5
27,33.899998,5.7,-46.92,36.0,-13.92,-0.9,1009469427439930,1,029a77f196804217,DormRoom5
28,34.14,5.8199997,-47.399998,36.0,-13.92,-0.9,1009469435343983,1,029a77f196804217,DormRoom5
29,35.1,5.7,-47.7,36.0,-13.92,-0.9,1009469443217518,1,029a77f196804217,DormRoom5
30,34.98,5.7,-48.059998,36.0,-13.92,-0.9,1009469451121571,1,029a77f196804217,DormRoom5
31,34.8,6.0,-48.12,36.0,-13.92,-0.9,1009469459025624,1,029a77f196804217,DormRoom5
32,34.559998,6.0,-48.3,36.0,-13.92,-0.9,1009469466960194,1,029a77f196804217,DormRoom5
33,34.559998,6.12,-48.42,36.0,-13.92,-0.9,1009469474925282,1,029a77f196804217,DormRoom5
34,34.86,6.48,-48.719997,36.0,-13.92,-0.9,1009469482798817,1,029a77f196804217,DormRoom5
35,35.1,6.2999997,-48.66,36.0,-13.92,-0.9,1009469490672352,1,029a77f196804217,DormRoom5
36,35.579998,6.3599997,-48.059998,36.0,-13.92,-0.9,1009469498576405,1,029a77f196804217,DormRoom5
37,35.88,6.2999997,-48.12,36.0,-13.92,-0.9,1009469506541493,1,029a77f196804217,DormRoom5
38,36.18,6.2999997,-47.34,36.0,-13.92,-0.9,1009469514476063,1,029a77f196804217,DormRoom5
39,36.239998,6.06,-46.86,36.0,-13.92,-0.9,1009469522349598,1,029a77f196804217,DormRoom5
40,36.6,5.8799996,-46.8,36.0,-13.92,-0.9,1009469530284169,1,029a77f196804217,DormRoom5
41,36.899998,6.12,-46.98,36.0,-13.92,-0.9,1009469538157704,1,029a77f196804217,DormRoom5
42,37.079998,5.94,-47.579998,36.0,-13.92,-0.9,1009469546092274,1,029a77f196804217,DormRoom5
