,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,3.8186,44.3836,-83.875,-20.462572,42.201008,-28.653944,12472307193767,1
1,10.37,47.8606,-78.141,-20.462572,42.201008,-28.653944,12472317193279,1
2,-1.4884,43.614998,-78.446,-20.462572,42.201008,-28.653944,12472327193523,1
3,11.3948,47.970398,-77.909195,-20.462572,42.201008,-28.653944,12472337193523,1
4,10.2846,47.0066,-76.8966,-20.462572,42.201008,-28.653944,12472347193523,1
5,14.8596,47.4092,-75.1764,-20.462572,42.201008,-28.653944,12472357193279,1
6,10.1748,46.2136,-76.6282,-20.462572,42.201008,-28.653944,12472367196452,1
7,13.102799,47.0554,-75.762,-20.462572,42.201008,-28.653944,12472377193767,1
8,15.8722,47.458,-74.5054,-20.462572,42.201008,-28.653944,12472387193279,1
9,12.1634,47.153,-75.7986,-20.462572,42.201008,-28.653944,12472397193767,1
10,12.4318,46.3844,-74.3712,-20.462572,42.201008,-28.653944,12472407193523,1
11,15.1524,47.641,-74.1882,-20.462572,42.201008,-28.653944,12472417193523,1
12,14.1764,47.3726,-75.7742,-20.462572,42.201008,-28.653944,12472427188152,1
13,12.6147995,47.1042,-76.006,-20.462572,42.201008,-28.653944,12472437193279,1
14,14.1032,47.592197,-75.518,-20.462572,42.201008,-28.653944,12472447193523,1
15,15.164599,48.141197,-74.0784,-20.462572,42.201008,-28.653944,12472457193279,1
16,15.0914,47.9948,-74.7128,-20.462572,42.201008,-28.653944,12472467189616,1
17,15.677,47.738598,-73.9686,-20.462572,42.201008,-28.653944,12472477194011,1
18,15.2866,47.397,-74.5298,-20.462572,42.201008,-28.653944,12472487193279,1
19,14.1642,46.738197,-74.773796,-20.462572,42.201008,-28.653944,12472497188152,1
20,15.1036,47.6044,-73.1146,-20.462572,42.201008,-28.653944,12472507193279,1
21,14.310599,47.360397,-74.5542,-20.462572,42.201008,-28.653944,12472517193279,1
22,15.738,47.702,-74.2736,-20.462572,42.201008,-28.653944,12472527193279,1
23,15.652599,48.5438,-75.566795,-20.462572,42.201008,-28.653944,12472537193279,1
24,15.6648,47.6166,-75.249596,-20.462572,42.201008,-28.653944,12472547193523,1
25,15.615999,47.7264,-75.274,-20.462572,42.201008,-28.653944,12472557193523,1
26,15.9088,47.8484,-75.1276,-20.462572,42.201008,-28.653944,12472567193523,1
27,14.9572,47.4946,-73.6636,-20.462572,42.201008,-28.653944,12472577193279,1
28,15.457399,48.1534,-74.8714,-20.462572,42.201008,-28.653944,12472587193523,1
29,15.127999,47.201797,-74.8592,-20.462572,42.201008,-28.653944,12472597193767,1
30,17.0678,48.3852,-75.274,-20.462572,42.201008,-28.653944,12472607193523,1
31,17.0434,48.068,-74.8836,-20.462572,42.201008,-28.653944,12472617193279,1
32,17.3606,48.2632,-74.9568,-20.462572,42.201008,-28.653944,12472627193279,1
33,14.9572,47.518997,-75.8352,-20.462572,42.201008,-28.653944,12472637194499,1
34,14.1276,47.348198,-74.8104,-20.462572,42.201008,-28.653944,12472647193523,1
35,16.1162,48.4218,-75.090996,-20.462572,42.201008,-28.653944,12472657193767,1
36,14.1764,46.9944,-74.5054,-20.462572,42.201008,-28.653944,12472667193523,1
37,15.8722,47.702,-74.773796,-20.462572,42.201008,-28.653944,12472677194255,1
38,18.483,48.9586,-73.1024,-20.462572,42.201008,-28.653944,12472687180339,1
39,17.994999,47.9582,-74.627396,-20.462572,42.201008,-28.653944,12472697193767,1
40,14.7132,47.092,-74.0662,-20.462572,42.201008,-28.653944,12472707193767,1
41,13.6518,46.8358,-74.163795,-20.462572,42.201008,-28.653944,12472717193523,1
42,15.164599,47.274998,-74.639595,-20.462572,42.201008,-28.653944,12472727193279,1
43,14.9816,47.885,-74.3956,-20.462572,42.201008,-28.653944,12472737180583,1
44,15.884399,48.202198,-74.9934,-20.462572,42.201008,-28.653944,12472747193523,1
45,18.2146,48.617,-74.8226,-20.462572,42.201008,-28.653944,12472757193523,1
46,13.7982,47.043198,-76.2256,-20.462572,42.201008,-28.653944,12472767193523,1
47,16.1406,48.1046,-73.8344,-20.462572,42.201008,-28.653944,12472777193279,1
48,18.117,48.2998,-72.7242,-20.462572,42.201008,-28.653944,12472787193034,1
49,17.2996,47.970398,-74.054,-20.462572,42.201008,-28.653944,12472797193523,1
50,15.3354,48.214397,-74.5908,-20.462572,42.201008,-28.653944,12472807193523,1
51,16.1162,48.360798,-74.4322,-20.462572,42.201008,-28.653944,12472817193279,1
52,16.2992,47.823997,-75.2374,-20.462572,42.201008,-28.653944,12472827193523,1
53,12.7856,46.6162,-75.5302,-20.462572,42.201008,-28.653944,12472837193523,1
54,14.9572,47.738598,-73.7124,-20.462572,42.201008,-28.653944,12472847193767,1
55,13.0418,46.2014,-73.749,-20.462572,42.201008,-28.653944,12472857193523,1
56,14.4936,48.007,-75.408195,-20.462572,42.201008,-28.653944,12472867193523,1
57,15.981999,48.2388,-74.8714,-20.462572,42.201008,-28.653944,12472877193279,1
58,15.4939995,47.970398,-74.5054,-20.462572,42.201008,-28.653944,12472887180339,1
59,18.4952,48.7756,-73.2732,-20.462572,42.201008,-28.653944,12472897193767,1
60,17.4582,48.4584,-72.3826,-20.462572,42.201008,-28.653944,12472907193523,1
61,15.7258,47.4458,-74.322395,-20.462572,42.201008,-28.653944,12472917191325,1
62,14.335,46.567398,-74.908,-20.462572,42.201008,-28.653944,12472927193279,1
63,15.2012,47.4214,-74.9934,-20.462572,42.201008,-28.653944,12472937193767,1
64,15.921,47.7752,-74.237,-20.462572,42.201008,-28.653944,12472947193767,1
65,16.0552,47.5312,-74.798195,-20.462572,42.201008,-28.653944,12472957193767,1
66,14.310599,47.1042,-74.175995,-20.462572,42.201008,-28.653944,12472967193523,1
67,15.311,47.5312,-75.090996,-20.462572,42.201008,-28.653944,12472977193523,1
68,16.0796,47.665398,-75.261795,-20.462572,42.201008,-28.653944,12472987193523,1
69,17.324,48.360798,-74.664,-20.462572,42.201008,-28.653944,12472997180339,1
70,14.0788,47.3848,-74.5054,-20.462572,42.201008,-28.653944,12473007193523,1
71,14.1032,46.7748,-74.468796,-20.462572,42.201008,-28.653944,12473017193523,1
72,13.8958,47.189598,-75.1642,-20.462572,42.201008,-28.653944,12473027193523,1
73,15.4452,47.4702,-75.261795,-20.462572,42.201008,-28.653944,12473037193523,1
74,16.164999,48.068,-74.785995,-20.462572,42.201008,-28.653944,12473047193523,1
75,15.8234,47.5556,-74.7616,-20.462572,42.201008,-28.653944,12473057193523,1
76,17.4216,47.970398,-74.8836,-20.462572,42.201008,-28.653944,12473067193523,1
77,15.0548,47.2384,-74.8836,-20.462572,42.201008,-28.653944,12473077193279,1
78,15.372,47.1774,-74.5664,-20.462572,42.201008,-28.653944,12473087193279,1
79,15.945399,47.458,-73.0902,-20.462572,42.201008,-28.653944,12473097183025,1
80,16.091799,47.5312,-73.932,-20.462572,42.201008,-28.653944,12473107193767,1
81,12.346399,45.6524,-77.909195,-20.462572,42.201008,-28.653944,12473117193767,1
82,15.164599,47.5312,-74.7006,-20.462572,42.201008,-28.653944,12473127193523,1
83,11.9682,47.348198,-78.1654,-20.462572,42.201008,-28.653944,12473137193767,1
84,6.8198,45.640198,-78.6412,-20.462572,42.201008,-28.653944,12473147193523,1
85,12.2244,47.506798,-77.165,-20.462572,42.201008,-28.653944,12473157193279,1
86,9.9674,46.4576,-77.8238,-20.462572,42.201008,-28.653944,12473167193279,1
87,9.3208,46.3112,-78.7144,-20.462572,42.201008,-28.653944,12473177193523,1
88,14.3594,48.202198,-76.5672,-20.462572,42.201008,-28.653944,12473187193279,1
89,14.762,49.0196,-79.6782,-20.462572,42.201008,-28.653944,12473197193279,1
90,15.359799,47.6288,-76.8356,-20.462572,42.201008,-28.653944,12473207180827,1
91,12.9442,47.5434,-75.7986,-20.462572,42.201008,-28.653944,12473217193767,1
92,11.528999,48.1534,-78.019,-20.462572,42.201008,-28.653944,12473227193523,1
93,16.9336,48.202198,-75.0544,-20.462572,42.201008,-28.653944,12473237193279,1
94,12.7612,47.7874,-76.4452,-20.462572,42.201008,-28.653944,12473247193767,1
95,9.7355995,46.4088,-77.3236,-20.462572,42.201008,-28.653944,12473257193767,1
96,15.7014,48.7146,-77.750595,-20.462572,42.201008,-28.653944,12473267193767,1
97,9.2842,46.9822,-79.5196,-20.462572,42.201008,-28.653944,12473277193523,1
98,11.9072,48.128998,-78.4704,-20.462572,42.201008,-28.653944,12473287193523,1
99,16.360199,48.214397,-75.3106,-20.462572,42.201008,-28.653944,12473297193523,1
100,16.518799,48.0436,-75.7742,-20.462572,42.201008,-28.653944,12473307181804,1
101,11.6144,47.4946,-76.335396,-20.462572,42.201008,-28.653944,12473317186687,1
102,11.7852,46.3844,-76.4818,-20.462572,42.201008,-28.653944,12473327193523,1
103,13.1272,47.506798,-76.823395,-20.462572,42.201008,-28.653944,12473337193523,1
104,10.4798,47.5678,-80.642,-20.462572,42.201008,-28.653944,12473347193767,1
105,10.3334,47.348198,-78.7998,-20.462572,42.201008,-28.653944,12473357193523,1
106,12.7856,46.8602,-75.7986,-20.462572,42.201008,-28.653944,12473367193279,1
107,15.3476,48.3486,-75.5912,-20.462572,42.201008,-28.653944,12473377193523,1
108,12.9808,47.506798,-76.652596,-20.462572,42.201008,-28.653944,12473387180339,1
109,12.9808,47.506798,-76.652596,-20.462572,42.201008,-28.653944,12473397193523,1
110,15.5062,48.434,-76.1158,-20.462572,42.201008,-28.653944,12473407193767,1
111,10.2114,47.3116,-79.361,-20.462572,42.201008,-28.653944,12473417195232,1
112,12.2122,46.7992,-75.3838,-20.462572,42.201008,-28.653944,12473427193523,1
113,15.323199,48.214397,-74.8104,-20.462572,42.201008,-28.653944,12473437193279,1
114,13.627399,47.641,-75.762,-20.462572,42.201008,-28.653944,12473447193279,1
115,12.4196,47.274998,-76.4086,-20.462572,42.201008,-28.653944,12473457193279,1
116,13.627399,46.7138,-75.6644,-20.462572,42.201008,-28.653944,12473467193767,1
117,9.2598,45.8476,-78.1898,-20.462572,42.201008,-28.653944,12473477193767,1
118,10.028399,47.0554,-79.5562,-20.462572,42.201008,-28.653944,12473487193523,1
119,14.249599,48.617,-78.629,-20.462572,42.201008,-28.653944,12473497193767,1
120,13.8592,47.665398,-74.1882,-20.462572,42.201008,-28.653944,12473507193279,1
121,14.9206,51.4596,-69.2594,-20.462572,42.201008,-28.653944,12473517196452,1
122,12.3708,48.214397,-74.0418,-20.462572,42.201008,-28.653944,12473527193279,1
123,17.5924,49.385597,-72.8828,-20.462572,42.201008,-28.653944,12473537193767,1
124,11.3948,47.6288,-74.908,-20.462572,42.201008,-28.653944,12473547193279,1
125,8.979199,46.957798,-76.8844,-20.462572,42.201008,-28.653944,12473557193767,1
126,14.1398,48.055798,-76.7014,-20.462572,42.201008,-28.653944,12473567182536,1
127,14.4326,49.6662,-77.421196,-20.462572,42.201008,-28.653944,12473577193523,1
128,13.1882,48.7024,-75.7864,-20.462572,42.201008,-28.653944,12473587193523,1
