,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-7.2346,23.253199,-77.286995,-20.652292,49.449627,-37.247314,15033707917156,1,03575768cc23b2df,DormRoom2
1,-7.9544,23.2654,-77.2504,-20.652292,49.449627,-37.247314,15033717971599,1,03575768cc23b2df,DormRoom2
2,-14.347199,21.5452,-78.4826,-20.652292,49.449627,-37.247314,15033727917400,1,03575768cc23b2df,DormRoom2
3,-5.6851997,24.997799,-76.4208,-20.652292,49.449627,-37.247314,15033737991863,1,03575768cc23b2df,DormRoom2
4,-4.5628,24.607399,-77.0308,-20.652292,49.449627,-37.247314,15033747727214,1,03575768cc23b2df,DormRoom2
5,-3.2696,25.4492,-76.4574,-20.652292,49.449627,-37.247314,15033757915691,1,03575768cc23b2df,DormRoom2
6,-4.8556,25.1686,-77.226,-20.652292,49.449627,-37.247314,15033767914714,1,03575768cc23b2df,DormRoom2
7,-4.5506,25.4736,-76.347595,-20.652292,49.449627,-37.247314,15033777914714,1,03575768cc23b2df,DormRoom2
8,0.46359998,26.108,-73.932,-20.652292,49.449627,-37.247314,15033787714519,1,03575768cc23b2df,DormRoom2
9,0.671,26.6936,-73.9076,-20.652292,49.449627,-37.247314,15033797914519,1,03575768cc23b2df,DormRoom2
10,1.1834,27.096199,-74.847,-20.652292,49.449627,-37.247314,15033807915691,1,03575768cc23b2df,DormRoom2
11,4.3066,27.8282,-74.005196,-20.652292,49.449627,-37.247314,15033817916179,1,03575768cc23b2df,DormRoom2
12,-2.1106,26.0592,-77.165,-20.652292,49.449627,-37.247314,15033827923015,1,03575768cc23b2df,DormRoom2
13,-0.57339996,26.0592,-75.1642,-20.652292,49.449627,-37.247314,15033838042644,1,03575768cc23b2df,DormRoom2
14,5.7218,27.9746,-72.2728,-20.652292,49.449627,-37.247314,15033847725017,1,03575768cc23b2df,DormRoom2
15,3.8674,27.0718,-72.2118,-20.652292,49.449627,-37.247314,15033857801677,1,03575768cc23b2df,DormRoom2
