,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-36.412502,-60.35625,-306.30002,-36.41,-45.06,-258.66,839353501081177,1,4aaf95a621ccf092,Bathroom
1,-36.412502,-60.881252,-305.94376,-36.41,-45.06,-258.66,839353521077805,1,4aaf95a621ccf092,Bathroom
2,-36.16875,-61.612503,-305.68127,-36.41,-45.06,-258.66,839353541181240,1,4aaf95a621ccf092,Bathroom
3,-35.8125,-62.456253,-305.21252,-36.41,-45.06,-258.66,839353561177931,1,4aaf95a621ccf092,Bathroom
4,-35.568752,-63.05625,-305.02502,-36.41,-45.06,-258.66,839353581174545,1,4aaf95a621ccf092,Bathroom
5,-35.5125,-63.112503,-305.02502,-36.41,-45.06,-258.66,839353601178803,1,4aaf95a621ccf092,Bathroom
6,-35.381252,-63.35625,-304.9125,-36.41,-45.06,-258.66,839353621175462,1,4aaf95a621ccf092,Bathroom
7,-35.456253,-63.05625,-304.98752,-36.41,-45.06,-258.66,839353641179707,1,4aaf95a621ccf092,Bathroom
8,-35.456253,-63.112503,-305.2875,-36.41,-45.06,-258.66,839353661183966,1,4aaf95a621ccf092,Bathroom
9,-35.2125,-63.16875,-305.5125,-36.41,-45.06,-258.66,839353681180638,1,4aaf95a621ccf092,Bathroom
10,-35.2125,-63.000004,-305.34375,-36.41,-45.06,-258.66,839353701184901,1,4aaf95a621ccf092,Bathroom
11,-35.381252,-62.756252,-305.8125,-36.41,-45.06,-258.66,839353721181520,1,4aaf95a621ccf092,Bathroom
12,-35.381252,-62.812504,-305.58752,-36.41,-45.06,-258.66,839353741178203,1,4aaf95a621ccf092,Bathroom
13,-35.268753,-62.812504,-305.21252,-36.41,-45.06,-258.66,839353761182438,1,4aaf95a621ccf092,Bathroom
14,-35.268753,-62.812504,-305.02502,-36.41,-45.06,-258.66,839353781179107,1,4aaf95a621ccf092,Bathroom
15,-34.96875,-63.112503,-304.9125,-36.41,-45.06,-258.66,839353801183409,1,4aaf95a621ccf092,Bathroom
16,-34.78125,-62.756252,-304.80002,-36.41,-45.06,-258.66,839353821187644,1,4aaf95a621ccf092,Bathroom
17,-34.55625,-62.756252,-304.3125,-36.41,-45.06,-258.66,839353841184302,1,4aaf95a621ccf092,Bathroom
18,-34.612503,-62.812504,-304.36877,-36.41,-45.06,-258.66,839353861188523,1,4aaf95a621ccf092,Bathroom
19,-34.78125,-62.456253,-304.44376,-36.41,-45.06,-258.66,839353881185095,1,4aaf95a621ccf092,Bathroom
20,-34.612503,-62.7,-304.36877,-36.41,-45.06,-258.66,839353901181787,1,4aaf95a621ccf092,Bathroom
21,-34.78125,-62.812504,-304.5,-36.41,-45.06,-258.66,839353921186052,1,4aaf95a621ccf092,Bathroom
22,-34.85625,-62.5875,-304.98752,-36.41,-45.06,-258.66,839353941182725,1,4aaf95a621ccf092,Bathroom
23,-34.912502,-62.5125,-305.1,-36.41,-45.06,-258.66,839353961179398,1,4aaf95a621ccf092,Bathroom
24,-35.081253,-62.5125,-305.21252,-36.41,-45.06,-258.66,839353981183638,1,4aaf95a621ccf092,Bathroom
25,-35.15625,-62.812504,-305.21252,-36.41,-45.06,-258.66,839354001180297,1,4aaf95a621ccf092,Bathroom
26,-34.78125,-63.000004,-305.02502,-36.41,-45.06,-258.66,839354021184547,1,4aaf95a621ccf092,Bathroom
27,-34.48125,-63.412502,-304.74377,-36.41,-45.06,-258.66,839354041188758,1,4aaf95a621ccf092,Bathroom
28,-34.66875,-63.05625,-305.02502,-36.41,-45.06,-258.66,839354061185421,1,4aaf95a621ccf092,Bathroom
29,-34.612503,-63.112503,-305.02502,-36.41,-45.06,-258.66,839354081189686,1,4aaf95a621ccf092,Bathroom
30,-34.36875,-63.16875,-304.6875,-36.41,-45.06,-258.66,839354101186325,1,4aaf95a621ccf092,Bathroom
31,-34.3125,-63.412502,-304.44376,-36.41,-45.06,-258.66,839354121182993,1,4aaf95a621ccf092,Bathroom
32,-34.256252,-63.768753,-304.3125,-36.41,-45.06,-258.66,839354141187273,1,4aaf95a621ccf092,Bathroom
33,-34.18125,-63.7125,-304.5,-36.41,-45.06,-258.66,839354161183916,1,4aaf95a621ccf092,Bathroom
34,-34.48125,-63.768753,-304.61252,-36.41,-45.06,-258.66,839354181180589,1,4aaf95a621ccf092,Bathroom
35,-34.55625,-63.656254,-304.61252,-36.41,-45.06,-258.66,839354201177267,1,4aaf95a621ccf092,Bathroom
36,-34.3125,-63.956253,-304.3125,-36.41,-45.06,-258.66,839354221173862,1,4aaf95a621ccf092,Bathroom
37,-34.3125,-63.956253,-304.36877,-36.41,-45.06,-258.66,839354241170540,1,4aaf95a621ccf092,Bathroom
38,-34.48125,-64.3125,-304.3125,-36.41,-45.06,-258.66,839354261174809,1,4aaf95a621ccf092,Bathroom
39,-34.36875,-64.256256,-304.36877,-36.41,-45.06,-258.66,839354281179107,1,4aaf95a621ccf092,Bathroom
40,-34.3125,-64.0875,-304.6875,-36.41,-45.06,-258.66,839354301175785,1,4aaf95a621ccf092,Bathroom
41,-34.3125,-64.256256,-304.74377,-36.41,-45.06,-258.66,839354321180011,1,4aaf95a621ccf092,Bathroom
