,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-34.96875,-31.85625,-296.56876,-36.41,-45.06,-258.66,838118240608977,1
1,-35.268753,-31.9125,-296.86877,-36.41,-45.06,-258.66,838118260503005,1
2,-35.5125,-31.9125,-297.1875,-36.41,-45.06,-258.66,838118280527951,1
3,-35.568752,-31.987501,-297.1875,-36.41,-45.06,-258.66,838118300383883,1
4,-35.68125,-32.287502,-297.30002,-36.41,-45.06,-258.66,838118320216916,1
5,-35.381252,-32.756252,-297.0,-36.41,-45.06,-258.66,838118340221151,1
6,-35.268753,-32.643753,-297.35626,-36.41,-45.06,-258.66,838118360217842,1
7,-35.268753,-32.5125,-297.71252,-36.41,-45.06,-258.66,838118380214524,1
8,-35.5125,-32.456253,-297.65625,-36.41,-45.06,-258.66,838118400218826,1
9,-35.381252,-32.643753,-297.35626,-36.41,-45.06,-258.66,838118420215504,1
10,-35.5125,-32.756252,-297.30002,-36.41,-45.06,-258.66,838118440224993,1
11,-35.756252,-32.756252,-297.58127,-36.41,-45.06,-258.66,838118460257396,1
12,-35.8125,-32.5875,-297.71252,-36.41,-45.06,-258.66,838118480312765,1
13,-36.05625,-32.15625,-298.0125,-36.41,-45.06,-258.66,838118500452018,1
14,-36.35625,-31.9125,-297.7875,-36.41,-45.06,-258.66,838118520540283,1
15,-36.412502,-31.987501,-297.58127,-36.41,-45.06,-258.66,838118540628441,1
16,-36.581253,-31.556252,-297.95627,-36.41,-45.06,-258.66,838118560693724,1
17,-36.581253,-31.087502,-298.3125,-36.41,-45.06,-258.66,838118580675093,1
18,-36.65625,-30.712502,-298.5,-36.41,-45.06,-258.66,838118600702232,1
19,-36.693752,-30.54375,-298.80002,-36.41,-45.06,-258.66,838118620706526,1
20,-36.65625,-30.7875,-298.61252,-36.41,-45.06,-258.66,838118640693766,1
21,-36.581253,-30.35625,-298.98752,-36.41,-45.06,-258.66,838118660680949,1
22,-36.16875,-30.7875,-298.80002,-36.41,-45.06,-258.66,838118680668140,1
23,-35.98125,-30.843752,-298.80002,-36.41,-45.06,-258.66,838118700655381,1
24,-35.756252,-31.275002,-298.5,-36.41,-45.06,-258.66,838118720651996,1
25,-35.68125,-31.743752,-298.25626,-36.41,-45.06,-258.66,838118740656293,1
26,-35.268753,-32.456253,-297.7875,-36.41,-45.06,-258.66,838118760652932,1
27,-34.912502,-32.8875,-297.30002,-36.41,-45.06,-258.66,838118780657239,1
28,-35.081253,-32.8125,-297.48752,-36.41,-45.06,-258.66,838118800661494,1
29,-34.912502,-33.35625,-296.86877,-36.41,-45.06,-258.66,838118820658104,1
30,-34.96875,-33.787502,-297.05627,-36.41,-45.06,-258.66,838118840662377,1
31,-35.2125,-33.65625,-297.11252,-36.41,-45.06,-258.66,838118860659006,1
32,-34.912502,-34.0125,-296.86877,-36.41,-45.06,-258.66,838118880655631,1
33,-34.912502,-34.143753,-296.56876,-36.41,-45.06,-258.66,838118900659909,1
34,-34.78125,-33.956253,-296.8125,-36.41,-45.06,-258.66,838118920656552,1
35,-34.85625,-34.0875,-296.56876,-36.41,-45.06,-258.66,838118940660830,1
36,-34.912502,-34.0125,-296.45627,-36.41,-45.06,-258.66,838118960665132,1
37,-34.78125,-34.3875,-296.38126,-36.41,-45.06,-258.66,838118980661771,1
38,-34.85625,-34.143753,-296.2875,-36.41,-45.06,-258.66,838119000555785,1
39,-34.85625,-34.3875,-296.38126,-36.41,-45.06,-258.66,838119020552410,1
40,-34.78125,-34.55625,-296.2875,-36.41,-45.06,-258.66,838119040556646,1
41,-34.912502,-34.3875,-296.45627,-36.41,-45.06,-258.66,838119060553261,1
42,-35.081253,-34.6875,-296.21252,-36.41,-45.06,-258.66,838119080660140,1
43,-35.081253,-34.55625,-296.38126,-36.41,-45.06,-258.66,838119100664372,1
44,-34.78125,-34.612503,-296.45627,-36.41,-45.06,-258.66,838119120661050,1
45,-34.85625,-34.612503,-296.8125,-36.41,-45.06,-258.66,838119140665366,1
46,-34.85625,-34.3125,-297.05627,-36.41,-45.06,-258.66,838119160662014,1
47,-34.78125,-34.3125,-296.7,-36.41,-45.06,-258.66,838119180658692,1
48,-34.912502,-33.956253,-296.7,-36.41,-45.06,-258.66,838119200546316,1
49,-34.85625,-34.0875,-296.56876,-36.41,-45.06,-258.66,838119220440340,1
50,-34.912502,-34.0125,-296.75626,-36.41,-45.06,-258.66,838119240334397,1
51,-34.912502,-34.143753,-296.7,-36.41,-45.06,-258.66,838119260221180,1
52,-34.85625,-34.443752,-296.15625,-36.41,-45.06,-258.66,838119280229416,1
53,-34.78125,-34.55625,-295.80002,-36.41,-45.06,-258.66,838119300202002,1
54,-34.66875,-34.85625,-295.55627,-36.41,-45.06,-258.66,838119320198598,1
55,-34.36875,-35.287502,-295.6875,-36.41,-45.06,-258.66,838119340202520,1
56,-34.3125,-35.756252,-295.61252,-36.41,-45.06,-258.66,838119360193981,1
57,-34.18125,-35.756252,-295.80002,-36.41,-45.06,-258.66,838119380214687,1
58,-34.0125,-36.131252,-295.36877,-36.41,-45.06,-258.66,838119400218956,1
59,-34.0125,-36.1875,-295.3125,-36.41,-45.06,-258.66,838119420206106,1
60,-34.0125,-36.1875,-295.3125,-36.41,-45.06,-258.66,838119440186336,1
61,-34.18125,-36.24375,-295.55627,-36.41,-45.06,-258.66,838119460212663,1
62,-34.256252,-36.24375,-295.80002,-36.41,-45.06,-258.66,838119480292321,1
63,-34.3125,-36.54375,-295.61252,-36.41,-45.06,-258.66,838119500427282,1
64,-34.55625,-36.487503,-295.55627,-36.41,-45.06,-258.66,838119520561483,1
65,-34.55625,-36.35625,-295.61252,-36.41,-45.06,-258.66,838119540646320,1
66,-34.612503,-36.35625,-295.6875,-36.41,-45.06,-258.66,838119560670170,1
67,-34.78125,-36.43125,-295.6875,-36.41,-45.06,-258.66,838119580655854,1
68,-34.912502,-36.131252,-295.9125,-36.41,-45.06,-258.66,838119600656796,1
69,-35.081253,-36.24375,-295.6875,-36.41,-45.06,-258.66,838119620653445,1
70,-35.2125,-35.8875,-295.80002,-36.41,-45.06,-258.66,838119640657761,1
71,-35.081253,-35.943752,-295.85626,-36.41,-45.06,-258.66,838119660654381,1
72,-35.2125,-35.8875,-295.9125,-36.41,-45.06,-258.66,838119680651030,1
73,-35.15625,-36.131252,-295.85626,-36.41,-45.06,-258.66,838119700527736,1
74,-35.2125,-35.943752,-295.80002,-36.41,-45.06,-258.66,838119720532000,1
75,-34.96875,-35.8125,-295.80002,-36.41,-45.06,-258.66,838119740536278,1
76,-34.612503,-36.1875,-295.5,-36.41,-45.06,-258.66,838119760532912,1
77,-34.3125,-35.943752,-295.55627,-36.41,-45.06,-258.66,838119780664744,1
