,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-36.16875,-60.7125,-302.8125,-36.41,-45.06,-258.66,840666587737259,1
1,-36.28125,-60.600002,-303.11252,-36.41,-45.06,-258.66,840666607726261,1
2,-36.35625,-60.412502,-303.30002,-36.41,-45.06,-258.66,840666627715270,1
3,-36.16875,-60.112503,-303.6,-36.41,-45.06,-258.66,840666647714534,1
4,-36.35625,-59.456253,-303.6,-36.41,-45.06,-258.66,840666667711239,1
5,-36.35625,-59.2125,-303.90002,-36.41,-45.06,-258.66,840666687707948,1
6,-36.05625,-58.912502,-303.7875,-36.41,-45.06,-258.66,840666707704673,1
7,-36.16875,-58.800003,-304.14377,-36.41,-45.06,-258.66,840666727701305,1
8,-36.412502,-58.500004,-304.44376,-36.41,-45.06,-258.66,840666747697938,1
9,-36.28125,-58.687504,-304.3125,-36.41,-45.06,-258.66,840666767702216,1
10,-36.05625,-58.987503,-303.90002,-36.41,-45.06,-258.66,840666787706484,1
11,-35.8125,-59.5125,-303.48752,-36.41,-45.06,-258.66,840666807703132,1
12,-35.68125,-59.812504,-303.71252,-36.41,-45.06,-258.66,840666827707434,1
13,-35.8125,-59.756252,-303.30002,-36.41,-45.06,-258.66,840666847704072,1
14,-35.98125,-59.812504,-303.30002,-36.41,-45.06,-258.66,840666867708311,1
15,-35.98125,-59.756252,-303.4125,-36.41,-45.06,-258.66,840666887712590,1
16,-35.8875,-60.000004,-303.30002,-36.41,-45.06,-258.66,840666907709205,1
17,-35.8125,-60.412502,-303.30002,-36.41,-45.06,-258.66,840666927603392,1
18,-35.8125,-60.35625,-303.52502,-36.41,-45.06,-258.66,840666947600021,1
19,-35.8125,-60.300003,-303.6,-36.41,-45.06,-258.66,840666967596664,1
20,-35.8875,-60.300003,-303.4125,-36.41,-45.06,-258.66,840666987600933,1
21,-35.68125,-60.412502,-303.6,-36.41,-45.06,-258.66,840667007707654,1
22,-35.568752,-60.000004,-304.08752,-36.41,-45.06,-258.66,840667027711961,1
23,-35.268753,-60.35625,-303.6,-36.41,-45.06,-258.66,840667047716273,1
24,-35.2125,-59.812504,-303.71252,-36.41,-45.06,-258.66,840667067712931,1
25,-35.081253,-59.8875,-303.4125,-36.41,-45.06,-258.66,840667087717219,1
26,-35.2125,-59.5875,-303.6,-36.41,-45.06,-258.66,840667107713858,1
27,-35.381252,-59.2125,-303.90002,-36.41,-45.06,-258.66,840667127710501,1
28,-35.2125,-59.5875,-303.71252,-36.41,-45.06,-258.66,840667147714784,1
29,-35.2125,-59.5125,-303.6,-36.41,-45.06,-258.66,840667167711418,1
30,-35.381252,-59.8875,-303.48752,-36.41,-45.06,-258.66,840667187715744,1
31,-35.756252,-59.268753,-303.71252,-36.41,-45.06,-258.66,840667207720052,1
32,-36.05625,-58.987503,-304.18127,-36.41,-45.06,-258.66,840667227716685,1
33,-36.112503,-58.800003,-304.3125,-36.41,-45.06,-258.66,840667247720959,1
34,-36.112503,-59.2125,-304.08752,-36.41,-45.06,-258.66,840667267717564,1
35,-36.112503,-59.756252,-303.71252,-36.41,-45.06,-258.66,840667287714179,1
36,-36.28125,-59.2125,-304.08752,-36.41,-45.06,-258.66,840667307710789,1
37,-36.46875,-58.800003,-304.44376,-36.41,-45.06,-258.66,840667327707371,1
38,-36.28125,-58.987503,-304.3125,-36.41,-45.06,-258.66,840667347711621,1
39,-36.16875,-59.5125,-304.3125,-36.41,-45.06,-258.66,840667367715899,1
40,-36.05625,-60.112503,-303.84375,-36.41,-45.06,-258.66,840667387720196,1
41,-36.581253,-59.5125,-304.18127,-36.41,-45.06,-258.66,840667407724456,1
42,-36.412502,-59.812504,-304.18127,-36.41,-45.06,-258.66,840667427721110,1
43,-36.65625,-59.7,-304.36877,-36.41,-45.06,-258.66,840667447717680,1
