,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-35.98125,-26.156252,-309.24377,-36.41,-45.06,-258.66,840431308757838,1
1,-35.98125,-26.587502,-308.86877,-36.41,-45.06,-258.66,840431328762158,1
2,-35.756252,-27.000002,-308.64377,-36.41,-45.06,-258.66,840431348866710,1
3,-35.8125,-27.487501,-308.21252,-36.41,-45.06,-258.66,840431368863463,1
4,-35.568752,-27.7875,-307.9125,-36.41,-45.06,-258.66,840431388867721,1
5,-35.381252,-28.218752,-307.80002,-36.41,-45.06,-258.66,840431408864417,1
6,-35.268753,-28.275002,-307.6875,-36.41,-45.06,-258.66,840431428861046,1
7,-35.15625,-28.556252,-307.44376,-36.41,-45.06,-258.66,840431448865280,1
8,-35.15625,-28.3875,-307.80002,-36.41,-45.06,-258.66,840431468861938,1
9,-35.081253,-28.3875,-307.5,-36.41,-45.06,-258.66,840431488866192,1
10,-35.15625,-28.312502,-307.44376,-36.41,-45.06,-258.66,840431508870432,1
11,-34.85625,-28.275002,-307.36877,-36.41,-45.06,-258.66,840431528867105,1
12,-34.85625,-28.3875,-307.18127,-36.41,-45.06,-258.66,840431548871325,1
13,-35.081253,-28.087502,-307.61252,-36.41,-45.06,-258.66,840431568867993,1
14,-34.96875,-28.275002,-307.61252,-36.41,-45.06,-258.66,840431588864671,1
15,-35.15625,-28.500002,-307.5,-36.41,-45.06,-258.66,840431608868925,1
16,-35.081253,-28.500002,-307.5,-36.41,-45.06,-258.66,840431628865603,1
17,-34.96875,-28.3875,-307.6875,-36.41,-45.06,-258.66,840431648862204,1
18,-35.081253,-28.275002,-307.80002,-36.41,-45.06,-258.66,840431668866459,1
19,-34.96875,-28.3875,-307.9125,-36.41,-45.06,-258.66,840431688863136,1
20,-35.15625,-28.3875,-307.80002,-36.41,-45.06,-258.66,840431708859771,1
21,-34.66875,-28.875002,-307.5,-36.41,-45.06,-258.66,840431728864030,1
22,-34.78125,-28.687502,-307.5,-36.41,-45.06,-258.66,840431748860689,1
23,-34.85625,-28.218752,-307.98752,-36.41,-45.06,-258.66,840431768864939,1
