,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-34.256252,-32.5125,-305.86877,-41.34,-40.02,-260.34,850342189642661,1
1,-33.787502,-32.756252,-305.64377,-41.34,-40.02,-260.34,850342209715578,1
2,-33.487503,-33.0,-305.45627,-41.34,-40.02,-260.34,850342229708149,1
3,-33.24375,-33.131252,-305.45627,-41.34,-40.02,-260.34,850342249564027,1
4,-33.05625,-33.1875,-305.45627,-41.34,-40.02,-260.34,850342269397050,1
5,-32.756252,-33.956253,-304.9125,-41.34,-40.02,-260.34,850342289214843,1
6,-32.5125,-34.800003,-304.55627,-41.34,-40.02,-260.34,850342309211500,1
7,-32.34375,-35.175003,-304.44376,-41.34,-40.02,-260.34,850342329215792,1
8,-32.34375,-35.23125,-304.14377,-41.34,-40.02,-260.34,850342349220089,1
9,-32.643753,-35.23125,-304.3875,-41.34,-40.02,-260.34,850342369216708,1
10,-32.643753,-35.287502,-304.55627,-41.34,-40.02,-260.34,850342389213347,1
11,-32.5125,-35.5875,-304.44376,-41.34,-40.02,-260.34,850342409209981,1
12,-32.287502,-35.8875,-304.14377,-41.34,-40.02,-260.34,850342429206629,1
13,-32.175003,-35.831253,-304.44376,-41.34,-40.02,-260.34,850342449210950,1
14,-32.175003,-35.71875,-304.44376,-41.34,-40.02,-260.34,850342469215233,1
15,-31.9125,-35.5875,-304.3125,-41.34,-40.02,-260.34,850342489219503,1
16,-31.9125,-35.5125,-304.55627,-41.34,-40.02,-260.34,850342509216180,1
17,-31.743752,-35.5125,-304.44376,-41.34,-40.02,-260.34,850342529212810,1
18,-31.743752,-35.5875,-304.3875,-41.34,-40.02,-260.34,850342549217074,1
19,-31.687502,-35.175003,-304.44376,-41.34,-40.02,-260.34,850342569213728,1
20,-31.687502,-35.23125,-304.3875,-41.34,-40.02,-260.34,850342589217978,1
21,-31.987501,-34.912502,-304.3875,-41.34,-40.02,-260.34,850342609222242,1
22,-31.743752,-35.100002,-304.25626,-41.34,-40.02,-260.34,850342629218934,1
23,-31.987501,-35.100002,-304.61252,-41.34,-40.02,-260.34,850342649223155,1
24,-31.987501,-35.100002,-304.85626,-41.34,-40.02,-260.34,850342669227457,1
25,-31.9125,-35.287502,-304.61252,-41.34,-40.02,-260.34,850342689224096,1
26,-32.175003,-35.23125,-304.55627,-41.34,-40.02,-260.34,850342709220749,1
27,-32.287502,-35.456253,-304.3875,-41.34,-40.02,-260.34,850342729222716,1
28,-32.5125,-35.100002,-304.55627,-41.34,-40.02,-260.34,850342749219345,1
29,-32.34375,-35.287502,-304.61252,-41.34,-40.02,-260.34,850342769223652,1
30,-32.34375,-35.4,-304.55627,-41.34,-40.02,-260.34,850342789247829,1
31,-32.456253,-35.71875,-304.44376,-41.34,-40.02,-260.34,850342809239083,1
32,-32.34375,-35.831253,-304.0125,-41.34,-40.02,-260.34,850342829243342,1
33,-32.456253,-35.5875,-304.0125,-41.34,-40.02,-260.34,850342849239962,1
34,-32.287502,-35.775,-303.84375,-41.34,-40.02,-260.34,850342869216711,1
