,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-35.268753,-61.800003,-305.40002,-36.41,-45.06,-258.66,839262617526445,1
1,-35.2125,-62.2125,-305.34375,-36.41,-45.06,-258.66,839262637530748,1
2,-35.15625,-62.812504,-305.02502,-36.41,-45.06,-258.66,839262657635752,1
3,-34.912502,-63.300003,-305.1,-36.41,-45.06,-258.66,839262677739218,1
4,-34.55625,-63.768753,-304.98752,-36.41,-45.06,-258.66,839262697735910,1
5,-34.612503,-63.768753,-305.02502,-36.41,-45.06,-258.66,839262717732516,1
6,-34.612503,-63.7125,-305.1,-36.41,-45.06,-258.66,839262737736823,1
7,-34.612503,-63.656254,-305.40002,-36.41,-45.06,-258.66,839262757741111,1
8,-34.612503,-63.16875,-305.64377,-36.41,-45.06,-258.66,839262777737745,1
9,-34.612503,-63.35625,-305.40002,-36.41,-45.06,-258.66,839262797610129,1
10,-34.55625,-63.300003,-305.58752,-36.41,-45.06,-258.66,839262817606802,1
11,-34.612503,-63.16875,-305.40002,-36.41,-45.06,-258.66,839262837611042,1
12,-34.85625,-63.112503,-305.5125,-36.41,-45.06,-258.66,839262857615292,1
13,-34.66875,-62.8875,-305.5125,-36.41,-45.06,-258.66,839262877743829,1
14,-34.78125,-63.112503,-305.5125,-36.41,-45.06,-258.66,839262897740439,1
15,-34.66875,-62.8875,-305.21252,-36.41,-45.06,-258.66,839262917737136,1
16,-35.081253,-62.8875,-305.21252,-36.41,-45.06,-258.66,839262937733756,1
17,-34.96875,-62.5875,-305.5125,-36.41,-45.06,-258.66,839262957730429,1
18,-34.66875,-62.812504,-305.5125,-36.41,-45.06,-258.66,839262977734717,1
19,-34.96875,-62.5875,-305.40002,-36.41,-45.06,-258.66,839262997800048,1
20,-35.081253,-62.812504,-305.1,-36.41,-45.06,-258.66,839263017804288,1
21,-35.268753,-62.756252,-305.21252,-36.41,-45.06,-258.66,839263037808566,1
22,-35.381252,-62.5125,-305.1,-36.41,-45.06,-258.66,839263057805200,1
23,-35.456253,-62.812504,-305.02502,-36.41,-45.06,-258.66,839263077740762,1
24,-35.15625,-63.05625,-304.74377,-36.41,-45.06,-258.66,839263097737430,1
25,-35.15625,-63.300003,-304.6875,-36.41,-45.06,-258.66,839263117741671,1
26,-35.568752,-62.812504,-304.74377,-36.41,-45.06,-258.66,839263137745997,1
27,-35.456253,-63.300003,-304.9125,-36.41,-45.06,-258.66,839263157742675,1
28,-35.2125,-63.112503,-305.2875,-36.41,-45.06,-258.66,839263177746950,1
29,-34.96875,-63.35625,-305.21252,-36.41,-45.06,-258.66,839263197617854,1
30,-34.912502,-63.35625,-305.2875,-36.41,-45.06,-258.66,839263217614435,1
31,-35.081253,-62.8875,-305.40002,-36.41,-45.06,-258.66,839263237618695,1
32,-35.15625,-63.16875,-305.40002,-36.41,-45.06,-258.66,839263257615334,1
33,-34.96875,-63.112503,-305.2875,-36.41,-45.06,-258.66,839263277737771,1
34,-34.78125,-63.16875,-305.34375,-36.41,-45.06,-258.66,839263297734381,1
35,-34.612503,-63.300003,-304.80002,-36.41,-45.06,-258.66,839263317731044,1
36,-34.78125,-63.300003,-304.6875,-36.41,-45.06,-258.66,839263337735274,1
37,-34.912502,-63.581253,-304.61252,-36.41,-45.06,-258.66,839263357739538,1
38,-34.78125,-63.9,-304.44376,-36.41,-45.06,-258.66,839263377743822,1
39,-34.78125,-64.0875,-304.61252,-36.41,-45.06,-258.66,839263397740460,1
40,-34.55625,-64.0875,-304.61252,-36.41,-45.06,-258.66,839263417737143,1
41,-34.66875,-64.3125,-304.6875,-36.41,-45.06,-258.66,839263437733729,1
42,-34.78125,-64.6125,-304.36877,-36.41,-45.06,-258.66,839263457737960,1
43,-34.85625,-64.55625,-304.5,-36.41,-45.06,-258.66,839263477742248,1
44,-34.612503,-64.6125,-304.14377,-36.41,-45.06,-258.66,839263497746468,1
45,-34.612503,-64.668755,-304.08752,-36.41,-45.06,-258.66,839263517750742,1
46,-34.85625,-64.55625,-304.08752,-36.41,-45.06,-258.66,839263537747434,1
47,-34.48125,-64.668755,-303.7875,-36.41,-45.06,-258.66,839263557751703,1
48,-34.48125,-64.55625,-303.90002,-36.41,-45.06,-258.66,839263577748357,1
49,-34.36875,-64.668755,-303.7875,-36.41,-45.06,-258.66,839263597637389,1
50,-34.48125,-64.256256,-304.0125,-36.41,-45.06,-258.66,839263617641688,1
51,-34.36875,-64.481255,-304.0125,-36.41,-45.06,-258.66,839263637638361,1
52,-34.66875,-64.6125,-304.36877,-36.41,-45.06,-258.66,839263657635038,1
53,-34.55625,-64.3125,-304.5,-36.41,-45.06,-258.66,839263677746913,1
54,-34.36875,-64.481255,-304.6875,-36.41,-45.06,-258.66,839263697625822,1
55,-34.36875,-64.481255,-304.9125,-36.41,-45.06,-258.66,839263717622456,1
56,-34.36875,-64.481255,-304.80002,-36.41,-45.06,-258.66,839263737626701,1
57,-34.3125,-64.200005,-304.74377,-36.41,-45.06,-258.66,839263757623417,1
58,-34.256252,-64.6125,-304.6875,-36.41,-45.06,-258.66,839263777737826,1
59,-34.18125,-64.668755,-304.6875,-36.41,-45.06,-258.66,839263797605908,1
60,-34.256252,-64.012505,-304.61252,-36.41,-45.06,-258.66,839263817492326,1
61,-34.0875,-64.256256,-304.44376,-36.41,-45.06,-258.66,839263837488946,1
62,-34.18125,-64.200005,-304.61252,-36.41,-45.06,-258.66,839263857383383,1
63,-34.55625,-64.200005,-304.3125,-36.41,-45.06,-258.66,839263877405983,1
64,-34.55625,-64.256256,-304.36877,-36.41,-45.06,-258.66,839263897380560,1
65,-34.85625,-63.9,-304.80002,-36.41,-45.06,-258.66,839263917274584,1
66,-34.912502,-63.656254,-304.80002,-36.41,-45.06,-258.66,839263937278256,1
67,-34.85625,-63.412502,-305.1,-36.41,-45.06,-258.66,839263957274910,1
68,-34.78125,-63.656254,-305.21252,-36.41,-45.06,-258.66,839263977301237,1
69,-34.912502,-63.487503,-305.1,-36.41,-45.06,-258.66,839263997297838,1
70,-34.912502,-63.112503,-305.02502,-36.41,-45.06,-258.66,839264017286967,1
71,-34.612503,-63.581253,-305.21252,-36.41,-45.06,-258.66,839264037291202,1
72,-34.66875,-63.656254,-305.1,-36.41,-45.06,-258.66,839264057287866,1
73,-34.55625,-64.256256,-304.9125,-36.41,-45.06,-258.66,839264077299731,1
74,-34.55625,-64.256256,-304.74377,-36.41,-45.06,-258.66,839264097290807,1
75,-34.55625,-64.256256,-304.74377,-36.41,-45.06,-258.66,839264117287519,1
76,-34.96875,-63.656254,-304.9125,-36.41,-45.06,-258.66,839264137344272,1
77,-34.66875,-63.956253,-304.74377,-36.41,-45.06,-258.66,839264157446901,1
78,-34.78125,-63.9,-304.98752,-36.41,-45.06,-258.66,839264177577953,1
79,-34.55625,-64.200005,-304.80002,-36.41,-45.06,-258.66,839264197574568,1
80,-34.55625,-63.7125,-304.98752,-36.41,-45.06,-258.66,839264217628885,1
81,-34.55625,-63.412502,-305.02502,-36.41,-45.06,-258.66,839264237622183,1
82,-34.36875,-63.487503,-305.21252,-36.41,-45.06,-258.66,839264257615514,1
83,-34.0875,-64.0875,-304.9125,-36.41,-45.06,-258.66,839264277730023,1
84,-34.36875,-63.9,-305.21252,-36.41,-45.06,-258.66,839264297726676,1
85,-34.256252,-63.7125,-305.34375,-36.41,-45.06,-258.66,839264317731031,1
86,-34.36875,-63.581253,-304.98752,-36.41,-45.06,-258.66,839264337727675,1
87,-34.3125,-63.487503,-304.9125,-36.41,-45.06,-258.66,839264357731963,1
88,-34.18125,-63.581253,-304.9125,-36.41,-45.06,-258.66,839264377736270,1
89,-34.3125,-63.7125,-304.9125,-36.41,-45.06,-258.66,839264397610669,1
90,-34.256252,-63.956253,-304.6875,-36.41,-45.06,-258.66,839264417614971,1
91,-34.36875,-63.768753,-304.61252,-36.41,-45.06,-258.66,839264437611596,1
92,-34.256252,-64.012505,-304.36877,-36.41,-45.06,-258.66,839264457608239,1
93,-34.36875,-64.481255,-304.18127,-36.41,-45.06,-258.66,839264477734768,1
94,-34.18125,-64.481255,-304.5,-36.41,-45.06,-258.66,839264497731417,1
95,-34.3125,-64.856255,-304.44376,-36.41,-45.06,-258.66,839264517728055,1
96,-34.36875,-64.668755,-304.36877,-36.41,-45.06,-258.66,839264537732396,1
97,-34.3125,-64.55625,-304.18127,-36.41,-45.06,-258.66,839264557728992,1
98,-34.3125,-64.481255,-304.3125,-36.41,-45.06,-258.66,839264577733227,1
99,-34.0125,-64.3125,-304.44376,-36.41,-45.06,-258.66,839264597629078,1
100,-34.0875,-63.9,-304.6875,-36.41,-45.06,-258.66,839264617625707,1
101,-33.956253,-63.656254,-304.44376,-36.41,-45.06,-258.66,839264637629981,1
102,-34.3125,-63.7125,-304.5,-36.41,-45.06,-258.66,839264657626630,1
103,-34.48125,-63.05625,-304.74377,-36.41,-45.06,-258.66,839264677731726,1
104,-34.55625,-63.05625,-304.6875,-36.41,-45.06,-258.66,839264697736023,1
105,-34.55625,-63.000004,-304.74377,-36.41,-45.06,-258.66,839264717732605,1
106,-34.66875,-62.7,-304.98752,-36.41,-45.06,-258.66,839264737729258,1
107,-34.85625,-63.05625,-304.6875,-36.41,-45.06,-258.66,839264757733512,1
108,-34.912502,-63.487503,-304.36877,-36.41,-45.06,-258.66,839264777730136,1
