,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-34.85625,-34.0125,-296.08127,-36.41,-45.06,-258.66,838198432169616,1,4aaf95a621ccf092,Kitchen1
1,-34.85625,-34.0125,-296.08127,-36.41,-45.06,-258.66,838198452195226,1,4aaf95a621ccf092,Kitchen1
2,-34.912502,-34.0875,-296.38126,-36.41,-45.06,-258.66,838198472277226,1,4aaf95a621ccf092,Kitchen1
3,-35.081253,-33.54375,-296.5125,-36.41,-45.06,-258.66,838198492399412,1,4aaf95a621ccf092,Kitchen1
4,-35.381252,-33.35625,-296.8125,-36.41,-45.06,-258.66,838198512405191,1,4aaf95a621ccf092,Kitchen1
5,-35.68125,-32.5875,-297.1875,-36.41,-45.06,-258.66,838198532523065,1,4aaf95a621ccf092,Kitchen1
6,-35.756252,-32.5125,-297.48752,-36.41,-45.06,-258.66,838198552489973,1,4aaf95a621ccf092,Kitchen1
7,-36.412502,-31.312502,-298.61252,-36.41,-45.06,-258.66,838198572513809,1,4aaf95a621ccf092,Kitchen1
8,-36.35625,-31.087502,-298.61252,-36.41,-45.06,-258.66,838198592620723,1,4aaf95a621ccf092,Kitchen1
9,-35.98125,-31.687502,-298.2,-36.41,-45.06,-258.66,838198612568275,1,4aaf95a621ccf092,Kitchen1
10,-35.568752,-32.04375,-298.0125,-36.41,-45.06,-258.66,838198632682797,1,4aaf95a621ccf092,Kitchen1
11,-35.568752,-32.34375,-297.7875,-36.41,-45.06,-258.66,838198652582138,1,4aaf95a621ccf092,Kitchen1
12,-35.5125,-32.943752,-297.48752,-36.41,-45.06,-258.66,838198672586421,1,4aaf95a621ccf092,Kitchen1
13,-35.381252,-33.487503,-297.1875,-36.41,-45.06,-258.66,838198692628863,1,4aaf95a621ccf092,Kitchen1
14,-34.85625,-34.256252,-296.7,-36.41,-45.06,-258.66,838198712617853,1,4aaf95a621ccf092,Kitchen1
15,-34.55625,-34.85625,-296.45627,-36.41,-45.06,-258.66,838198732719435,1,4aaf95a621ccf092,Kitchen1
16,-34.3125,-34.85625,-296.38126,-36.41,-45.06,-258.66,838198752605738,1,4aaf95a621ccf092,Kitchen1
17,-34.36875,-34.443752,-296.5125,-36.41,-45.06,-258.66,838198772609973,1,4aaf95a621ccf092,Kitchen1
18,-34.48125,-34.6875,-296.56876,-36.41,-45.06,-258.66,838198792614256,1,4aaf95a621ccf092,Kitchen1
19,-34.256252,-34.6875,-296.7,-36.41,-45.06,-258.66,838198812610876,1,4aaf95a621ccf092,Kitchen1
20,-34.0875,-34.6875,-296.38126,-36.41,-45.06,-258.66,838198832725476,1,4aaf95a621ccf092,Kitchen1
21,-34.0875,-34.74375,-295.98752,-36.41,-45.06,-258.66,838198852661077,1,4aaf95a621ccf092,Kitchen1
22,-34.36875,-34.612503,-296.08127,-36.41,-45.06,-258.66,838198872665351,1,4aaf95a621ccf092,Kitchen1
23,-34.48125,-34.74375,-296.08127,-36.41,-45.06,-258.66,838198892669649,1,4aaf95a621ccf092,Kitchen1
24,-34.612503,-34.6875,-295.98752,-36.41,-45.06,-258.66,838198912666283,1,4aaf95a621ccf092,Kitchen1
25,-34.55625,-34.93125,-295.9125,-36.41,-45.06,-258.66,838198932731595,1,4aaf95a621ccf092,Kitchen1
26,-34.48125,-34.93125,-295.80002,-36.41,-45.06,-258.66,838198952728263,1,4aaf95a621ccf092,Kitchen1
27,-34.55625,-34.612503,-295.85626,-36.41,-45.06,-258.66,838198972724863,1,4aaf95a621ccf092,Kitchen1
28,-34.55625,-34.612503,-296.2875,-36.41,-45.06,-258.66,838198992729123,1,4aaf95a621ccf092,Kitchen1
29,-34.55625,-34.3875,-296.5125,-36.41,-45.06,-258.66,838199012725805,1,4aaf95a621ccf092,Kitchen1
