,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-9.4125,-45.35625,-307.0125,-36.41,-45.06,-258.66,838906816037877,1,4aaf95a621ccf092,LivingRoom2
1,-9.825001,-44.15625,-307.61252,-36.41,-45.06,-258.66,838906835628424,1,4aaf95a621ccf092,LivingRoom2
2,-10.3125,-43.3125,-308.2875,-36.41,-45.06,-258.66,838906855617510,1,4aaf95a621ccf092,LivingRoom2
3,-10.556251,-42.24375,-308.58752,-36.41,-45.06,-258.66,838906875616683,1,4aaf95a621ccf092,LivingRoom2
4,-10.856251,-41.643753,-309.1875,-36.41,-45.06,-258.66,838906895476101,1,4aaf95a621ccf092,LivingRoom2
5,-11.45625,-40.443752,-309.84375,-36.41,-45.06,-258.66,838906915572407,1,4aaf95a621ccf092,LivingRoom2
6,-11.625,-39.956253,-310.14377,-36.41,-45.06,-258.66,838906935479498,1,4aaf95a621ccf092,LivingRoom2
7,-12.168751,-39.412502,-310.44376,-36.41,-45.06,-258.66,838906955476112,1,4aaf95a621ccf092,LivingRoom2
8,-12.356251,-39.1875,-310.61252,-36.41,-45.06,-258.66,838906975617631,1,4aaf95a621ccf092,LivingRoom2
9,-11.925,-39.35625,-310.36877,-36.41,-45.06,-258.66,838906995503100,1,4aaf95a621ccf092,LivingRoom2
10,-12.1125,-39.112503,-310.3125,-36.41,-45.06,-258.66,838907015596859,1,4aaf95a621ccf092,LivingRoom2
11,-12.225,-38.8875,-310.36877,-36.41,-45.06,-258.66,838907035631710,1,4aaf95a621ccf092,LivingRoom2
12,-12.4125,-38.34375,-310.36877,-36.41,-45.06,-258.66,838907055628353,1,4aaf95a621ccf092,LivingRoom2
13,-12.225,-38.643753,-310.25626,-36.41,-45.06,-258.66,838907075743756,1,4aaf95a621ccf092,LivingRoom2
14,-12.056251,-38.8125,-310.25626,-36.41,-45.06,-258.66,838907095636852,1,4aaf95a621ccf092,LivingRoom2
15,-11.8125,-38.5875,-310.25626,-36.41,-45.06,-258.66,838907115602958,1,4aaf95a621ccf092,LivingRoom2
16,-11.8125,-38.5125,-310.25626,-36.41,-45.06,-258.66,838907135508030,1,4aaf95a621ccf092,LivingRoom2
17,-11.8125,-39.1875,-309.95627,-36.41,-45.06,-258.66,838907155512328,1,4aaf95a621ccf092,LivingRoom2
18,-11.325001,-40.0125,-309.71252,-36.41,-45.06,-258.66,838907175620164,1,4aaf95a621ccf092,LivingRoom2
19,-11.15625,-41.15625,-309.24377,-36.41,-45.06,-258.66,838907195480236,1,4aaf95a621ccf092,LivingRoom2
20,-10.9125,-42.05625,-309.1875,-36.41,-45.06,-258.66,838907215576063,1,4aaf95a621ccf092,LivingRoom2
21,-10.425,-42.787502,-308.58752,-36.41,-45.06,-258.66,838907235473524,1,4aaf95a621ccf092,LivingRoom2
22,-10.3125,-43.3125,-308.21252,-36.41,-45.06,-258.66,838907255477807,1,4aaf95a621ccf092,LivingRoom2
23,-9.95625,-44.287502,-307.85626,-36.41,-45.06,-258.66,838907275618638,1,4aaf95a621ccf092,LivingRoom2
24,-9.65625,-44.943752,-307.6875,-36.41,-45.06,-258.66,838907295487523,1,4aaf95a621ccf092,LivingRoom2
25,-9.712501,-44.8125,-307.61252,-36.41,-45.06,-258.66,838907315591004,1,4aaf95a621ccf092,LivingRoom2
26,-9.525001,-44.643753,-307.6875,-36.41,-45.06,-258.66,838907335480316,1,4aaf95a621ccf092,LivingRoom2
27,-9.525001,-44.53125,-307.85626,-36.41,-45.06,-258.66,838907355484604,1,4aaf95a621ccf092,LivingRoom2
28,-9.65625,-44.643753,-307.36877,-36.41,-45.06,-258.66,838907375616594,1,4aaf95a621ccf092,LivingRoom2
29,-9.825001,-44.5875,-307.55627,-36.41,-45.06,-258.66,838907395472305,1,4aaf95a621ccf092,LivingRoom2
30,-9.76875,-44.5875,-307.55627,-36.41,-45.06,-258.66,838907415614416,1,4aaf95a621ccf092,LivingRoom2
31,-9.76875,-44.53125,-307.55627,-36.41,-45.06,-258.66,838907435519478,1,4aaf95a621ccf092,LivingRoom2
32,-9.825001,-44.15625,-307.44376,-36.41,-45.06,-258.66,838907455516107,1,4aaf95a621ccf092,LivingRoom2
33,-9.712501,-44.04375,-307.44376,-36.41,-45.06,-258.66,838907475661313,1,4aaf95a621ccf092,LivingRoom2
34,-9.95625,-43.875,-307.55627,-36.41,-45.06,-258.66,838907495499616,1,4aaf95a621ccf092,LivingRoom2
35,-10.012501,-43.74375,-307.36877,-36.41,-45.06,-258.66,838907515587794,1,4aaf95a621ccf092,LivingRoom2
36,-9.95625,-43.875,-307.44376,-36.41,-45.06,-258.66,838907535481947,1,4aaf95a621ccf092,LivingRoom2
37,-9.95625,-43.875,-307.3125,-36.41,-45.06,-258.66,838907555478576,1,4aaf95a621ccf092,LivingRoom2
38,-10.3125,-44.04375,-307.25626,-36.41,-45.06,-258.66,838907575610724,1,4aaf95a621ccf092,LivingRoom2
39,-10.6125,-44.15625,-307.14377,-36.41,-45.06,-258.66,838907595472036,1,4aaf95a621ccf092,LivingRoom2
40,-10.425,-44.53125,-307.0125,-36.41,-45.06,-258.66,838907615470041,1,4aaf95a621ccf092,LivingRoom2
41,-10.368751,-44.775,-307.14377,-36.41,-45.06,-258.66,838907635375093,1,4aaf95a621ccf092,LivingRoom2
42,-10.3125,-45.112503,-307.08752,-36.41,-45.06,-258.66,838907655371712,1,4aaf95a621ccf092,LivingRoom2
43,-10.25625,-45.112503,-307.14377,-36.41,-45.06,-258.66,838907675518929,1,4aaf95a621ccf092,LivingRoom2
44,-10.25625,-45.05625,-307.14377,-36.41,-45.06,-258.66,838907695504208,1,4aaf95a621ccf092,LivingRoom2
45,-10.3125,-45.05625,-307.3125,-36.41,-45.06,-258.66,838907715489803,1,4aaf95a621ccf092,LivingRoom2
46,-10.125,-44.8875,-307.3125,-36.41,-45.06,-258.66,838907735410187,1,4aaf95a621ccf092,LivingRoom2
47,-9.95625,-45.05625,-307.55627,-36.41,-45.06,-258.66,838907755406836,1,4aaf95a621ccf092,LivingRoom2
48,-10.012501,-45.112503,-307.55627,-36.41,-45.06,-258.66,838907775531316,1,4aaf95a621ccf092,LivingRoom2
49,-9.95625,-45.1875,-307.44376,-36.41,-45.06,-258.66,838907795504869,1,4aaf95a621ccf092,LivingRoom2
50,-9.825001,-45.112503,-307.3125,-36.41,-45.06,-258.66,838907815585402,1,4aaf95a621ccf092,LivingRoom2
51,-9.825001,-45.05625,-307.25626,-36.41,-45.06,-258.66,838907835505743,1,4aaf95a621ccf092,LivingRoom2
52,-9.76875,-45.1875,-307.25626,-36.41,-45.06,-258.66,838907855510026,1,4aaf95a621ccf092,LivingRoom2
53,-9.65625,-45.112503,-307.36877,-36.41,-45.06,-258.66,838907875647622,1,4aaf95a621ccf092,LivingRoom2
54,-9.65625,-45.05625,-307.44376,-36.41,-45.06,-258.66,838907895524275,1,4aaf95a621ccf092,LivingRoom2
55,-9.76875,-45.05625,-307.3125,-36.41,-45.06,-258.66,838907915499900,1,4aaf95a621ccf092,LivingRoom2
56,-9.525001,-45.1875,-307.14377,-36.41,-45.06,-258.66,838907935473625,1,4aaf95a621ccf092,LivingRoom2
57,-9.712501,-45.35625,-307.08752,-36.41,-45.06,-258.66,838907955477937,1,4aaf95a621ccf092,LivingRoom2
58,-9.825001,-45.412502,-307.08752,-36.41,-45.06,-258.66,838907975602220,1,4aaf95a621ccf092,LivingRoom2
59,-10.012501,-45.35625,-307.3125,-36.41,-45.06,-258.66,838907995581436,1,4aaf95a621ccf092,LivingRoom2
60,-10.06875,-45.24375,-307.3125,-36.41,-45.06,-258.66,838908015490733,1,4aaf95a621ccf092,LivingRoom2
61,-10.06875,-45.54375,-307.08752,-36.41,-45.06,-258.66,838908035479738,1,4aaf95a621ccf092,LivingRoom2
62,-10.125,-45.65625,-307.0125,-36.41,-45.06,-258.66,838908055476357,1,4aaf95a621ccf092,LivingRoom2
63,-10.125,-45.487503,-307.08752,-36.41,-45.06,-258.66,838908075603059,1,4aaf95a621ccf092,LivingRoom2
64,-10.3125,-45.112503,-307.3125,-36.41,-45.06,-258.66,838908095581361,1,4aaf95a621ccf092,LivingRoom2
65,-10.368751,-44.8875,-307.14377,-36.41,-45.06,-258.66,838908115585587,1,4aaf95a621ccf092,LivingRoom2
66,-10.368751,-44.53125,-307.14377,-36.41,-45.06,-258.66,838908135521193,1,4aaf95a621ccf092,LivingRoom2
