,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-15.24,13.259999,-174.42,56.879997,-10.8,-96.299995,3386695268584687,1
1,-15.24,13.259999,-174.9,56.879997,-10.8,-96.299995,3386695278584687,1
2,-15.48,12.9,-174.84,56.879997,-10.8,-96.299995,3386695288583687,1
3,-15.54,12.48,-174.9,56.879997,-10.8,-96.299995,3386695298582353,1
4,-15.54,12.24,-175.14,56.879997,-10.8,-96.299995,3386695308581353,1
5,-15.839999,11.94,-174.84,56.879997,-10.8,-96.299995,3386695318580153,1
6,-15.54,12.36,-174.72,56.879997,-10.8,-96.299995,3386695328579153,1
7,-15.48,12.599999,-174.84,56.879997,-10.8,-96.299995,3386695338578010,1
8,-15.66,12.78,-174.72,56.879997,-10.8,-96.299995,3386695348576760,1
9,-15.24,12.719999,-174.84,56.879997,-10.8,-96.299995,3386695358575648,1
10,-15.78,12.84,-175.68,56.879997,-10.8,-96.299995,3386695368574448,1
11,-16.14,12.84,-175.37999,56.879997,-10.8,-96.299995,3386695378573175,1
12,-16.14,12.9,-175.2,56.879997,-10.8,-96.299995,3386695388572008,1
13,-16.32,12.719999,-175.01999,56.879997,-10.8,-96.299995,3386695398570777,1
14,-15.839999,12.84,-174.78,56.879997,-10.8,-96.299995,3386695408569491,1
15,-15.66,12.66,-174.84,56.879997,-10.8,-96.299995,3386695418568291,1
16,-15.66,12.54,-175.01999,56.879997,-10.8,-96.299995,3386695428567041,1
17,-15.48,12.84,-175.08,56.879997,-10.8,-96.299995,3386695438565864,1
18,-15.48,12.36,-175.08,56.879997,-10.8,-96.299995,3386695448564641,1
19,-15.839999,12.54,-174.59999,56.879997,-10.8,-96.299995,3386695458563377,1
20,-15.719999,12.24,-174.66,56.879997,-10.8,-96.299995,3386695468562177,1
21,-15.42,12.3,-174.66,56.879997,-10.8,-96.299995,3386695478560938,1
22,-15.599999,12.54,-174.0,56.879997,-10.8,-96.299995,3386695488559665,1
23,-15.0,12.54,-174.3,56.879997,-10.8,-96.299995,3386695498558447,1
24,-14.94,12.84,-174.59999,56.879997,-10.8,-96.299995,3386695508557197,1
25,-15.42,12.84,-174.42,56.879997,-10.8,-96.299995,3386695518555917,1
26,-15.599999,12.54,-174.54,56.879997,-10.8,-96.299995,3386695528554686,1
27,-15.96,12.599999,-174.42,56.879997,-10.8,-96.299995,3386695538553426,1
28,-16.08,12.719999,-174.23999,56.879997,-10.8,-96.299995,3386695548552140,1
29,-16.14,12.54,-174.59999,56.879997,-10.8,-96.299995,3386695558550898,1
30,-15.839999,12.9,-174.84,56.879997,-10.8,-96.299995,3386695568549631,1
31,-15.66,12.9,-175.14,56.879997,-10.8,-96.299995,3386695578548364,1
32,-16.02,12.84,-174.84,56.879997,-10.8,-96.299995,3386695588547130,1
33,-16.08,12.84,-174.72,56.879997,-10.8,-96.299995,3386695598545896,1
34,-16.02,12.599999,-174.72,56.879997,-10.8,-96.299995,3386695608544662,1
35,-16.32,12.3,-174.72,56.879997,-10.8,-96.299995,3386695618543428,1
36,-16.199999,12.42,-175.14,56.879997,-10.8,-96.299995,3386695628542128,1
37,-15.96,12.719999,-174.78,56.879997,-10.8,-96.299995,3386695638540894,1
38,-15.96,12.66,-174.66,56.879997,-10.8,-96.299995,3386695648539660,1
39,-15.78,12.66,-174.36,56.879997,-10.8,-96.299995,3386695658538360,1
40,-15.179999,11.94,-174.3,56.879997,-10.8,-96.299995,3386695668537126,1
41,-15.179999,11.7,-174.84,56.879997,-10.8,-96.299995,3386695678535892,1
42,-15.179999,11.7,-174.95999,56.879997,-10.8,-96.299995,3386695688534658,1
43,-15.24,11.82,-175.2,56.879997,-10.8,-96.299995,3386695698533424,1
44,-15.839999,12.12,-175.44,56.879997,-10.8,-96.299995,3386695708532190,1
45,-15.9,12.3,-175.31999,56.879997,-10.8,-96.299995,3386695718530956,1
46,-16.02,12.36,-175.31999,56.879997,-10.8,-96.299995,3386695728529722,1
47,-15.96,12.12,-175.31999,56.879997,-10.8,-96.299995,3386695738528422,1
