,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-77.58,13.2,-205.26,56.879997,-10.8,-96.299995,3387146749795693,1,e08d976ac75c011e,Kitchen2
1,-77.58,13.44,-205.26,56.879997,-10.8,-96.299995,3387146759793693,1,e08d976ac75c011e,Kitchen2
2,-77.52,13.38,-205.31999,56.879997,-10.8,-96.299995,3387146769791693,1,e08d976ac75c011e,Kitchen2
3,-77.64,13.5,-205.08,56.879997,-10.8,-96.299995,3387146779790359,1,e08d976ac75c011e,Kitchen2
4,-77.46,13.679999,-204.65999,56.879997,-10.8,-96.299995,3387146789788859,1,e08d976ac75c011e,Kitchen2
5,-77.22,13.559999,-204.84,56.879997,-10.8,-96.299995,3387146799787659,1,e08d976ac75c011e,Kitchen2
6,-77.1,13.679999,-204.72,56.879997,-10.8,-96.299995,3387146809786325,1,e08d976ac75c011e,Kitchen2
7,-77.1,13.86,-204.72,56.879997,-10.8,-96.299995,3387146819784896,1,e08d976ac75c011e,Kitchen2
8,-77.28,13.62,-204.84,56.879997,-10.8,-96.299995,3387146829783646,1,e08d976ac75c011e,Kitchen2
9,-77.88,13.799999,-204.78,56.879997,-10.8,-96.299995,3387146839782312,1,e08d976ac75c011e,Kitchen2
10,-78.24,13.799999,-204.59999,56.879997,-10.8,-96.299995,3387146849780912,1,e08d976ac75c011e,Kitchen2
11,-78.299995,13.38,-204.59999,56.879997,-10.8,-96.299995,3387146859779639,1,e08d976ac75c011e,Kitchen2
12,-78.6,13.259999,-204.54,56.879997,-10.8,-96.299995,3387146869778305,1,e08d976ac75c011e,Kitchen2
13,-78.299995,13.139999,-204.54,56.879997,-10.8,-96.299995,3387146879776920,1,e08d976ac75c011e,Kitchen2
14,-78.0,12.9,-204.9,56.879997,-10.8,-96.299995,3387146889775634,1,e08d976ac75c011e,Kitchen2
15,-77.46,13.32,-205.2,56.879997,-10.8,-96.299995,3387146899774300,1,e08d976ac75c011e,Kitchen2
16,-77.1,13.62,-205.44,56.879997,-10.8,-96.299995,3387146909773050,1,e08d976ac75c011e,Kitchen2
17,-77.159996,13.98,-205.79999,56.879997,-10.8,-96.299995,3387146919771755,1,e08d976ac75c011e,Kitchen2
18,-77.46,14.46,-205.5,56.879997,-10.8,-96.299995,3387146929770421,1,e08d976ac75c011e,Kitchen2
19,-77.759995,14.4,-205.5,56.879997,-10.8,-96.299995,3387146939769157,1,e08d976ac75c011e,Kitchen2
20,-77.759995,14.28,-205.26,56.879997,-10.8,-96.299995,3387146949767857,1,e08d976ac75c011e,Kitchen2
21,-77.7,13.92,-205.01999,56.879997,-10.8,-96.299995,3387146959766523,1,e08d976ac75c011e,Kitchen2
22,-77.64,13.44,-205.08,56.879997,-10.8,-96.299995,3387146969765250,1,e08d976ac75c011e,Kitchen2
23,-77.7,13.2,-204.54,56.879997,-10.8,-96.299995,3387146979763945,1,e08d976ac75c011e,Kitchen2
24,-77.7,13.38,-204.59999,56.879997,-10.8,-96.299995,3387146989762611,1,e08d976ac75c011e,Kitchen2
25,-77.759995,13.38,-204.42,56.879997,-10.8,-96.299995,3387146999761331,1,e08d976ac75c011e,Kitchen2
26,-77.52,13.32,-204.42,56.879997,-10.8,-96.299995,3387147009760023,1,e08d976ac75c011e,Kitchen2
27,-77.34,13.44,-204.78,56.879997,-10.8,-96.299995,3387147019758689,1,e08d976ac75c011e,Kitchen2
28,-77.52,13.32,-205.08,56.879997,-10.8,-96.299995,3387147029757403,1,e08d976ac75c011e,Kitchen2
29,-77.46,13.679999,-204.78,56.879997,-10.8,-96.299995,3387147039756092,1,e08d976ac75c011e,Kitchen2
30,-77.88,13.679999,-205.2,56.879997,-10.8,-96.299995,3387147049754825,1,e08d976ac75c011e,Kitchen2
31,-78.06,13.62,-205.31999,56.879997,-10.8,-96.299995,3387147059753558,1,e08d976ac75c011e,Kitchen2
32,-77.82,13.86,-205.14,56.879997,-10.8,-96.299995,3387147069752291,1,e08d976ac75c011e,Kitchen2
33,-77.939995,13.559999,-205.73999,56.879997,-10.8,-96.299995,3387147079751024,1,e08d976ac75c011e,Kitchen2
34,-77.159996,13.74,-205.37999,56.879997,-10.8,-96.299995,3387147089749757,1,e08d976ac75c011e,Kitchen2
35,-77.1,13.74,-205.37999,56.879997,-10.8,-96.299995,3387147099748457,1,e08d976ac75c011e,Kitchen2
36,-76.799995,13.32,-205.2,56.879997,-10.8,-96.299995,3387147109747223,1,e08d976ac75c011e,Kitchen2
37,-76.799995,13.44,-204.84,56.879997,-10.8,-96.299995,3387147119745989,1,e08d976ac75c011e,Kitchen2
38,-76.979996,13.5,-204.95999,56.879997,-10.8,-96.299995,3387147129744689,1,e08d976ac75c011e,Kitchen2
39,-77.1,13.559999,-205.31999,56.879997,-10.8,-96.299995,3387147139743455,1,e08d976ac75c011e,Kitchen2
40,-77.28,13.32,-204.95999,56.879997,-10.8,-96.299995,3387147149742221,1,e08d976ac75c011e,Kitchen2
41,-76.92,13.32,-205.2,56.879997,-10.8,-96.299995,3387147159740987,1,e08d976ac75c011e,Kitchen2
42,-77.34,13.139999,-205.44,56.879997,-10.8,-96.299995,3387147169739753,1,e08d976ac75c011e,Kitchen2
43,-77.52,13.32,-204.84,56.879997,-10.8,-96.299995,3387147179738519,1,e08d976ac75c011e,Kitchen2
44,-77.58,13.62,-205.5,56.879997,-10.8,-96.299995,3387147189737285,1,e08d976ac75c011e,Kitchen2
45,-77.939995,13.62,-205.2,56.879997,-10.8,-96.299995,3387147199736051,1,e08d976ac75c011e,Kitchen2
46,-78.0,13.62,-204.9,56.879997,-10.8,-96.299995,3387147209734751,1,e08d976ac75c011e,Kitchen2
47,-77.64,13.44,-204.9,56.879997,-10.8,-96.299995,3387147219733517,1,e08d976ac75c011e,Kitchen2
48,-77.759995,13.62,-204.54,56.879997,-10.8,-96.299995,3387147229732283,1,e08d976ac75c011e,Kitchen2
49,-78.0,13.559999,-204.95999,56.879997,-10.8,-96.299995,3387147239730983,1,e08d976ac75c011e,Kitchen2
50,-77.939995,13.559999,-205.08,56.879997,-10.8,-96.299995,3387147249729749,1,e08d976ac75c011e,Kitchen2
51,-78.36,13.74,-205.56,56.879997,-10.8,-96.299995,3387147259728515,1,e08d976ac75c011e,Kitchen2
52,-78.06,13.44,-205.5,56.879997,-10.8,-96.299995,3387147269727215,1,e08d976ac75c011e,Kitchen2
53,-77.759995,13.799999,-205.5,56.879997,-10.8,-96.299995,3387147279725981,1,e08d976ac75c011e,Kitchen2
54,-77.759995,13.92,-205.31999,56.879997,-10.8,-96.299995,3387147289724747,1,e08d976ac75c011e,Kitchen2
55,-77.34,13.86,-204.95999,56.879997,-10.8,-96.299995,3387147299723513,1,e08d976ac75c011e,Kitchen2
56,-77.88,14.16,-205.37999,56.879997,-10.8,-96.299995,3387147309722279,1,e08d976ac75c011e,Kitchen2
57,-77.64,13.92,-205.14,56.879997,-10.8,-96.299995,3387147319721045,1,e08d976ac75c011e,Kitchen2
58,-77.64,13.799999,-205.14,56.879997,-10.8,-96.299995,3387147329719811,1,e08d976ac75c011e,Kitchen2
59,-77.64,13.5,-205.01999,56.879997,-10.8,-96.299995,3387147339718577,1,e08d976ac75c011e,Kitchen2
60,-77.34,13.139999,-204.9,56.879997,-10.8,-96.299995,3387147349717277,1,e08d976ac75c011e,Kitchen2
61,-77.64,13.259999,-205.08,56.879997,-10.8,-96.299995,3387147359716043,1,e08d976ac75c011e,Kitchen2
62,-77.52,13.32,-204.84,56.879997,-10.8,-96.299995,3387147369714809,1,e08d976ac75c011e,Kitchen2
63,-77.58,13.5,-204.95999,56.879997,-10.8,-96.299995,3387147379713509,1,e08d976ac75c011e,Kitchen2
64,-77.52,13.5,-204.65999,56.879997,-10.8,-96.299995,3387147389712275,1,e08d976ac75c011e,Kitchen2
65,-77.28,13.139999,-204.48,56.879997,-10.8,-96.299995,3387147399711008,1,e08d976ac75c011e,Kitchen2
66,-77.159996,12.719999,-204.65999,56.879997,-10.8,-96.299995,3387147409709741,1,e08d976ac75c011e,Kitchen2
67,-77.22,12.54,-204.54,56.879997,-10.8,-96.299995,3387147419708441,1,e08d976ac75c011e,Kitchen2
68,-77.4,12.54,-204.84,56.879997,-10.8,-96.299995,3387147429707174,1,e08d976ac75c011e,Kitchen2
69,-77.58,12.24,-204.65999,56.879997,-10.8,-96.299995,3387147439705907,1,e08d976ac75c011e,Kitchen2
70,-77.939995,12.66,-205.14,56.879997,-10.8,-96.299995,3387147449704640,1,e08d976ac75c011e,Kitchen2
71,-77.939995,12.84,-205.01999,56.879997,-10.8,-96.299995,3387147459703306,1,e08d976ac75c011e,Kitchen2
72,-77.939995,13.2,-204.95999,56.879997,-10.8,-96.299995,3387147469702039,1,e08d976ac75c011e,Kitchen2
73,-77.88,13.799999,-204.84,56.879997,-10.8,-96.299995,3387147479700772,1,e08d976ac75c011e,Kitchen2
74,-77.64,13.92,-204.36,56.879997,-10.8,-96.299995,3387147489699438,1,e08d976ac75c011e,Kitchen2
75,-77.58,13.44,-204.72,56.879997,-10.8,-96.299995,3387147499698171,1,e08d976ac75c011e,Kitchen2
76,-77.7,13.2,-204.65999,56.879997,-10.8,-96.299995,3387147509696937,1,e08d976ac75c011e,Kitchen2
77,-77.7,13.0199995,-205.14,56.879997,-10.8,-96.299995,3387147519695637,1,e08d976ac75c011e,Kitchen2
78,-77.7,12.9,-205.44,56.879997,-10.8,-96.299995,3387147529694403,1,e08d976ac75c011e,Kitchen2
79,-77.82,13.139999,-205.31999,56.879997,-10.8,-96.299995,3387147539693169,1,e08d976ac75c011e,Kitchen2
80,-77.52,13.5,-205.62,56.879997,-10.8,-96.299995,3387147549691935,1,e08d976ac75c011e,Kitchen2
81,-77.7,13.679999,-205.14,56.879997,-10.8,-96.299995,3387147559690701,1,e08d976ac75c011e,Kitchen2
82,-77.34,13.5,-205.08,56.879997,-10.8,-96.299995,3387147569689467,1,e08d976ac75c011e,Kitchen2
