,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,3.72,35.7,-172.98,56.879997,-10.8,-96.299995,3385586356927555,1,e08d976ac75c011e,DormRoom3
1,3.4199998,36.3,-173.04,56.879997,-10.8,-96.299995,3385586366925555,1,e08d976ac75c011e,DormRoom3
2,2.3999999,36.36,-173.4,56.879997,-10.8,-96.299995,3385586376924555,1,e08d976ac75c011e,DormRoom3
3,2.34,36.36,-173.22,56.879997,-10.8,-96.299995,3385586386923221,1,e08d976ac75c011e,DormRoom3
4,2.1599998,36.84,-173.22,56.879997,-10.8,-96.299995,3385586396922221,1,e08d976ac75c011e,DormRoom3
5,2.6399999,36.78,-173.34,56.879997,-10.8,-96.299995,3385586406921021,1,e08d976ac75c011e,DormRoom3
6,3.0,37.079998,-173.09999,56.879997,-10.8,-96.299995,3385586416919687,1,e08d976ac75c011e,DormRoom3
7,3.06,37.38,-173.7,56.879997,-10.8,-96.299995,3385586426918544,1,e08d976ac75c011e,DormRoom3
8,2.82,37.26,-173.87999,56.879997,-10.8,-96.299995,3385586436917294,1,e08d976ac75c011e,DormRoom3
9,2.7,36.84,-173.7,56.879997,-10.8,-96.299995,3385586446915960,1,e08d976ac75c011e,DormRoom3
10,2.9399998,36.719997,-174.0,56.879997,-10.8,-96.299995,3385586456914760,1,e08d976ac75c011e,DormRoom3
11,3.12,36.42,-173.58,56.879997,-10.8,-96.299995,3385586466913487,1,e08d976ac75c011e,DormRoom3
12,3.6599998,36.899998,-173.87999,56.879997,-10.8,-96.299995,3385586476912153,1,e08d976ac75c011e,DormRoom3
13,3.72,36.78,-173.76,56.879997,-10.8,-96.299995,3385586486910922,1,e08d976ac75c011e,DormRoom3
14,3.6,36.6,-173.64,56.879997,-10.8,-96.299995,3385586496909636,1,e08d976ac75c011e,DormRoom3
15,3.72,36.96,-173.4,56.879997,-10.8,-96.299995,3385586506908302,1,e08d976ac75c011e,DormRoom3
16,3.54,36.66,-172.92,56.879997,-10.8,-96.299995,3385586516907052,1,e08d976ac75c011e,DormRoom3
17,3.24,36.899998,-172.98,56.879997,-10.8,-96.299995,3385586526905757,1,e08d976ac75c011e,DormRoom3
18,3.3,36.899998,-173.09999,56.879997,-10.8,-96.299995,3385586536904534,1,e08d976ac75c011e,DormRoom3
19,2.82,36.899998,-173.28,56.879997,-10.8,-96.299995,3385586546903270,1,e08d976ac75c011e,DormRoom3
20,3.06,36.66,-173.58,56.879997,-10.8,-96.299995,3385586556901970,1,e08d976ac75c011e,DormRoom3
21,3.48,36.899998,-173.34,56.879997,-10.8,-96.299995,3385586566900731,1,e08d976ac75c011e,DormRoom3
22,3.48,36.84,-172.98,56.879997,-10.8,-96.299995,3385586576899458,1,e08d976ac75c011e,DormRoom3
23,3.9599998,36.78,-173.16,56.879997,-10.8,-96.299995,3385586586898153,1,e08d976ac75c011e,DormRoom3
24,3.9599998,36.78,-172.92,56.879997,-10.8,-96.299995,3385586596896903,1,e08d976ac75c011e,DormRoom3
25,3.8999999,36.18,-172.98,56.879997,-10.8,-96.299995,3385586606895623,1,e08d976ac75c011e,DormRoom3
26,3.24,36.3,-173.28,56.879997,-10.8,-96.299995,3385586616894315,1,e08d976ac75c011e,DormRoom3
27,2.8799999,36.3,-173.09999,56.879997,-10.8,-96.299995,3385586626893055,1,e08d976ac75c011e,DormRoom3
28,2.7,36.48,-172.56,56.879997,-10.8,-96.299995,3385586636891769,1,e08d976ac75c011e,DormRoom3
29,2.58,37.2,-172.37999,56.879997,-10.8,-96.299995,3385586646890527,1,e08d976ac75c011e,DormRoom3
30,3.3,37.14,-172.2,56.879997,-10.8,-96.299995,3385586656889260,1,e08d976ac75c011e,DormRoom3
31,3.6,37.2,-172.31999,56.879997,-10.8,-96.299995,3385586666887993,1,e08d976ac75c011e,DormRoom3
32,3.78,37.02,-172.8,56.879997,-10.8,-96.299995,3385586676886726,1,e08d976ac75c011e,DormRoom3
33,3.6,36.66,-172.98,56.879997,-10.8,-96.299995,3385586686885459,1,e08d976ac75c011e,DormRoom3
34,3.54,36.48,-173.28,56.879997,-10.8,-96.299995,3385586696884159,1,e08d976ac75c011e,DormRoom3
35,3.4199998,36.12,-172.98,56.879997,-10.8,-96.299995,3385586706882925,1,e08d976ac75c011e,DormRoom3
36,3.3,36.48,-172.98,56.879997,-10.8,-96.299995,3385586716881691,1,e08d976ac75c011e,DormRoom3
37,2.8799999,36.6,-173.22,56.879997,-10.8,-96.299995,3385586726880391,1,e08d976ac75c011e,DormRoom3
38,2.7,37.079998,-173.09999,56.879997,-10.8,-96.299995,3385586736879157,1,e08d976ac75c011e,DormRoom3
39,2.76,37.44,-173.16,56.879997,-10.8,-96.299995,3385586746877923,1,e08d976ac75c011e,DormRoom3
40,2.82,36.96,-173.28,56.879997,-10.8,-96.299995,3385586756876623,1,e08d976ac75c011e,DormRoom3
41,3.1799998,37.2,-173.09999,56.879997,-10.8,-96.299995,3385586766875389,1,e08d976ac75c011e,DormRoom3
42,3.3,36.719997,-172.92,56.879997,-10.8,-96.299995,3385586776874155,1,e08d976ac75c011e,DormRoom3
