,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy
0,-4.02,12.719999,-179.81999,56.879997,-10.8,-96.299995,3386062932862789,1
1,-3.4199998,12.24,-180.06,56.879997,-10.8,-96.299995,3386062942862789,1
2,-3.72,12.24,-180.12,56.879997,-10.8,-96.299995,3386062952861789,1
3,-3.8999999,11.94,-179.7,56.879997,-10.8,-96.299995,3386062962861122,1
4,-3.54,12.179999,-179.22,56.879997,-10.8,-96.299995,3386062972860122,1
5,-3.8999999,13.08,-178.92,56.879997,-10.8,-96.299995,3386062982858922,1
6,-3.72,13.08,-178.2,56.879997,-10.8,-96.299995,3386062992857922,1
7,-3.36,13.2,-178.37999,56.879997,-10.8,-96.299995,3386063002856779,1
8,-3.54,13.08,-178.73999,56.879997,-10.8,-96.299995,3386063012855529,1
9,-3.36,12.84,-178.68,56.879997,-10.8,-96.299995,3386063022854417,1
10,-3.12,13.08,-179.15999,56.879997,-10.8,-96.299995,3386063032853217,1
11,-3.6,13.0199995,-179.64,56.879997,-10.8,-96.299995,3386063042851944,1
12,-3.54,13.259999,-179.94,56.879997,-10.8,-96.299995,3386063052850777,1
13,-3.36,13.5,-179.81999,56.879997,-10.8,-96.299995,3386063062849546,1
14,-3.4199998,13.259999,-180.0,56.879997,-10.8,-96.299995,3386063072848403,1
15,-3.72,13.92,-179.76,56.879997,-10.8,-96.299995,3386063082847203,1
16,-3.84,13.679999,-179.7,56.879997,-10.8,-96.299995,3386063092845953,1
17,-3.9599998,13.0199995,-180.23999,56.879997,-10.8,-96.299995,3386063102844776,1
18,-4.2,13.0199995,-180.12,56.879997,-10.8,-96.299995,3386063112843553,1
19,-3.48,12.599999,-180.12,56.879997,-10.8,-96.299995,3386063122842289,1
20,-3.4199998,13.0199995,-179.76,56.879997,-10.8,-96.299995,3386063132841089,1
21,-3.54,13.679999,-179.4,56.879997,-10.8,-96.299995,3386063142839850,1
22,-3.54,13.32,-179.45999,56.879997,-10.8,-96.299995,3386063152838577,1
23,-3.72,13.32,-179.22,56.879997,-10.8,-96.299995,3386063162837359,1
