,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-32.3178,42.6512,-82.6184,-7.392151,48.215355,-43.04833,2093367078462,1,03575768cc23b2df,DormRoom7
1,-30.719599,42.4926,-81.862,-7.392151,48.215355,-43.04833,2093377079439,1,03575768cc23b2df,DormRoom7
2,-33.4402,41.992397,-82.533,-7.392151,48.215355,-43.04833,2093387088716,1,03575768cc23b2df,DormRoom7
3,-33.3304,43.1636,-84.18,-7.392151,48.215355,-43.04833,2093397090181,1,03575768cc23b2df,DormRoom7
4,-35.294598,41.7972,-84.8022,-7.392151,48.215355,-43.04833,2093407090181,1,03575768cc23b2df,DormRoom7
5,-32.696,42.1266,-83.4602,-7.392151,48.215355,-43.04833,2093417090181,1,03575768cc23b2df,DormRoom7
6,-34.8676,42.0778,-82.8014,-7.392151,48.215355,-43.04833,2093427087739,1,03575768cc23b2df,DormRoom7
7,-31.7078,43.456398,-82.6428,-7.392151,48.215355,-43.04833,2093437090425,1,03575768cc23b2df,DormRoom7
8,-31.7078,43.2002,-82.4842,-7.392151,48.215355,-43.04833,2093447090181,1,03575768cc23b2df,DormRoom7
9,-32.4764,42.395,-82.2768,-7.392151,48.215355,-43.04833,2093457090181,1,03575768cc23b2df,DormRoom7
10,-31.219799,42.7244,-82.0328,-7.392151,48.215355,-43.04833,2093467075288,1,03575768cc23b2df,DormRoom7
11,-31.9884,43.1636,-82.7526,-7.392151,48.215355,-43.04833,2093477090181,1,03575768cc23b2df,DormRoom7
12,-30.6586,42.529198,-82.4964,-7.392151,48.215355,-43.04833,2093487090181,1,03575768cc23b2df,DormRoom7
13,-31.8176,42.2364,-82.5086,-7.392151,48.215355,-43.04833,2093497090181,1,03575768cc23b2df,DormRoom7
14,-31.2076,42.7976,-82.4842,-7.392151,48.215355,-43.04833,2093507088716,1,03575768cc23b2df,DormRoom7
15,-31.1588,42.6268,-81.776596,-7.392151,48.215355,-43.04833,2093517089937,1,03575768cc23b2df,DormRoom7
16,-32.183598,42.6512,-83.338196,-7.392151,48.215355,-43.04833,2093527089937,1,03575768cc23b2df,DormRoom7
17,-32.5862,42.4804,-83.8384,-7.392151,48.215355,-43.04833,2093537090425,1,03575768cc23b2df,DormRoom7
18,-31.476,43.7492,-83.4114,-7.392151,48.215355,-43.04833,2093547075288,1,03575768cc23b2df,DormRoom7
19,-32.488598,42.9562,-83.4846,-7.392151,48.215355,-43.04833,2093557090181,1,03575768cc23b2df,DormRoom7
20,-32.6716,42.8098,-82.740395,-7.392151,48.215355,-43.04833,2093567090425,1,03575768cc23b2df,DormRoom7
21,-30.5366,43.005,-81.5936,-7.392151,48.215355,-43.04833,2093577090913,1,03575768cc23b2df,DormRoom7
22,-30.719599,42.5414,-80.239395,-7.392151,48.215355,-43.04833,2093587081880,1,03575768cc23b2df,DormRoom7
23,-31.6224,41.9314,-81.0934,-7.392151,48.215355,-43.04833,2093597089937,1,03575768cc23b2df,DormRoom7
24,-31.4028,42.8952,-82.1182,-7.392151,48.215355,-43.04833,2093607090181,1,03575768cc23b2df,DormRoom7
25,-31.9152,42.6756,-81.007996,-7.392151,48.215355,-43.04833,2093617090181,1,03575768cc23b2df,DormRoom7
26,-32.696,42.1266,-83.350395,-7.392151,48.215355,-43.04833,2093627091157,1,03575768cc23b2df,DormRoom7
27,-31.2564,42.7244,-82.9112,-7.392151,48.215355,-43.04833,2093637089937,1,03575768cc23b2df,DormRoom7
28,-31.183199,42.6634,-80.825,-7.392151,48.215355,-43.04833,2093647090425,1,03575768cc23b2df,DormRoom7
29,-31.1588,42.8098,-81.2764,-7.392151,48.215355,-43.04833,2093657090181,1,03575768cc23b2df,DormRoom7
30,-33.2084,42.4682,-83.020996,-7.392151,48.215355,-43.04833,2093667082857,1,03575768cc23b2df,DormRoom7
31,-31.4028,42.6512,-82.0572,-7.392151,48.215355,-43.04833,2093677089937,1,03575768cc23b2df,DormRoom7
32,-31.9762,42.9074,-82.4842,-7.392151,48.215355,-43.04833,2093687090181,1,03575768cc23b2df,DormRoom7
33,-29.4874,43.688198,-81.7034,-7.392151,48.215355,-43.04833,2093697090181,1,03575768cc23b2df,DormRoom7
34,-32.1348,42.7854,-83.2528,-7.392151,48.215355,-43.04833,2093707091402,1,03575768cc23b2df,DormRoom7
35,-31.1344,43.4442,-82.3866,-7.392151,48.215355,-43.04833,2093717090425,1,03575768cc23b2df,DormRoom7
36,-32.098198,42.614597,-82.7648,-7.392151,48.215355,-43.04833,2093727090181,1,03575768cc23b2df,DormRoom7
37,-31.500399,42.614597,-82.0816,-7.392151,48.215355,-43.04833,2093737090425,1,03575768cc23b2df,DormRoom7
38,-31.146599,42.443798,-81.947395,-7.392151,48.215355,-43.04833,2093747075532,1,03575768cc23b2df,DormRoom7
39,-31.536999,43.1636,-83.7286,-7.392151,48.215355,-43.04833,2093757090181,1,03575768cc23b2df,DormRoom7
40,-31.4516,43.2002,-84.0336,-7.392151,48.215355,-43.04833,2093767090425,1,03575768cc23b2df,DormRoom7
41,-30.756199,42.992798,-82.9478,-7.392151,48.215355,-43.04833,2093777090181,1,03575768cc23b2df,DormRoom7
42,-31.7566,43.065998,-82.35,-7.392151,48.215355,-43.04833,2093787077730,1,03575768cc23b2df,DormRoom7
43,-29.828999,42.992798,-82.0694,-7.392151,48.215355,-43.04833,2093797090181,1,03575768cc23b2df,DormRoom7
44,-32.878998,42.4804,-82.9356,-7.392151,48.215355,-43.04833,2093807090181,1,03575768cc23b2df,DormRoom7
45,-30.914799,43.3466,-81.8742,-7.392151,48.215355,-43.04833,2093817089937,1,03575768cc23b2df,DormRoom7
46,-32.0616,42.8708,-82.2768,-7.392151,48.215355,-43.04833,2093827091646,1,03575768cc23b2df,DormRoom7
47,-35.6484,41.7118,-84.6436,-7.392151,48.215355,-43.04833,2093837089937,1,03575768cc23b2df,DormRoom7
48,-40.3698,40.5162,-86.9738,-7.392151,48.215355,-43.04833,2093847090181,1,03575768cc23b2df,DormRoom7
49,-37.271,42.7244,-85.6074,-7.392151,48.215355,-43.04833,2093857084810,1,03575768cc23b2df,DormRoom7
50,-38.8204,41.906998,-86.681,-7.392151,48.215355,-43.04833,2093867075777,1,03575768cc23b2df,DormRoom7
51,-38.942398,41.724,-86.3394,-7.392151,48.215355,-43.04833,2093877089937,1,03575768cc23b2df,DormRoom7
52,-43.0172,39.9184,-87.291,-7.392151,48.215355,-43.04833,2093887089937,1,03575768cc23b2df,DormRoom7
